duration,actor_2_name,genres,movie_title,num_voted_users,movie_imdb_link,content_rating,title_year
96,Bob Balaban,Comedy|Drama,Clockwatchers ,4049,http://www.imdb.com/title/tt0118866/?ref_=fn_tt_tt_1,PG-13,1997
86,Krysta Rodriguez,Comedy,The Virginity Hit ,3467,http://www.imdb.com/title/tt1695994/?ref_=fn_tt_tt_1,R,2010
98,Isabelle Adjani,Comedy|Drama|Thriller,Subway ,11031,http://www.imdb.com/title/tt0090095/?ref_=fn_tt_tt_1,R,1985
96,Mark Margolis,Comedy|Drama,House of D ,7479,http://www.imdb.com/title/tt0372334/?ref_=fn_tt_tt_1,PG-13,2004
94,Nathan Parsons,Comedy|Fantasy|Horror|Thriller,Teeth ,34556,http://www.imdb.com/title/tt0780622/?ref_=fn_tt_tt_1,R,2007
91,Stephane Gauger,Action|Adventure|Comedy|Drama|Music|Sci-Fi,Six-String Samurai ,5613,http://www.imdb.com/title/tt0118736/?ref_=fn_tt_tt_1,PG-13,1998
,Bobby Deol,Action|Comedy|Romance|Thriller,Hum To Mohabbat Karega ,275,http://www.imdb.com/title/tt0249588/?ref_=fn_tt_tt_1,,2000
90,Neil Maskell,Biography|Comedy|Drama|Music,It's All Gone Pete Tong ,16828,http://www.imdb.com/title/tt0388139/?ref_=fn_tt_tt_1,R,2004
85,Steve Buscemi,Comedy|Drama,Saint John of Las Vegas ,2522,http://www.imdb.com/title/tt1276105/?ref_=fn_tt_tt_1,R,2009
96,Annette Badland,Comedy|Drama|Romance|Sport,24 7: Twenty Four Seven ,2081,http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1,R,1997
129,Caleb Landry Jones,Drama,Stonewall ,1758,http://www.imdb.com/title/tt3018070/?ref_=fn_tt_tt_1,R,2015
60,Colin Ferguson,Comedy|Drama|Sci-Fi,Eureka             ,39559,http://www.imdb.com/title/tt0796264/?ref_=fn_tt_tt_1,TV-14,
93,Sanjay Mishra,Animation|Comedy|Family|Romance,Roadside Romeo ,922,http://www.imdb.com/title/tt1050739/?ref_=fn_tt_tt_1,PG,2008
100,Frank Vincent,Crime|Drama,This Thing of Ours ,508,http://www.imdb.com/title/tt0338497/?ref_=fn_tt_tt_1,Not Rated,2003
97,Jansen Panettiere,Adventure|Family|Fantasy,The Lost Medallion: The Adventures of Billy Stone ,1278,http://www.imdb.com/title/tt1390539/?ref_=fn_tt_tt_1,PG,2013
94,Jeremy Jordan,Comedy|Drama|Musical|Romance,The Last Five Years ,6223,http://www.imdb.com/title/tt2474024/?ref_=fn_tt_tt_1,PG-13,2014
95,Amy Ryan,Drama,The Missing Person ,1268,http://www.imdb.com/title/tt1105512/?ref_=fn_tt_tt_1,,2009
97,Kent McCord,Horror|Romance|Sci-Fi,Return of the Living Dead III ,10182,http://www.imdb.com/title/tt0107953/?ref_=fn_tt_tt_1,R,1993
92,Chris Evans,Drama|Romance,London ,19336,http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,R,2005
96,Kate Burton,Drama,Sherrybaby ,10282,http://www.imdb.com/title/tt0423169/?ref_=fn_tt_tt_1,R,2006
85,Megan Mullally,Comedy|Crime,Stealing Harvard ,11211,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,PG-13,2002
87,Michael McLafferty,Drama|Horror|Mystery|Sci-Fi|Thriller,Circle ,13279,http://www.imdb.com/title/tt3118452/?ref_=fn_tt_tt_1,Not Rated,2015
91,Jack O'Connell,Horror|Thriller,Eden Lake ,57811,http://www.imdb.com/title/tt1020530/?ref_=fn_tt_tt_1,R,2008
