director_name,num_critic_for_reviews,actor_2_name,actor_1_facebook_likes,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link
Scott Mann,44,Joshua Mikel,22000,Heist ,16198,1,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1
Ole Christian Madsen,80,Thure Lindhardt,573,Flame and Citron ,14247,1,http://www.imdb.com/title/tt0920458/?ref_=fn_tt_tt_1
Meiert Avis,41,Kip Pardue,922,Undiscovered ,2599,4,http://www.imdb.com/title/tt0434424/?ref_=fn_tt_tt_1
Julian Jarrold,91,Warren Clarke,10000,Red Riding: In the Year of Our Lord 1974 ,9305,0,http://www.imdb.com/title/tt1259574/?ref_=fn_tt_tt_1
André Téchiné,66,Ronit Elkabetz,963,The Girl on the Train ,1219,1,http://www.imdb.com/title/tt1183672/?ref_=fn_tt_tt_1
Emily Young,19,Erika Christensen,4000,Veronika Decides to Die ,10100,1,http://www.imdb.com/title/tt1068678/?ref_=fn_tt_tt_1
Peter Faiman,35,Linda Kozlowski,442,Crocodile Dundee ,74743,1,http://www.imdb.com/title/tt0090555/?ref_=fn_tt_tt_1
Martyn Pick,19,Steven Waddington,722,"Ultramarines: A Warhammer 40,000 Movie ",4990,0,http://www.imdb.com/title/tt1679332/?ref_=fn_tt_tt_1
Roland Suso Richter,33,Sarah Polley,1000,The I Inside ,9296,2,http://www.imdb.com/title/tt0325596/?ref_=fn_tt_tt_1
Jeremy Sims,17,Gyton Grantley,174,Beneath Hill 60 ,5741,12,http://www.imdb.com/title/tt1418646/?ref_=fn_tt_tt_1
Maïwenn,163,Maïwenn,580,Polisse ,10796,1,http://www.imdb.com/title/tt1661420/?ref_=fn_tt_tt_1
Joby Harold,133,Fisher Stevens,4000,Awake ,63216,0,http://www.imdb.com/title/tt0211933/?ref_=fn_tt_tt_1
,47,James Arnold Taylor,668,Star Wars: The Clone Wars             ,28190,0,http://www.imdb.com/title/tt0458290/?ref_=fn_tt_tt_1
Ekachai Uekrongtham,66,Mike Dopud,2000,Skin Trade ,5228,5,http://www.imdb.com/title/tt1641841/?ref_=fn_tt_tt_1
Joel Schumacher,147,Jami Gertz,967,The Lost Boys ,92924,3,http://www.imdb.com/title/tt0093437/?ref_=fn_tt_tt_1
Scott Cooper,273,Beth Grant,12000,Crazy Heart ,67760,0,http://www.imdb.com/title/tt1263670/?ref_=fn_tt_tt_1
Mark Rydell,32,Frederic Forrest,563,The Rose ,6142,0,http://www.imdb.com/title/tt0079826/?ref_=fn_tt_tt_1
David E. Talbert,52,Christina Milian,3000,Baggage Claim ,7098,9,http://www.imdb.com/title/tt1171222/?ref_=fn_tt_tt_1
Roger Vadim,107,David Hemmings,949,Barbarella ,24436,2,http://www.imdb.com/title/tt0062711/?ref_=fn_tt_tt_1
Nils Gaup,6,Louisa Milwood-Haigh,35,Shipwrecked ,1984,2,http://www.imdb.com/title/tt0099816/?ref_=fn_tt_tt_1
Alexander Payne,175,Chris Klein,2000,Election ,73640,0,http://www.imdb.com/title/tt0126886/?ref_=fn_tt_tt_1
Mira Nair,167,Brooke Smith,579,The Namesake ,16530,1,http://www.imdb.com/title/tt0433416/?ref_=fn_tt_tt_1
Ari Sandel,132,Romany Malco,35000,The DUFF ,51326,4,http://www.imdb.com/title/tt1666801/?ref_=fn_tt_tt_1
Vondie Curtis-Hall,66,Max Beesley,736,Glitter ,19412,1,http://www.imdb.com/title/tt0118589/?ref_=fn_tt_tt_1
