director_name,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,genres,movie_title,num_user_for_reviews,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score
John R. Leonetti,40,342,663,Action|Adventure|Fantasy|Sci-Fi|Thriller,Mortal Kombat: Annihilation ,256,English,USA,PG-13,30000000,349,3.7
Tom Hanks,15000,392,15000,Comedy|Drama|Romance,Larry Crowne ,184,English,USA,PG-13,30000000,839,6.1
Kimberly Peirce,108,534,17000,Drama|Fantasy|Horror,Carrie ,371,English,USA,R,30000000,2000,5.9
Liz Friedlander,3,439,1000,Drama|Music,Take the Lead ,127,English,USA,PG-13,30000000,712,6.7
,,576,680,Comedy|Drama,Entourage             ,145,English,USA,TV-MA,,638,8.5
Phil Joanou,21,581,12000,Crime|Drama|Sport,Gridiron Gang ,134,English,USA,PG-13,30000000,2000,6.9
Sam Weisman,39,506,1000,Comedy|Crime,What's the Worst That Could Happen? ,84,English,USA,PG-13,45000000,611,5.5
Shane Acker,30,265,940,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,9 ,245,English,USA,PG-13,30000000,271,7.1
Steven Soderbergh,0,273,17000,Crime|Drama|Thriller,Side Effects ,274,English,USA,R,30000000,681,7.1
Martha Coolidge,57,438,1000,Comedy|Family|Romance,The Prince and Me ,154,English,USA,PG,,530,5.9
Stephen J. Anderson,15,69,759,Adventure|Animation|Comedy|Family|Musical,Winnie the Pooh ,55,English,USA,G,30000000,73,7.3
Troy Miller,14,244,577,Comedy,Dumb and Dumberer: When Harry Met Lloyd ,267,English,USA,PG-13,19000000,291,3.4
Warren Beatty,631,95,631,Comedy|Drama|Romance,Bulworth ,227,English,USA,R,30000000,199,6.8
Tate Taylor,150,400,521,Biography|Drama|Music,Get on Up ,104,English,USA,PG-13,30000000,491,6.9
Carl Franklin,73,433,11000,Drama,One True Thing ,112,English,USA,R,30000000,882,7.0
Brett Leonard,32,650,18000,Action|Crime|Sci-Fi|Thriller,Virtuosity ,88,English,USA,R,30000000,723,5.5
Ivan Reitman,425,560,973,Comedy|Romance|Sci-Fi,My Super Ex-Girlfriend ,203,English,USA,PG-13,30000000,776,5.1
Scott Derrickson,301,897,2000,Horror|Mystery|Thriller,Deliver Us from Evil ,201,English,USA,R,30000000,1000,6.2
Alister Grierson,24,653,2000,Adventure|Drama|Thriller,Sanctum ,215,English,USA,R,30000000,942,5.9
Nick Hurran,34,642,1000,Comedy|Drama|Romance,Little Black Book ,116,English,USA,PG-13,35000000,681,5.2
Nicholas Stoller,89,372,2000,Comedy|Romance,The Five-Year Engagement ,141,English,USA,R,30000000,401,6.2
Charles Stone III,30,635,1000,Comedy|Drama|Romance|Sport,Mr 3000 ,63,English,USA,PG-13,30000000,962,5.5
Paul Haggis,549,343,10000,Crime|Drama|Romance|Thriller,The Next Three Days ,237,English,USA,PG-13,35000000,796,7.4
Kurt Wimmer,110,277,14000,Action|Horror|Sci-Fi|Thriller,Ultraviolet ,830,English,USA,PG-13,30000000,829,4.4
Jean-François Richet,25,431,954,Action|Crime|Drama|Thriller,Assault on Precinct 13 ,220,English,USA,R,20000000,739,6.3
Antoine Fuqua,845,488,978,Action|Crime|Thriller,The Replacement Killers ,167,English,USA,R,30000000,968,6.1
Kevin Hooks,114,537,4000,Action|Adventure|Crime|Drama|Romance,Fled ,29,English,USA,R,25000000,561,5.3
Ellory Elkayem,11,762,19000,Action|Comedy|Horror,Eight Legged Freaks ,291,English,USA,PG-13,30000000,953,5.4
Edward Zwick,380,2000,15000,Comedy|Drama|Romance,Love & Other Drugs ,215,English,USA,R,30000000,11000,6.7
Jon Avnet,50,494,14000,Crime|Drama|Mystery|Thriller,88 Minutes ,262,English,USA,R,30000000,975,5.9
Niki Caro,51,874,10000,Drama,North Country ,214,English,USA,R,35000000,9000,7.3
Howard Deutch,41,900,13000,Comedy|Crime|Thriller,The Whole Ten Yards ,112,English,USA,PG-13,40000000,2000,5.5
Vincenzo Natali,165,559,900,Drama|Horror|Sci-Fi,Splice ,354,English,Canada,R,26000000,686,5.8
Willard Huyck,8,322,1000,Action|Adventure|Comedy|Romance|Sci-Fi,Howard the Duck ,269,English,USA,PG,35000000,692,4.6
Gavin O'Connor,149,798,1000,Crime|Drama|Thriller,Pride and Glory ,132,English,USA,R,30000000,807,6.7
Bruce Hunt,2,258,849,Adventure|Horror|Thriller,The Cave ,262,English,USA,PG-13,30000000,787,5.1
Rob Reiner,0,130,372,Comedy|Romance,Alex & Emma ,105,English,USA,PG-13,30000000,206,5.6
Paul McGuigan,118,40,489,Drama|Mystery|Romance|Thriller,Wicker Park ,298,English,USA,PG-13,30000000,93,7.0
Craig Gillespie,44,133,596,Comedy|Horror,Fright Night ,242,English,USA,R,30000000,343,6.4
Terrence Malick,0,855,23000,Biography|Drama|History|Romance,The New World ,671,English,USA,PG-13,30000000,909,6.7
Chris Roberts,38,362,811,Action|Adventure|Sci-Fi,Wing Commander ,338,English,USA,PG-13,30000000,586,4.1
Neil Jordan,277,210,21000,Drama|Fantasy|Thriller,In Dreams ,148,English,USA,R,30000000,767,5.5
James Wong,70,99,473,Action|Adventure|Fantasy|Sci-Fi|Thriller,Dragonball: Evolution ,524,English,USA,PG,45000000,315,2.7
Jee-woon Kim,419,165,971,Action|Crime|Thriller,The Last Stand ,258,English,USA,R,45000000,236,6.4
Nick Hamm,6,353,22000,Drama|Horror|Sci-Fi|Thriller,Godsend ,191,English,USA,PG-13,25000000,829,4.8
Andy Cadiff,3,120,448,Comedy|Romance,Chasing Liberty ,129,English,USA,PG-13,23000000,143,6.1
Mike Disa,6,843,1000,Animation|Comedy|Family,Hoodwinked Too! Hood vs. Evil ,38,English,USA,PG,30000000,857,4.8
Lasse Hallström,529,83,11000,Drama,An Unfinished Life ,152,English,USA,PG-13,30000000,329,7.0
Terry Gilliam,0,645,10000,Adventure|Fantasy|Mystery,The Imaginarium of Doctor Parnassus ,210,English,UK,PG-13,40000000,785,6.8
Richard J. Lewis,12,329,891,Comedy|Drama,Barney's Version ,87,English,Canada,R,,460,7.3
,,51,147,Crime|Drama|Thriller,Trapped             ,19,Icelandic,Iceland,,,63,8.2
Brad Furman,65,681,3000,Crime|Thriller,Runner Runner ,95,English,USA,R,30000000,697,5.6
Peter Howitt,29,91,779,Action|Crime|Drama|Thriller,Antitrust ,221,English,USA,PG-13,30000000,240,6.1
Edward Zwick,380,2000,18000,Drama|History|War,Glory ,365,English,USA,R,18000000,11000,7.9
Sergio Leone,0,642,22000,Crime|Drama,Once Upon a Time in America ,495,English,Italy,R,30000000,683,8.4
Niels Arden Oplev,76,174,3000,Action|Crime|Drama|Thriller,Dead Man Down ,127,English,USA,R,30000000,678,6.5
Michael Radford,53,548,14000,Drama|Romance,The Merchant of Venice ,161,English,USA,R,18000000,871,7.1
Neil Jordan,277,345,2000,Action|Crime|Drama|Romance|Thriller,The Good Thief ,103,English,France,R,25000000,378,6.6
Steve Boyum,9,826,17000,Action|Drama|Romance|Sport,Supercross ,38,English,USA,PG-13,,2000,4.0
Chris Noonan,108,135,876,Biography|Drama|Romance,Miss Potter ,142,English,UK,PG,30000000,142,7.0
Kaige Chen,45,107,489,Action|Drama|Fantasy,The Promise ,132,Mandarin,China,PG-13,60000000,181,5.6
