director_name,num_critic_for_reviews,actor_3_facebook_likes,gross,actor_1_name,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Eric Darnell,167,436,179982968,Bernie Mac,3285,0,africa|madagascar|new york city|sequel|zoo,119,English,PG,150000000,851,6.7,0
Shawn Levy,185,1000,177243721,Robin Williams,54039,2,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,209,English,PG,150000000,3000,5.9,2000
Gavin Hood,350,2000,179883016,Hugh Jackman,40054,0,army|civil war|claw fight|commando|wolverine the character,641,English,PG-13,150000000,16000,6.7,0
Lana Wachowski,245,233,139259759,Essie Davis,1062,0,battle|epic|fight|future|machine,2121,English,R,150000000,269,6.7,0
Chris Buck,406,490,400736600,Josh Gad,2582,0,magic|sister love|sister sister relationship|snow|snowman,904,English,PG,150000000,523,7.6,58000
Lana Wachowski,275,30,281492479,Steve Bastoni,534,0,car motorcycle chase|one against many|oracle|prophecy|stylized violence,2789,English,R,150000000,198,7.2,0
Alan Taylor,486,12000,206360018,Chris Hemsworth,59803,3,arrest|portal|thor|warrior|weapon,532,English,PG-13,170000000,20000,7.1,63000
George Miller,739,943,153629485,Tom Hardy,40025,0,australia|desert|escape|on the run|post apocalypse,1588,English,R,150000000,9000,8.1,191000
Ron Howard,298,294,133375846,Tom Hanks,16948,2,conclave|illuminati|murder|reference to bernini|reference to raphael,435,English,PG-13,150000000,745,6.7,0
Kenneth Branagh,516,12000,181015141,Chris Hemsworth,60059,1,battle|marvel cinematic universe|scientist|thor|throne,738,English,PG-13,150000000,20000,7.0,63000
Byron Howard,225,699,114053579,Chloë Grace Moretz,20007,0,cat|dog|hamster|new york city|superpower,178,English,PG,150000000,759,6.9,0
Hoyt Yeatman,145,182,119420252,Kelli Garner,2217,0,fbi director|guinea pig|household appliance|secret agent|talking mouse,90,English,PG,150000000,607,5.1,0
Jonathan Liebesman,310,502,83640426,Liam Neeson,16184,0,ares|hades|titan|underworld|zeus,253,English,PG-13,150000000,897,5.8,19000
Tim Burton,526,16000,79711678,Johnny Depp,80849,7,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,479,English,PG-13,100000000,17000,6.2,82000
Christopher McQuarrie,465,641,195000874,Tom Cruise,21840,0,capture|computer hacker|mission|rogue agent|spy,440,English,PG-13,150000000,10000,7.4,47000
Joe Johnston,357,162,61937495,Anthony Hopkins,13071,0,asylum|death|full moon|transformation|werewolf,432,English,R,150000000,490,5.8,0
David Yates,248,103,124051759,Christoph Waltz,21175,2,africa|capture|jungle|male objectification|tarzan,239,English,PG-13,180000000,10000,6.6,29000
Steve Hickner,194,826,126597121,Matthew Broderick,6576,0,bee|dream sequence|egg|scatological humor|squashed bug,206,English,PG,150000000,852,6.2,0
Jennifer Yuh Nelson,284,15,165230261,Angelina Jolie Pitt,21015,0,china|kung fu|panda|peacock|tigress,209,English,PG,150000000,10000,7.3,20000
M. Night Shyamalan,280,346,131564731,Seychelle Gabriel,2857,0,avatar|fire|kingdom|tribe|water,1382,English,PG,150000000,756,4.2,18000
J.J. Abrams,310,979,133382309,Philip Seymour Hoffman,34817,0,arms dealer|fictional government agency|mission|rescue|vatican,871,English,PG-13,150000000,10000,6.9,0
Roland Emmerich,339,256,73103784,Channing Tatum,18204,2,black u.s. president|president|secret service|tour|white house,434,English,PG-13,150000000,551,6.4,33000
Simon Wells,132,433,21379315,Elisabeth Harnois,2652,0,boy|martian|rescue|robot|sexism,112,English,PG,150000000,562,5.4,0
David Bowers,135,586,64459316,Hugh Jackman,35161,0,boat|frog|rat|sewer|toad,122,English,PG,149000000,14000,6.7,0
Joe Wright,256,394,34964818,Hugh Jackman,21393,4,1940s|child hero|fantasy world|orphan|reference to peter pan,186,English,PG,150000000,548,5.8,24000
Rob Minkoff,196,517,111505642,Ty Burrell,5810,2,dog|father son relationship|inventor|talking dog|time travel,130,English,PG,145000000,1000,6.9,11000
Wolfgang Petersen,220,844,133228348,Brad Pitt,17944,2,greek|mythology|prince|trojan|troy,1694,English,R,175000000,5000,7.2,0
Eric Darnell,211,436,216366733,Jada Pinkett Smith,2444,0,animal|circus|island name in title|lemur|penguin,154,English,PG,145000000,770,6.9,17000
Lee Tamahori,264,746,160201106,Toby Stephens,2538,0,catfight|clinic|colonel|diamond|patricide,1185,English,PG-13,142000000,766,6.1,0
Paul Feig,464,322,118099659,Ed Begley Jr.,2097,4,ghost|ghostbuster|ghostbusters|male objectification|reboot,1211,English,PG-13,144000000,370,5.5,62000
Michael Bay,167,537,201573391,Bruce Willis,26029,0,asteroid|astronaut|bomb|meteorite|outer space,1171,English,PG-13,140000000,12000,6.6,11000
Barry Sonnenfeld,208,826,190418803,Will Smith,14823,2,alien|lingerie|lingerie model|m.i.b.|pug,606,English,PG-13,140000000,3000,6.1,2000
Robert Zemeckis,287,964,82161969,Robin Wright,31523,1,creature|demon|king|reward|warrior,505,English,PG-13,150000000,12000,6.3,3000
Alessandro Carloni,210,967,143523463,J.K. Simmons,36095,0,china|kung fu|panda|pig|village,145,English,PG,145000000,11000,7.2,24000
Brad Bird,432,690,209364921,Tom Cruise,21768,3,dubai|kremlin|race against time|russian|terrorist,512,English,PG-13,145000000,10000,7.4,35000
Peter Ramsey,256,161,103400692,Hugh Jackman,20645,0,belief|box office hit|children|new york city|tooth,174,English,PG,145000000,315,7.3,25000
Dean Parisot,135,233,110332737,John Michael Higgins,1997,1,animal abuse|ceo|heist|suburb|unemployment,258,English,PG-13,100000000,550,6.1,2000
Edward Zwick,190,445,111110575,Tom Cruise,11945,1,captain|emperor|honor|japan|samurai,928,English,R,140000000,956,7.7,0
Ridley Scott,314,748,65007045,Christian Bale,26490,0,egypt|exodus|moses|pharaoh|plague,657,English,PG-13,140000000,893,6.1,51000
J.J. Abrams,518,981,257704099,Chris Hemsworth,39284,0,box office hit|future|lifted by the throat|star trek|vulcan,1559,English,PG-13,150000000,12000,8.0,19000
Sam Raimi,291,4000,403706375,J.K. Simmons,40484,0,evil|goblin|spider|spider man|superhero,2012,English,PG-13,139000000,11000,7.3,5000
Dean DeBlois,292,953,176997107,Gerard Butler,23378,5,dragon|father son relationship|husband wife relationship|mother son relationship|viking,343,English,PG,145000000,3000,7.9,46000
Alex Proyas,184,284,31141074,Gerard Butler,19769,4,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,273,English,PG-13,140000000,934,5.5,24000
Rob Cohen,145,653,31704416,Sam Shepard,2705,0,artificial intelligence|box office flop|fighter jet|navy|pilot,388,English,PG-13,135000000,780,5.0,0
Zack Snyder,451,413,107503316,Matt Frewer,2530,1,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity,1229,English,R,130000000,745,7.7,18000
Richard Donner,141,91,129734803,Jet Li,6171,2,kung fu|lapd|martial arts|private investigator|triad,287,English,R,140000000,808,6.6,0
Ang Lee,267,258,132122995,Kevin Rankin,1814,0,1980s|c 130 hercules|monster|panzer|san francisco california,1445,English,PG-13,137000000,300,5.7,0
Jon M. Chu,351,934,122512052,Channing Tatum,31958,6,general|gi joe|martial arts|ninja|president,288,English,PG-13,130000000,12000,5.8,42000
Breck Eisner,163,848,68642452,Matthew McConaughey,13073,3,beach|civil war|desert|dictator|ship,463,English,PG-13,130000000,973,6.0,0
Hironobu Sakaguchi,166,422,32131830,Steve Buscemi,15015,1,general|military|scientist|soldier|year 2065,788,English,PG-13,137000000,2000,6.4,0
Joe Johnston,510,2000,176636816,Chris Evans,19761,0,arctic|captain america|scientist|tesseract|war bond,679,English,PG-13,140000000,3000,6.9,46000
Michael Apted,197,244,126930660,Colin Salmon,2037,2,british|oil|scientist|terrorist|tycoon,683,English,PG-13,135000000,536,6.4,2000
Peter Weir,244,168,93926386,James D'Arcy,1205,1,1800s|napoleonic wars|pursuit|royal navy|ship,684,English,PG-13,150000000,172,7.4,0
Bill Condon,322,12000,292298923,Robert Pattinson,59177,3,battle|friend|super strength|vampire|vision,329,English,PG-13,120000000,17000,5.5,65000
George Miller,156,988,63992328,Robin Williams,62644,0,3d|antarctica|krill|penguin|sequel,79,English,PG,135000000,11000,5.9,0
Louis Leterrier,354,882,134518390,Ty Burrell,5811,0,antidote|cure|hulk|marvel cinematic universe|opening action scene,643,English,PG-13,150000000,1000,6.8,0
,21,184,,Don Johnson,1687,2,cult tv|detective|drugs|police|undercover,74,English,TV-14,1500000,321,7.5,0
Steven Spielberg,252,358,52792307,Mark Rylance,1950,0,cannibal|evil brother|giant|london england|queen,106,English,PG,140000000,400,6.8,27000
Alejandro G. Iñárritu,556,733,183635922,Leonardo DiCaprio,57108,0,bear attack|cauterizing a wound|native american|revenge|survival,1188,English,R,135000000,27000,8.1,190000
David Soren,166,463,83024900,Ryan Reynolds,17416,0,accident|freak accident|race|snail|underdog,90,English,PG,135000000,881,6.5,13000
Gore Verbinski,362,939,123207194,Johnny Depp,43291,0,chameleon|lizard|sheriff|water|western town,337,English,PG,135000000,1000,7.2,26000
Eric Darnell,153,179,83348920,Benedict Cumberbatch,19963,0,little girl|park|spy|statue of liberty|television van,118,English,PG,132000000,411,6.7,11000
Paul Greengrass,329,883,227137090,Matt Damon,17369,0,action hero|cia|dark past|flashback|memory,820,English,PG-13,110000000,897,8.1,0
Mark Osborne,266,562,215395021,Angelina Jolie Pitt,12754,0,kung fu|kung fu master|master|panda|snow leopard,360,English,PG,130000000,967,7.6,6000
Peyton Reed,517,680,180191634,Judy Greer,5730,6,ant|chinatown san francisco|heist|sabotage|vault,549,English,PG-13,130000000,2000,7.4,61000
Francis Lawrence,502,523,424645577,Jennifer Lawrence,49355,1,president|snow|television|tour|uprising,706,English,PG-13,130000000,14000,7.6,82000
Bill Condon,322,12000,292298923,Robert Pattinson,59177,3,battle|friend|super strength|vampire|vision,329,English,PG-13,120000000,17000,5.5,65000
Tim Johnson,165,183,177343675,Jim Parsons,17883,0,alien friendship|alien invasion|australia|flying car|mother daughter relationship,214,English,PG,135000000,523,6.7,26000
Steven Spielberg,401,807,234277056,Tom Cruise,12758,0,alien|fight|storm|survival|tripod,2741,English,PG-13,132000000,1000,6.5,0
Michael Bay,94,877,138396624,Will Smith,12954,1,cuba|dea|drugs|money|undercover,511,English,R,130000000,898,6.6,0
Chris Miller,246,397,149234747,Salma Hayek,5046,0,betrayal|egg|friend|goose|hero,137,English,PG,130000000,442,6.7,16000
Phillip Noyce,330,282,118311368,Angelina Jolie Pitt,12406,1,cia|on the run|russian|russian spy|strong female lead,514,English,PG-13,110000000,702,6.4,23000
Darren Aronofsky,434,8000,101160529,Anthony Hopkins,32355,2,ark|flood|noah's ark|water|wrath of god,1240,English,PG-13,125000000,9000,5.8,71000
Steven Spielberg,440,845,77564037,Toby Jones,4631,1,captain|morocco|ship|tintin|treasure,447,English,PG,135000000,871,7.4,44000
Alfonso Cuarón,274,10000,249358727,Daniel Radcliffe,33284,3,magic|muggle|serial killer|traitor|wizard,1504,English,PG,130000000,10000,7.8,11000
Baz Luhrmann,245,165,49551662,Essie Davis,921,0,australia|cattle|darwin|drover|japanese,450,English,PG-13,130000000,284,6.6,0
M. Night Shyamalan,349,894,60522097,Will Smith,14168,0,box office flop|father son team|fear|race against time|real life father and son playing father and son,744,English,PG-13,130000000,943,4.9,37000
Eric Leighton,145,388,137748063,Alfre Woodard,2945,1,egg|iguanodon|lemur|meteor|nesting grounds,241,English,PG,127500000,558,6.5,0
Matt Birch,1,159,,Rupert Grint,11036,1,,2,English,,,570,7.5,40
Shawn Levy,154,1000,113733726,Robin Williams,53587,7,museum|museum of natural history manhattan new york city|night watchman|star died before release|tablet,126,English,PG,127000000,3000,6.2,11000
Tom McGrath,233,8000,148337537,J.K. Simmons,46120,3,battle|city|planet|prison|superhero,187,English,PG,130000000,11000,7.3,13000
Chris Columbus,258,645,317557891,Daniel Radcliffe,13191,4,based on novel|birthday|evil wizard|quidditch|wizard,1571,English,PG,125000000,687,7.5,16000
Robert Schwentke,208,1000,33592415,Ryan Reynolds,31549,2,drug dealer|gold|partner|police|undead,210,English,PG-13,130000000,12000,5.6,20000
Hideaki Anno,1,12,,Mark Chinnery,699,0,blood|godzilla|monster|sequel,13,Japanese,,,106,8.2,0
Gore Verbinski,271,1000,305388685,Johnny Depp,48184,3,caribbean|curse|governor|pirate|undead,2113,English,PG-13,140000000,5000,8.1,10000
Matt Birch,4,1000,,Rupert Grint,14719,1,,2,English,,,2000,6.4,25
Francis Lawrence,403,14000,337103873,Jennifer Lawrence,81385,1,based on young adult novel|manipulation|rebellion|symbol|uprising,591,English,PG-13,125000000,22000,6.7,52000
Ron Howard,294,362,217536138,Tom Hanks,16008,2,based on supposedly true story|holy grail|mary magdalene|opus dei|secret,1966,English,PG-13,125000000,574,6.6,0
Carlos Saldanha,159,56,131536019,Miguel Ferrer,1031,0,amazon|bird|father in law|jungle|no opening credits,99,English,G,103000000,237,6.4,0
Bryan Singer,289,346,214948780,Hugh Jackman,20952,4,mutant|prison|professor|school|x men,1055,English,PG-13,110000000,505,7.5,0
Justin Lin,342,12000,209805005,Paul Walker,55345,3,drug lord|drugs|federal agent|heist|police,366,English,PG-13,125000000,14000,7.3,54000
Guy Ritchie,382,154,186830669,Robert Downey Jr.,22403,2,factory|gypsy|investigation|sherlock holmes|train,412,English,PG-13,125000000,979,7.5,39000
Louis Leterrier,344,850,163192114,Liam Neeson,18003,0,famous line|hand to hand combat|kraken|rape|zeus,637,English,PG-13,125000000,1000,5.8,15000
Paul Verhoeven,196,217,119412921,Ronny Cox,1441,0,ambiguous ending|false memory|implanted memory|memory|space colony,391,English,R,65000000,308,7.5,0
John McTiernan,85,241,32694788,Tony Curran,1815,1,arab|battle|combat|viking|warrior,546,English,R,85000000,372,6.6,0
Tony Gilroy,436,602,113165635,Jeremy Renner,12175,0,assassin|cia|drone|pill|wolf,504,English,PG-13,125000000,826,6.7,31000
Joel Schumacher,183,409,107285004,Michael Gough,2699,3,butler|critically bashed|cure|freeze|gotham,1018,English,PG-13,125000000,890,3.7,0
Ron Howard,175,636,260031035,Clint Howard,4146,0,box office hit|christmas|materialism|public humiliation|snowflake,482,English,PG,123000000,722,6.0,0
Roland Emmerich,239,812,186739919,Jake Gyllenhaal,20553,0,climate|end of the world|global warming|natural disaster|weather,1159,English,PG-13,125000000,2000,6.4,19000
John Woo,237,653,215397307,Tom Cruise,11930,0,cure|mission|terrorist|thief|virus,1426,English,PG-13,125000000,794,6.1,0
Wolfgang Petersen,231,461,182618434,Karen Allen,2684,0,death|fish|fishing|sea|storm,779,English,PG-13,140000000,638,6.4,0
Tim Story,262,702,131920333,Chris Evans,15302,3,fantastic four|space|strong female character|strong female lead|superheroine,436,English,PG,130000000,2000,5.6,0
Ang Lee,552,341,124976634,Suraj Sharma,2121,0,animal|faith|india|journey|tiger,755,English,PG,120000000,358,8.0,122000
Mark Steven Johnson,276,402,115802596,Nicolas Cage,14017,1,blackheart|devil|father|ghost|mephistopheles,681,English,PG-13,110000000,701,5.2,0
Paul Greengrass,267,265,108521835,Matt Damon,13752,0,black ops|chase|cia|cia agent|repeated scene,297,English,PG-13,120000000,365,7.1,31000
McG,102,1000,100685880,Demi Moore,4046,0,fbi|murder|ring|witness protection|witness protection program,554,English,PG-13,120000000,1000,4.8,0
Ridley Scott,775,641,126464904,Michael Fassbender,24098,0,cave painting|medical scanner|planet|pregnant with an alien fetus|suspended animation,2326,English,R,130000000,9000,7.0,97000
Rob Minkoff,71,537,64736114,Nathan Lane,2682,0,anthropomorphic mouse|falcon|marshmallow|second part|soccer,69,English,PG,120000000,799,5.4,459
Neill Blomkamp,476,1000,93050117,Matt Damon,17689,0,christ figure|class differences|messiah|saviour|social commentary,814,English,R,115000000,2000,6.6,61000
David Twohy,207,567,57637485,Vin Diesel,17159,0,bounty hunter|escape|necromonger|planet|warrior,666,English,PG-13,105000000,850,6.7,0
José Padilha,492,1000,58607007,Gary Oldman,14161,0,law enforcement|police|robocop|robot|technology,630,English,PG-13,100000000,2000,6.2,60000
Lana Wachowski,284,87,43929341,Scott Porter,902,0,based on anime|based on cartoon|gadget car|racer|speed,414,English,PG,120000000,107,6.1,0
James L. Brooks,168,157,30212620,Shelley Conn,993,4,embarrassment|falling in love|love|love triangle|revelation,196,English,PG-13,120000000,216,5.3,0
James Mangold,283,877,76418654,Tom Cruise,12731,0,chase|fbi|garage|spy|surveillance,348,English,PG-13,117000000,973,6.3,11000
Joseph Kosinski,539,1000,89021735,Morgan Freeman,22004,0,cabin in the woods|drone|flying through a thunderstorm|post apocalypse|sex in a pool,892,English,PG-13,120000000,10000,7.0,71000
George Lucas,359,4000,380262555,Natalie Portman,44042,4,elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision,3286,English,PG-13,113000000,16000,7.6,10000
George Lucas,284,4000,310675583,Natalie Portman,42990,3,martial arts|murdered before giving protagonist information|part computer animation|prequel|prequel to cult film,3516,English,PG,115000000,16000,6.7,0
Pete Docter,250,773,289907418,Steve Buscemi,15013,0,friend|little girl|monster|rival|scream,593,English,G,115000000,1000,8.1,0
James Mangold,440,929,132550960,Hugh Jackman,23755,1,healing power|marvel comics|mecha|regeneration|self healing,533,English,PG-13,120000000,992,6.7,68000
George Lucas,320,1000,474544677,Natalie Portman,37723,1,alien|character says i have a bad feeling about this|hand to hand combat|seven word title|wilhelm scream,3597,English,PG,115000000,14000,6.5,13000
Kirk De Micco,257,12000,187165546,Ryan Reynolds,43286,3,cave|caveman|journey|strict father|survival,195,English,PG,135000000,15000,7.3,28000
Frédéric Forestier,33,141,,Alain Delon,1609,1,1st century b.c.|lightsaber|local blockbuster|magical potion|potion,36,French,,78000000,276,5.1,291
John Woo,152,617,40911830,Nicolas Cage,15046,0,code|duty|steel helmet|u.s. marine|u.s. soldier,454,English,R,115000000,836,6.0,0
Cedric Nicolas-Troyan,231,9000,47952020,Chris Hemsworth,46719,2,based on fairy tale|dark fantasy|fairy tale|second part|sequel,134,English,PG-13,115000000,11000,6.1,16000
Jonathan Liebesman,348,429,190871240,Noel Fisher,2690,0,18 wheeler|mutant|ninja|sewer|turtle,491,English,PG-13,125000000,809,5.9,62000
Alfonso Cuarón,738,13,274084951,Phaldut Sharma,87,0,box office hit|long take|sole survivor|space|space station,1885,English,PG-13,100000000,23,7.8,147000
Roger Donaldson,93,268,67155742,Jamie Renée Smith,1569,1,ash|escape|lava|mayor|volcano,277,English,PG-13,116000000,293,5.8,0
Dave Green,181,799,81638674,Stephen Amell,8306,,based on comic book|brother brother relationship|rat|sequel|turtle,115,English,PG-13,135000000,833,6.3,12000
