num_critic_for_reviews,director_facebook_likes,movie_title,num_voted_users,facenumber_in_poster,actor_2_facebook_likes
256,456,Pan ,39956,4,548
203,77,Epic ,85833,2,151
321,207,The Tourist ,176598,0,11000
174,0,End of Days ,89509,0,1000
166,380,Blood Diamond ,400292,0,3000
606,17000,The Wolf of Wall Street ,780588,3,11000
144,541,Batman Forever ,190786,4,710
192,719,Starship Troopers ,221521,0,475
511,670,Cloud Atlas ,284825,5,5000
188,0,Legend of the Guardians: The Owls of Ga'Hoole ,65785,1,653
212,26,Catwoman ,87451,0,825
245,420,Hercules ,115687,0,3000
127,63,Treasure Planet ,71527,0,770
167,52,Land of the Lost ,52029,1,735
320,385,The Expendables 3 ,127258,15,13000
163,19,Point Break ,33953,1,897
78,6,Son of the Mask ,40751,0,294
289,2000,In the Heart of the Sea ,71782,0,911
66,31,The Adventures of Pluto Nash ,20295,1,695
266,521,Green Zone ,110364,1,537
208,20,The Peanuts Movie ,27918,0,42
97,342,The Spanish Prisoner ,18697,0,508
202,208,The Mummy Returns ,248045,5,3000
233,17000,Gangs of New York ,314033,3,14000
136,611,The Flowers of War ,38690,2,196
154,9,Surf's Up ,54077,0,11000
169,0,The Stepford Wives ,49739,1,2000
200,0,Black Hawk Down ,292022,0,820
255,116,The Campaign ,106790,0,331
173,0,The Fifth Element ,343274,2,13000
221,127,Sex and the City 2 ,59581,4,740
82,10,The Road to El Dorado ,58300,1,919
233,20,Ice Age: Continental Drift ,145321,0,1000
343,0,Cinderella ,103737,1,520
308,0,The Lovely Bones ,125109,1,560
301,475,Finding Nemo ,692482,0,939
328,0,The Lord of the Rings: The Return of the King ,1215718,2,857
294,0,The Lord of the Rings: The Two Towers ,1100446,1,5000
175,44,Seventh Son ,54501,4,3000
199,165,Lara Croft: Tomb Raider ,157016,1,509
355,0,Transcendence ,172707,1,11000
198,394,Jurassic Park III ,219501,0,595
529,81,Rise of the Planet of the Apes ,403836,0,1000
198,70,The Spiderwick Chronicles ,68935,0,419
412,212,A Good Day to Die Hard ,165618,2,787
106,102,The Alamo ,16832,0,973
283,663,The Incredibles ,479166,0,723
61,212,Cutthroat Island ,21102,3,903
217,0,Percy Jackson & the Olympians: The Lightning Thief ,141179,0,3000
175,188,Men in Black ,403014,0,826
191,487,Toy Story 2 ,385871,2,1000
316,12000,Unstoppable ,149947,1,3000
127,420,Rush Hour 2 ,160440,2,165
185,0,What Lies Beneath ,98403,0,627
191,97,Cloudy with a Chance of Meatballs ,152601,1,526
188,107,Ice Age: Dawn of the Dinosaurs ,166791,0,256
362,0,The Secret Life of Walter Mitty ,236421,1,806
181,368,Charlie's Angels ,145350,0,1000
352,17000,The Departed ,873649,0,13000
143,7,Mulan ,171792,0,500
308,0,Tropic Thunder ,307539,3,1000
517,21000,The Girl with the Dragon Tattoo ,330152,1,1000
148,323,Die Hard with a Vengeance ,299258,1,559
415,0,Sherlock Holmes ,477300,3,979
1,335,Ben-Hur ,57,2,745
146,21,Atlantis: The Lost Empire ,72591,0,802
70,12,Alvin and the Chipmunks: The Road Chip ,9418,0,1000
269,0,Valkyrie ,183247,0,1000
198,221,You Don't Mess with the Zohan ,156348,0,600
253,0,Pixels ,89770,0,11000
281,14000,A.I. Artificial Intelligence ,238747,0,882
122,50,The Haunted Mansion ,32049,0,569
159,0,Contact ,200556,2,1000
180,719,Hollow Man ,101834,0,624
227,521,The Interpreter ,86152,1,249
