director_name,gross,movie_title,num_voted_users,actor_3_name,num_user_for_reviews,language,content_rating,imdb_score,aspect_ratio,movie_facebook_likes
Stanley Kubrick,,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,342585,Keenan Wynn,839,English,PG,8.5,1.66,18000
Carlos Carrera,5709616,El crimen del padre Amaro ,11088,Pedro Armendáriz Jr.,110,Spanish,R,6.8,1.85,544
Benh Zeitlin,12784397,Beasts of the Southern Wild ,70336,Dwight Henry,269,English,PG-13,7.3,1.85,31000
J. Lee Thompson,,Battle for the Planet of the Apes ,22764,Claude Akins,91,English,G,5.5,2.35,511
Maggie Greenwald,3050934,Songcatcher ,2794,Jane Adams,78,English,PG-13,7.3,1.85,0
Vera Farmiga,841206,Higher Ground ,2603,Michael Chernus,34,English,R,6.3,1.85,952
Vijay Chandar,,Vaalu ,563,Brahmanandam,6,Tamil,,5.1,,82
Morgan Spurlock,638476,The Greatest Movie Ever Sold ,13223,Donald Trump,45,English,PG-13,6.6,,0
Jonathan Wacks,,Ed and His Dead Mother ,1435,Jon Gries,17,English,PG-13,6.1,1.78,266
Khyentse Norbu,505295,Travelers and Magicians ,1747,Sonam Kinga,28,Dzongkha,,7.5,1.85,353
Ted Post,,Hang 'Em High ,25472,Alan Hale Jr.,109,English,M,7.0,1.85,0
Richard Brooks,,Deadline - U.S.A. ,1756,Kim Hunter,28,English,,7.2,1.37,169
Tony Krantz,,Sublime ,6267,Cas Anvar,103,English,R,5.3,2.35,368
Mitchell Altieri,,A Beginner's Guide to Snuff ,13,Bree Williamson,,English,,8.7,,8
W.D. Hogan,,Independence Daysaster ,761,Nicholas Carella,12,English,PG-13,3.4,,566
Corey Grant,,Dysfunctional Friends ,686,Tatyana Ali,8,English,Not Rated,5.4,1.85,569
Tom Tykwer,7267324,Run Lola Run ,161471,Armin Rohde,709,German,R,7.8,1.85,0
Lucky McKee,145540,May ,26773,Nora Zehetner,277,English,R,6.7,1.85,0
Richard Boddington,,Against the Wild ,840,Erin Pitt,9,English,PG,4.7,,326
David Hunt,,Living Dark: The Story of Ted the Caver ,28,Circus-Szalewski,1,English,PG-13,6.3,1.85,73
Patricia Riggen,12589108,Under the Same Moon ,5526,Kate del Castillo,58,Spanish,PG-13,7.4,1.85,0
J. Lee Thompson,,Conquest of the Planet of the Apes ,23268,John Randolph,95,English,PG,6.1,2.35,794
Todd Field,35918429,In the Bedroom ,32415,Karen Allen,510,English,R,7.5,2.35,951
