director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,movie_imdb_link,language,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
James Wong,98,70,591,1000,53302314,Horror|Thriller,Final Destination ,181058,3345,dead teenager|death|explosion|premonition|teenager,http://www.imdb.com/title/tt0195714/?ref_=fn_tt_tt_1,English,R,23000000,2000,847,1.85,0
George Clooney,101,0,1000,33000,40962534,Drama,The Ides of March ,188652,57077,governor|intern|manager|ohio|politics,http://www.imdb.com/title/tt1124035/?ref_=fn_tt_tt_1,English,R,12500000,2011,22000,2.35,22000
David Twohy,112,123,787,14000,39235088,Horror|Sci-Fi,Pitch Black ,193962,16196,captain|darkness|eclipse|space|survival,http://www.imdb.com/title/tt0134847/?ref_=fn_tt_tt_1,English,R,23000000,2000,991,2.35,5000
Tony Goldwyn,97,956,99,20000,27338033,Comedy|Romance,Someone Like You... ,19709,20798,apartment|girl in panties|roommate|thong panties|upskirt,http://www.imdb.com/title/tt0244970/?ref_=fn_tt_tt_1,English,PG-13,23000000,2001,551,1.85,0
Spike Jonze,126,0,105,19000,25556065,Drama|Romance|Sci-Fi,Her ,355126,19359,divorce|female frontal nudity|future|loneliness|operating system,http://www.imdb.com/title/tt1798709/?ref_=fn_tt_tt_1,English,R,23000000,2013,128,1.85,148000
Dexter Fletcher,106,452,141,20000,15785632,Biography|Comedy|Drama|Sport,Eddie the Eagle ,32513,21195,1988 winter olympics|coach|ski jumper|winter|winter olympics,http://www.imdb.com/title/tt1083452/?ref_=fn_tt_tt_1,English,PG-13,23000000,2016,732,2.35,15000
John Dahl,97,131,62,23000,21973182,Mystery|Thriller,Joy Ride ,53415,23242,embarrassing male nudity|embarrassing nudity|male nudity|truck|truck driver,http://www.imdb.com/title/tt0206314/?ref_=fn_tt_tt_1,English,R,23000000,2001,81,2.35,0
Jonathan Newman,100,3,88,2000,4756,Adventure|Family|Fantasy,The Adventurer: The Curse of the Midas Box ,4191,2450,based on novel|drowning|hanging from a flagpole|hanging from a rope|magic,http://www.imdb.com/title/tt1376213/?ref_=fn_tt_tt_1,English,PG,25000000,2013,228,2.35,0
Wayne Wang,114,61,407,20000,18653615,Comedy|Drama,Anywhere But Here ,14786,22040,family relationships|female protagonist|nubile woman|policeman|teenager,http://www.imdb.com/title/tt0149691/?ref_=fn_tt_tt_1,English,PG-13,23000000,1999,797,2.35,638
Andy Cadiff,101,3,120,448,12189514,Comedy|Romance,Chasing Liberty ,30092,829,first daughter|photographer|prague|president|secret service agent,http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1,English,PG-13,23000000,2004,143,2.35,0
Michael Dinner,88,12,249,327,13019253,Comedy|Crime,The Crew ,3914,1509,beach|drug lord|drugs|hotel|stripper,http://www.imdb.com/title/tt0198386/?ref_=fn_tt_tt_1,English,PG-13,23000000,2000,281,1.85,153
Steven Soderbergh,93,0,947,17000,18934858,Action|Thriller,Haywire ,72646,31187,die hard scenario|one woman army|rescue|soldier|super soldier,http://www.imdb.com/title/tt1506999/?ref_=fn_tt_tt_1,English,R,23000000,2011,13000,2.35,0
Joseph Sargent,92,114,434,912,20763013,Adventure|Horror|Thriller,Jaws: The Revenge ,30840,2355,banana boat|boat|christmas|sea|shark,http://www.imdb.com/title/tt0093300/?ref_=fn_tt_tt_1,English,PG-13,23000000,1987,535,2.35,0
