duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,title_year,aspect_ratio
152,0,557,2000,108638745,Drama|History|War,Ioan Gruffudd,292022,4270,Ewen Bremner,0,2001,2.35
85,116,329,8000,86897182,Comedy,Will Ferrell,106790,9271,Katherine LaNasa,0,2012,1.85
126,0,10000,14000,63540020,Action|Adventure|Sci-Fi,Milla Jovovich,343274,39319,Gary Oldman,2,1997,2.35
146,127,722,962,95328937,Comedy|Drama|Romance,Chris Noth,59581,4555,Kristin Davis,4,2010,1.85
89,10,442,2000,50802661,Adventure|Animation|Comedy|Family|Romance,Frank Welker,58300,3372,Elton John,1,2000,1.85
88,20,916,22000,161317423,Adventure|Animation|Comedy|Family,Peter Dinklage,145321,25354,Drake,0,2012,2.35
105,0,502,2000,201148159,Drama|Family|Fantasy|Romance,Hayley Atwell,103737,4671,Lily James,1,2015,2.35
135,0,310,873,43982842,Drama|Fantasy|Thriller,Michael Imperioli,125109,2370,Tom McCarthy,1,2009,2.35
100,475,799,1000,380838870,Adventure|Animation|Comedy|Family,Alexander Gould,692482,5641,Brad Garrett,0,2003,1.85
192,0,416,5000,377019252,Action|Adventure|Drama|Fantasy,Orlando Bloom,1215718,6434,Bernard Hill,2,2003,2.35
172,0,857,16000,340478898,Action|Adventure|Drama|Fantasy,Christopher Lee,1100446,23052,Billy Boyd,1,2002,2.35
102,44,766,12000,17176900,Action|Adventure|Fantasy,Jeff Bridges,54501,17098,Olivia Williams,4,2014,2.35
100,165,240,11000,131144183,Action|Adventure|Fantasy|Thriller,Angelina Jolie Pitt,157016,12150,Chris Barrie,1,2001,2.35
119,0,968,40000,23014504,Drama|Mystery|Romance|Sci-Fi|Thriller,Johnny Depp,172707,54031,Clifton Collins Jr.,1,2014,2.35
92,394,527,693,181166115,Action|Adventure|Sci-Fi|Thriller,Michael Jeter,219501,2574,Alessandro Nivola,0,2001,1.85
105,81,779,11000,176740650,Action|Drama|Sci-Fi|Thriller,James Franco,403836,13118,Tyler Labine,0,2011,2.35
107,70,330,770,71148699,Adventure|Family|Fantasy,Martin Short,68935,1614,Joan Plowright,0,2008,2.35
101,212,476,13000,67344392,Action|Thriller,Bruce Willis,165618,15481,Megalyn Echikunwoke,2,2013,1.85
137,102,877,2000,22406362,Drama|History|War|Western,Dennis Quaid,16832,5780,Jordi Mollà,0,2004,2.35
115,663,55,1000,261437578,Action|Adventure|Animation|Family,Holly Hunter,479166,1901,Lou Romano,0,2004,2.35
124,212,810,1000,11000000,Action|Adventure|Comedy,Christopher Masterson,21102,3611,Matthew Modine,3,1995,2.35
118,0,1000,8000,88761720,Adventure|Family|Fantasy,Logan Lerman,141179,14024,Steve Coogan,0,2010,2.35
98,188,602,10000,250147615,Adventure|Comedy|Family|Mystery|Sci-Fi,Will Smith,403014,12998,Linda Fiorentino,0,1997,1.85
82,487,967,15000,245823397,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,385871,21275,Wayne Knight,2,1999,1.85
98,12000,1000,18000,81557479,Action|Thriller,Denzel Washington,149947,25780,Ethan Suplee,1,2010,2.35
90,420,141,191,226138454,Action|Comedy|Crime|Thriller,Mei Melançon,160440,664,Harris Yulin,2,2001,2.35
130,0,568,11000,155370362,Drama|Fantasy|Horror|Mystery|Thriller,Harrison Ford,98403,12890,Miranda Otto,0,2000,2.35
90,97,56,622,124870275,Animation|Comedy|Family|Sci-Fi,Will Forte,152601,1227,Al Roker,1,2009,2.35
94,107,117,835,196573705,Action|Adventure|Animation|Comedy|Family,Denis Leary,166791,1258,Kelly Keaton,0,2009,1.85
114,0,423,3000,58229120,Adventure|Comedy|Drama|Fantasy|Romance,Adam Scott,236421,5095,Joey Slotnick,1,2013,2.35
94,368,466,13000,125305545,Action|Adventure|Comedy|Crime|Thriller,Bill Murray,145350,15419,Kelly Lynch,0,2000,2.35
151,17000,1000,29000,132373442,Crime|Drama|Thriller,Leonardo DiCaprio,873649,45648,Ray Winstone,0,2006,2.35
88,7,484,2000,120618403,Adventure|Animation|Family|Fantasy|Musical|War,Ming-Na Wen,171792,4478,June Foray,0,1998,1.66
121,0,918,21000,110416702,Action|Comedy,Robert Downey Jr.,307539,23484,Brandon T. Jackson,3,2008,2.35
158,21000,585,18000,102515793,Crime|Drama|Mystery|Thriller,Robin Wright,330152,20388,Joely Richardson,1,2011,2.35
128,323,489,13000,100012500,Action|Adventure|Thriller,Bruce Willis,299258,14274,Kevin Chamberlin,1,1995,2.35
128,0,727,21000,209019489,Action|Adventure|Crime|Mystery|Thriller,Robert Downey Jr.,477300,23996,Robert Maillet,3,2009,1.85
141,335,635,11000,,Adventure|Drama|History,Morgan Freeman,57,13379,Moises Arias,2,2016,2.35
95,21,503,12000,84037039,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Leonard Nimoy,72591,15237,Cree Summer,0,2001,2.35
92,12,1000,35000,85884815,Adventure|Animation|Comedy|Family|Fantasy|Music,Bella Thorne,9418,38450,Jesse McCartney,0,2015,1.85
121,0,919,10000,83077470,Drama|History|Thriller|War,Tom Cruise,183247,14165,Thomas Kretschmann,0,2008,1.85
113,221,503,11000,100018837,Action|Comedy,Adam Sandler,156348,13446,Kevin Nealon,0,2008,1.85
106,0,1000,22000,78747585,Action|Animation|Comedy|Sci-Fi,Peter Dinklage,89770,35367,Josh Gad,0,2015,2.35
146,14000,681,3000,78616689,Adventure|Drama|Sci-Fi,Haley Joel Osment,238747,6217,Kevin Sussman,0,2001,1.85
88,50,441,691,75817994,Comedy|Family|Fantasy|Horror|Mystery,Marsha Thomason,32049,2622,Marc John Jefferies,0,2003,2.35
150,0,135,11000,100853835,Drama|Mystery|Sci-Fi|Thriller,Matthew McConaughey,200556,12289,Larry King,2,1997,2.35
119,719,423,833,73209340,Action|Horror|Sci-Fi|Thriller,Greg Grunberg,101834,2356,Joey Slotnick,0,2000,1.85
128,521,249,591,72515360,Crime|Mystery|Thriller,Curtiss Cook,86152,2100,Michael Wright,1,2005,2.35
106,87,918,8000,68558662,Adventure|Family|Fantasy,Logan Lerman,86627,10882,Brandon T. Jackson,0,2013,2.35
117,101,3000,18000,65653758,Action|Adventure|Fantasy,Gerard Butler,102747,33154,Djimon Hounsou,1,2003,2.35
129,209,886,11000,64685359,Action|Adventure|Comedy|Crime|Mystery|Thriller,Daniel Radcliffe,40862,23031,Sanaa Lathan,6,2016,2.35
116,176,84,192,61355436,Action|Adventure|Romance|Sci-Fi|Thriller,Alun Armstrong,52136,475,Velibor Topic,0,1997,2.35
114,12000,307,11000,26871,Action|Crime|Thriller,Brad Pitt,121259,12499,Catherine McCormack,2,2001,2.35
114,0,281,3000,60874615,Adventure|Sci-Fi|Thriller,Don Cheadle,60467,4902,Kim Delaney,0,2000,2.35
96,107,350,11000,143618384,Adventure|Animation|Comedy|Family|Musical,Anne Hathaway,165333,12071,Will.i.am,0,2011,2.35
132,0,957,49000,58220776,Comedy|Drama|Sci-Fi,Robin Williams,87785,55254,John Michael Higgins,0,1999,1.85
