actor_1_facebook_likes,gross,genres,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score
718,14348123,Comedy|Drama|War,9323,Paolo Seganti,6,ambassador|american|art|english|italy,Italy,PG,12000000,1999,330,6.9
1000,15171475,Fantasy|Horror,19805,Kari Wuhrer,0,death|doctor|gypsy|judge|lawyer,USA,R,8500000,1996,855,5.7
22000,,Drama|Music|Musical|Romance,13548,Mary Kay Place,0,love|musician|saxophonist|singer|songwriter,USA,PG,14000000,1977,740,6.7
1000,13640000,Comedy|Drama,6011,Isaiah Washington,0,argument|birthday|bully|coming of age|semi autobiographical,USA,PG-13,14000000,1994,848,6.9
12000,12550242,Comedy|Drama|Romance,13866,Wendell Pierce,3,banker|investment|investment banker|marriage|sex,USA,R,,2007,490,5.5
1000,12610731,Action|Horror|Sci-Fi|Thriller,38985,Lexa Doig,1,jason voorhees|lake|machete|scientist|slasher,USA,R,11000000,2001,935,4.4
934,47811275,Adventure|Comedy|Family,29008,Lee Majors,1,brunette|film producer|liar|prank|stunt,USA,PG,15000000,2002,927,5.4
12000,11204499,Drama|History,38142,Brian Geraghty,0,campaign|chess|friend|hotel|senator,USA,R,14000000,2006,593,7.0
878,10397365,Comedy|Mystery|Romance,11693,China Chow,5,apartment|fast motion scene|model|private investigation|suspected murder,USA,PG-13,14000000,2001,834,5.4
962,9402410,Adventure|Comedy,11233,Osric Chau,1,adult humor|best friend|friend|halloween|teenage girl,USA,PG-13,14000000,2012,925,5.4
413,5990075,Biography|Drama,89906,Isaach De Bankolé,1,arc de triomphe paris|based on autobiography|coma|elle magazine|male frontal nudity,France,PG-13,,2007,412,8.0
14000,5459824,Drama|Romance,92781,Jane Adams,0,adulterous wife|bar|dysfunctional marriage|sex offender|suburb,USA,R,26000000,2006,617,7.6
12000,5108820,Drama|Mystery|Thriller,12519,Noam Jenkins,5,college|college campus|gossip|rape|sex,USA,R,24000000,2000,215,5.9
10000,4741987,Drama,6782,Tovah Feldshuh,1,adulterous wife|cheating wife|summer|unfaithfulness|woodstock,USA,R,14000000,1999,233,6.6
543,4291965,Biography|Drama|History,9334,Bonnie Henna,3,attack|coach|colonel|jail|oil refinery,France,PG-13,14000000,2006,113,6.7
159,3100650,Drama|Horror|Mystery|Thriller,7277,Candace Kroslak,4,car accident|college|ghost|girl in panties|white panties,USA,PG-13,14000000,2001,102,3.9
423,2474000,Biography|Drama|History|Romance,2427,Nigel Whitmey,1,18th century|ambassador|french revolution|friendship|thomas jefferson,France,PG-13,14000000,1995,15,5.7
14000,2656324,Comedy|Romance,16444,Kris Marshall,4,estate|female frontal nudity|female nudity|no panties|unhappy marriage,UK,PG-13,,2008,1000,6.7
16000,1000000,Action|Adventure|History,524,Behrouz Vossoughi,0,afghanistan|caravan|rebel|russian|tribe,Iran,PG,14000000,1978,469,6.5
149,3958500,Biography|Drama|History,17933,Karl Johnson,0,prism|rented room|scrofula|sketching|sunrise,UK,R,8200000,2014,44,6.8
412,403649,Drama|Romance,3174,Edouard Baer,0,dentist|letter|pilot|skateboard|wallet,France,PG,,2009,74,6.3
380,274299,Biography|Crime|Drama|War,11077,Ulrich Mühe,2,jesuit|jew|pope|priest|ss,France,Unrated,103000000,2002,326,7.3
149,,Action,6069,Kelly Lin,2,martial arts|sword fight|wuxia,China,R,12000000,2010,32,6.9
697,183088,Comedy|Drama|War,11704,Mark L. Young,0,college tuition|guitar|road trip|soldier|stranded,USA,R,15000000,2008,329,7.0
13000,46495,Drama,12053,John Gallagher Jr.,1,accident|bus|loss of virginity|new york city|virginity,USA,R,14000000,2011,1000,6.5
826,,Comedy|Horror,9928,Diora Baird,7,dollar bill|double entendre|escaped convict|halloween|striptease,Canada,R,,2009,521,3.6
1000,1752214,Comedy|Drama|Romance,60460,Aidan Quinn,0,apology|falling in love|multiple perspectives|narrated by a girl|younger version of character,USA,PG,14000000,2010,872,7.7
15000,83025853,Drama|Romance,259837,Anne Hathaway,0,gay relationship|homosexuality|mountain|ranch|rodeo,USA,R,14000000,2005,13000,7.7
833,190871240,Action|Adventure|Comedy|Sci-Fi,167089,Jeremy Howard,0,18 wheeler|mutant|ninja|sewer|turtle,USA,PG-13,125000000,2014,809,5.9
927,56631572,Comedy|Romance,123390,Elisa Donovan,1,female protagonist|high school|makeover|matchmaker|popularity,USA,PG-13,12000000,1995,281,6.8
2000,15854988,Drama|Romance,36542,Michael Gaston,2,african american|catastrophe|family relationships|farewell scene|therapy,USA,PG-13,13500000,2002,258,7.4
3000,12282677,Comedy|Sci-Fi,28159,Collette Wolfe,4,acid trip|gameshow|hot tub|time lord|time machine,USA,R,14000000,2015,837,5.1
20,447093,Drama,12590,Olgierd Lukaszewicz,0,meaning of life|moral challenge|morality|search for meaning|ten commandments,Poland,TV-MA,,,3,9.1
14000,7060876,Biography|Drama,44795,Amelia Warner,1,asylum|lust|male pubic hair|penis|pubic hair,UK,R,13500000,2000,230,7.4
2000,14989761,Comedy|Crime,185845,Michael Stuhlbarg,7,dognapping|gangster|misfiring gun|screenwriter|shih tzu,UK,R,15000000,2012,906,7.2
539,687081,Crime|Drama|Music|Mystery|Thriller,5602,Aunjanue Ellis,0,chrysler building manhattan new york city|delusion|manhattan new york city|new york city|title directed by female,USA,R,,2001,508,6.0
70,,Action|Crime|Drama|Thriller,271,Jaroslaw Boberek,4,,Poland,,,,2,7.4
918,5501940,Biography|Drama|History|War,248354,Alexandra Maria Lara,0,bunker|hitler|nazi|no exit|war ruins,Germany,R,13500000,2004,653,8.3
273,2086345,Biography|Drama|Romance,64556,Tamar Novas,1,dignity|euthanasia|freedom|lawyer|sailor,Spain,PG-13,10000000,2004,114,8.1
19000,2605039,Drama|Horror|Sci-Fi|Thriller,85022,Alison Chand,0,alien|desire|female nudity|male frontal nudity|scotland,UK,R,,2013,50,6.3
49000,123922370,Biography|Comedy|Drama|War,98348,Bruno Kirby,1,disc jockey|friendship|radio|vietnam|vietnamese,USA,R,13000000,1987,263,7.3
898,163591,Comedy,912,Michael Rispoli,5,mafia|mafia boss|mafiosi|mafioso|three word title,South Korea,PG-13,13400000,2010,391,3.6
569,73000942,Documentary|Music,74351,Boys II Men,1,boyhood friend|manager|plasma tv|prodigy|star,USA,G,13000000,2011,69,1.6
20000,106952327,Drama|Thriller,551363,Mark Margolis,1,ballerina|ballet|fear|female protagonist|madness,USA,R,13000000,2010,15000,8.0
10000,58607007,Action|Crime|Sci-Fi|Thriller,182910,Jennifer Ehle,0,law enforcement|police|robocop|robot|technology,USA,PG-13,100000000,2014,2000,6.2
22000,57300000,Crime|Drama,790926,Robert Duvall,1,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,USA,R,13000000,1974,14000,9.0
656,91038276,Drama|Music|Romance,47876,Fredro Starr,0,dance|dancing|ghetto|hip hop|imperative in title,USA,PG-13,13000000,2001,363,6.1
130,49369900,Fantasy|Horror|Thriller,36108,Brooke Bundy,0,demon|dream|elm street|freddy krueger|nightmare,USA,R,7000000,1988,125,5.7
3000,61693523,Drama,6276,Martin Henderson,0,child cancer|christian film|christianity|falling into a hole|inspiring,USA,PG,13000000,2016,3000,6.8
3000,46729374,Comedy|Mystery,116625,Marla Sokoloff,2,bare chested male|gay kiss|homoeroticism|lesbian kiss|transsexual,USA,PG-13,13000000,2000,934,5.5
549,44726644,Action|Crime|Drama|Thriller|Western,42614,Brian Keith,5,army|cattle|deputy|new mexico|rancher,USA,R,13000000,1988,439,6.8
13000,44134898,Comedy|Drama,72803,Reg E. Cathey,3,bullying|grumpy old man|school presentation|stroke|stroke recovery,USA,PG-13,13000000,2014,6000,7.3
833,48637684,Comedy|Romance,16979,Bryan Callen,4,bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting,USA,R,12500000,2014,807,6.1
23000,38176108,Comedy|Drama|Romance,222099,Andrew Keegan,6,dating|protective father|school|shrew|teen movie,USA,PG-13,16000000,1999,13000,7.2
11000,28972187,Comedy,28805,Gene Simmons,1,cheerleader|geek|high school|prison|reference to janet jackson,USA,PG-13,13000000,2002,489,5.9
11000,27979400,Action|Comedy|Crime,37611,Bill Nunn,2,cookie|detective|microfilm|parody|sergeant,USA,PG-13,8200000,1993,852,6.1
619,54257433,Drama|Horror|Thriller,12983,Sedona Legge,0,beach|island|mexico|prey|trapped,USA,PG-13,17000000,2016,350,6.8
8000,23947,Sci-Fi|Thriller,357579,Cameron Bright,0,blackout|child pornography|memory|surprise ending|time travel,USA,R,13000000,2004,902,7.7
571,60008303,Adventure|Comedy|Family,9285,Jean Smart,1,meteorologist|snow|snowed in|snowplow|weather,USA,PG,13000000,2000,442,4.9
1000,49121934,Comedy|Drama|Romance,6528,Loretta Devine,9,christmas|family home|musician|piano|secret,USA,PG-13,13000000,2007,997,6.1
899,27141959,Comedy|Crime|Family|Sci-Fi,19547,Ruby Dee,2,baby|boy|science|scientist|toddler,USA,PG,18000000,1999,842,2.5
904,27052167,Action|Comedy|Crime|Thriller,24834,Antonio Sabato Jr.,5,hitman|kidnapping|kosher|vhs|video store,USA,R,13000000,1998,471,6.1
694,26539321,Comedy|Drama|Family,7984,Charlotte Sullivan,1,binoculars|child spy|notebook|secret|spy,USA,PG,13000000,1996,558,5.9
659,28501605,Fantasy|Horror,31371,Greg Germann,0,boy|doll|foster home|killer doll|serial killer,USA,R,13000000,1990,628,5.7
1000,52543632,Crime|Thriller,12676,Henry Simmons,2,home invasion|police officer shot|police officer shot in the chest|psychopath|three word title,USA,PG-13,13200000,2014,345,5.6
2000,25592632,Horror,220475,Jeffrey DeMunn,0,desperation|fog|giant insect|survival|survival horror,USA,R,18000000,2007,850,7.2
149,25440971,Drama|Mystery|Sci-Fi|Thriller,289508,Corey Johnson,0,artificial intelligence|robot|robot human relationship|turing test|video surveillance,UK,R,15000000,2015,145,7.7
512,22858926,Comedy|Drama|Fantasy,254404,Mary Kay Place,2,body swap|magical realism|portal|puppeteer|surrealism,USA,R,13000000,1999,216,7.8
939,22235901,Comedy|Romance,4339,Tamala Jones,2,advice|battle of the sexes|lingerie|romantic rivalry|rule,USA,R,6000000,2001,890,6.1
803,38916903,Adventure|Family|Sci-Fi,15664,Jason Gray-Stanford,0,alien|bar|construction worker|no opening credits|no title at beginning,USA,PG,13000000,2014,587,5.8
4000,16929123,Drama|Romance,21406,Rolando Molina,2,congressman|high school|latino|pacific palisades|school,USA,PG-13,14000000,2001,1000,6.5
378,13753931,Drama|History|War,132149,Shidô Nakamura,0,blood splatter|general|island|japan|world war two,USA,R,19000000,2006,85,7.9
24000,10996440,Adventure|Drama|Sci-Fi,19707,Bruce Dern,0,bank|fbi|fuel|rocket|space travel,USA,PG,13000000,2006,912,6.3
1000,8026971,Comedy|Romance,1520,Dave Chappelle,0,blind date|law clerk|love|manhattan new york city|world trade center manhattan new york city,USA,R,13000000,1998,851,3.8
805,14677654,Drama,161288,Cas Anvar,0,based on novel|escape|imprisonment|kidnapping|mother son relationship,Ireland,R,13000000,2015,681,8.3
721,9975684,Comedy,20033,Traylor Howard,0,cult film|gambling debt|job|off screen murder|revenge,Canada,PG-13,13000000,1998,359,6.4
899,7881335,Comedy|Crime|Thriller,21212,Traci Lords,4,dentist|housewife|howie scream|murder|perfection,USA,R,13000000,1994,849,6.7
16000,6241697,Comedy,16059,Kirsten Dunst,2,political cover up|political satire|teenage girl|white house|witness,France,PG-13,13000000,1999,8000,6.1
690,,Action|Crime|Mystery|Thriller,335,Lena Endre,0,,Sweden,,,,94,8.1
3000,5871603,Drama|Thriller,3116,Robert Ri'chard,3,black cop|die hard scenario|hostage negotiator|police|police brutality,USA,R,13000000,1999,1000,6.0
4000,16574731,Drama|Music,27675,Sela Ward,4,angel dust the drug|disco|new york city|quaalude|reference to princess grace of monaco,USA,R,13000000,1998,957,5.8
15000,5002310,Adventure|Comedy|Romance|Sci-Fi,25541,Marley Shelton,0,cigarette smoking|hand on butt|niagara falls|plastic bubble|wedding,USA,PG-13,13000000,2001,816,5.6
567,4919896,Comedy|Crime|Thriller,21530,Ben Chaplin,1,bank|bank clerk|birthday|mail order bride|russian,UK,R,13000000,2001,326,6.1
552,25675765,Comedy,60407,Sarah Wright,0,21st birthday|college student|drunken man|pubic hair|standing up to father,USA,R,13000000,2013,528,5.9
12000,4857376,Comedy|Drama|Romance,63084,Catalina Sandino Moreno,0,baby|divorce|oscar wilde|pigalle|tourist,France,R,13000000,2006,530,7.3
748,3169424,Drama|Sport,18442,Peter Coyote,1,boxing|colosseum|homeless man|reporter|writer,USA,PG-13,13000000,2007,573,6.8
2000,18004225,Comedy|Drama|Romance,28573,Christopher Evan Welch,2,adoption|female protagonist|princeton university|wedding|working women,USA,PG-13,13000000,2013,257,5.7
2000,3058380,Drama|Romance,4767,Yves Jacques,1,archipelago|guillotine|island|prison|redemption,France,R,100000000,2000,370,7.3
