director_name,actor_2_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,language,country,content_rating,title_year,imdb_score,movie_facebook_likes
Jeff Nathanson,Glenn Morshower,2000,Comedy,The Last Shot ,3789,5240,Tim Blake Nelson,10,http://www.imdb.com/title/tt0357054/?ref_=fn_tt_tt_1,English,USA,R,2004,5.7,89
Alex Proyas,Bai Ling,720,Action|Drama|Fantasy,The Crow ,136580,2630,David Patrick Kelly,0,http://www.imdb.com/title/tt0109506/?ref_=fn_tt_tt_1,English,USA,R,1994,7.6,15000
S.S. Rajamouli,Anushka Shetty,218,Action|Adventure|Drama|Fantasy|War,Baahubali: The Beginning ,62756,554,Prabhas,1,http://www.imdb.com/title/tt2631186/?ref_=fn_tt_tt_1,Telugu,India,,2015,8.4,21000
Robert Schwentke,Brooklynn Proulx,152,Drama|Fantasy|Romance|Sci-Fi,The Time Traveler's Wife ,114925,568,Michelle Nolden,1,http://www.imdb.com/title/tt0452694/?ref_=fn_tt_tt_1,English,USA,PG-13,2009,7.1,13000
Michael Lehmann,Stephen Collins,747,Comedy|Romance,Because I Said So ,32412,1930,Tom Everett Scott,1,http://www.imdb.com/title/tt0490084/?ref_=fn_tt_tt_1,English,USA,PG-13,2007,5.6,0
Rob Cohen,Vin Diesel,23000,Action|Crime|Thriller,The Fast and the Furious ,272227,45327,Jordana Brewster,2,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,English,USA,PG-13,2001,6.7,14000
Tim Burton,Catherine O'Hara,940,Animation|Comedy|Family|Horror|Sci-Fi,Frankenweenie ,73886,4774,Atticus Shaffer,0,http://www.imdb.com/title/tt1142977/?ref_=fn_tt_tt_1,English,USA,PG,2012,7.0,25000
Joss Whedon,Sean Maher,2000,Action|Adventure|Sci-Fi|Thriller,Serenity ,242599,2853,Michael Hitchcock,0,http://www.imdb.com/title/tt0379786/?ref_=fn_tt_tt_1,English,USA,PG-13,2005,8.0,14000
Charles S. Dutton,Charles S. Dutton,865,Biography|Drama|Romance|Sport,Against the Ropes ,5917,2972,Tim Daly,2,http://www.imdb.com/title/tt0312329/?ref_=fn_tt_tt_1,English,USA,PG-13,2004,5.3,177
Richard Lester,Robert Vaughn,593,Action|Comedy|Sci-Fi,Superman III ,49934,2329,Jackie Cooper,1,http://www.imdb.com/title/tt0086393/?ref_=fn_tt_tt_1,English,UK,PG,1983,4.9,0
Peter Segal,Sylvester Stallone,22000,Comedy|Sport,Grudge Match ,46480,36009,Oscar Gale,1,http://www.imdb.com/title/tt1661382/?ref_=fn_tt_tt_1,English,USA,PG-13,2013,6.4,12000
John Woo,Tony Chiu Wai Leung,755,Action|Adventure|Drama|History|War,Red Cliff ,36894,2172,Wei Zhao,4,http://www.imdb.com/title/tt0425637/?ref_=fn_tt_tt_1,Mandarin,China,R,2008,7.4,0
Andy Tennant,Mary Lynn Rajskub,982,Comedy|Romance,Sweet Home Alabama ,83786,4251,Courtney Gains,1,http://www.imdb.com/title/tt0256415/?ref_=fn_tt_tt_1,English,USA,PG-13,2002,6.1,0
Robert Luketic,John Michael Higgins,18000,Comedy|Romance,The Ugly Truth ,163665,22436,Eric Winter,2,http://www.imdb.com/title/tt1142988/?ref_=fn_tt_tt_1,English,USA,R,2009,6.5,9000
Jonathan Lynn,Phil Hartman,592,Comedy,Sgt. Bilko ,17810,2176,Max Casella,2,http://www.imdb.com/title/tt0117608/?ref_=fn_tt_tt_1,English,USA,PG,1996,5.7,478
Robert Rodriguez,Alexa PenaVega,12000,Action|Adventure|Comedy|Family|Sci-Fi,Spy Kids 2: Island of Lost Dreams ,44885,18291,Emily Osment,1,http://www.imdb.com/title/tt0287717/?ref_=fn_tt_tt_1,English,USA,PG,2002,5.1,478
David Carson,Alan Ruck,1000,Action|Adventure|Mystery|Sci-Fi|Thriller,Star Trek: Generations ,60504,6427,Jonathan Frakes,0,http://www.imdb.com/title/tt0111280/?ref_=fn_tt_tt_1,English,USA,PG,1994,6.6,0
Kar-Wai Wong,Hye-kyo Song,643,Action|Biography|Drama,The Grandmaster ,24557,943,Elvis Tsui,1,http://www.imdb.com/title/tt1462900/?ref_=fn_tt_tt_1,Mandarin,Hong Kong,PG-13,2013,6.5,13000
Francis Lawrence,Christoph Waltz,21000,Drama|Romance,Water for Elephants ,95367,36062,James Frain,1,http://www.imdb.com/title/tt1067583/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,6.9,33000
,Wayne Knight,23000,Comedy|Family|Sci-Fi,3rd Rock from the Sun             ,38383,25160,Kristen Johnston,4,http://www.imdb.com/title/tt0115082/?ref_=fn_tt_tt_1,English,USA,TV-PG,,7.8,0
Yuefeng Song,Bianca Collins,76,Adventure|Animation|Family|Fantasy,Dragon Nest: Warriors' Dawn ,2169,196,Jiao Xu,0,http://www.imdb.com/title/tt2911342/?ref_=fn_tt_tt_1,English,China,,2014,6.4,0
Norman Jewison,Vincent Pastore,18000,Biography|Drama|Sport,The Hurricane ,76016,20516,Deborah Kara Unger,0,http://www.imdb.com/title/tt0174856/?ref_=fn_tt_tt_1,English,USA,R,1999,7.6,0
Michael Apted,Jeff Kober,970,Crime|Drama|Thriller,Enough ,30667,3770,Billy Campbell,1,http://www.imdb.com/title/tt0278435/?ref_=fn_tt_tt_1,English,USA,PG-13,2002,5.6,0
David Mirkin,Anne Bancroft,931,Comedy|Crime|Romance,Heartbreakers ,44168,2912,Jeffrey Jones,3,http://www.imdb.com/title/tt0125022/?ref_=fn_tt_tt_1,English,USA,PG-13,2001,6.2,989
Andy Fickman,Daniella Alonso,598,Action|Comedy|Crime,Paul Blart: Mall Cop 2 ,23473,3552,Eduardo Verástegui,1,http://www.imdb.com/title/tt3450650/?ref_=fn_tt_tt_1,English,USA,PG,2015,4.4,8000
Luis Mandoki,Shirley Knight,308,Drama|Romance,Angel Eyes ,19686,1440,Kari Matchett,0,http://www.imdb.com/title/tt0225071/?ref_=fn_tt_tt_1,English,USA,R,2001,5.6,689
