duration,actor_3_facebook_likes,actor_2_name,num_voted_users,movie_imdb_link,num_user_for_reviews,content_rating,actor_2_facebook_likes,imdb_score
94,104,Eli Marienthal,294,http://www.imdb.com/title/tt0128214/?ref_=fn_tt_tt_1,16,R,157,5.5
109,25,Eddie Jones,720,http://www.imdb.com/title/tt0366444/?ref_=fn_tt_tt_1,23,R,53,6.6
90,32,Alexander Wraith,476,http://www.imdb.com/title/tt0421237/?ref_=fn_tt_tt_1,18,PG-13,119,3.2
133,107,T.V. Carpio,91863,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,524,PG-13,117,7.4
110,221,Elizabeth Stenholt,82,http://www.imdb.com/title/tt2912776/?ref_=fn_tt_tt_1,1,,503,6.6
80,668,David Carradine,19875,http://www.imdb.com/title/tt0072856/?ref_=fn_tt_tt_1,147,R,926,6.2
95,309,Ricky Schroder,241,http://www.imdb.com/title/tt1241226/?ref_=fn_tt_tt_1,5,R,665,4.8
94,87,Wilhelm von Homburg,47,http://www.imdb.com/title/tt0100146/?ref_=fn_tt_tt_1,4,R,102,4.5
98,248,Joanna Cassidy,95,http://www.imdb.com/title/tt0393049/?ref_=fn_tt_tt_1,7,R,317,7.2
98,0,Pierre Prieur,569,http://www.imdb.com/title/tt3904272/?ref_=fn_tt_tt_1,1,Unrated,0,4.3
96,180,Carmen Argenziano,1905,http://www.imdb.com/title/tt0082467/?ref_=fn_tt_tt_1,58,R,338,4.5
97,313,Barry Bostwick,4550,http://www.imdb.com/title/tt1568341/?ref_=fn_tt_tt_1,58,R,456,6.4
90,235,Matt Servitto,24668,http://www.imdb.com/title/tt1971352/?ref_=fn_tt_tt_1,175,R,260,6.4
113,781,Ethan Suplee,114070,http://www.imdb.com/title/tt0118842/?ref_=fn_tt_tt_1,500,R,1000,7.3
91,225,Brenda Blethyn,6041,http://www.imdb.com/title/tt0258273/?ref_=fn_tt_tt_1,85,R,286,6.9
90,99,Robert Miano,30,http://www.imdb.com/title/tt1328873/?ref_=fn_tt_tt_1,,R,216,4.3
98,13,Jason Tobin,8000,http://www.imdb.com/title/tt0280477/?ref_=fn_tt_tt_1,138,R,26,7.2
94,10,Laurel Holloman,3513,http://www.imdb.com/title/tt0113416/?ref_=fn_tt_tt_1,36,R,273,6.5
96,129,Mike White,4662,http://www.imdb.com/title/tt0200530/?ref_=fn_tt_tt_1,136,R,487,6.6
100,51,Rizwan Manji,1489,http://www.imdb.com/title/tt0203289/?ref_=fn_tt_tt_1,40,Unrated,89,6.7
90,185,Nicholas Simmons,28,http://www.imdb.com/title/tt3976258/?ref_=fn_tt_tt_1,,,553,4.3
90,319,Julian Richings,160511,http://www.imdb.com/title/tt0123755/?ref_=fn_tt_tt_1,696,R,648,7.3
76,62,Frances O'Connor,1727,http://www.imdb.com/title/tt0116931/?ref_=fn_tt_tt_1,21,R,575,6.4
75,0,Bill Martone,1428,http://www.imdb.com/title/tt0119346/?ref_=fn_tt_tt_1,21,R,2,7.0
78,142,Anne Archer,2787,http://www.imdb.com/title/tt0368089/?ref_=fn_tt_tt_1,64,R,249,5.5
90,224,Charlie Bewley,46813,http://www.imdb.com/title/tt1758692/?ref_=fn_tt_tt_1,150,PG-13,487,6.7
96,270,Steffinnie Phrommany,24,http://www.imdb.com/title/tt1991199/?ref_=fn_tt_tt_1,2,,320,4.3
92,181,Rosanna Arquette,708,http://www.imdb.com/title/tt0173390/?ref_=fn_tt_tt_1,22,R,605,6.1
75,7,Clint Jordan,1227,http://www.imdb.com/title/tt0436607/?ref_=fn_tt_tt_1,11,,8,6.8
99,461,Gus Van Sant,8511,http://www.imdb.com/title/tt2292959/?ref_=fn_tt_tt_1,87,R,835,3.9
58,250,James Norton,12848,http://www.imdb.com/title/tt3428912/?ref_=fn_tt_tt_1,59,TV-MA,340,8.5
86,41,Flaco Navaja,603,http://www.imdb.com/title/tt0389235/?ref_=fn_tt_tt_1,15,R,64,6.9
92,22,Natalie Canerday,7148,http://www.imdb.com/title/tt0952682/?ref_=fn_tt_tt_1,32,PG-13,32,7.3
101,289,Luke Mably,70076,http://www.imdb.com/title/tt1258197/?ref_=fn_tt_tt_1,120,Not Rated,438,6.9
81,5,Samantha Buck,336,http://www.imdb.com/title/tt0127302/?ref_=fn_tt_tt_1,7,,24,6.3
93,73,Mark Hengst,602,http://www.imdb.com/title/tt1270792/?ref_=fn_tt_tt_1,18,G,168,2.5
95,3,Lorne Cardinal,300,http://www.imdb.com/title/tt1360826/?ref_=fn_tt_tt_1,8,PG,53,5.7
107,76,Marty Lindsey,18486,http://www.imdb.com/title/tt1071804/?ref_=fn_tt_tt_1,215,,115,7.0
98,104,Derek Brandon,450,http://www.imdb.com/title/tt1640714/?ref_=fn_tt_tt_1,10,PG,168,6.2
35,152,Kate Flannery,31,http://www.imdb.com/title/tt1003002/?ref_=fn_tt_tt_1,,,219,6.9
108,180,June Lockhart,870,http://www.imdb.com/title/tt0082122/?ref_=fn_tt_tt_1,18,R,427,4.5
66,0,Steve Duin,6,http://www.imdb.com/title/tt3564748/?ref_=fn_tt_tt_1,1,PG,0,7.8
95,89,Brit Morgan,1488,http://www.imdb.com/title/tt2363439/?ref_=fn_tt_tt_1,28,PG-13,206,4.4
99,224,Campbell Scott,1465,http://www.imdb.com/title/tt0140340/?ref_=fn_tt_tt_1,56,Unrated,393,7.4
108,3,Dana Blackstone,25,http://www.imdb.com/title/tt3421204/?ref_=fn_tt_tt_1,1,PG,96,6.6
90,670,Robert Davi,37,http://www.imdb.com/title/tt2559658/?ref_=fn_tt_tt_1,2,,683,8.0
151,6,Renée Adorée,4849,http://www.imdb.com/title/tt0015624/?ref_=fn_tt_tt_1,45,Not Rated,12,8.3
