num_critic_for_reviews,gross,facenumber_in_poster,content_rating,budget,aspect_ratio
15,,0,,,
70,3500000,2,R,2700000,1.85
79,676698,0,R,18000000,1.85
103,3419967,0,R,,2.35
97,,1,R,18000000,2.35
108,145118,0,Not Rated,,2.35
59,,0,Not Rated,18000000,2.35
10,229311,2,R,11350000,2.35
184,,1,Unrated,3500000,1.85
23,,1,R,18000000,
112,63260,0,R,14000000,2.35
45,,1,R,11000000,2.35
59,,1,PG-13,17900000,2.35
195,,2,R,14000000,2.35
256,121463226,2,R,20000000,1.85
44,90485233,0,PG-13,,1.85
59,,2,R,18000000,2.35
97,58006147,2,PG-13,23000000,1.85
142,51053787,1,PG,17500000,1.85
187,23472900,1,PG-13,17500000,2.35
193,39687528,1,R,24000000,2.35
40,7017178,5,PG,17500000,2.35
46,,4,R,18000000,2.35
38,325491,0,R,17500000,1.85
239,96471845,0,PG-13,17000000,1.85
250,85200000,1,R,18500000,1.85
82,72000000,1,Approved,17000000,2.2
140,72219395,1,R,17000000,2.35
129,82389560,1,R,17000000,1.85
285,71502303,0,R,12000000,1.85
91,19179969,2,R,17500000,2.35
318,47000000,0,R,300000,2.35
283,84961,4,PG-13,31000000,2.35
52,37566230,1,PG,17000000,1.85
56,70492685,5,R,17000000,2.35
186,35635046,0,R,17000000,2.35
178,45670855,0,R,20000000,1.85
140,37939782,0,R,17000000,1.85
469,172051787,0,PG,170000000,2.35
63,30324946,2,PG-13,17000000,1.85
148,27854896,1,PG-13,17000000,2.35
265,41777564,0,R,15000000,2.35
75,22734486,1,PG-13,17000000,2.35
113,44469602,0,PG,17000000,2.35
62,24708699,7,PG-13,,2.35
54,21160089,0,PG-13,,2.35
223,64998368,4,PG-13,17000000,1.85
50,19693891,2,PG-13,34000000,1.85
125,16311763,1,R,17000000,1.85
81,12693621,0,PG-13,17000000,2.35
37,15655665,2,PG-13,4000000,1.33
44,11634458,0,G,17000000,1.85
197,27154426,1,R,17000000,2.35
15,,3,Unrated,9000000,2.2
543,54239856,0,R,17000000,2.35
112,8662318,1,PG-13,17000000,1.85
153,7156725,6,PG-13,19000000,1.85
94,15681020,6,PG,17000000,2.35
62,7070459,0,PG-13,,1.85
157,6855137,2,R,17000000,2.35
35,2694071,3,PG,,2.35
21,2315683,0,PG-13,17000000,1.85
236,39825798,3,PG-13,16000000,1.85
50,2000000,0,PG,17000000,2.35
106,1569918,1,R,17000000,2.35
106,106869,1,R,17000000,
173,273420,6,R,17000000,2.35
41,,0,PG,11000000,
41,,0,PG,17000000,2.35
145,4930798,1,PG-13,17000000,2.35
31,59847242,1,PG-13,16500000,1.85
105,220914,2,R,16800000,1.85
236,39825798,3,PG-13,16000000,1.85
114,43848100,2,R,15000000,1.85
69,42700000,2,PG,16500000,1.85
150,18663911,1,PG,16500000,2.35
72,11702090,2,PG-13,16500000,2.35
158,13005485,0,R,15000000,1.85
96,95860116,0,PG,16400000,1.85
84,127175354,2,PG-13,16000000,1.85
114,92823600,0,R,16000000,1.85
79,54000000,0,R,16000000,1.85
103,68525609,5,R,15600000,1.85
67,52885587,0,R,16000000,1.85
576,44667095,0,PG-13,15000000,1.33
178,42638165,1,PG-13,16000000,2.35
487,45507053,2,PG-13,16000000,1.85
196,39511038,0,R,16000000,1.85
24,6462576,0,PG-13,18500000,2.35
56,40363530,2,PG,16000000,1.85
406,37623143,0,R,13500000,1.85
3,,0,,,16.0
51,33357476,0,PG,35000000,1.85
41,28734552,2,R,16000000,1.85
138,37300107,1,PG-13,16000000,2.35
78,27087695,0,PG-13,17700000,1.85
40,30102717,2,R,15000000,1.85
285,23618786,1,R,8000000,2.35
124,26896744,4,PG-13,16500000,1.85
275,23213577,0,PG-13,15500000,1.85
34,,1,,25000000,2.35
81,55461307,9,R,20000000,
67,20627372,3,PG-13,16000000,1.85
103,16346122,0,PG-13,16000000,1.85
300,16204793,1,R,16000000,1.85
84,15427192,0,PG-13,16000000,1.85
64,14792779,0,PG,16000000,1.85
169,13998282,1,PG-13,16000000,2.35
158,19057024,0,PG-13,16000000,1.85
46,14108518,1,PG-13,16000000,1.85
15,13854000,0,PG-13,20000000,1.85
68,77324422,2,PG-13,26000000,1.85
111,15500000,0,R,16000000,2.35
21,11540112,1,PG-13,,1.85
42,,7,PG,16000000,2.35
65,4734235,0,R,15000000,1.85
109,4839383,0,PG-13,16000000,1.85
42,4193025,0,R,15000000,2.35
112,5900000,1,R,16000000,1.85
146,2849142,1,R,16000000,2.35
36,1686429,1,PG-13,16000000,1.85
230,1984743,3,R,16000000,2.35
64,1666262,0,PG-13,16000000,1.66
393,2319187,0,R,20000000,2.35
75,13922211,9,R,16000000,1.85
78,,2,,11000000,2.35
67,23091,1,R,15000000,2.35
216,336467,0,Not Rated,13000000,2.35
54,2964,2,PG-13,16000000,1.78
84,,0,G,16000000,1.85
69,,0,R,16000000,2.35
208,2428883,1,R,16000000,2.35
32,13571817,3,PG-13,15600000,1.85
20,,0,TV-MA,34000000,16.0
78,1554566,1,R,,1.66
21,508867,0,PG,,2.35
40,1181197,0,R,15500000,1.85
40,81525,1,R,15300000,2.35
251,7774730,0,R,15500000,1.85
94,234760500,1,R,14000000,1.85
102,285761243,5,PG,18000000,1.85
