director_name,director_facebook_likes,gross,genres,movie_title,actor_3_name,num_user_for_reviews,language,budget,movie_facebook_likes
Gérard Krawczyk,7,81525,Action|Comedy|Crime|Drama|Thriller,Wasabi ,Michel Muller,91,French,15300000,0
James Gunn,571,7774730,Comedy|Horror|Sci-Fi,Slither ,Tania Saulnier,352,English,15500000,0
Martin Brest,102,234760500,Action|Comedy|Crime,Beverly Hills Cop ,James Russo,175,English,14000000,0
Chris Columbus,0,285761243,Comedy|Family,Home Alone ,Catherine O'Hara,305,English,18000000,20000
Leonard Nimoy,12000,167780960,Comedy|Drama|Family,3 Men and a Baby ,Steve Guttenberg,42,English,11000000,3000
Sydney Pollack,521,177200000,Comedy|Drama|Romance,Tootsie ,Teri Garr,194,English,22000000,0
Tony Scott,12000,176781728,Action|Drama|Romance,Top Gun ,Adrian Pasdar,388,English,15000000,19000
Ang Lee,0,128067808,Action|Drama|Romance,Crouching Tiger, Hidden Dragon ,Sihung Lung,1641,Mandarin,15000000,0
Sam Mendes,0,130058047,Drama,American Beauty ,Ara Celi,2715,English,15000000,22000
Tom Hooper,0,138795342,Biography|Drama|History|Romance,The King's Speech ,Derek Jacobi,636,English,15000000,64000
Ivan Reitman,425,111936400,Comedy|Crime,Twins ,Hugh O'Brian,79,English,15000000,0
,,,Crime|Drama|Horror|Mystery|Thriller,Scream: The TV Series             ,Jason Wiles,68,English,,0
Udayan Prasad,4,317040,Drama|Romance,The Yellow Handkerchief ,William Hurt,36,English,15500000,1000
Steven Spielberg,14000,94175854,Drama,The Color Purple ,Dana Ivey,199,English,15000000,6000
JK Youn,2,,Action|Comedy|Drama|Thriller,Tidal Wave ,Kyung-gu Sol,25,Korean,,558
Timur Bekmambetov,335,,Adventure|Drama|History,Ben-Hur ,Moises Arias,1,English,100000000,0
Morten Tyldum,77,91121452,Biography|Drama|Thriller|War,The Imitation Game ,Allen Leech,608,English,14000000,165000
Howard Zieff,6,69800000,Comedy|War,Private Benjamin ,Alan Oppenheimer,60,English,10000000,855
Michael Apted,150,79900000,Biography|Drama|Music|Musical,Coal Miner's Daughter ,Levon Helm,84,English,,0
Thor Freudenthal,87,64001297,Comedy|Family,Diary of a Wimpy Kid ,Rachael Harris,103,English,15000000,0
Andrés Muschietti,127,71588220,Fantasy|Horror,Mama ,Isabelle Nélisse,304,English,20000000,57000
John Carpenter,0,47000000,Horror|Thriller,Halloween ,P.J. Soles,1191,English,300000,12000
Harold Ramis,11000,61400000,Adventure|Comedy,National Lampoon's Vacation ,Jane Krakowski,183,English,15000000,0
Jeff Tremaine,79,101978840,Comedy,Bad Grandpa ,Grasie Mercedes,162,English,15000000,26000
Stephen Frears,350,56437947,Biography|Drama,The Queen ,Alex Jennings,421,English,9800000,0
Tim Burton,13000,73326666,Comedy|Fantasy,Beetlejuice ,Glenn Shadix,306,English,15000000,15000
Tyler Perry,0,55184721,Comedy|Drama,Why Did I Get Married? ,Lamman Rucker,100,English,15000000,1000
Gillian Armstrong,44,50003300,Drama|Family|Romance,Little Women ,Eric Stoltz,132,English,15000000,0
James Watkins,43,54322273,Drama|Fantasy|Horror|Thriller,The Woman in Black ,Jessica Raine,509,English,17000000,29000
Simon West,165,47860214,Horror|Thriller,When a Stranger Calls ,Brian Geraghty,468,English,15000000,0
Shawn Levy,189,47811275,Adventure|Comedy|Family,Big Fat Liar ,Lee Majors,99,English,15000000,896
Michael Cimino,517,,Drama|War,The Deer Hunter ,John Savage,1026,English,15000000,11000
Barry Levinson,272,43022524,Comedy|Drama,Wag the Dog ,John Michael Higgins,218,English,15000000,12000
Jim Fall,13,42672630,Adventure|Comedy|Family|Music|Romance,The Lizzie McGuire Movie ,Alex Borstein,172,English,17000000,0
Ric Roman Waugh,29,42919096,Action|Drama|Thriller,Snitch ,Nadine Velazquez,122,English,15000000,12000
Michael Dougherty,66,42592530,Comedy|Fantasy|Horror,Krampus ,Allison Tolman,181,English,15000000,27000
Robert Rodriguez,0,40064955,Horror|Mystery|Sci-Fi,The Faculty ,Clea DuVall,502,English,15000000,0
Brian Gibson,13,39100956,Biography|Drama|Music,What's Love Got to Do with It ,Dororthy Thorton,59,English,,0
James Mangold,446,44886089,Crime|Drama|Thriller,Cop Land ,Janeane Garofalo,207,English,10000000,2000
Joel Gallen,11,37882551,Comedy,Not Another Teen Movie ,Mia Kirshner,393,English,16000000,0
David Ayer,453,40983001,Crime|Drama|Thriller,End of Watch ,America Ferrera,336,English,7000000,38000
Cameron Crowe,488,20991497,Comedy|Drama|Romance,Aloha ,Bill Murray,172,English,37000000,11000
Rob Cohen,357,35007180,Action|Crime|Drama|Thriller,The Skulls ,William Petersen,193,English,15000000,0
James Marsh,120,35887263,Biography|Drama|Romance,The Theory of Everything ,Simon McBurney,388,English,15000000,90000
John Whitesell,14,34308901,Comedy|Crime,Malibu's Most Wanted ,Blair Underwood,87,English,16000000,0
Matt Williams,18,33771174,Comedy|Drama|Romance,Where the Heart Is ,Stockard Channing,240,English,15000000,0
David Lean,767,6000000,Adventure|Biography|Drama|History|War,Lawrence of Arabia ,Jack Hawkins,559,English,15000000,11000
Rob Zombie,0,33386128,Horror,Halloween II ,Margot Kidder,491,English,15000000,3000
Jean-Marc Vallée,212,37877959,Adventure|Biography|Drama,Wild ,Gaby Hoffmann,252,English,15000000,38000
Dennis Iliadis,29,32721635,Crime|Horror|Thriller,The Last House on the Left ,Martha MacIsaac,279,English,15000000,0
Clare Kilner,6,31585300,Comedy|Romance,The Wedding Date ,Holland Taylor,250,English,15000000,0
Rick Rosenthal,28,30259652,Comedy|Horror|Thriller,Halloween: Resurrection ,Bianca Kajlich,614,English,15000000,0
Louis Leterrier,255,163192114,Action|Adventure|Fantasy,Clash of the Titans ,Alexa Davalos,637,English,125000000,15000
Rob Reiner,0,30857814,Adventure|Family|Fantasy|Romance,The Princess Bride ,André the Giant,718,English,16000000,33000
Denzel Washington,18000,30226144,Biography|Drama,The Great Debaters ,John Heard,118,English,15000000,0
Nicolas Winding Refn,0,35054909,Crime|Drama,Drive ,Russ Tamblyn,1264,English,15000000,81000
Sara Sugarman,10,29302097,Comedy|Family|Music|Romance,Confessions of a Teenage Drama Queen ,Glenne Headly,105,English,15000000,810
Nicholas Hytner,13,29106737,Comedy|Drama|Romance,The Object of My Affection ,Kali Rocha,132,English,15000000,849
Juan Carlos Fresnadillo,35,28637507,Drama|Horror|Sci-Fi,28 Weeks Later ,Catherine McCormack,713,English,15000000,0
Thomas Carter,49,30127963,Drama|Family|Sport,When the Game Stands Tall ,Ser'Darius Blain,64,English,15000000,0
Wayne Wang,61,32645546,Comedy|Drama|Family,Because of Winn-Dixie ,Eva Marie Saint,88,English,14000000,1000
Gina Prince-Bythewood,107,27441122,Drama|Romance|Sport,Love & Basketball ,Omar Epps,116,English,15000000,0
George Armitage,5,28014536,Action|Comedy|Crime|Romance|Thriller,Grosse Pointe Blank ,Mitchell Ryan,296,English,15000000,0
Phil Traill,3,33860010,Comedy|Romance,All About Steve ,Beth Grant,143,English,15000000,0
Joe Berlinger,31,26421314,Adventure|Fantasy|Horror|Mystery|Thriller,Book of Shadows: Blair Witch 2 ,Kurt Loder,457,English,15000000,949
Andrew Fleming,26,24881000,Drama|Fantasy|Horror|Thriller,The Craft ,Brenda Strong,195,English,15000000,6000
Woody Allen,11000,23089926,Drama|Romance|Thriller,Match Point ,Penelope Wilton,735,English,15000000,0
Elizabeth Allen Rosenbaum,20,26161406,Adventure|Comedy|Family|Fantasy,Ramona and Beezus ,Jason Spevack,52,English,15000000,0
James Ivory,133,22954968,Drama|Romance,The Remains of the Day ,Ben Chaplin,156,English,11500000,0
Paul Thomas Anderson,0,26384919,Drama,Boogie Nights ,Nina Hartley,560,English,15000000,0
Robert Harmon,11,22189039,Action|Crime|Drama|Romance|Thriller,Nowhere to Run ,Joss Ackland,55,English,15000000,466
Michael Mayer,15,20998709,Adventure|Drama|Family,Flicka ,Tim McGraw,76,English,15000000,1000
Martin Weisz,7,20801344,Horror,The Hills Have Eyes II ,Jacob Vargas,211,English,15000000,0
John Ottman,83,21468807,Horror|Mystery|Thriller,Urban Legends: Final Cut ,Jacinda Barrett,227,English,14000000,243
Jay Russell,13,19158074,Drama|Family|Fantasy|Romance,Tuck Everlasting ,Jonathan Jackson,127,English,15000000,0
