director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,genres,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score
Jamie Blanks,120,96,9,448,690,Horror|Mystery|Thriller,20467,2402,1,R,10000000,2001,533,4.7
Olatunde Osunsanmi,183,98,58,242,14000,Mystery|Sci-Fi|Thriller,63108,15251,0,PG-13,10000000,2009,537,5.9
Robert Altman,211,105,500,718,11000,Comedy|Drama|Music,19655,12946,8,PG-13,10000000,2006,912,6.8
Leon Ichaso,14,123,5,338,556,Drama|Thriller,3119,2149,1,R,10000000,1993,475,5.9
Joseph Zito,54,107,17,53,371,Action|Thriller,6143,857,1,R,10000000,1985,324,5.3
Malcolm D. Lee,55,112,92,826,2000,Comedy|Drama|Music|Romance,5585,7552,0,PG-13,,2005,918,6.0
Wes Anderson,179,93,0,766,13000,Comedy|Drama,134458,15716,2,R,9000000,1998,933,7.7
Colin Strause,221,97,25,861,929,Action|Sci-Fi|Thriller,76199,3679,0,PG-13,10000000,2010,927,4.4
John Madden,158,122,108,111,220,Comedy|Drama,22369,583,6,PG,10000000,2015,186,6.6
Patricia Rozema,73,101,22,558,918,Drama|Family,4719,3317,1,G,10000000,2008,624,6.7
Mark Rosman,65,100,15,804,1000,Comedy|Family|Romance,23527,4789,3,PG,25000000,2005,962,5.5
Spike Lee,23,129,0,203,18000,Drama|Music|Romance,8295,19065,1,R,10000000,1990,269,6.5
Steve Oedekerk,63,81,176,39,176,Action|Comedy,37901,361,1,PG-13,10000000,2002,67,6.2
Ron Underwood,132,96,31,536,651,Comedy|Horror|Sci-Fi,90070,3119,0,PG-13,11000000,1990,610,7.1
Rob Schmidt,191,84,36,648,2000,Horror|Thriller,87494,3416,1,R,12600000,2003,683,6.1
Walter Hill,52,100,394,695,2000,Western,7322,6296,0,R,10000000,1980,926,7.1
James Foley,91,110,164,45,258,Action|Crime|Drama|Mystery|Thriller,15358,571,2,R,30000000,1999,218,6.0
Jeff Nichols,368,130,337,820,11000,Drama,135286,13960,1,PG-13,10000000,2012,1000,7.4
Robert Ben Garant,89,84,134,307,655,Comedy|Crime,23928,2737,2,R,10000000,2007,651,5.9
Morgan Spurlock,83,106,293,547,773,Documentary|Music,22161,2787,11,PG,10000000,2013,734,4.1
Neal Brennan,83,89,23,503,839,Comedy,17790,3973,5,R,,2009,700,5.8
Tuck Tucker,33,76,14,636,1000,Adventure|Animation|Comedy|Family,4564,3752,0,PG,3000000,2002,811,5.9
Simon Curtis,386,99,64,918,13000,Biography|Drama,71679,17204,1,R,6400000,2011,2000,7.0
Richard Shepard,191,96,47,442,3000,Comedy|Crime|Drama|Thriller,40514,4053,0,R,10000000,2005,497,6.8
Theodore Witcher,16,104,28,582,962,Drama|Romance,2801,3871,0,R,10000000,1997,826,7.4
Joel Edgerton,297,108,0,458,1000,Mystery|Thriller,79909,3215,1,R,5000000,2015,562,7.1
Jim Hanon,47,108,2,30,772,Adventure|Drama,4360,1058,3,PG-13,10000000,2005,232,7.0
Tommy O'Haver,63,87,13,869,15000,Comedy|Romance,15617,22485,1,PG-13,22000000,2001,4000,5.8
Mike Judge,144,89,406,759,989,Comedy,200293,3462,0,R,10000000,1999,939,7.8
Michael Patrick Jann,77,97,31,551,4000,Comedy|Romance|Thriller,27265,6388,0,PG-13,10000000,1999,980,6.5
Tim Burton,325,106,13000,309,11000,Biography|Crime|Drama|Romance,55539,12418,3,PG-13,10000000,2014,430,7.0
Peter Berg,100,100,532,711,4000,Comedy|Crime|Thriller,39331,6046,0,R,10000000,1998,796,6.3
Joe Nussbaum,52,89,18,2000,7000,Comedy|Romance,12706,13626,9,PG,10000000,2004,2000,5.3
Brian De Palma,98,114,0,298,537,Mystery|Thriller,20113,1856,0,R,10000000,1984,376,6.8
Jorma Taccone,163,95,434,472,1000,Action|Comedy|Romance,35888,2618,3,R,10000000,2010,622,5.5
Stephen Frears,137,97,350,250,460,Crime|Drama|Thriller,34848,1334,1,R,10000000,2002,372,7.4
Elizabeth Banks,180,94,0,3000,20000,Comedy,79146,41059,10,R,6000000,2013,14000,4.3
Florian Henckel von Donnersmarck,321,103,207,3000,40000,Action|Romance|Thriller,176606,55175,0,PG-13,100000000,2010,11000,6.0
Jeff Lowell,100,95,4,655,939,Comedy|Fantasy|Romance,21268,3651,0,PG-13,10000000,2008,702,5.2
Lorene Scafaria,265,101,63,172,7000,Adventure|Comedy|Drama|Romance|Sci-Fi,87203,7747,2,R,10000000,2012,353,6.7
Miguel Arteta,212,87,44,727,1000,Comedy,32697,4769,1,R,,2011,939,6.3
,68,40,,476,1000,Comedy|Crime|Drama|Mystery|Romance,111506,2198,2,TV-14,,,722,7.9
Tony Kaye,162,101,194,602,1000,Crime|Drama,782437,3858,2,R,7500000,1998,816,8.6
Marcus Dunstan,147,82,87,444,1000,Action|Horror|Thriller,36029,3818,0,R,10000000,2012,581,6.1
Timothy Björklund,33,74,0,719,886,Animation|Comedy|Family|Fantasy|Musical,1231,5139,0,PG,10000000,2004,808,5.8
François Girard,94,130,63,2,24,Drama|Music|Mystery|Romance,26832,29,3,R,10000000,1998,3,7.7
David Lynch,143,112,0,201,874,Biography|Drama,63733,1351,0,G,10000000,1999,262,8.0
Scott Kalvert,38,96,9,934,12000,Action|Crime|Drama,6200,26961,1,R,10000000,2002,11000,5.6
Jason Bateman,126,89,0,322,628,Comedy|Drama,38459,2061,0,R,10000000,2013,497,6.7
David Schwimmer,168,100,0,231,427,Comedy|Romance|Sport,58509,1022,0,PG-13,,2007,269,6.6
Allan Arkush,19,78,13,378,753,Comedy|Sci-Fi,1040,2791,0,PG,10000000,1981,695,4.2
Mike Binder,91,121,57,664,1000,Drama,8058,3745,2,PG-13,9000000,2014,837,6.6
Eric Bross,46,85,49,401,719,Comedy|Family|Romance,3662,2446,2,PG,16000000,2001,405,4.1
Werner Herzog,198,120,0,294,23000,Adventure|Biography|Drama|War,84641,24270,0,PG-13,10000000,2006,342,7.3
Dan Fogelman,139,106,102,970,14000,Comedy|Drama|Music,20810,18712,0,R,10000000,2015,3000,7.1
Jay Duplass,182,83,157,581,2000,Comedy|Drama,56005,3374,5,R,10000000,2011,616,6.5
Luca Guadagnino,181,120,64,72,144,Drama|Romance,14031,474,1,R,10000000,2009,110,7.0
John Putch,23,111,60,699,823,Drama|Mystery|Sci-Fi,5612,5262,0,PG-13,10000000,2012,759,5.5
Peter Medak,30,100,34,541,10000,Action|Crime|Drama|Thriller,10735,13160,1,R,11500000,1993,721,6.6
Steven Soderbergh,111,89,0,132,402,Crime|Drama|Mystery|Thriller,24412,1335,0,R,9000000,1999,296,7.1
Paul Haggis,287,115,549,911,3000,Crime|Drama|Thriller,361169,5732,0,R,6500000,2004,912,7.9
Terence Davies,96,135,25,553,902,Drama|Romance,6377,2735,0,PG,10000000,2000,576,7.1
Harley Cokeliss,27,92,4,311,754,Action|Drama|Thriller,1768,1891,4,R,10000000,1987,324,5.6
Victor Salva,44,120,108,400,634,Drama|Romance|Sport,20426,2673,1,PG-13,10000000,2006,436,7.3
Tom Brady,49,97,105,269,982,Comedy,9541,2603,1,R,10000000,2011,503,3.3
Spike Lee,57,135,0,851,1000,Comedy|Drama|Music,8720,4266,0,R,10000000,2000,975,6.5
Jason Zada,185,93,4,4,533,Horror|Mystery|Thriller,20837,578,1,PG-13,10000000,2016,35,4.8
Franklin J. Schaffner,2,118,76,249,902,Adventure|Mystery|Thriller,892,2079,0,PG,14000000,1981,488,5.2
Noah Baumbach,270,97,387,64,6000,Comedy|Drama,30325,6322,2,R,10000000,2014,139,6.3
Chris Weitz,94,98,129,221,749,Drama|Romance,13174,2214,0,PG-13,10000000,2011,252,7.2
David Cronenberg,157,98,0,258,530,Drama|Mystery|Thriller,30096,1381,0,R,8000000,2002,387,6.8
Eric Blakeney,49,101,3,826,14000,Comedy|Crime|Romance,5936,17665,0,R,10000000,2000,1000,5.7
Douglas McGrath,80,132,41,1000,16000,Drama|Romance,9395,29177,1,PG,10000000,2002,11000,7.2
Ariel Vromen,221,106,34,683,11000,Biography|Crime|Drama,55567,23187,1,R,10000000,2012,11000,6.9
