duration,actor_3_facebook_likes,gross,movie_title,num_user_for_reviews,title_year,actor_2_facebook_likes,movie_facebook_likes
129,886,64685359,Now You See Me 2 ,139,2016,11000,15000
116,84,61355436,The Saint ,184,1997,117,0
114,307,26871,Spy Game ,361,2001,577,0
114,281,60874615,Mission to Mars ,949,2000,933,0
96,350,143618384,Rio ,186,2011,560,19000
132,957,58220776,Bicentennial Man ,362,1999,1000,0
104,612,47474112,Volcano ,181,1997,643,2000
111,2000,42877165,The Devil's Own ,114,1997,11000,979
138,123,35168677,K-19: The Widowmaker ,278,2002,602,0
100,78,56114221,Fantastic Four ,695,2015,360,41000
129,183,37567440,Conan the Barbarian ,337,1982,691,0
144,537,61644321,Cinderella Man ,529,2005,655,0
110,554,190562,The Nutcracker in 3D ,24,2010,886,788
140,599,120147445,Seabiscuit ,455,2003,947,0
113,848,241688385,Twister ,395,1996,946,0
106,4000,144512310,The Fast and the Furious ,988,2001,14000,14000
143,272,233630478,Cast Away ,1051,2000,410,23000
108,971,197992827,Happy Feet ,548,2006,20000,0
108,129,176049130,The Bourne Supremacy ,806,2004,805,0
124,936,172620724,Air Force One ,393,1997,10000,0
116,471,183405771,Ocean's Eleven ,845,2001,1000,0
110,5000,20315324,The Three Musketeers ,254,2011,8000,19000
91,11000,148313048,Hotel Transylvania ,168,2012,11000,28000
107,118,127706877,Enchanted ,399,2007,142,0
44,148,,Hannibal             ,270,,183,59000
115,820,126149655,Safe House ,276,2012,16000,19000
100,439,66941559,102 Dalmatians ,77,2000,795,372
104,535,78009155,Tower Heist ,194,2011,906,0
138,213,63224849,The Holiday ,483,2006,3000,19000
140,619,111544445,Enemy of the State ,415,1998,660,0
120,963,112703470,It's Complicated ,214,2009,2000,0
122,11000,117144465,Ocean's Thirteen ,288,2007,13000,0
83,624,84303558,Open Season ,100,2006,650,863
139,1000,150832203,Divergent ,713,2014,5000,49000
131,29,51396781,Enemy at the Gates ,662,2001,35,0
104,557,47592825,The Rundown ,255,2003,3000,0
130,330,50016394,Last Action Hero ,257,1993,442,0
145,210,57010853,Memoirs of a Geisha ,548,2005,691,0
104,159,62494975,The Fast and the Furious: Tokyo Drift ,378,2006,227,0
97,561,46440491,Arthur Christmas ,78,2011,579,0
178,551,44606335,Meet Joe Black ,703,1998,11000,10000
108,172,40048332,Collateral Damage ,339,2002,174,941
123,87,,All That Jazz ,146,1979,388,0
106,809,64933670,Mirror Mirror ,208,2012,886,18000
112,719,31494270,Scott Pilgrim vs. the World ,522,2010,1000,36000
135,106,31111260,The Core ,466,2003,345,0
109,571,123307945,Nutty Professor II: The Klumps ,171,2000,592,374
86,271,153288182,Scooby-Doo ,521,2002,2000,0
95,20,13401683,Dredd ,588,2012,107,46000
107,233,137340146,Click ,685,2006,1000,7000
130,602,,Creepshow ,211,1982,826,0
82,615,43575716,Cats & Dogs: The Revenge of Kitty Galore ,63,2010,760,0
88,521,80170146,Jumper ,488,2008,4000,0
120,160,75754670,Hellboy II: The Golden Army ,342,2008,169,3000
162,495,33048353,Zodiac ,589,2007,15000,12000
123,956,34543701,The 6th Day ,289,2000,975,0
101,1000,242589580,Bruce Almighty ,604,2003,7000,0
113,5000,102981571,The Expendables ,741,2010,13000,57000
110,898,180965237,Mission: Impossible ,378,1996,1000,0
142,575,407999255,The Hunger Games ,1959,2012,14000,140000
102,461,254455986,The Hangover Part II ,402,2011,670,56000
126,390,162831698,Batman Returns ,610,1992,811,0
83,925,155019340,Over the Hedge ,250,2006,7000,0
85,443,145771527,Lilo & Stitch ,367,2002,533,0
97,852,82506325,Charlotte's Web ,102,2006,8000,0
120,3000,140459099,Deep Impact ,493,1998,4000,0
116,110,53215979,RED 2 ,205,2013,12000,22000
113,421,158115031,The Longest Yard ,316,2005,437,0
87,733,133103929,Alvin and the Chipmunks: Chipwrecked ,56,2011,1000,0
101,11000,133668525,Grown Ups 2 ,255,2013,11000,14000
110,11000,130313314,Get Smart ,380,2008,12000,0
128,343,124590960,Something's Gotta Give ,402,2003,4000,0
138,163,127968405,Shutter Island ,964,2010,223,53000
88,982,120136047,Four Christmases ,124,2008,3000,0
91,208,128200012,Robots ,269,2005,311,0
138,805,112225777,Face/Off ,535,1997,1000,11000
99,495,109993847,Bedtime Stories ,116,2008,869,0
117,818,104054514,Road to Perdition ,1009,2002,1000,0
117,503,103028109,Just Go with It ,203,2011,3000,19000
54,0,,Daredevil             ,394,,4,55000
123,744,101087161,Con Air ,339,1997,878,0
118,915,101111837,Eagle Eye ,318,2008,982,0
154,16000,95632614,Cold Mountain ,674,2003,20000,0
118,10000,94822707,The Book of Eli ,560,2010,15000,20000
90,159,92969824,Flubber ,64,1997,570,0
113,913,91188905,The Haunting ,805,1999,960,0
88,366,90443603,Space Jam ,123,1996,967,0
93,38,82226474,The Pink Panther ,424,2006,177,0
104,71,79363785,The Day the Earth Stood Still ,698,2008,4000,0
135,67,76081498,Conspiracy Theory ,162,1997,137,0
134,697,85707116,Fury ,701,2014,8000,82000
98,397,74329966,Six Days Seven Nights ,164,1998,643,0
80,375,100169068,Yogi Bear ,100,2010,642,0
83,495,73215310,Spirit: Stallion of the Cimarron ,216,2002,503,4000
102,269,80360866,Zookeeper ,127,2011,1000,0
130,427,69102910,Lost in Space ,370,1998,882,0
129,502,65948711,The Manchurian Candidate ,363,2004,1000,0
117,87,821997,Déjà Vu ,40,1997,577,91
89,859,169692572,Hotel Transylvania 2 ,97,2015,11000,16000
25,474,,Bewitched             ,71,,960,0
74,62,60507228,Fantasia 2000 ,186,1999,243,607
96,102,56684819,The Time Machine ,615,2002,639,3000
114,372,50628009,Mighty Joe Young ,88,1998,496,0
99,820,69772969,Swordfish ,543,2001,3000,0
129,163,45356386,The Legend of Zorro ,244,2005,277,951
113,129,55350897,What Dreams May Come ,619,1998,448,32000
90,658,39442871,Little Nicky ,237,2000,11000,0
118,871,37899638,The Brothers Grimm ,492,2005,13000,0
106,733,37754208,Mars Attacks! ,405,1996,770,0
81,8,,Evolution ,3,2015,21,257
117,904,27779888,The Edge ,182,1997,1000,0
89,1000,38542418,Surrogates ,252,2009,1000,0
145,183,34566746,Thirteen Days ,315,2000,274,0
114,366,32885565,Daylight ,101,1996,10000,0
87,210,36073232,Walking with Dinosaurs 3D ,66,2013,396,0
119,41,21471685,Battlefield Earth ,1308,2000,117,0
91,695,20950820,Looney Tunes: Back in Action ,160,2003,739,665
118,30,19673424,Nine ,232,2009,48,0
116,982,19480739,Timeline ,457,2003,18000,0
177,582,17593391,The Postman ,376,1997,674,0
97,231,18318000,Babe: Pig in the City ,216,1998,971,964
106,612,27356090,The Last Witch Hunter ,117,2015,788,21000
106,0,17473245,Red Planet ,348,2000,0,995
94,14,15131330,Arthur and the Invisibles ,64,2006,80,941
104,7,19406406,Oceans ,42,2009,63,0
102,212,1891821,A Sound of Thunder ,301,2005,307,785
105,74,23219748,Pompeii ,308,2014,172,20000
89,20,,Top Cat Begins ,1,2015,94,138
135,535,170708996,A Beautiful Mind ,1171,2001,592,29000
73,847,422783777,The Lion King ,656,1994,886,17000
94,722,103812241,Journey 2: The Mysterious Island ,133,2012,12000,0
95,18,119793567,Cloudy with a Chance of Meatballs 2 ,85,2013,161,15000
124,876,92930005,Red Dragon ,764,2002,12000,0
136,1000,67286731,Hidalgo ,345,2004,10000,0
91,553,74158157,Jack and Jill ,264,2011,11000,0
107,771,127083765,2 Fast 2 Furious ,370,2003,787,0
108,6000,1339152,The Little Prince ,64,2015,11000,31000
99,327,15071514,The Invasion ,273,2007,422,0
92,924,26000610,The Adventures of Rocky & Bullwinkle ,197,2000,1000,413
87,745,323505540,The Secret Life of Pets ,155,2016,904,36000
110,845,66462600,The League of Extraordinary Gentlemen ,786,2003,872,0
98,1000,368049635,Despicable Me 2 ,284,2013,2000,56000
154,933,306124059,Independence Day ,856,1996,2000,16000
129,227,229074524,The Lost World: Jurassic Park ,552,1997,506,0
86,179,193136719,Madagascar ,385,2005,436,0
109,18,35286428,Children of Men ,1206,2006,430,17000
104,505,157299717,X-Men ,1401,2000,764,0
110,988,134568845,Wanted ,713,2008,11000,0
136,904,134006721,The Rock ,415,1996,2000,51000
115,241,195329763,Ice Age: The Meltdown ,253,2006,590,0
99,328,120776832,50 First Dates ,456,2004,427,11000
117,260,118823091,Hairspray ,401,2007,339,0
125,394,41814863,Exorcist: The Beginning ,308,2004,422,893
110,692,97360069,Inspector Gadget ,231,1999,710,509
125,963,117698894,Now You See Me ,629,2013,988,105000
102,4000,162001186,Grown Ups ,311,2010,11000,12000
128,232,77032279,The Terminal ,596,2004,466,16000
43,218,,Constantine             ,94,,560,10000
