director_name,num_critic_for_reviews,actor_2_name,genres,actor_3_name,plot_keywords,aspect_ratio
Tom Gormican,164,Lola Glaudini,Comedy|Romance,Josh Pais,dating|divorce|father daughter relationship|mother daughter relationship|party,2.35
Ken Shapiro,14,Dabney Coleman,Comedy|Fantasy|Sci-Fi,Mary Kay Place,air traffic controller|nuclear waste|orgasm|telekinesis|voodoo,1.85
Justin Tipping,6,Natalie Stephany Aguilar,Adventure,Justin Hall,,
Kenneth Branagh,41,Denzel Washington,Comedy|Drama|Romance,Brian Blessed,16th century|bachelor|dishonor|masquerade party|wedding,1.85
Peter R. Hunt,143,George Lazenby,Action|Adventure|Thriller,Desmond Llewelyn,bond girl|british|mission|portugal|switzerland,2.35
,9,Philip Winchester,Action|Crime|Drama|Thriller,Jeff Marlow,bet|friend|pit boss|secret|surveillance,16.0
Wes Craven,109,Heather Langenkamp,Fantasy|Horror|Mystery|Thriller,Tracy Middendorf,earthquake|elm street|freddy krueger|nightmare|sleep,1.85
John Schultz,59,Mark Webber,Comedy|Drama|Romance,Keri Lynn Pratt,centennial|girl|next door neighbor|prom|school,1.85
Doug Atchison,95,Sean Michael Afable,Drama,Tzi Ma,national spelling bee|principal|school principal|spelling|spelling bee,2.35
Tamra Davis,40,Harland Williams,Comedy|Crime,Clarence Williams III,bail|diabetic|friend|jail|pharmaceutical lab,1.85
Jonas Elmer,121,Frances Conroy,Comedy|Romance,Harry Connick Jr.,love|manufacturing|minnesota|plant|small town,1.85
Stephen Gaghan,358,Amr Waked,Drama|Thriller,Kayvan Novak,cia|hezbollah|lebanon|oil|prince,2.35
Mary Harron,288,Justin Theroux,Crime|Drama,Samantha Mathis,1980s|business card|male rear nudity|materialism|narcissism,2.35
Miguel Arteta,107,Zooey Deschanel,Drama|Romance,Tim Blake Nelson,dysfunctional marriage|marijuana|small town|store|trying to conceive,1.85
Erik Canuel,28,Richard Howland,Action|Comedy|Crime|Thriller,Sarain Boylan,border|hockey|killer|police|tattoo,2.35
Troy Duffy,91,Julie Benz,Action|Crime|Thriller,Clifton Collins Jr.,final showdown|ireland|justice|priest|sheep,2.35
James Ivory,55,Omar Metwally,Drama|Romance,Diego Velazquez,child|student|university|widow|writer,1.85
Nicole Holofcener,231,Ben Falcone,Comedy|Drama|Romance,Michaela Watkins,dating|divorcee|ex husband|ex wife|party,1.85
Will Gluck,262,Dan Byrd,Comedy|Romance,Fred Armisen,gay|gay interest|high school|school|student,1.85
Matty Rich,7,Joe Morton,Comedy|Drama|Romance,Larenz Tate,fire|marriage|martha's vineyard|teenager|vacation,1.85
E. Elias Merhige,196,Udo Kier,Drama|Horror,Catherine McCormack,actor|breasts|film actress|nosferatu|vampire,2.35
Joe Nussbaum,83,Thomas McDonell,Comedy|Drama,Aimee Teegarden,decoration|father daughter relationship|high school|prom|teenager,1.85
Matt Reeves,18,Michael Rapaport,Comedy|Romance,Carol Kane,bachelor party|directorial debut|funeral|pallbearer|wedding,1.85
Steve Rash,11,Nia Long,Comedy,Jake Busey,hold up|hostage|stockholm syndrome|swat team|vegetarian,1.85
Fina Torres,72,John de Lancie,Comedy|Fantasy|Romance,Mark Feuerstein,cross dresser|food|friend|motion sickness|restaurant,2.35
James Ivory,51,Vanessa Redgrave,Drama|Romance,Samuel West,england|friendship|prejudice|upper class|working class,2.35
,18,Joseph Gilgun,Adventure|Drama|Fantasy|Mystery,Ruth Negga,heaven and hell|preacher|supernatural|vampire|vertigo comics,16.0
Duke Johnson,328,Tom Noonan,Animation|Comedy|Drama|Romance,David Thewlis,full frontal male nudity|hotel room|multiple characters voiced by same person|one night stand|sex in hotel room,2.35
Mike Leigh,248,Imelda Staunton,Comedy|Drama,Phil Davis,autumn|four seasons|friend|looking at one's self in a mirror|unhappiness,2.35
