director_name,num_critic_for_reviews,duration,director_facebook_likes,gross,genres,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
Dennis Dugan,97,96,221,19351569,Comedy|Crime|Romance,664,1,female nudity|friend|kidnapping|love|nun,http://www.imdb.com/title/tt0239948/?ref_=fn_tt_tt_1,201,PG-13,22000000,226,5.9,1.85
David Bowers,88,94,42,49002815,Comedy|Family,3153,2,best friend|camping|country club|no opening credits|summer vacation,http://www.imdb.com/title/tt2023453/?ref_=fn_tt_tt_1,35,PG,22000000,569,6.4,2.35
Spike Lee,85,142,0,19283782,Crime|Drama|Romance|Thriller,5386,0,distrust|fear|murder|neighborhood|new york city,http://www.imdb.com/title/tt0162677/?ref_=fn_tt_tt_1,354,R,22000000,911,6.6,1.85
Kevin Smith,181,104,0,30059386,Comedy,11632,5,internet|jay and silent bob|new jersey|orangutan|police,http://www.imdb.com/title/tt0261392/?ref_=fn_tt_tt_1,867,R,22000000,1000,6.9,2.35
Michael Bay,257,136,0,35799026,Action|Adventure|Romance|Sci-Fi|Thriller,34838,1,clone|environment|escape|island|lottery,http://www.imdb.com/title/tt0399201/?ref_=fn_tt_tt_1,899,PG-13,126000000,12000,6.9,2.35
Daniel Sackheim,95,106,12,17951431,Crime|Drama|Mystery|Thriller,4239,1,car|car accident|death|friend|glass,http://www.imdb.com/title/tt0221218/?ref_=fn_tt_tt_1,200,PG-13,30000000,844,5.8,2.35
Ethan Coen,423,106,1000,29997095,Comedy|Mystery,38494,5,50s|film within a film|hollywood|illegitimate pregnancy|twins,http://www.imdb.com/title/tt0475290/?ref_=fn_tt_tt_1,302,PG-13,22000000,17000,6.4,1.85
Harry Elfont,93,98,4,14252830,Comedy|Music,3769,0,based on tv series|fictional band|girl band|music industry|pop band,http://www.imdb.com/title/tt0236348/?ref_=fn_tt_tt_1,242,PG-13,22000000,486,5.3,1.85
Gary Fleder,203,100,39,19783777,Action|Crime|Drama|Thriller,39989,1,biker|biker gang|dea|dea agent|fight,http://www.imdb.com/title/tt2312718/?ref_=fn_tt_tt_1,154,R,22000000,11000,6.5,2.35
Uli Edel,38,95,34,13555988,Adventure|Comedy|Family|Fantasy,2216,1,boy|pushed off a cliff|rat|secret passage|vampire,http://www.imdb.com/title/tt0192255/?ref_=fn_tt_tt_1,38,PG,22000000,439,5.7,1.85
David O. Russell,183,107,737,12784713,Comedy,8094,11,coincidence|cult film|overalls|suburb|vomiting,http://www.imdb.com/title/tt0356721/?ref_=fn_tt_tt_1,381,R,22000000,718,6.7,2.35
Fred Dekker,75,104,87,10696210,Action|Crime|Sci-Fi|Thriller,3148,0,android|corporation|ninja|police|robocop,http://www.imdb.com/title/tt0107978/?ref_=fn_tt_tt_1,180,PG-13,23500000,826,3.9,1.85
Brian Trenchard-Smith,18,104,53,5974653,Action|Adventure|Fantasy|Sci-Fi|Thriller,4221,0,armageddon|battle|end times|reference to satan|sequel,http://www.imdb.com/title/tt0263728/?ref_=fn_tt_tt_1,111,PG-13,22000000,595,4.1,1.85
Blake Edwards,22,143,688,5000000,Comedy|Drama|Musical|Romance|War,788,2,crepe suzette|french|mata hari spoof|song|spy,http://www.imdb.com/title/tt0065611/?ref_=fn_tt_tt_1,50,G,25000000,50,6.2,2.35
Hugh Wilson,41,77,37,9694105,Comedy|Family|Romance,5568,0,gold|gold rush|mirror|police officer|singer,http://www.imdb.com/title/tt0160236/?ref_=fn_tt_tt_1,77,PG,22000000,968,3.8,2.35
Camille Delamarre,148,96,11,16027866,Action|Crime|Thriller,1411,0,airfield|car|car stunt|driver|private jet,http://www.imdb.com/title/tt2938956/?ref_=fn_tt_tt_1,121,PG-13,25000000,173,5.1,2.35
Laurence Dunmore,111,114,2,4829497,Drama|Romance,42484,1,ambassador|charles ii|earl|mistress|poet,http://www.imdb.com/title/tt0375920/?ref_=fn_tt_tt_1,260,R,,1000,6.4,2.35
Paul Verhoeven,231,145,719,4398392,Drama|Thriller|War,2590,1,boat|escape|hiding|nazi|resistance,http://www.imdb.com/title/tt0389557/?ref_=fn_tt_tt_1,232,R,21000000,380,7.8,2.35
Christian Carion,115,116,13,1050445,Drama|History|Music|Romance|War,773,0,christmas|no man's land|soldier|trench|world war one,http://www.imdb.com/title/tt0424205/?ref_=fn_tt_tt_1,147,PG-13,22000000,172,7.8,2.35
David Palmer,176,100,21,13746550,Action|Comedy|Romance,15922,5,gay cop|getaway driver|masturbation|penis|witness protection,http://www.imdb.com/title/tt2097307/?ref_=fn_tt_tt_1,104,R,2000000,618,6.1,2.35
