actor_1_facebook_likes,num_voted_users,actor_3_name,movie_imdb_link,content_rating,budget
1000,3740,Kacey Clarke,http://www.imdb.com/title/tt2628316/?ref_=fn_tt_tt_1,R,
848,4792,Anna Katarina,http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1,R,10000000
981,662,Craig Sheffer,http://www.imdb.com/title/tt4060866/?ref_=fn_tt_tt_1,R,8000000
11000,72324,Patti LuPone,http://www.imdb.com/title/tt0097239/?ref_=fn_tt_tt_1,PG,7500000
1000,5275,Vivica A. Fox,http://www.imdb.com/title/tt0120169/?ref_=fn_tt_tt_1,R,7500000
186,29843,Garvin Cross,http://www.imdb.com/title/tt0113326/?ref_=fn_tt_tt_1,R,7500000
10000,4035,Ángela Molina,http://www.imdb.com/title/tt2936180/?ref_=fn_tt_tt_1,,7700000
24000,191998,Todd Louiso,http://www.imdb.com/title/tt0427944/?ref_=fn_tt_tt_1,R,6500000
1000,69989,Stanislav Ianevski,http://www.imdb.com/title/tt0498353/?ref_=fn_tt_tt_1,R,10000000
3000,112138,Ellie Kendrick,http://www.imdb.com/title/tt1174732/?ref_=fn_tt_tt_1,PG-13,4500000
827,21225,Clyde Kusatsu,http://www.imdb.com/title/tt0338427/?ref_=fn_tt_tt_1,R,
584,6595,Nastassja Kinski,http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1,R,7500000
673,34098,Alan Van Sprang,http://www.imdb.com/title/tt0272207/?ref_=fn_tt_tt_1,R,7500000
611,3709,Kari Matchett,http://www.imdb.com/title/tt0263734/?ref_=fn_tt_tt_1,R,7500000
834,5463,Richard Bull,http://www.imdb.com/title/tt1001562/?ref_=fn_tt_tt_1,PG-13,7500000
373,833,Tiffany Dupont,http://www.imdb.com/title/tt0410454/?ref_=fn_tt_tt_1,PG,7500000
24000,37530,Clifton Collins Jr.,http://www.imdb.com/title/tt1225822/?ref_=fn_tt_tt_1,R,8000000
12000,3972,Bruce Dern,http://www.imdb.com/title/tt0319829/?ref_=fn_tt_tt_1,PG-13,
71,1439,Roschdy Zem,http://www.imdb.com/title/tt0269329/?ref_=fn_tt_tt_1,,50000000
631,18109,Natalie Mendoza,http://www.imdb.com/title/tt0345061/?ref_=fn_tt_tt_1,R,7500000
5000,243,Vincent Regan,http://www.imdb.com/title/tt1772422/?ref_=fn_tt_tt_1,,7500000
3000,361169,Jennifer Esposito,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,R,6500000
3000,19616,Mark Williams,http://www.imdb.com/title/tt1602098/?ref_=fn_tt_tt_1,R,8000000
