director_name,num_critic_for_reviews,actor_1_facebook_likes,movie_title,title_year
Tanner Beard,2,10000,The Legend of Hell's Gate: An American Conspiracy ,2011
Scott Dow,23,680,The Walking Deceased ,2015
Derick Martini,32,2000,The Curse of Downers Grove ,2015
Jerry Dugan,18,11000,Shark Lake ,2015
Tim Hunter,45,18000,River's Edge ,1986
Michael Polish,60,548,Northfork ,2003
William Kaufman,23,405,The Marine 4: Moving Target ,2015
Rodrigo Cortés,363,16000,Buried ,2010
Richard Ayoade,249,920,Submarine ,2010
Jehane Noujaim,68,161,The Square ,2013
Pascal Arnold,14,533,One to Another ,2006
Kimberly Peirce,359,17000,Carrie ,2013
Remo,15,733,ABCD (Any Body Can Dance) ,2013
Wes Craven,256,40000,A Nightmare on Elm Street ,1984
James Marsh,194,41,Man on Wire ,2008
John Laing,,42,Abandoned ,2015
Jamal Hill,10,628,Brotherly Love ,2015
Daniel Stamm,311,463,The Last Exorcism ,2010
Sam Taylor-Johnson,205,1000,Nowhere Boy ,2009
Elia Kazan,94,10000,A Streetcar Named Desire ,1951
Stanley Kubrick,192,654,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964
Carlos Carrera,85,201,El crimen del padre Amaro ,2002
Benh Zeitlin,663,2000,Beasts of the Southern Wild ,2012
J. Lee Thompson,62,595,Battle for the Planet of the Apes ,1973
Maggie Greenwald,39,767,Songcatcher ,2000
Vera Farmiga,68,553,Higher Ground ,2011
Vijay Chandar,3,141,Vaalu ,2015
Morgan Spurlock,130,16000,The Greatest Movie Ever Sold ,2011
Jonathan Wacks,13,12000,Ed and His Dead Mother ,1993
Khyentse Norbu,44,0,Travelers and Magicians ,2003
Ted Post,26,16000,Hang 'Em High ,1968
Richard Brooks,27,2000,Deadline - U.S.A. ,1952
Tony Krantz,53,647,Sublime ,2007
Mitchell Altieri,,467,A Beginner's Guide to Snuff ,2016
W.D. Hogan,10,433,Independence Daysaster ,2013
Corey Grant,4,761,Dysfunctional Friends ,2012
Tom Tykwer,181,486,Run Lola Run ,1998
Lucky McKee,114,701,May ,2002
Richard Boddington,11,900,Against the Wild ,2013
David Hunt,1,86,Living Dark: The Story of Ted the Caver ,2013
Patricia Riggen,75,953,Under the Same Moon ,2007
