director_name,actor_3_facebook_likes,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
John Singleton,482,Action|Crime|Drama|Mystery|Thriller,Josh Charles,109894,2740,3,bare butt|corrupt police|four brothers|funeral|murder,http://www.imdb.com/title/tt0430105/?ref_=fn_tt_tt_1,340,45000000,2005,654,6.9,0
Michael McCullers,966,Comedy|Romance,Tina Fey,34079,6930,2,baby|book|cartoon on tv|female protagonist|male anorexia,http://www.imdb.com/title/tt0871426/?ref_=fn_tt_tt_1,97,30000000,2008,1000,6.0,0
Forest Whitaker,545,Drama|Romance,Bill Cobbs,18973,2860,1,best friend|friend|mother daughter relationship|small town|texas,http://www.imdb.com/title/tt0119313/?ref_=fn_tt_tt_1,162,30000000,1998,631,5.9,0
Gary Winick,545,Comedy|Romance,Anne Hathaway,79094,13794,2,best friend|dyed hair|fake tan|rivalry|wedding,http://www.imdb.com/title/tt0901476/?ref_=fn_tt_tt_1,129,30000000,2009,826,5.4,0
Steven Brill,246,Adventure|Comedy|Mystery,Antony Starr,37479,1266,3,death|friend|hijacker|river|tree house,http://www.imdb.com/title/tt0364751/?ref_=fn_tt_tt_1,152,19000000,2004,316,5.9,0
Gary Winick,533,Comedy|Fantasy|Romance,Jennifer Garner,122187,6742,1,13 year old|13th birthday|30 year old|wish|year 1987,http://www.imdb.com/title/tt0337563/?ref_=fn_tt_tt_1,339,37000000,2004,2000,6.1,0
Woody Allen,183,Comedy|Fantasy|Romance,Kurt Fuller,301149,1289,1,1920s|golden age|midnight|paris france|time travel romance,http://www.imdb.com/title/tt1605783/?ref_=fn_tt_tt_1,509,17000000,2011,204,7.7,78000
Peter Lepeniotis,691,Adventure|Animation|Comedy|Family,Liam Neeson,19547,18795,0,bank robbery|heist|raccoon|rat|squirrel,http://www.imdb.com/title/tt1821658/?ref_=fn_tt_tt_1,64,42000000,2014,3000,5.8,0
Ted Demme,877,Biography|Crime|Drama,Johnny Depp,198066,43453,1,1960s|1970s|california|cocaine|wealth,http://www.imdb.com/title/tt0221027/?ref_=fn_tt_tt_1,426,30000000,2001,1000,7.6,13000
Luis Mandoki,362,Drama|Romance,Robin Wright,28942,19815,0,beach|bottle|jogging|letter|love,http://www.imdb.com/title/tt0139462/?ref_=fn_tt_tt_1,223,55000000,1999,652,6.1,0
William Shatner,643,Action|Adventure|Sci-Fi|Thriller,Leonard Nimoy,43743,14710,1,captain|half brother|klingon|planet|vulcan,http://www.imdb.com/title/tt0098382/?ref_=fn_tt_tt_1,293,27800000,1989,664,5.4,0
John Schultz,837,Comedy|Family|Fantasy|Sport,Brenda Song,15074,3679,7,basketball|lightning|nba|orphanage|shoe,http://www.imdb.com/title/tt0308506/?ref_=fn_tt_tt_1,72,30000000,2002,889,5.1,1000
