num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,facenumber_in_poster,movie_imdb_link,language,budget,movie_facebook_likes
8,32,Alexander Wraith,502,Action|Thriller,Lalaine,0,http://www.imdb.com/title/tt0421237/?ref_=fn_tt_tt_1,English,350000,53
156,107,T.V. Carpio,5000,Drama|Fantasy|Musical|Romance,Jim Sturgess,0,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,English,45000000,14000
4,221,Elizabeth Stenholt,644,Drama|Music,Trish Basinger,0,http://www.imdb.com/title/tt2912776/?ref_=fn_tt_tt_1,English,,175
164,668,David Carradine,13000,Action|Comedy|Sci-Fi|Sport,Sylvester Stallone,0,http://www.imdb.com/title/tt0072856/?ref_=fn_tt_tt_1,English,300000,0
10,309,Ricky Schroder,685,Thriller,Tatyana Ali,3,http://www.imdb.com/title/tt1241226/?ref_=fn_tt_tt_1,English,300000,261
1,87,Wilhelm von Homburg,156,Horror,Michael Des Barres,0,http://www.imdb.com/title/tt0100146/?ref_=fn_tt_tt_1,English,,4
8,248,Joanna Cassidy,500,Comedy|Drama|Romance,Taran Killam,7,http://www.imdb.com/title/tt0393049/?ref_=fn_tt_tt_1,English,300000,7
9,0,Pierre Prieur,19,Drama|Musical|Romance,Rumi Missabu,0,http://www.imdb.com/title/tt3904272/?ref_=fn_tt_tt_1,English,500000,114
78,180,Carmen Argenziano,431,Horror|Mystery,Linnea Quigley,0,http://www.imdb.com/title/tt0082467/?ref_=fn_tt_tt_1,English,250000,249
131,313,Barry Bostwick,778,Comedy|Crime|Drama|Horror|Mystery|Thriller,Kevin Corrigan,2,http://www.imdb.com/title/tt1568341/?ref_=fn_tt_tt_1,English,300000,0
286,235,Matt Servitto,601,Biography|Crime|Drama|Thriller,Dreama Walker,0,http://www.imdb.com/title/tt1971352/?ref_=fn_tt_tt_1,English,270000,0
147,781,Ethan Suplee,13000,Comedy|Drama|Romance,Matt Damon,5,http://www.imdb.com/title/tt0118842/?ref_=fn_tt_tt_1,English,250000,0
71,225,Brenda Blethyn,400,Comedy|Drama|Romance,Aunjanue Ellis,3,http://www.imdb.com/title/tt0258273/?ref_=fn_tt_tt_1,English,250000,169
,99,Robert Miano,466,Action|Adventure|Mystery|Romance|Thriller,Hector Echavarria,2,http://www.imdb.com/title/tt1328873/?ref_=fn_tt_tt_1,English,290000,16
51,13,Jason Tobin,94,Crime|Drama|Romance,Parry Shen,1,http://www.imdb.com/title/tt0280477/?ref_=fn_tt_tt_1,English,250000,661
23,10,Laurel Holloman,360,Comedy|Drama|Romance,Nicole Ari Parker,0,http://www.imdb.com/title/tt0113416/?ref_=fn_tt_tt_1,English,250000,423
59,129,Mike White,625,Comedy|Drama,Lupe Ontiveros,0,http://www.imdb.com/title/tt0200530/?ref_=fn_tt_tt_1,English,250000,170
9,51,Rizwan Manji,250,Comedy|Drama|Romance,Purva Bedi,2,http://www.imdb.com/title/tt0203289/?ref_=fn_tt_tt_1,English,250000,133
,185,Nicholas Simmons,569,Action|Crime|Drama,Keri Maletto,0,http://www.imdb.com/title/tt3976258/?ref_=fn_tt_tt_1,English,300000,17
99,319,Julian Richings,686,Mystery|Sci-Fi|Thriller,David Hewlett,0,http://www.imdb.com/title/tt0123755/?ref_=fn_tt_tt_1,English,365000,11000
21,62,Frances O'Connor,991,Comedy|Romance,Radha Mitchell,1,http://www.imdb.com/title/tt0116931/?ref_=fn_tt_tt_1,English,250000,46
19,0,Bill Martone,5,Animation|Comedy|Drama|Fantasy|Sci-Fi,Charis Michelsen,0,http://www.imdb.com/title/tt0119346/?ref_=fn_tt_tt_1,English,250000,178
43,142,Anne Archer,308,Drama|Mystery|Thriller,Amir Talai,1,http://www.imdb.com/title/tt0368089/?ref_=fn_tt_tt_1,English,150000,98
206,224,Charlie Bewley,34000,Drama|Romance,Jennifer Lawrence,1,http://www.imdb.com/title/tt1758692/?ref_=fn_tt_tt_1,English,250000,12000
,270,Steffinnie Phrommany,471,Horror,Marshal Hilton,0,http://www.imdb.com/title/tt1991199/?ref_=fn_tt_tt_1,English,300000,85
29,181,Rosanna Arquette,793,Comedy|Music,Ally Sheedy,2,http://www.imdb.com/title/tt0173390/?ref_=fn_tt_tt_1,English,250000,93
27,7,Clint Jordan,100,Comedy|Drama,Samantha Futerman,1,http://www.imdb.com/title/tt0436607/?ref_=fn_tt_tt_1,Cantonese,,62
162,461,Gus Van Sant,924,Drama|Thriller,Nolan Gerard Funk,0,http://www.imdb.com/title/tt2292959/?ref_=fn_tt_tt_1,English,250000,0
11,250,James Norton,887,Crime|Drama,Shirley Henderson,1,http://www.imdb.com/title/tt3428912/?ref_=fn_tt_tt_1,English,,10000
26,41,Flaco Navaja,68,Drama,Judy Marte,3,http://www.imdb.com/title/tt0389235/?ref_=fn_tt_tt_1,English,,122
85,22,Natalie Canerday,35,Drama|Thriller,Michael Abbott Jr.,0,http://www.imdb.com/title/tt0952682/?ref_=fn_tt_tt_1,English,,773
77,289,Luke Mably,766,Mystery|Thriller,Colin Salmon,0,http://www.imdb.com/title/tt1258197/?ref_=fn_tt_tt_1,English,,14000
8,5,Samantha Buck,119,Sci-Fi,James Urbaniak,0,http://www.imdb.com/title/tt0127302/?ref_=fn_tt_tt_1,English,250000,67
5,73,Mark Hengst,349,Drama|Musical,Dustin Fitzsimons,0,http://www.imdb.com/title/tt1270792/?ref_=fn_tt_tt_1,English,,777
3,3,Lorne Cardinal,1000,Drama,Corbin Bernsen,1,http://www.imdb.com/title/tt1360826/?ref_=fn_tt_tt_1,English,250000,141
66,76,Marty Lindsey,135,Action|Drama|Fantasy|Sci-Fi,Eme Ikwuakor,0,http://www.imdb.com/title/tt1071804/?ref_=fn_tt_tt_1,English,,11000
4,104,Derek Brandon,337,Drama|Family,Florence Henderson,2,http://www.imdb.com/title/tt1640714/?ref_=fn_tt_tt_1,English,250000,0
,152,Kate Flannery,338,Comedy|Short,Victoria Jackson,5,http://www.imdb.com/title/tt1003002/?ref_=fn_tt_tt_1,English,,0
15,180,June Lockhart,602,Crime|Drama,Stacy Keach,0,http://www.imdb.com/title/tt0082122/?ref_=fn_tt_tt_1,English,,76
1,0,Steve Duin,0,Documentary,Sam Adams,2,http://www.imdb.com/title/tt3564748/?ref_=fn_tt_tt_1,English,250000,53
12,89,Brit Morgan,236,Horror|Thriller,Noah Segan,1,http://www.imdb.com/title/tt2363439/?ref_=fn_tt_tt_1,English,250000,519
,224,Campbell Scott,1000,Fantasy|Romance,Jennifer Jason Leigh,1,http://www.imdb.com/title/tt0140340/?ref_=fn_tt_tt_1,English,,515
1,3,Dana Blackstone,288,Family,Joshua Ray Bell,6,http://www.imdb.com/title/tt3421204/?ref_=fn_tt_tt_1,English,250000,71
6,670,Robert Davi,699,Documentary,Esai Morales,0,http://www.imdb.com/title/tt2559658/?ref_=fn_tt_tt_1,English,250000,199
48,6,Renée Adorée,81,Drama|Romance|War,John Gilbert,0,http://www.imdb.com/title/tt0015624/?ref_=fn_tt_tt_1,,245000,226
