director_name,num_critic_for_reviews,actor_2_name,gross,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,country,actor_2_facebook_likes,imdb_score
Catherine Hardwicke,291,Billy Burke,37652565,Red Riding Hood ,91151,15369,Virginia Madsen,2,http://www.imdb.com/title/tt1486185/?ref_=fn_tt_tt_1,USA,2000,5.4
John Herzfeld,151,Charlize Theron,24375436,15 Minutes ,42547,33585,Kelsey Grammer,1,http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1,USA,9000,6.1
Annabel Jankel,36,Fisher Stevens,20915465,Super Mario Bros. ,38203,7723,Fiona Shaw,0,http://www.imdb.com/title/tt0108255/?ref_=fn_tt_tt_1,UK,922,4.0
Andrew Niccol,168,Jeremy Crutchley,24127895,Lord of War ,248123,12076,Jared Burke,2,http://www.imdb.com/title/tt0399295/?ref_=fn_tt_tt_1,USA,43,7.6
Yimou Zhang,283,Tony Chiu Wai Leung,84961,Hero ,149414,6229,Maggie Cheung,4,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,China,643,7.9
Julie Anne Robinson,127,Debbie Reynolds,26404753,One for the Money ,34203,3301,Patrick Fischler,1,http://www.imdb.com/title/tt1598828/?ref_=fn_tt_tt_1,USA,786,5.3
Evan Goldberg,293,Randall Park,6105175,The Interview ,247020,12239,Anders Holm,4,http://www.imdb.com/title/tt2788710/?ref_=fn_tt_tt_1,USA,392,6.6
Sngmoo Lee,95,Dong-gun Jang,5664251,The Warrior's Way ,22309,2056,Jed Brophy,1,http://www.imdb.com/title/tt1032751/?ref_=fn_tt_tt_1,New Zealand,489,6.3
,4,Gavin MacLeod,,McHale's Navy             ,1558,1610,Bob Hastings,1,http://www.imdb.com/title/tt0055689/?ref_=fn_tt_tt_1,USA,284,7.5
Jean-Pierre Jeunet,213,Dany Boon,1260917,Micmacs ,24657,1342,André Dussollier,4,http://www.imdb.com/title/tt1149361/?ref_=fn_tt_tt_1,France,172,7.2
