director_name,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,facenumber_in_poster,language
Kevin Hamedani,23,Janette Armand,199,Comedy|Horror|Sci-Fi,ZMD: Zombies of Mass Destruction ,3650,0,English
David DeCoteau,142,Shanley Caswell,458,Horror,Snow White: A Deadly Summer ,634,1,English
Mikel Rueda,0,Germán Alcarazu,90,Drama|Romance,Hidden Away ,955,0,Spanish
Stefan C. Schaefer,0,Marlene Forte,898,Comedy|Drama|Romance,My Last Day Without You ,982,1,English
Michael Taliferro,105,Sticky Fingaz,592,Comedy|Music,Steppin: The Movie ,293,6,English
David DeCoteau,142,Tom Berenger,10000,Western,Doc Holliday's Revenge ,93,3,English
Katie Aselton,224,Anslem Richardson,224,Horror|Thriller,Black Rock ,6531,1,English
Robert Heath,0,Alexander Vlahos,335,Horror|Mystery,Truth or Die ,6513,2,English
D. Stevens,6,Pierre Dulat,92,Drama|Thriller,The Pet ,425,0,English
Jeffrey St. Jules,0,Chloe Rose,57,Drama|Musical|Sci-Fi,Bang Bang Baby ,137,2,English
Robert Hall,53,Kevin Gage,677,Horror,Fear Clinic ,6256,0,English
K. King,3,Shona Kay,214,Action|Comedy|Horror,Zombie Hunter ,2057,2,English
Jonathan Meyers,0,Luke Perry,657,Drama,A Fine Step ,207,0,
Danny Boyle,0,Spencer Wilding,3000,Crime|Drama|Mystery|Thriller,Trance ,92640,0,English
Ralph Nelson,17,Dick Van Patten,754,Drama|Romance|Sci-Fi,Charly ,4998,0,English
Blair Erickson,0,Katia Winter,696,Horror|Thriller,Banshee Chapter ,6265,1,English
,,David DeLuise,775,Comedy,Jesse             ,954,8,English
Allison Burnett,12,Gia Mantegna,529,Drama,Ask Me Anything ,7870,1,English
Richard Schenkman,29,Mike Colter,1000,Comedy|Romance,And Then Came Love ,443,1,English
Sanjay Rawal,0,Robert Kennedy Jr.,56,Documentary|News,Food Chains ,265,0,English
Elia Kazan,603,Karl Malden,10000,Crime|Drama|Romance,On the Waterfront ,100890,2,English
Kat Coiro,28,Geoff Stults,945,Comedy,L!fe Happens ,6025,8,English
Cristian Mungiu,163,Vlad Ivanov,131,Drama,4 Months, 3 Weeks and 2 Days ,44763,0,Romanian
Brian Dorton,171,Brian Dorton,1000,Horror,The Horror Network Vol. 1 ,139,0,English
David Slade,171,G.J. Echternkamp,109,Crime|Drama|Thriller,Hard Candy ,131969,0,English
Jamie Babbit,91,David Gallagher,982,Drama|Thriller,The Quiet ,13485,0,English
Maryam Keshavarz,32,Reza Sixo Safai,144,Drama,Circumstance ,6277,1,Persian
Ryan Coogler,0,Melonie Diaz,282,Biography|Drama|Romance,Fruitvale Station ,53919,0,English
Ramaa Mosley,6,Michael Angarano,975,Comedy|Fantasy|Thriller,The Brass Teapot ,11965,2,English
James Algar,11,Donnie Dunagan,16,Animation|Drama|Family,Bambi ,94225,0,English
Charles Herman-Wurmfeld,0,Rian Bishop,465,Comedy|Romance|Sport,The Hammer ,5489,1,English
Ric Roman Waugh,29,Harold Perrineau,12000,Action|Drama|Thriller,Snitch ,64748,1,English
C. Jay Cox,6,Rob McElhenney,23000,Comedy|Drama|Romance,Latter Days ,14580,2,English
Mariette Monpierre,0,Christophe Cherki,0,Drama,Elza ,19,1,French
Tommy Oliver,66,Ruby Dee,904,Drama,1982 ,122,4,English
Jamie Travis,15,Ari Graynor,938,Comedy,For a Good Time, Call... ,13421,0,English
Lee Toland Krieger,43,Janel Parrish,904,Comedy|Drama|Romance,Celeste & Jesse Forever ,24391,2,English
Rich Christiano,14,D. David Morin,284,Drama|Fantasy|Sci-Fi,Time Changer ,1742,1,English
Paul Andrew Williams,46,Johnny Harris,418,Crime|Drama|Thriller,London to Brighton ,7308,0,English
Nick Love,63,Christopher Berry,489,Action|Comedy|Drama|Sci-Fi,American Hero ,2706,2,English
Natalie Bible',8,Samaire Armstrong,1000,Mystery|Thriller,Windsor Drive ,169,1,English
Asghar Farhadi,0,Leila Hatami,786,Drama|Mystery,A Separation ,151812,2,Persian
Justin Molotnikov,5,Stephen McCole,49,Thriller,Crying with Laughter ,190,1,English
Todd Solondz,377,Ken Leung,529,Comedy|Drama,Welcome to the Dollhouse ,26513,1,English
Victor Nunez,9,Todd Field,159,Drama|Romance,Ruby in Paradise ,2039,1,English
Peter Sollett,6,Melonie Diaz,302,Drama|Romance,Raising Victor Vargas ,4743,1,English
Georg Wilhelm Pabst,21,Francis Lederer,426,Crime|Drama|Romance,Pandora's Box ,7431,1,German
Daniel Davila,0,Melora Walters,940,Drama,Harrison Montgomery ,59,2,English
Jorge Gaggero,0,Hilda Bernard,24,Drama,Live-In Maid ,772,0,Spanish
Rod Lurie,37,Kathryn Morris,574,Drama|Thriller,Deterrence ,2256,0,English
Michael Burke,3,Tom Guiry,262,Crime|Drama|Romance,The Mudge Boy ,3480,1,English
Catherine Jelski,0,Eion Bailey,1000,Drama,The Young Unknowns ,122,0,English
Shane Dawson,247,Kurt Angle,247,Comedy,Not Cool ,4167,4,English
Tommy Wirkola,75,Stig Frode Henriksen,35,Comedy|Horror,Dead Snow ,54601,0,Norwegian
Ryan Little,38,Larry Bagby,214,Action|Adventure|Drama|War,Saints and Soldiers ,17725,0,English
Clark Baker,0,Alan Pietruszewski,134,Horror|Sci-Fi|Short|Thriller,Vessel ,292,1,English
George Lucas,0,Ron Howard,11000,Comedy|Drama|Music,American Graffiti ,63839,1,English
Robert Greenwald,21,Katy Helvenston-Wettengal,25,Documentary|War,Iraq for Sale: The War Profiteers ,1477,0,English
Matt Maiellaro,8,Fred Armisen,2000,Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,Aqua Teen Hunger Force Colon Movie Film for Theaters ,12160,0,English
Colin Trevorrow,365,Mark Duplass,934,Comedy|Drama|Romance,Safety Not Guaranteed ,101287,0,English
Leslie Small,15,Larry King,312,Comedy|Documentary,Kevin Hart: Laugh at My Pain ,3543,1,English
Ben Wheatley,214,Ben Crompton,513,Crime|Horror|Thriller,Kill List ,25750,0,English
Ti West,243,Jake Ryan,969,Horror,The Innkeepers ,27260,0,English
David S. Goyer,687,Atticus Shaffer,10000,Drama|Fantasy|Horror|Mystery|Thriller,The Unborn ,42183,1,English
Bernardo Bertolucci,973,Stefania Sandrelli,319,Drama,The Conformist ,17813,1,Italian
Neil Burger,168,Christel Khalil,108,Drama,Interview with the Assassin ,1661,0,English
Oliver Blackburn,4,Nichola Burley,1000,Crime|Drama|Horror|Thriller,Donkey Punch ,9376,0,English
Jonathan Levine,129,Michael Welch,935,Horror,All the Boys Love Mandy Lane ,25951,1,English
Christopher Hutson,3,Jennifer Lee Wiggins,717,Horror,Bled ,851,0,English
Fred Zinnemann,160,Lloyd Bridges,998,Thriller|Western,High Noon ,80193,0,English
Steve James,23,Arthur Agee,7,Documentary|Drama|Sport,Hoop Dreams ,18980,0,English
David LaChapelle,30,Christopher Toler,262,Documentary|Music,Rize ,2877,0,English
Joseph Kosinski,364,Lauren Cohan,22000,Action|Adventure|Fantasy|Sci-Fi,Destiny ,3089,0,English
Michael Cuesta,52,Bruce Altman,80,Crime|Drama,L.I.E. ,8509,1,English
Caryn Waechter,0,Kara Hayward,601,Drama|Mystery|Thriller,The Sisterhood of Night ,1354,,English
Emily Dell,0,Wesley Jonathan,618,Drama|Music|Romance,B-Girl ,551,0,English
Peter Jackson,0,Thomas Kretschmann,6000,Action|Adventure|Drama|Romance,King Kong ,316027,0,English
Jaume Collet-Serra,174,Paris Hilton,730,Horror,House of Wax ,94463,0,English
Ryan Fleck,31,Tristan Mack Wilds,33000,Drama,Half Nelson ,70885,2,English
Jennifer Wynne Farmer,0,Akima,752,Drama,Naturally Native ,103,4,English
Christopher Scott Cherot,21,Robinne Lee,465,Comedy,Hav Plenty ,819,2,English
H.M. Coakley,0,Steffinnie Phrommany,696,Crime|Drama|Thriller,Adulterers ,514,3,English
Randy Moore,13,Lee Armstrong,977,Fantasy|Horror,Escape from Tomorrow ,7384,0,English
Chris Atkins,2,Harvey Weinstein,628,Documentary,Starsuckers ,474,0,English
Bill Benenson,0,Dave Fennoy,1000,Documentary,The Hadza: Last of the First ,5,1,English
Ryan Smith,4,Madison Lintz,523,Fantasy|Horror|Mystery|Thriller,After ,3699,0,English
Travis Romero,4,Lorraine Ziff,260000,Drama|Thriller,Treachery ,344,5,English
Anna Mastro,7,Justin Kirk,956,Comedy|Drama,Walter ,1432,2,English
Mark Sandrich,10,Edward Everett Horton,610,Comedy|Musical|Romance,Top Hat ,13269,2,English
Daniel Myrick,19,Joshua Leonard,170,Horror,The Blair Witch Project ,186786,0,English
Michael Wadleigh,14,Jimi Hendrix,262,Documentary|History|Music,Woodstock ,12631,0,English
John Landis,644,Barry Dennen,119,Comedy,The Kentucky Fried Movie ,13915,0,English
Jon Gunn,16,David A.R. White,602,Action|Crime|Drama,Mercy Streets ,448,1,English
Gene Teigland,0,Matthew Feeney,23,Mystery|Thriller,Arnolds Park ,94,4,English
Scott Ziehl,4,Jason London,919,Drama,Broken Vessels ,531,0,English
Richard Montoya,12,Angela Nordeng,601,Crime|Drama,Water & Power ,85,0,English
Johanna Schwartz,0,Garba Touré,0,Documentary,They Will Have to Kill Us First ,74,3,French
