duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,num_voted_users,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,country,content_rating,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
90,34,David Costabile,966,Comedy|Drama|Romance,13371,7,aging|hdtv|high definition television|love|marriage,http://www.imdb.com/title/tt1294213/?ref_=fn_tt_tt_1,60,USA,R,2009,681,6.4,1.85,0
105,20,Don Johnson,22000,Action|Crime|Thriller,165792,1,machete|mexican|mexico|priest|texas,http://www.imdb.com/title/tt0985694/?ref_=fn_tt_tt_1,392,USA,R,2010,982,6.7,1.85,44000
108,60,Eric Schweig,18000,Biography|Comedy|Crime|Drama,14757,5,corruption|lobbyist|murder|washington d.c.|washington d.c. lobbyist,http://www.imdb.com/title/tt1194417/?ref_=fn_tt_tt_1,51,Canada,R,2010,322,6.2,2.35,0
69,383,Gabriel Damon,912,Adventure|Animation|Family,61753,0,brontosaurus|classical music|dinosaur|dinosaur feature|earthquake,http://www.imdb.com/title/tt0095489/?ref_=fn_tt_tt_1,133,USA,G,1988,320,7.3,1.33,5000
148,16,Bin Won,717,Action|Drama|War,31943,2,1950s|archeologist|korea|korean war|soldier,http://www.imdb.com/title/tt0386064/?ref_=fn_tt_tt_1,224,South Korea,R,2004,517,8.1,2.35,0
118,50,Cheech Marin,968,Comedy|Drama|Family|Sport,2676,0,baseball movie|little league|little league baseball|mexico|three word title,http://www.imdb.com/title/tt0473102/?ref_=fn_tt_tt_1,33,Canada,PG,2009,844,7.0,2.35,0
132,607,Linda Blair,1000,Horror,284252,0,demonic possession|exorcism|exorcist|loss of innocence|priest,http://www.imdb.com/title/tt0070047/?ref_=fn_tt_tt_1,1058,USA,R,1973,931,8.0,1.37,18000
130,14000,Robert Shaw,813,Adventure|Drama|Thriller,412454,0,beach|blockbuster|fishing|great white shark|shark,http://www.imdb.com/title/tt0073195/?ref_=fn_tt_tt_1,962,USA,PG,1975,559,8.0,2.35,21000
95,80,Shannon Elizabeth,3000,Comedy,315549,6,1990s|first love|milf|prom|virginity,http://www.imdb.com/title/tt0163651/?ref_=fn_tt_tt_1,789,USA,R,1999,1000,7.0,1.85,0
80,2,Megan Mullally,6000,Animation|Comedy|Crime|Drama|Family,12029,0,bear|dentist|friendship|mouse|prejudice,http://www.imdb.com/title/tt1816518/?ref_=fn_tt_tt_1,32,France,PG,2012,637,7.9,1.85,0
