director_name,duration,director_facebook_likes,actor_3_facebook_likes,gross,actor_1_name,movie_title,cast_total_facebook_likes,plot_keywords,movie_imdb_link,num_user_for_reviews,content_rating,budget
Jonathan Wacks,93,0,482,,Steve Buscemi,Ed and His Dead Mother ,14620,based on ed gein|dog|hyperactive|macabre|zombie,http://www.imdb.com/title/tt0106792/?ref_=fn_tt_tt_1,17,PG-13,1800000
Khyentse Norbu,108,28,0,505295,Tshewang Dendup,Travelers and Magicians ,0,bhutan|buddhist|monk|storytelling|weaver,http://www.imdb.com/title/tt0378906/?ref_=fn_tt_tt_1,28,,1800000
Ted Post,114,57,426,,Clint Eastwood,Hang 'Em High ,18263,imperative in title|judge|marshal|murder|vigilante,http://www.imdb.com/title/tt0061747/?ref_=fn_tt_tt_1,109,M,1800000
Richard Brooks,87,174,114,,Humphrey Bogart,Deadline - U.S.A. ,2831,editor|gangster|newspaper|organized crime|press,http://www.imdb.com/title/tt0044533/?ref_=fn_tt_tt_1,28,,
Tony Krantz,113,15,491,,George Newbern,Sublime ,2439,birthday|birthday party|colonoscopy|hospital|surgery,http://www.imdb.com/title/tt0822858/?ref_=fn_tt_tt_1,103,R,1800000
Mitchell Altieri,87,9,165,,Kimberley Crossman,A Beginner's Guide to Snuff ,1270,,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,,,
W.D. Hogan,90,4,91,,Tom Everett Scott,Independence Daysaster ,984,fireworks|kiss|to be continued ending|uncle nephew relationship|usaf,http://www.imdb.com/title/tt2645670/?ref_=fn_tt_tt_1,12,PG-13,1800000
Corey Grant,111,21,685,,Christian Keyes,Dysfunctional Friends ,4306,ex boyfriend ex girlfriend relationship|gossip|inheritance|mansion|reference to howard university,http://www.imdb.com/title/tt1653002/?ref_=fn_tt_tt_1,8,Not Rated,1800000
Tom Tykwer,81,670,34,7267324,Moritz Bleibtreu,Run Lola Run ,623,bechdel test failed|money|multiple outcomes|repeated event|subway,http://www.imdb.com/title/tt0130827/?ref_=fn_tt_tt_1,709,R,3500000
Lucky McKee,93,75,446,145540,James Duval,May ,2489,case|doll|dry humor|friend|love,http://www.imdb.com/title/tt0303361/?ref_=fn_tt_tt_1,277,R,500000
Richard Boddington,90,15,120,,Natasha Henstridge,Against the Wild ,1724,cave|salmon,http://www.imdb.com/title/tt2475846/?ref_=fn_tt_tt_1,9,PG,2000000
David Hunt,112,0,11,,Matthew Alan,Living Dark: The Story of Ted the Caver ,139,brother|cave|caver|dark|funeral,http://www.imdb.com/title/tt2100573/?ref_=fn_tt_tt_1,1,PG-13,1750000
