duration,actor_3_facebook_likes,actor_3_name,country,budget
107,841,Chris Klein,USA,19000000
134,488,William Hootkins,UK,17000000
94,66,Conrad Coates,Canada,
122,834,Ivana Milicevic,Germany,17000000
128,193,Paul Freeman,USA,
97,161,Clyde Kusatsu,UK,17000000
110,96,Jake Wood,USA,16000000
102,60,Zakes Mokae,USA,17000000
98,71,Gerard McSorley,Ireland,17000000
120,55,Carlos Bardem,France,17000000
160,215,Chris Andrew Ciulla,France,17000000
80,168,Mary Mouser,France,11000000
91,255,Paul Winfield,USA,17000000
83,62,Tim Williams,USA,17000000
102,165,Griffin Dunne,USA,16500000
122,260,Matt Servitto,USA,16800000
110,96,Jake Wood,USA,16000000
126,168,James Karen,USA,15000000
136,1000,Tom Wilkinson,USA,16500000
120,281,Laurence Fox,UK,16500000
108,433,Samm Levine,USA,16500000
126,385,Ron Eldard,USA,15000000
128,1000,Kurtwood Smith,USA,16400000
113,481,Teri Garr,USA,16000000
89,62,Harley Jane Kozak,USA,16000000
129,359,Jack Warden,USA,16000000
94,486,Paulo Costanzo,USA,15600000
106,35,Mark Walters,USA,16000000
100,628,Beth Grant,France,15000000
89,389,Rachel Brosnahan,USA,16000000
94,559,Bob Balaban,USA,16000000
83,597,Lew Temple,USA,16000000
111,107,Finn Ireland,USA,18500000
80,499,James Brolin,USA,16000000
112,250,Sergi López,Spain,13500000
60,762,Riley Smith,USA,
94,635,Paul Sorvino,USA,35000000
130,522,Angell Conwell,USA,16000000
91,638,Frances Fisher,USA,16000000
91,459,Fred Ward,USA,17700000
110,51,Kamel Krifa,USA,15000000
121,108,Billie Whitelaw,UK,8000000
114,650,Debra Messing,USA,16500000
96,252,Christopher Evan Welch,Spain,15500000
270,292,Vincent Perez,Sweden,25000000
100,851,Jada Pinkett Smith,USA,20000000
94,95,Tsianina Joelson,USA,16000000
109,450,Marc Donato,USA,16000000
107,271,Cynthia Stevenson,USA,16000000
96,324,Tracey Walter,USA,16000000
88,233,Julie Kavner,USA,16000000
110,734,Quinton Aaron,USA,16000000
113,238,Ruby Jerins,USA,16000000
101,258,Trent Ford,USA,16000000
105,384,Tony Jay,USA,20000000
125,372,Jason Robards,USA,26000000
100,363,Brad William Henke,Germany,16000000
97,578,Jenifer Lewis,USA,
108,316,Brian Keith,USA,16000000
112,215,Huey Lewis,USA,15000000
112,642,Treat Williams,USA,16000000
95,322,Shannon Tweed,USA,15000000
110,186,Celia Imrie,UK,16000000
118,295,Robin Weigert,USA,16000000
97,465,Hill Harper,USA,16000000
120,310,Angela Sarafyan,USA,16000000
135,258,Lynn Redgrave,UK,16000000
101,888,Tuppence Middleton,UK,20000000
92,618,Tom Arnold,USA,16000000
106,27,Michel Galabru,France,11000000
92,227,Steven Mackintosh,UK,15000000
161,116,Olly Alexander,France,13000000
92,613,Ivan Sergei,USA,16000000
93,805,Joan Allen,USA,16000000
110,44,Conrad Kemp,France,16000000
122,567,Miranda Otto,USA,16000000
91,574,Kevin Pollak,USA,15600000
45,15,Tommy Karlsen,Norway,34000000
115,125,Charles Aznavour,Canada,
94,518,William Shockley,USA,
93,922,Fisher Stevens,USA,15500000
94,17,Michel Muller,France,15300000
95,102,Tania Saulnier,Canada,15500000
105,383,James Russo,USA,14000000
103,925,Catherine O'Hara,USA,18000000
102,801,Steve Guttenberg,USA,11000000
116,481,Teri Garr,USA,22000000
110,555,Adrian Pasdar,USA,15000000
120,5,Sihung Lung,Taiwan,15000000
122,158,Ara Celi,USA,15000000
118,520,Derek Jacobi,UK,15000000
107,247,Hugh O'Brian,USA,15000000
45,260,Jason Wiles,USA,
102,882,William Hurt,USA,15500000
154,271,Dana Ivey,USA,15000000
103,13,Kyung-gu Sol,South Korea,
141,635,Moises Arias,USA,100000000
114,305,Allen Leech,UK,14000000
109,271,Alan Oppenheimer,USA,10000000
124,572,Levon Helm,USA,
94,569,Rachael Harris,USA,15000000
100,250,Isabelle Nélisse,Canada,20000000
101,598,P.J. Soles,USA,300000
98,624,Jane Krakowski,USA,15000000
102,27,Grasie Mercedes,USA,15000000
94,39,Alex Jennings,UK,9800000
92,217,Glenn Shadix,USA,15000000
113,607,Lamman Rucker,USA,15000000
115,902,Eric Stoltz,USA,15000000
95,259,Jessica Raine,UK,17000000
87,383,Brian Geraghty,USA,15000000
88,799,Lee Majors,USA,15000000
183,652,John Savage,UK,15000000
97,957,John Michael Higgins,USA,15000000
94,566,Alex Borstein,USA,17000000
112,874,Nadine Velazquez,USA,15000000
98,562,Allison Tolman,USA,15000000
104,1000,Clea DuVall,USA,15000000
118,2,Dororthy Thorton,USA,
120,1000,Janeane Garofalo,USA,10000000
99,971,Mia Kirshner,USA,16000000
109,953,America Ferrera,USA,7000000
105,13000,Bill Murray,USA,37000000
106,883,William Petersen,USA,15000000
123,149,Simon McBurney,UK,15000000
86,685,Blair Underwood,USA,16000000
120,944,Stockard Channing,USA,15000000
227,87,Jack Hawkins,UK,15000000
119,593,Margot Kidder,USA,15000000
115,612,Gaby Hoffmann,USA,15000000
114,616,Martha MacIsaac,USA,15000000
90,458,Holland Taylor,USA,15000000
94,731,Bianca Kajlich,USA,15000000
106,850,Alexa Davalos,USA,125000000
98,594,André the Giant,USA,16000000
126,697,John Heard,USA,15000000
100,228,Russ Tamblyn,USA,15000000
89,231,Glenne Headly,Germany,15000000
111,106,Kali Rocha,USA,15000000
100,306,Catherine McCormack,UK,15000000
115,100,Ser'Darius Blain,USA,15000000
106,649,Eva Marie Saint,USA,14000000
124,865,Omar Epps,USA,15000000
107,141,Mitchell Ryan,USA,15000000
99,628,Beth Grant,USA,15000000
90,162,Kurt Loder,USA,15000000
101,266,Brenda Strong,USA,15000000
119,400,Penelope Wilton,UK,15000000
103,125,Jason Spevack,USA,15000000
134,258,Ben Chaplin,UK,11500000
155,170,Nina Hartley,USA,15000000
94,232,Joss Ackland,USA,15000000
95,461,Tim McGraw,USA,15000000
89,399,Jacob Vargas,USA,15000000
97,579,Jacinda Barrett,USA,14000000
90,613,Jonathan Jackson,USA,15000000
92,129,Drew Powell,USA,20000000
100,415,Keegan-Michael Key,USA,15000000
117,461,Tim McGraw,Official site,15000000
84,918,Katharine Isabelle,Australia,15000000
140,619,Angelo Anthony Pizza,USA,15000000
108,537,Will Patton,USA,15000000
109,159,Geneviève Bujold,Canada,15000000
131,383,Brian Geraghty,USA,15000000
114,563,David Keith,USA,15000000
97,748,Ben Mendelsohn,USA,15000000
122,123,Homayoun Ershadi,UK,15000000
87,484,Eddie Kaye Thomas,USA,15000000
85,23,Phil Vischer,USA,15000000
85,44,Larry Mullen Jr.,USA,
101,377,Adam Copeland,USA,15000000
121,526,Bobb'e J. Thompson,USA,15000000
107,358,Rafe Spall,USA,15000000
111,727,Alia Shawkat,USA,15000000
92,366,Kevin Gage,USA,
97,308,Leland Orser,USA,15000000
97,745,Albert Brooks,USA,15000000
125,65,Sandra Nelson,USA,20000000
124,563,Mia Farrow,USA,15000000
76,47,Shirley Douglas,Canada,15000000
107,353,Daniel Wu,USA,15000000
91,629,Shelley Duvall,USA,15000000
96,670,Elaine Hendrix,USA,15000000
142,1000,Jim Broadbent,UK,15000000
103,782,Jason Ritter,USA,15000000
60,186,Chris Bruno,Canada,
117,12000,Steve Buscemi,USA,15000000
116,539,S. Epatha Merkerson,USA,15000000
118,274,Michael Michele,USA,15000000
108,254,Dan Futterman,USA,16000000
94,612,Marla Sokoloff,USA,15000000
97,461,Bob Gunton,USA,20000000
97,692,Rupert Everett,UK,15000000
99,224,Estelle Parsons,USA,
91,596,Tim Blake Nelson,USA,15000000
107,39,Eric Godon,UK,15000000
95,426,Diahann Carroll,USA,15000000
102,1000,Josh Gad,USA,15000000
88,360,Bobby Coleman,USA,15000000
106,363,Terry Kinney,USA,15000000
92,386,Conleth Hill,USA,15000000
105,275,A.J. Buckley,USA,15000000
107,289,Guillermo Arriaga,France,15000000
120,693,Michael Jeter,France,15000000
103,611,Larry Miller,USA,15000000
92,577,Elden Henson,USA,20000000
147,669,Laura Harring,France,15000000
98,220,Chris Geere,USA,
98,557,Ewen Bremner,USA,22000000
103,844,Charlotte Rampling,UK,15000000
286,527,Alessandro Nivola,USA,
111,25,Mac McDonald,Spain,15000000
98,90,Mike Muscat,USA,15000000
111,617,Noah Emmerich,USA,15000000
111,287,Brady Corbet,USA,15000000
100,46,Amber Marie Bollinger,Cambodia,
116,71,Gerard McSorley,Canada,
145,18,Rudolf Klein-Rogge,Germany,6000000
84,58,Dany Verissimo-Petit,France,12000000
115,642,Treat Williams,USA,7000000
105,56,Satoshi Tsumabuki,Taiwan,15000000
98,730,Leon,UK,15000000
99,9,Nataliya Vdovina,Russia,
110,7,Sarunyu Wongkrachang,Thailand,300000000
97,570,Dave Legeno,UK,
88,40,Conrad Dunn,Canada,9000000
103,1000,Leslie Bibb,USA,15000000
104,2,Aubrey Poo,South Africa,15000000
90,642,Tracy Morgan,USA,15000000
105,125,Edward Fox,Germany,25000000
93,66,Keith Allen,USA,15000000
141,576,Franco Nero,Slovakia,
85,912,Loretta Devine,South Africa,20000000
109,537,Melanie Griffith,Bulgaria,7000000
105,51,Steven Elder,Germany,15000000
98,50,Ferdinando Vetere,Italy,15000000
119,19,Yasuaki Kurata,Hong Kong,15000000
124,303,Linus Roache,UK,15000000
101,512,Willie Garson,USA,14600000
115,642,Kevin Nash,USA,14800000
120,954,Brian Dennehy,USA,14500000
111,121,Arben Bajraktaraj,France,10000000
94,124,Bart Shatto,USA,14500000
131,638,Frances Fisher,USA,14400000
139,236,Jean-Marc Barr,Denmark,14200000
120,40,Ayush Mahesh Khedekar,UK,15000000
119,249,Anne Archer,USA,14000000
125,700,Jason Alexander,USA,14000000
65,176,Joe Flaherty,Canada,
108,57,John Meillon,Australia,15800000
101,277,Chad Bishop,USA,15000000
145,560,Stephen Baldwin,USA,14000000
98,496,Malik Yoba,USA,15000000
101,725,Edi Gathegi,USA,15000000
92,309,Natasha Calis,USA,14000000
93,535,Chris Mulkey,USA,14000000
109,748,Harry Lennix,USA,14000000
123,238,Barbara Bach,UK,14000000
60,84,Jason Hawes,USA,
99,648,Julian Richings,USA,14000000
119,418,Swoosie Kurtz,USA,14000000
110,490,Jamie Kennedy,USA,
107,25,Susan Hogan,USA,14000000
81,636,Molly Shannon,USA,14000000
105,583,Olivia Colman,UK,13000000
82,8,Shelby Vischer,USA,14000000
109,279,Maya Angelou,USA,14000000
95,111,Gino Salvano,USA,14000000
100,364,Allen Payne,USA,20000000
118,467,Ned Beatty,USA,14000000
91,50,Vernon Dobtcheff,UK,14000000
90,636,Molly Shannon,USA,14000000
108,690,Marley Shelton,USA,14000000
103,625,Lupe Ontiveros,USA,14000000
96,654,Poppy Montgomery,USA,14000000
