gross,cast_total_facebook_likes,movie_facebook_likes
45802315,2184,0
43792641,52566,913
57651794,13125,0
43894863,4879,0
41954997,56014,0
39532308,17902,0
76600000,3876,11000
39692139,41701,0
40687294,16249,0
37553932,34011,52000
37481242,3356,0
39026186,2371,13000
,3438,265
33422806,2643,0
,677,0
33423521,5443,0
32519322,1075,21000
31598308,41636,0
37617947,966,0
32048809,2178,0
33987757,28027,12000
37304950,36258,16000
30691439,3185,5000
30307804,3001,0
30669413,4722,0
28687835,3612,0
26494611,5709,0
,2603,12000
25266129,3592,0
25863915,2471,11000
25078937,19689,0
,24154,0
28995450,855,0
24276500,1394,949
20981633,2351,0
22913677,17292,0
34531832,13371,23000
28064226,561,13000
19447478,1908,538
19389454,22974,0
25871834,3266,0
19692608,2073,0
19294901,2535,0
20275446,24669,20000
34507079,1679,0
18306166,3142,0
17609982,28479,17000
16831505,9330,0
17596256,6327,0
,1361,0
,14744,0
14998070,32875,0
14587732,1290,452
18317151,1082,0
11405825,19805,0
13264986,1668,433
10991381,5890,0
10268846,1947,0
13303319,13021,39000
10076136,1352,471
10499968,1458,10000
7659747,14165,704
7948159,6563,0
11631245,5022,494
10137502,23031,24000
6448817,1993,0
7458269,3611,9000
,3823,20000
4651977,4334,892
4496583,3227,6000
2221994,3125,561
6592103,1005,675
,1573,0
1877179,1508,262
630779,5,633
5100937,50,29000
,1980,677
,5377,0
,3874,26
102413606,1783,38000
10214013,1564,0
32000000,1068,0
10139254,24640,23000
11227940,1274,120
183125,14978,0
15081783,13,0
37432299,3386,23000
10654581,52621,1000
6543194,1778,314
13101142,23122,0
8324748,301,13000
,2291,0
141340178,14619,0
51758599,5942,742
117559438,1790,1000
4091,369,0
21426805,843,0
35057332,4863,19000
34014398,2604,4000
28927720,18688,463
33682273,2114,4000
4280577,2859,0
17120019,27759,12000
8406264,13093,783
309125409,13649,14000
10955425,391,0
34180954,14504,15000
17225675,4151,0
173381405,43354,21000
104632573,5975,0
81150692,2916,0
60328558,18734,11000
80197993,1729,0
169076745,3229,27000
101470202,38751,97000
50041732,3004,0
48814909,36069,0
57744720,31529,0
21784432,74181,0
37911876,3500,0
54696902,16034,56000
36733909,2054,0
35063732,10938,10000
99462,1843,5000
,20201,2000
32701088,1400,0
31493782,12754,0
43095600,29050,0
18636537,29743,0
17848322,961,702
16640210,13040,0
13763130,2925,12000
10956379,3274,0
4357000,3864,350
22525921,32094,13000
3562749,7394,643
2899970,16878,625
1304837,2355,559
,1073,290
78800000,25313,19000
17797316,2961,0
82528097,2223,0
14268533,10910,0
87100000,12518,0
93749203,20952,64000
62700000,1008,0
59073773,15082,149000
24185781,13811,0
53133888,1440,0
44983704,4045,0
118099659,2097,62000
58879132,40312,28000
72077000,3439,0
170684505,813,0
163479795,26760,0
145096820,7872,0
191796233,19046,0
121248145,20966,0
125014030,18322,32000
11854694,17560,0
115648585,54877,0
122012643,2575,0
116631310,20035,41000
114324072,4730,0
113502246,3696,5000
108360000,2203,0
108244774,13645,0
105444419,3143,0
100125340,22678,39000
115646235,2639,22000
85416609,20097,0
90135191,1942,12000
100422786,28830,14000
106694016,24333,0
64286,34495,57000
76806312,2978,0
79566871,4516,0
76501438,4527,181
74787599,1936,883
66528842,26388,11000
83813460,35209,19000
65010106,1556,0
66359959,337,81000
66468315,37387,75000
64172251,2911,602
66600000,1185,5000
63536011,19420,0
62877175,16758,0
,3418,0
74484168,2740,0
60269340,6930,0
60033780,2860,0
58715510,13794,0
58156435,1266,0
56044241,6742,0
56816662,1289,78000
64238770,18795,0
52937130,43453,13000
52799004,19815,0
55210049,14710,0
51432423,3679,1000
51109400,4767,1000
50300000,2943,0
56068547,1145,0
53680848,18726,20000
49186871,2910,771
50921738,20499,12000
53021560,1026,13000
45645204,1748,0
44328238,6137,13000
53337608,60683,0
42643187,2577,0
46875468,1467,59000
52418902,16881,44000
42057340,5642,11000
42478175,15327,34000
41407470,9638,0
42385520,4059,16000
40118420,1165,0
40137776,8362,13000
39568996,814,0
42043633,29551,66000
38232624,3854,0
38413606,23866,0
38122105,2373,0
38747385,15308,0
40247512,257,38000
,3295,0
35927406,2266,1000
35565975,16827,0
35266619,20051,39000
34703228,3797,0
,2867,0
38432823,15811,0
32095318,3664,304
31743332,1594,13000
32154410,18469,29000
28165882,3239,0
26687172,1002,0
26096584,1653,1000
26525834,1023,0
30513940,2060,11000
23209440,12785,592
24048000,20772,0
22526144,2737,1000
30523568,5697,18000
23070045,3892,11000
20422207,4369,484
28644770,3479,11000
21800302,4462,491
21129348,11799,27000
18500966,15271,0
19976073,3148,999
18967571,3072,629
17100000,6152,204
17266505,22554,0
32357532,31278,24000
16930884,16722,0
18324242,20563,0
16323969,18085,462
16999046,2222,12000
16295774,3000,0
15709385,5101,0
14888028,2178,0
14208384,977,625
12831121,679,0
18298649,1393,23000
12712093,27829,0
11576087,2497,858
11900000,22006,654
9353573,1100,0
12026670,1643,24000
14334645,23352,387
12189514,842,0
10134754,5393,0
8535575,11519,0
7689458,11769,19000
7501404,1873,0
,307,0
19316646,5706,0
10965209,1297,0
26830000,32930,0
5300000,24719,12000
10880926,4253,0
3752725,16252,0
3517797,2759,287
3101301,21519,353
2975649,1518,0
668171,949,445
480314,4473,0
3904982,22516,0
127437,1887,0
,545,0
,29773,0
537580,19620,21000
,3095,885
,143,0
,2725,0
,2806,6000
,229,161
,1831,447
,15795,13000
183436380,13159,40000
119518352,1383,11000
,3309,12000
37036404,5404,0
22359293,2056,0
18593156,6161,0
,810,3000
16930185,4169,201
63034755,23562,0
5899797,18855,0
4554569,17873,209
17016190,2567,0
6301131,5085,0
217350219,52970,0
161029270,2702,76000
179870271,11898,0
100491683,3438,418
74058698,17109,0
,11534,0
55845943,46186,0
81350242,40585,25000
67266300,3400,0
70235322,57308,99000
7443007,1500,0
64371181,1845,0
58885635,10438,7000
60400856,17533,0
,386,0
52353636,14609,0
51475962,3969,11000
63910583,35694,27000
62300000,2118,2000
49968653,37,12000
44450000,2010,0
45162741,34565,0
71346930,1554,23000
39514713,1275,16000
43097652,3497,0
48043505,2357,36000
37053924,1987,0
33000377,23344,0
66950483,47677,12000
38372662,1083,17000
27000000,13877,34000
31600000,16125,0
30688364,1286,10000
28563179,3681,0
16779636,1805,209
10762178,66,1000
17324744,3211,0
8888143,2171,913
24268828,3436,0
8119205,5535,517
8434601,28867,0
6998324,3944,0
10907291,4710,73000
5532301,4,0
2775593,858,0
28751715,19168,36000
,11669,0
20285518,25387,0
67900000,1898,0
148734225,12874,0
49185998,1775,15000
42168445,3565,464
26400000,1334,845
17508670,646,0
9664316,50950,0
,2707,11000
74888996,16230,0
69586544,3845,0
362645141,32921,65000
60491560,14322,0
54200000,2566,14000
44087387,3525,894
30920167,3389,0
40566655,74,0
31768374,3313,2000
22494487,26451,10000
21500000,6341,0
4463292,2452,15000
,1560,21000
14337579,4696,14000
13823741,6420,0
,812,459
,960,0
10297897,11969,315
13248477,15790,0
8712564,1721,817
7486906,2495,0
38536376,4311,0
41008532,10894,0
5204007,1044,0
4485485,46022,0
4476235,4186,2000
1089365,71973,845
763044,3286,188
,24,359
20819129,2954,0
110222438,3984,0
109243478,8341,0
100241322,1690,0
25977365,15428,15000
91457688,2403,0
87341380,15590,0
65703412,2747,0
58328680,5458,0
61490000,10493,0
,1784,0
50800000,669,0
57859105,1090,0
46455802,3172,0
45506619,3066,16000
40168080,3889,0
49874933,13573,43000
45489752,28493,736
36985501,3917,874
33200000,1154,0
28501651,42473,10000
23222861,3742,167
54540525,23456,20000
16252765,11662,3000
16005978,2356,35000
14469428,2466,260
13829734,2960,319
1075288,2228,145
,2170,0
7496522,12534,826
,19068,0
20047715,616,504
12276810,17847,11000
33565375,1565,0
499263,705,13000
219200000,52201,0
172825435,12285,12000
148085755,17347,28000
25517500,4264,0
145000989,16461,29000
26761283,3197,19000
121945720,2551,0
96067179,15233,41000
169705587,23227,75000
3254172,36337,11000
84185387,7800,567
,1166,0
82163317,4692,3000
,1041,488
80920948,2251,425
80034302,3958,0
78656813,2501,0
76270454,22767,0
74273505,4738,21000
134141530,2394,0
71500556,16999,0
71309760,1323,18000
89808372,3500,660
77264926,5740,0
70625986,22739,24000
56505065,4453,11000
55973336,9082,0
,673,7000
54098051,2420,0
60443237,1852,29000
82234139,28071,6000
51676606,58823,0
52528330,3202,0
51533608,16606,32000
51097664,23328,0
84136909,656730,0
46836394,24783,25000
47285499,3037,542
47124400,17278,0
44700000,16464,19000
44455658,2457,0
43984230,2451,0
66489425,26625,0
41067398,2530,666
40218903,533,16000
39880476,2908,187
39399750,3017,329
38230435,3001,0
39008741,6862,0
36833473,7945,0
48237389,18789,0
36310118,3535,671
36447959,6393,10000
45089048,36064,58000
35990505,16400,0
35143332,1340,0
35000629,2822,0
34604054,6867,1000
41597830,12624,0
33687630,20109,0
32553210,794,0
31526393,2730,686
41229,18442,0
31655091,50927,18000
30012990,1006,0
32368960,667,0
14500000,1548,0
29247405,2176,0
30538669,3850,0
25615792,4378,657
28341469,13495,108000
25590119,1315,387
24944213,16937,3000
33631221,3784,0
37738400,39690,30000
