actor_3_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,country,content_rating,budget,actor_2_facebook_likes
723,90353764,12556,Craig T. Nelson,144,USA,R,40000000,2000
10000,82522790,42220,Gary Oldman,654,USA,R,40000000,12000
923,94125426,13321,Vanessa Ferlito,277,USA,PG-13,40000000,935
898,95001343,16911,Nicole Beharie,200,USA,PG-13,40000000,3000
1000,81292135,36810,Jack Davenport,696,USA,R,40000000,13000
839,86208010,16179,Rob Riggle,285,USA,PG-13,35000000,899
249,81593527,24300,Wendy Crewson,263,USA,PG,40000000,984
808,75274748,36010,Rene Russo,304,USA,PG-13,35000000,11000
655,90835030,5178,Bruce McGill,58,USA,PG-13,40000000,874
322,72455275,2144,Eric Schweig,382,USA,R,40000000,363
748,75305995,5074,Harry Lennix,433,USA,PG-13,40000000,876
175,74098862,3924,Jason Douglas,1732,USA,R,40000000,472
882,72266306,6775,William Hurt,422,USA,PG-13,40000000,897
257,71347010,28928,Jane Curtin,215,USA,R,40000000,4000
398,70836296,2842,Susan Ward,426,USA,PG-13,40000000,655
4,70405498,698,Cheryl Penland,442,France,R,40000000,256
633,70163652,19334,Marisol Nichols,82,USA,PG-13,40000000,826
8000,66808615,43917,Julia Roberts,344,USA,R,34000000,11000
465,115603980,2938,Alex Russell,351,USA,PG-13,65000000,698
651,64149837,7009,Thomas Lennon,185,USA,PG-13,20000000,2000
119,83906114,2357,David Thornton,189,USA,PG-13,40000000,971
748,66466372,303717,Shantel VanSanten,290,USA,R,40000000,137000
423,72306065,16944,Amy Ryan,355,USA,PG-13,40000000,535
389,59068786,2544,Sam Jaeger,411,USA,PG-13,40000000,563
177,60923325,2091,Lino Facioli,197,USA,R,,719
418,57887882,2325,Omar Benson Miller,211,USA,PG-13,50000000,593
823,53955614,8610,Robert Picardo,139,USA,PG-13,40000000,835
968,54967359,7039,Miko Hughes,209,USA,R,40000000,2000
720,54228104,17152,Michael Wincott,544,UK,PG-13,35000000,1000
638,57981889,13943,Frances Fisher,203,USA,R,40000000,980
767,61094903,17152,Aidan Quinn,332,UK,PG-13,30000000,903
19000,53082743,63986,Scarlett Johansson,1100,USA,PG-13,40000000,20000
465,54414716,30571,Lindsay Sloane,187,USA,R,42000000,11000
91,57011847,3361,Jonathan Morgan Heit,44,USA,PG,40000000,190
19,50859889,848,Jonathan Brewer,1043,USA,R,40000000,78
162,51185897,1233,Art Malik,271,UK,PG,30000000,244
520,52000688,4243,Derek Mears,619,USA,R,40000000,1000
204,49851591,2179,Roscoe Lee Browne,34,USA,PG,40000000,568
501,47781388,41293,Timothy Hutton,531,USA,PG-13,40000000,534
211,52320979,18693,Ebon Moss-Bachrach,548,USA,PG,40000000,426
280,47806295,1274,Joy Bryant,371,USA,PG-13,43000000,351
988,51853450,9069,Common,110,USA,PG,25000000,2000
681,46012734,4298,Kevin Sussman,101,USA,PG-13,40000000,689
235,47034272,2281,Scott Vance,190,USA,R,40000000,413
913,45856732,16762,Virginia Madsen,141,USA,PG-13,40000000,936
