num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_name,num_user_for_reviews
56,90,636,Carmen Electra,123
160,108,690,Chris Hemsworth,215
71,103,625,America Ferrera,20
37,96,654,Alyson Hannigan,106
62,117,55,Lily Tomlin,157
73,93,514,Joe Mantegna,122
59,136,213,Robert De Niro,75
25,115,534,Alfre Woodard,39
97,94,458,Steve Buscemi,55
205,85,489,Peter Mensah,673
69,88,799,Frankie Muniz,99
195,112,383,Anthony Hopkins,270
61,86,169,Monica Potter,104
77,86,635,Thomas McDonell,32
259,112,177,Emmanuelle Seigner,175
251,137,280,Kate Winslet,320
63,90,191,Norman Reedus,112
47,107,113,Viggo Mortensen,114
108,98,15,Derek Luke,59
64,84,102,Melissa Sagemiller,181
20,139,5,Seth Gilliam,27
135,97,548,Colin Firth,79
2,127,324,Christopher Lee,8
262,150,43,Lesley Manville,165
129,104,59,Mathieu Amalric,31
69,132,284,Sebastian Koch,55
50,117,21,Woo-sung Jung,34
57,115,322,John Heard,36
116,186,338,Matt Damon,119
45,90,378,Steve Howey,66
87,90,767,Madeline Carroll,104
357,134,11000,Jake Gyllenhaal,2254
348,101,429,Noel Fisher,491
88,97,201,Donald Faison,248
181,107,135,Dennis Quaid,378
107,99,390,Adam Scott,96
53,55,2,Krystyna Janda,37
132,124,170,Kate Winslet,314
401,110,816,Abbie Cornish,284
58,105,400,Colm Feore,59
1,41,2,Jacek Koman,2
192,178,471,Thomas Kretschmann,564
157,125,93,Belén Rueda,140
454,108,21,Scarlett Johansson,616
62,121,227,Robin Williams,131
4,100,385,Jason Mewes,17
84,115,41,Usher Raymond,233
669,108,1000,Natalie Portman,1140
492,117,1000,Gary Oldman,630
149,220,3000,Robert De Niro,650
101,112,237,Sean Patrick Thomas,320
102,99,54,Tuesday Knight,260
63,109,579,Jennifer Garner,55
106,83,612,Jennifer Garner,469
50,107,316,Jack Palance,120
275,102,360,Bill Murray,171
90,100,460,Joe Lo Truglio,42
133,97,835,Joseph Gordon-Levitt,549
49,92,301,Zooey Deschanel,159
19,84,182,Jon Lovitz,72
186,86,2,Óscar Jaenada,139
185,120,829,Logan Lerman,1100
42,89,329,Chris Elliott,91
37,117,912,Mekhi Phifer,32
45,97,782,Kathleen Turner,168
57,91,459,Bokeem Woodbine,168
25,100,388,Gregory Smith,42
59,72,435,Jenny Agutter,166
58,84,334,Leslie Bibb,84
330,126,745,Toby Jones,1066
489,108,123,Elina Alminas,611
242,112,213,Willie Garson,840
40,90,405,Mo'Nique,31
112,91,140,Teo Halm,149
84,135,525,Kirsten Dunst,169
251,141,78,Yuki Matsuzaki,316
113,104,844,J.K. Simmons,128
23,84,744,LL Cool J,20
421,118,491,Joan Allen,351
32,82,294,Don Rickles,117
52,95,650,Kathleen Turner,107
81,94,4000,Ryan Reynolds,210
,88,75,Michael Nyqvist,
39,99,730,Rosario Dawson,39
63,121,812,Salma Hayek,181
47,84,690,Jake Gyllenhaal,181
111,93,258,Mark Gatiss,159
168,93,499,Justin Chon,84
165,120,280,Steve Buscemi,123
104,112,548,Harry Lennix,59
150,107,252,Tina Fey,87
61,112,8,Emir Kusturica,69
226,96,73,Liam Neeson,166
21,91,150,Chazz Palminteri,19
217,105,1000,Natalie Portman,201
94,125,968,Peter Dinklage,108
