director_name,duration,director_facebook_likes,facenumber_in_poster,plot_keywords,content_rating,actor_2_facebook_likes,imdb_score
Yarrow Cheney,87,11,0,animal control|lost animal|mongrel|pet|terrier,PG,904,6.8
Stephen Norrington,110,45,3,box office flop|captain nemo|dorian gray|invisible man|steampunk,PG-13,872,5.8
Pierre Coffin,98,275,0,dating|minion|overprotective father|undercover spy|woman agent,PG,2000,7.5
Roland Emmerich,154,776,0,alien|area 51|military|spacecraft|spaceship,PG-13,2000,6.9
Steven Spielberg,129,14000,0,capture|dinosaur|island|jurassic|jurassic park,PG-13,506,6.5
Eric Darnell,86,35,0,escape|jungle|lemur|madagascar|zoo,PG,436,6.9
Alfonso Cuarón,109,0,0,chaos|england|long take|survival|violence,R,430,7.9
Bryan Singer,104,0,0,first part|mutant|professor|superhero|superhero team,PG-13,764,7.4
Timur Bekmambetov,110,335,0,assassin|bobble head doll|femme fatale|rejuvenation|strong female lead,R,11000,6.7
Michael Bay,136,0,1,alcatraz|fbi|general|hostage|rocket,R,2000,7.4
Carlos Saldanha,115,107,0,flood|mammoth|no opening credits|squirrel|valley,PG,590,6.9
Peter Segal,99,88,2,dream|hawaii|hawaiian shirt|short term memory loss|veterinarian,PG-13,427,6.8
Adam Shankman,117,163,9,audition|best friend|dance|friend|tv dance show,PG,339,6.7
Renny Harlin,125,212,0,archeologist|church|excavation|faith|relic,R,422,5.1
David Kellogg,110,16,0,actor playing multiple roles|claw|gadget|inspector|police,PG,710,4.1
Louis Leterrier,125,255,6,bank|fbi|heist|interpol|magician,PG-13,988,7.3
Dennis Dugan,102,221,4,basketball|coach|daughter|high school|high school basketball,PG-13,11000,6.0
Steven Spielberg,128,14000,0,airport|construction site|fish out of water|flight attendant|man without a country,PG-13,466,7.3
,43,,1,based on comic|based on comic book|dc arrowverse|dc comics|supernatural,TV-14,560,7.5
Thor Freudenthal,100,87,4,abandoned hotel|dog|foster home|overalls|playing with a dog,PG,576,5.4
Martin Campbell,124,258,0,death|die hard scenario|k2|rescue|urination,PG-13,826,5.9
Mike Nichols,102,0,1,afghanistan|arms dealer|based on true story|cia|texas,R,15000,7.1
Bibo Bergeron,90,10,0,anchor|fish|mobster|shark|vegetarian,PG,17000,6.0
Bill Condon,130,386,0,1960s|fire|pop chart|singer|trio,PG-13,549,6.5
,45,,1,cop|murder|partner|police|protective male,,130,8.3
F. Gary Gray,118,473,4,concert|mobster|russian|sequel|widow,PG-13,1000,5.7
Steven Spielberg,163,14000,0,arab|black september|israel|jew|munich olympics,R,486,7.6
Antoine Fuqua,142,845,1,dictator|doctor|jungle|rebel|refugee,R,1000,6.6
Robert Luketic,100,126,2,hired killer|marriage|neighbor|on the run|store clerk,PG-13,1000,5.4
Guy Ritchie,116,0,2,box office flop|cia agent|criminal organization|kgb agent|nuclear bomb,PG-13,509,7.3
