director_facebook_likes,actor_3_facebook_likes,actor_2_name,num_voted_users,movie_imdb_link,num_user_for_reviews,language
265,265,Tyler Labine,16984,http://www.imdb.com/title/tt2702724/?ref_=fn_tt_tt_1,96,English
0,400,Kevin McNally,9913,http://www.imdb.com/title/tt0092804/?ref_=fn_tt_tt_1,51,English
759,933,Alfre Woodard,8134,http://www.imdb.com/title/tt0140397/?ref_=fn_tt_tt_1,123,English
64,363,Billy Boyd,28632,http://www.imdb.com/title/tt0387575/?ref_=fn_tt_tt_1,214,English
11,566,Jason Lewis,92850,http://www.imdb.com/title/tt0366627/?ref_=fn_tt_tt_1,263,English
63,631,Frank Welker,260939,http://www.imdb.com/title/tt0103639/?ref_=fn_tt_tt_1,244,English
473,303,Neil Brown Jr.,119928,http://www.imdb.com/title/tt1398426/?ref_=fn_tt_tt_1,331,English
14000,237,Amrish Puri,329969,http://www.imdb.com/title/tt0087469/?ref_=fn_tt_tt_1,524,English
5,368,Cree Summer,14005,http://www.imdb.com/title/tt0134067/?ref_=fn_tt_tt_1,67,English
93,878,Billy Burke,59232,http://www.imdb.com/title/tt0164334/?ref_=fn_tt_tt_1,317,English
350,83,Nina Arianda,2167,http://www.imdb.com/title/tt4136084/?ref_=fn_tt_tt_1,32,English
0,876,Salma Hayek,130094,http://www.imdb.com/title/tt0285823/?ref_=fn_tt_tt_1,471,English
323,541,Bruce Willis,592582,http://www.imdb.com/title/tt0095016/?ref_=fn_tt_tt_1,722,English
136,526,Ken Marino,195255,http://www.imdb.com/title/tt0430922/?ref_=fn_tt_tt_1,170,English
285,767,Christian Bale,182983,http://www.imdb.com/title/tt1596363/?ref_=fn_tt_tt_1,374,English
0,210,Kevin Chamberlin,24663,http://www.imdb.com/title/tt1127896/?ref_=fn_tt_tt_1,71,English
149,250,Noah Emmerich,36636,http://www.imdb.com/title/tt0349825/?ref_=fn_tt_tt_1,289,English
0,1000,Kevin Zegers,194422,http://www.imdb.com/title/tt0363547/?ref_=fn_tt_tt_1,1057,English
163,968,Judy Greer,61317,http://www.imdb.com/title/tt0209475/?ref_=fn_tt_tt_1,229,English
21,47,Yû Aoi,8227,http://www.imdb.com/title/tt2668134/?ref_=fn_tt_tt_1,28,Japanese
0,327,Anjelica Huston,209133,http://www.imdb.com/title/tt0265666/?ref_=fn_tt_tt_1,962,English
446,660,Rebecca De Mornay,177828,http://www.imdb.com/title/tt0309698/?ref_=fn_tt_tt_1,714,English
226,966,Morgan Freeman,106755,http://www.imdb.com/title/tt1204975/?ref_=fn_tt_tt_1,173,English
46,244,Topol,72085,http://www.imdb.com/title/tt0082398/?ref_=fn_tt_tt_1,263,English
23,6,David Sparrow,85423,http://www.imdb.com/title/tt0240890/?ref_=fn_tt_tt_1,374,English
0,186,Bruce McGill,44394,http://www.imdb.com/title/tt0111438/?ref_=fn_tt_tt_1,115,English
0,8000,Alexander Skarsgård,201084,http://www.imdb.com/title/tt0196229/?ref_=fn_tt_tt_1,523,English
529,325,Noah Lomax,78008,http://www.imdb.com/title/tt1702439/?ref_=fn_tt_tt_1,160,English
197,115,Omri Katz,60494,http://www.imdb.com/title/tt0107120/?ref_=fn_tt_tt_1,132,English
96,559,Lily Rabe,59068,http://www.imdb.com/title/tt0481141/?ref_=fn_tt_tt_1,128,English
905,385,Deborah Twiss,435864,http://www.imdb.com/title/tt1250777/?ref_=fn_tt_tt_1,801,English
181,459,Dilshad Vadsaria,77935,http://www.imdb.com/title/tt1622547/?ref_=fn_tt_tt_1,122,English
71,1000,Danny Masterson,27378,http://www.imdb.com/title/tt0219653/?ref_=fn_tt_tt_1,365,English
44,3000,Steve Carell,29738,http://www.imdb.com/title/tt1698641/?ref_=fn_tt_tt_1,85,English
456,241,Brenda Blethyn,193455,http://www.imdb.com/title/tt0414387/?ref_=fn_tt_tt_1,1058,English
0,521,Sean Young,461609,http://www.imdb.com/title/tt0083658/?ref_=fn_tt_tt_1,1168,English
105,902,Jason Flemyng,34427,http://www.imdb.com/title/tt0114287/?ref_=fn_tt_tt_1,126,English
368,114,Richard Sammel,69355,http://www.imdb.com/title/tt2172934/?ref_=fn_tt_tt_1,211,English
115,97,Oleg Taktarov,72693,http://www.imdb.com/title/tt0498399/?ref_=fn_tt_tt_1,199,English
710,258,Bob Clendenin,9338,http://www.imdb.com/title/tt0160484/?ref_=fn_tt_tt_1,167,English
63,,Philippe Labro,10369,http://www.imdb.com/title/tt0301727/?ref_=fn_tt_tt_1,153,English
80,585,Carlos Ponce,44103,http://www.imdb.com/title/tt0397078/?ref_=fn_tt_tt_1,149,English
116,385,Mary McCormack,22250,http://www.imdb.com/title/tt0134618/?ref_=fn_tt_tt_1,123,English
32,453,Amber Valletta,29971,http://www.imdb.com/title/tt1273678/?ref_=fn_tt_tt_1,71,English
23,899,Francis Capra,4288,http://www.imdb.com/title/tt0120133/?ref_=fn_tt_tt_1,21,English
0,900,Clea DuVall,43006,http://www.imdb.com/title/tt0228333/?ref_=fn_tt_tt_1,460,English
234,660,Zoe Kazan,11476,http://www.imdb.com/title/tt1018765/?ref_=fn_tt_tt_1,50,English
23,845,Bella Heathcote,23775,http://www.imdb.com/title/tt1374989/?ref_=fn_tt_tt_1,134,English
17000,0,Tulku Jamyang Kunga Tenzin,21606,http://www.imdb.com/title/tt0119485/?ref_=fn_tt_tt_1,117,English
53,87,Katherine Parkinson,61269,http://www.imdb.com/title/tt0455538/?ref_=fn_tt_tt_1,98,English
65,405,Donald Faison,202967,http://www.imdb.com/title/tt1650554/?ref_=fn_tt_tt_1,378,English
13,278,Elena Anaya,10266,http://www.imdb.com/title/tt0395119/?ref_=fn_tt_tt_1,84,Spanish
11,561,Robert Maillet,32103,http://www.imdb.com/title/tt1430612/?ref_=fn_tt_tt_1,112,English
46,293,Kabir Bedi,74374,http://www.imdb.com/title/tt0086034/?ref_=fn_tt_tt_1,225,English
