num_critic_for_reviews,actor_3_facebook_likes,gross,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,title_year,imdb_score
225,311,61280963,Horror|Sci-Fi|Thriller,Dylan Baker,2474,James Gammon,1,http://www.imdb.com/title/tt0209958/?ref_=fn_tt_tt_1,677,English,2000,6.3
83,80,56876365,Action|Adventure,Leonardo DiCaprio,29265,Judith Godrèche,1,http://www.imdb.com/title/tt0120744/?ref_=fn_tt_tt_1,244,English,1998,6.4
160,426,59699513,Biography|Drama|Family|History|Sport,Scott Glenn,2259,Dylan Walsh,0,http://www.imdb.com/title/tt1028576/?ref_=fn_tt_tt_1,136,English,2010,7.2
191,691,54132596,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Chris Evans,16571,Mako,0,http://www.imdb.com/title/tt0453556/?ref_=fn_tt_tt_1,211,English,2007,6.3
74,568,52277485,Biography|Drama|Sport,Alfre Woodard,4231,Debra Winger,1,http://www.imdb.com/title/tt0316465/?ref_=fn_tt_tt_1,196,English,2003,6.9
238,923,55802754,Comedy|Romance,Mila Kunis,20956,Masi Oka,2,http://www.imdb.com/title/tt1632708/?ref_=fn_tt_tt_1,194,English,2011,6.6
177,190,55291815,Comedy,Chloë Grace Moretz,17860,Kiersey Clemons,0,http://www.imdb.com/title/tt4438848/?ref_=fn_tt_tt_1,111,English,2016,6.0
405,825,83299761,Biography|Comedy|Drama|History|Music,Tom Hanks,19809,B.J. Novak,2,http://www.imdb.com/title/tt2140373/?ref_=fn_tt_tt_1,306,English,2013,7.5
61,318,48169908,Biography|Drama|History|Romance,Denzel Washington,20143,Al Freeman Jr.,0,http://www.imdb.com/title/tt0104797/?ref_=fn_tt_tt_1,156,English,1992,7.7
285,120,67523385,Comedy,Charlyne Yi,1050,Mackenzie Aladjem,2,http://www.imdb.com/title/tt1758830/?ref_=fn_tt_tt_1,248,English,2012,6.2
124,931,49474048,Comedy|Family,Robin Williams,53370,Ann-Margret,2,http://www.imdb.com/title/tt0976238/?ref_=fn_tt_tt_1,120,English,2009,5.4
164,227,45802315,Action|Adventure|Fantasy|Sci-Fi|Thriller,Craig Parker,2184,Steven Mackintosh,1,http://www.imdb.com/title/tt0834001/?ref_=fn_tt_tt_1,169,English,2009,6.6
120,766,43792641,Comedy|Romance,Robin Williams,52566,Mindy Kaling,3,http://www.imdb.com/title/tt0762114/?ref_=fn_tt_tt_1,119,English,2007,5.3
90,553,57651794,Comedy|Romance|Sport,Jon Lovitz,13125,Tim Meadows,2,http://www.imdb.com/title/tt0437863/?ref_=fn_tt_tt_1,209,English,2006,5.6
120,664,43894863,Comedy|Romance,Stockard Channing,4879,Elizabeth Perkins,2,http://www.imdb.com/title/tt0417001/?ref_=fn_tt_tt_1,262,English,2005,5.9
117,646,41954997,Biography|Crime|Drama,Johnny Depp,56014,Anne Heche,2,http://www.imdb.com/title/tt0119008/?ref_=fn_tt_tt_1,234,English,1997,7.8
226,766,39532308,Action|Horror|Sci-Fi,Milla Jovovich,17902,Colin Salmon,0,http://www.imdb.com/title/tt0120804/?ref_=fn_tt_tt_1,1138,English,2002,6.7
223,723,76600000,Fantasy|Horror,Heather O'Rourke,3876,Craig T. Nelson,0,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,321,English,1982,7.4
193,939,39692139,Comedy|Crime|Thriller,J.K. Simmons,41701,Stephen Root,1,http://www.imdb.com/title/tt0335245/?ref_=fn_tt_tt_1,400,English,2004,6.2
228,248,40687294,Action|Crime|Drama|Mystery|Thriller,Mila Kunis,16249,Jamie Hector,1,http://www.imdb.com/title/tt0467197/?ref_=fn_tt_tt_1,398,English,2008,5.4
360,3000,37553932,Action|Sci-Fi|Thriller,Matt Bomer,34011,Justin Timberlake,2,http://www.imdb.com/title/tt1637688/?ref_=fn_tt_tt_1,463,English,2011,6.7
148,584,37481242,Comedy|Romance,Danneel Ackles,3356,Tom Bosley,0,http://www.imdb.com/title/tt1212436/?ref_=fn_tt_tt_1,97,English,2010,5.3
128,196,39026186,Comedy|Drama|Romance,Ashley Williams,2371,Kirsten Day,4,http://www.imdb.com/title/tt0491152/?ref_=fn_tt_tt_1,153,English,2011,5.9
3,628,,Drama|Romance,Jodi Lyn O'Keefe,3438,Logan Browning,4,http://www.imdb.com/title/tt2368645/?ref_=fn_tt_tt_1,11,English,,7.0
46,447,33422806,Adventure|Comedy|Fantasy,Tom Wilkinson,2643,Vincent Regan,1,http://www.imdb.com/title/tt0265087/?ref_=fn_tt_tt_1,164,English,2001,4.8
40,57,,Comedy|Drama|Family|Sport,Tatum O'Neal,677,Joyce Van Patten,1,http://www.imdb.com/title/tt0074174/?ref_=fn_tt_tt_1,91,English,1976,7.3
63,690,33423521,Action|Adventure|Comedy|Thriller,Ming-Na Wen,5443,Kylie Minogue,1,http://www.imdb.com/title/tt0111301/?ref_=fn_tt_tt_1,282,English,1994,3.8
193,95,32519322,Biography|Drama|War,Emilia Fox,1075,Ed Stoppard,0,http://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1,761,English,2002,8.5
208,140,31598308,Horror|Mystery|Thriller,Johnny Depp,41636,Ian Richardson,1,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,541,English,2001,6.8
122,206,37617947,Drama|Family|Fantasy,Keisha Castle-Hughes,966,Shaun Toub,0,http://www.imdb.com/title/tt0762121/?ref_=fn_tt_tt_1,203,English,2006,6.8
228,324,32048809,Horror,Robert Ri'chard,2178,Brian Van Holt,0,http://www.imdb.com/title/tt0397065/?ref_=fn_tt_tt_1,576,English,2005,5.3
212,23,33987757,Drama|Romance,Natalie Portman,28027,Colin Stinton,2,http://www.imdb.com/title/tt0376541/?ref_=fn_tt_tt_1,903,English,2004,7.3
392,363,37304950,Biography|Crime|Drama,Leonardo DiCaprio,36258,Kaitlyn Dever,0,http://www.imdb.com/title/tt1616195/?ref_=fn_tt_tt_1,279,English,2011,6.6
208,844,30691439,Horror|Mystery,Jason Flemyng,3185,Julian Glover,0,http://www.imdb.com/title/tt0790686/?ref_=fn_tt_tt_1,232,English,2008,6.2
137,531,30307804,Drama|Fantasy|Horror,Aaliyah,3001,Bruce Spence,2,http://www.imdb.com/title/tt0238546/?ref_=fn_tt_tt_1,695,English,2002,5.2
119,636,30669413,Action|Horror|Sci-Fi,Adam Baldwin,4722,Kevin Peter Hall,0,http://www.imdb.com/title/tt0100403/?ref_=fn_tt_tt_1,291,English,1990,6.2
195,398,28687835,Crime|Drama|Thriller,Billy Burke,3612,Joseph Cross,1,http://www.imdb.com/title/tt0880578/?ref_=fn_tt_tt_1,245,English,2008,6.2
95,480,26494611,Comedy|Drama|Romance|Sci-Fi,Brendan Fraser,5709,Douglas Smith,0,http://www.imdb.com/title/tt0124298/?ref_=fn_tt_tt_1,239,English,1999,6.6
100,455,,Action|Adventure|Sci-Fi,Brian Blessed,2603,Sam J. Jones,1,http://www.imdb.com/title/tt0080745/?ref_=fn_tt_tt_1,247,English,1980,6.4
164,769,25266129,Comedy|Drama|Romance,Stephen Root,3592,George Carlin,5,http://www.imdb.com/title/tt0300051/?ref_=fn_tt_tt_1,358,English,2004,6.2
211,374,25863915,Action|Crime|Mystery|Thriller,Cicely Tyson,2471,Carmen Ejogo,0,http://www.imdb.com/title/tt1712170/?ref_=fn_tt_tt_1,151,English,2012,5.1
91,229,25078937,Crime|Drama|Mystery|Thriller,Kevin Spacey,19689,Leon Rippy,2,http://www.imdb.com/title/tt0119668/?ref_=fn_tt_tt_1,216,English,1997,6.6
44,558,,Action|Crime|Thriller,Robert De Niro,24154,D.B. Sweeney,1,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,57,English,2015,6.1
97,167,28995450,Comedy|Family|Fantasy,Daniel Mays,855,Eros Vlahos,5,http://www.imdb.com/title/tt1415283/?ref_=fn_tt_tt_1,59,English,2010,6.1
32,210,24276500,Biography|Crime|Drama,Frank Whaley,1394,Paul Guilfoyle,2,http://www.imdb.com/title/tt0104427/?ref_=fn_tt_tt_1,68,English,1992,6.6
270,296,20981633,Drama|Mystery|Sci-Fi|Thriller,Mitch Pileggi,2351,Nicki Aycox,0,http://www.imdb.com/title/tt0443701/?ref_=fn_tt_tt_1,492,English,2008,5.9
89,973,22913677,Comedy|Family|Fantasy|Romance,Anne Hathaway,17292,Joanna Lumley,1,http://www.imdb.com/title/tt0327679/?ref_=fn_tt_tt_1,244,English,2004,6.3
219,745,34531832,Biography|Drama|Sport,Will Smith,13371,Albert Brooks,0,http://www.imdb.com/title/tt3322364/?ref_=fn_tt_tt_1,138,English,2015,7.1
180,63,28064226,Action|Mystery|Thriller,Ken Arnold,561,Richard Cetrone,1,http://www.imdb.com/title/tt1600195/?ref_=fn_tt_tt_1,173,English,2011,5.0
93,72,19447478,Adventure|Animation|Comedy|Family|War,Jim Broadbent,1908,Pip Torrens,0,http://www.imdb.com/title/tt0361089/?ref_=fn_tt_tt_1,80,English,2005,5.6
173,549,19389454,Comedy|Drama,Robert Downey Jr.,22974,Richard Thomas,5,http://www.imdb.com/title/tt0185014/?ref_=fn_tt_tt_1,335,English,2000,7.4
121,418,25871834,Action|Comedy|Sci-Fi|Thriller,Drake Bell,3266,Marion Ross,6,http://www.imdb.com/title/tt0426592/?ref_=fn_tt_tt_1,173,English,2008,4.5
298,344,19692608,Crime|Drama|Thriller,Alona Tal,2073,Michael Beach,3,http://www.imdb.com/title/tt1235522/?ref_=fn_tt_tt_1,134,English,2013,6.2
158,520,19294901,Comedy|Horror,Shannon Elizabeth,2535,Derek Mears,0,http://www.imdb.com/title/tt0257516/?ref_=fn_tt_tt_1,325,English,2005,5.0
248,346,20275446,Action|Crime|Thriller,Joseph Gordon-Levitt,24669,Aasif Mandvi,0,http://www.imdb.com/title/tt1547234/?ref_=fn_tt_tt_1,178,English,2012,6.5
155,253,34507079,Action|Comedy|Crime,Jim Gaffigan,1679,Michael Mosley,2,http://www.imdb.com/title/tt2967224/?ref_=fn_tt_tt_1,118,English,2015,5.1
105,39,18306166,Adventure|Drama|Romance|War,Djimon Hounsou,3142,Alex Jennings,2,http://www.imdb.com/title/tt0240510/?ref_=fn_tt_tt_1,215,English,2002,6.5
224,458,17609982,Action|Crime|Romance|Thriller,Jason Statham,28479,Wendell Pierce,0,http://www.imdb.com/title/tt1904996/?ref_=fn_tt_tt_1,141,English,2013,6.2
129,663,16831505,Comedy|Romance|Sport,Kirsten Dunst,9330,Austin Nichols,1,http://www.imdb.com/title/tt0360201/?ref_=fn_tt_tt_1,173,English,2004,6.3
101,734,17596256,Comedy|Family,Brendan Fraser,6327,Matt Prokop,1,http://www.imdb.com/title/tt0492389/?ref_=fn_tt_tt_1,84,English,2010,3.8
145,174,,Action|Horror|Sci-Fi,Alex Russell,1361,Richard Brancatisano,1,http://www.imdb.com/title/tt1438173/?ref_=fn_tt_tt_1,82,English,2012,5.2
57,136,,Action|Adventure|Fantasy,Liam Neeson,14744,Lysette Anthony,1,http://www.imdb.com/title/tt0085811/?ref_=fn_tt_tt_1,178,English,1983,6.0
227,10000,14998070,Drama|Thriller|War,Meryl Streep,32875,Andrew Garfield,3,http://www.imdb.com/title/tt0891527/?ref_=fn_tt_tt_1,298,English,2007,6.2
13,150,14587732,Action|Drama|Thriller|War,Rosanna Arquette,1290,Christopher Rich,3,http://www.imdb.com/title/tt0099587/?ref_=fn_tt_tt_1,39,English,1991,5.7
171,134,18317151,Comedy|Music,Tim Meadows,1082,Matt Price,1,http://www.imdb.com/title/tt0841046/?ref_=fn_tt_tt_1,200,English,2007,6.7
119,505,11405825,Drama,Kevin Spacey,19805,Jason Behr,3,http://www.imdb.com/title/tt0120824/?ref_=fn_tt_tt_1,208,English,2001,6.8
44,141,13264986,Action|Western,Gregory Smith,1668,Harris Yulin,2,http://www.imdb.com/title/tt0244000/?ref_=fn_tt_tt_1,162,English,2001,6.0
188,919,10991381,Biography|Drama|History|Romance,Michiel Huisman,5890,Thomas Kretschmann,1,http://www.imdb.com/title/tt0962736/?ref_=fn_tt_tt_1,100,English,2009,7.3
166,230,10268846,Action|Crime|Mystery|Thriller,Tom Skerritt,1947,Shawn Doyle,1,http://www.imdb.com/title/tt0365929/?ref_=fn_tt_tt_1,142,English,2009,5.5
584,687,13303319,Drama|Fantasy,Brad Pitt,13021,Fiona Shaw,0,http://www.imdb.com/title/tt0478304/?ref_=fn_tt_tt_1,975,English,2011,6.7
67,105,10076136,Action|Comedy|Thriller,Paul Sorvino,1352,Ray Nicholas,0,http://www.imdb.com/title/tt0120724/?ref_=fn_tt_tt_1,141,English,1998,4.8
233,120,10499968,Action|Crime|Drama|Thriller,Mireille Enos,1458,Maurice Compte,3,http://www.imdb.com/title/tt1742334/?ref_=fn_tt_tt_1,212,English,2014,5.7
112,127,7659747,Action|Mystery|Thriller,Heath Ledger,14165,Benno Fürmann,1,http://www.imdb.com/title/tt0304711/?ref_=fn_tt_tt_1,204,English,2003,5.1
151,766,7948159,Action|Crime|Drama|Thriller,Julie Benz,6563,Colin Salmon,1,http://www.imdb.com/title/tt0450314/?ref_=fn_tt_tt_1,280,English,2008,6.0
63,690,11631245,Action|Adventure|Family|Sci-Fi,Kevin Zegers,5022,Thomas F. Wilson,5,http://www.imdb.com/title/tt0383060/?ref_=fn_tt_tt_1,113,English,2006,4.2
335,6,10137502,Adventure|Biography|Drama|Thriller,Joseph Gordon-Levitt,23031,Jade Kindar-Martin,0,http://www.imdb.com/title/tt3488710/?ref_=fn_tt_tt_1,195,English,2015,7.4
24,448,6448817,Action|Adventure|Fantasy,Marley Shelton,1993,Angus Macfadyen,0,http://www.imdb.com/title/tt0120479/?ref_=fn_tt_tt_1,31,English,1997,4.6
147,567,7458269,Comedy|Drama|Romance,Archie Panjabi,3611,Richard Coyle,1,http://www.imdb.com/title/tt0401445/?ref_=fn_tt_tt_1,196,English,2006,6.9
51,256,,Crime|Drama|Mystery|Thriller,Ruth Wilson,3823,Warren Brown,1,http://www.imdb.com/title/tt1474684/?ref_=fn_tt_tt_1,105,English,,8.6
10,697,4651977,Drama,Adam Baldwin,4334,John Heard,3,http://www.imdb.com/title/tt0105211/?ref_=fn_tt_tt_1,71,English,1992,6.9
12,672,4496583,Crime|Drama,Delroy Lindo,3227,Raymond Cruz,2,http://www.imdb.com/title/tt0106469/?ref_=fn_tt_tt_1,129,English,1993,8.0
50,918,2221994,Action|Drama|Sci-Fi|Thriller,Jim Broadbent,3125,Julia Ormond,1,http://www.imdb.com/title/tt0120152/?ref_=fn_tt_tt_1,99,English,1997,6.4
149,115,6592103,Crime|Drama|Mystery|Thriller,Peter Coyote,1005,Rie Rasmussen,1,http://www.imdb.com/title/tt0280665/?ref_=fn_tt_tt_1,232,English,2002,6.3
24,249,,Biography|Drama|History|War,Oliver Reed,1573,John Gielgud,0,http://www.imdb.com/title/tt0081059/?ref_=fn_tt_tt_1,55,English,1980,8.4
28,45,1877179,Adventure|Drama|Romance|War,Olivier Martinez,1508,Isabelle Carré,1,http://www.imdb.com/title/tt0113362/?ref_=fn_tt_tt_1,25,French,1995,7.1
95,0,630779,Drama|Romance|War|Western,Jeremy W. Auman,5,Tobey Maguire,0,http://www.imdb.com/title/tt0134154/?ref_=fn_tt_tt_1,159,English,1999,6.8
288,7,5100937,Drama,Maricel Álvarez,50,Eduard Fernández,0,http://www.imdb.com/title/tt1164999/?ref_=fn_tt_tt_1,127,Spanish,2010,7.5
10,282,,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,1980,Bipasha Basu,3,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,15,English,2015,4.5
58,324,,Action|Comedy|Crime|Western,Salma Hayek,5377,Dwight Yoakam,2,http://www.imdb.com/title/tt0416496/?ref_=fn_tt_tt_1,76,English,2006,5.7
,816,,Crime|Drama,Bill Cobbs,3874,Beverly D'Angelo,0,http://www.imdb.com/title/tt0490087/?ref_=fn_tt_tt_1,,English,2009,7.2
297,129,102413606,Action|Mystery|Sci-Fi|Thriller,Ki Hong Lee,1783,Jacob Latimore,0,http://www.imdb.com/title/tt1790864/?ref_=fn_tt_tt_1,524,English,2014,6.8
90,141,10214013,Comedy,Tom Wilkinson,1564,Melissa McMeekin,2,http://www.imdb.com/title/tt2358925/?ref_=fn_tt_tt_1,89,English,2015,5.4
56,94,32000000,Drama|Romance,Richard E. Grant,1068,Stuart Wilson,3,http://www.imdb.com/title/tt0106226/?ref_=fn_tt_tt_1,150,English,1993,7.2
274,1000,10139254,Drama|Sci-Fi,Hugh Jackman,24640,Mark Margolis,0,http://www.imdb.com/title/tt0414993/?ref_=fn_tt_tt_1,915,English,2006,7.3
68,239,11227940,Action|Adventure|Comedy|Drama|Thriller,David Paymer,1274,Hudson Leick,0,http://www.imdb.com/title/tt0163579/?ref_=fn_tt_tt_1,94,English,1999,5.2
98,566,183125,Action|Crime|Drama|Thriller,Nicolas Cage,14978,Sami Gayle,1,http://www.imdb.com/title/tt1656186/?ref_=fn_tt_tt_1,86,English,2012,5.5
256,2,15081783,Adventure|Animation|Family|Fantasy,Rumi Hiiragi,13,Yuria Nara,0,http://www.imdb.com/title/tt0876563/?ref_=fn_tt_tt_1,144,Japanese,2008,7.7
117,954,37432299,Drama|Romance,Tiago Riani,3386,Hayley Lovitt,0,http://www.imdb.com/title/tt2726560/?ref_=fn_tt_tt_1,116,English,2015,7.1
107,1000,10654581,Drama|Sci-Fi|Thriller,Johnny Depp,52621,Clea DuVall,0,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,260,English,1999,5.3
52,292,6543194,Adventure|Drama|Romance,Liam Aiken,1778,Vincent Perez,1,http://www.imdb.com/title/tt0167203/?ref_=fn_tt_tt_1,61,English,2000,5.6
