actor_3_facebook_likes,genres,actor_1_name,movie_imdb_link,title_year
165,Comedy|Drama|Family|Romance,Macaulay Culkin,http://www.imdb.com/title/tt0102492/?ref_=fn_tt_tt_1,1991
260,Biography|Drama|Romance,Robert Downey Jr.,http://www.imdb.com/title/tt0422295/?ref_=fn_tt_tt_1,2006
96,Drama|Mystery|Romance|Thriller,Rufus Sewell,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,2006
168,Crime|Drama,Hal Holbrook,http://www.imdb.com/title/tt0094291/?ref_=fn_tt_tt_1,1987
1000,Drama|Romance,Alan Rickman,http://www.imdb.com/title/tt0114388/?ref_=fn_tt_tt_1,1995
281,Biography|Drama|Romance,Anne Hathaway,http://www.imdb.com/title/tt0416508/?ref_=fn_tt_tt_1,2007
433,Comedy|Romance,Danny Strong,http://www.imdb.com/title/tt0815244/?ref_=fn_tt_tt_1,2007
385,Drama,Frances Fisher,http://www.imdb.com/title/tt0315983/?ref_=fn_tt_tt_1,2003
1000,Comedy|Drama,Robin Williams,http://www.imdb.com/title/tt0097165/?ref_=fn_tt_tt_1,1989
481,Comedy,Lauren Holly,http://www.imdb.com/title/tt0109686/?ref_=fn_tt_tt_1,1994
62,Comedy|Drama|Romance,Bruno Kirby,http://www.imdb.com/title/tt0098635/?ref_=fn_tt_tt_1,1989
359,Drama,Charlotte Rampling,http://www.imdb.com/title/tt0084855/?ref_=fn_tt_tt_1,1982
486,Comedy,Ethan Suplee,http://www.imdb.com/title/tt0215129/?ref_=fn_tt_tt_1,2000
35,Comedy|Drama|Romance|Sport,Paul Walker,http://www.imdb.com/title/tt0139699/?ref_=fn_tt_tt_1,1999
628,Comedy|Drama|Romance,Bérénice Bejo,http://www.imdb.com/title/tt1655442/?ref_=fn_tt_tt_1,2011
389,Drama|Fantasy|Horror|Mystery|Thriller,Gary Oldman,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,2009
559,Adventure|Comedy|Drama|Romance,Bruce Willis,http://www.imdb.com/title/tt1748122/?ref_=fn_tt_tt_1,2012
