num_critic_for_reviews,duration,actor_1_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,language,budget,title_year,actor_2_facebook_likes,imdb_score
15,154,715,,1567,John Ireland,3,English,9000000,1963,490,6.8
543,96,394,54239856,673,Ellen Sandweiss,0,English,17000000,2013,150,6.5
112,98,567,8662318,2016,Rachel Dratch,1,English,17000000,2009,503,5.9
153,107,2000,7156725,5992,Chris Klein,6,English,19000000,2006,2000,5.5
94,134,1000,15681020,3007,William Hootkins,6,English,17000000,1987,593,3.6
62,94,328,7070459,760,Conrad Coates,0,English,,2007,122,3.3
157,122,23000,6855137,27381,Ivana Milicevic,2,English,17000000,2006,979,7.4
35,128,767,2694071,1727,Paul Freeman,3,English,,2004,327,6.7
21,97,400,2315683,805,Clyde Kusatsu,0,English,17000000,1986,193,3.0
236,110,3000,39825798,4210,Jake Wood,3,English,16000000,2006,979,7.6
50,102,634,2000000,1262,Zakes Mokae,0,English,17000000,1981,537,6.4
106,98,214,1569918,409,Gerard McSorley,1,English,17000000,2003,96,6.9
106,120,14000,106869,14492,Carlos Bardem,1,English,17000000,2014,287,6.6
173,160,1000,273420,2340,Chris Andrew Ciulla,6,English,17000000,2006,876,5.5
41,80,677,,1364,Mary Mouser,0,French,11000000,2008,262,6.6
41,91,669,,1769,Paul Winfield,0,English,17000000,1977,642,5.2
145,83,465,4930798,730,Tim Williams,1,English,17000000,2012,152,4.1
31,102,3000,59847242,5433,Griffin Dunne,1,English,16500000,1991,2000,6.8
105,122,21000,220914,25173,Matt Servitto,2,English,16800000,2006,3000,6.5
236,110,3000,39825798,4210,Jake Wood,3,English,16000000,2006,979,7.6
114,126,826,43848100,1607,James Karen,2,English,15000000,1987,508,7.4
69,136,25000,42700000,41059,Tom Wilkinson,2,English,16500000,1995,14000,7.7
150,120,11000,18663911,12554,Laurence Fox,1,English,16500000,2007,838,7.1
72,108,714,11702090,2785,Samm Levine,2,English,16500000,2007,701,6.3
158,126,638,13005485,2282,Ron Eldard,0,English,15000000,2003,624,7.6
96,128,49000,95860116,51609,Kurtwood Smith,0,English,16400000,1989,1000,8.0
84,113,879,127175354,2985,Teri Garr,2,English,16000000,1994,854,7.3
114,89,227,92823600,485,Harley Jane Kozak,0,English,16000000,1989,73,7.6
79,129,844,54000000,2330,Jack Warden,0,English,16000000,1982,617,7.8
103,94,1000,68525609,3889,Paulo Costanzo,5,English,15600000,2000,490,6.5
67,106,23000,52885587,23369,Mark Walters,0,English,16000000,1999,255,6.4
576,100,996,44667095,4606,Beth Grant,0,English,15000000,2011,897,8.0
178,89,10000,42638165,12183,Rachel Brosnahan,1,English,16000000,2009,787,4.8
487,94,13000,45507053,27911,Bob Balaban,2,English,16000000,2012,13000,7.8
196,83,20000,39511038,26402,Lew Temple,0,English,16000000,2006,4000,5.9
24,111,241,6462576,824,Finn Ireland,0,English,18500000,2016,118,5.4
56,80,911,40363530,3058,James Brolin,2,English,16000000,2002,521,3.3
406,112,634,37623143,1322,Sergi López,0,Spanish,13500000,2006,269,8.2
3,60,1000,,4561,Riley Smith,0,English,,,921,6.6
51,94,1000,33357476,4194,Paul Sorvino,0,English,35000000,2001,1000,5.4
41,130,939,28734552,3107,Angell Conwell,2,English,16000000,2001,881,6.4
138,91,3000,37300107,5349,Frances Fisher,1,English,16000000,2011,1000,4.8
78,91,861,27087695,2543,Fred Ward,0,English,17700000,2001,593,5.9
40,110,633,30102717,874,Kamel Krifa,2,English,15000000,1991,67,5.5
285,121,175,23618786,485,Billie Whitelaw,1,English,8000000,2007,115,7.9
124,114,851,26896744,3485,Debra Messing,4,English,16500000,2008,680,4.9
275,96,19000,23213577,19894,Christopher Evan Welch,0,English,15500000,2008,581,7.2
34,270,908,,2762,Vincent Perez,1,Swedish,25000000,2007,690,6.6
81,100,15000,55461307,18786,Jada Pinkett Smith,9,English,20000000,2016,1000,6.7
67,94,3000,20627372,3451,Tsianina Joelson,3,English,16000000,2000,240,5.3
103,109,835,16346122,2572,Marc Donato,0,English,16000000,2002,787,7.2
300,107,24000,16204793,24805,Cynthia Stevenson,1,English,16000000,2009,396,5.1
