duration,director_facebook_likes,actor_3_facebook_likes,movie_title,cast_total_facebook_likes,plot_keywords,num_user_for_reviews,language,content_rating,budget
95,13,430,My Dog Skip ,2515,1940s|dog|mississippi|puppy|veteran,149,English,PG,5000000
112,20,61,"Definitely, Maybe ",16289,college|daughter|girl|sex|wisconsin,168,English,PG-13,
112,70,826,Jumping the Broom ,5959,martha's vineyard|mother|older woman younger man relationship|wedding|weekend,59,English,PG-13,6600000
143,1000,76,The Great Gatsby ,29769,ingratitude|mansion|party|title appears in writing|tragedy,753,English,PG-13,105000000
93,0,566,"Good Night, and Good Luck. ",22745,cbs|expose|fear|paranoia|reporter,526,English,PG,7500000
110,152,27,Capote ,22140,book|holcomb kansas|kansas|killer|truman capote,416,English,R,7000000
104,0,4000,Desperado ,33758,crushed by a car|female frontal nudity|female nudity|female rear nudity|one against many,202,English,R,7000000
115,187,887,The Claim ,17104,gold|gold mine|miner|railroad|surveyor,92,English,R,20000000
53,,1000,Fargo             ,19949,anthology|death|insurance salesman|minnesota|police officer,173,English,TV-MA,
119,23,440,Logan's Run ,2951,cat|computer|cult film|runner|sanctuary,242,English,PG,9000000
125,82,244,The Man with the Golden Gun ,17611,assassin|bikini|girl in a bikini|mission|secret agent,258,English,PG,13000000
96,22,794,Action Jackson ,5282,murder|power|psychotronic|tough cop|union,65,English,R,7000000
100,197,159,The Descent ,1379,cave|expedition|friendship between women|group of friends|survival horror,1100,English,R,3500000
46,0,69,Michael Jordan to the Max ,13448,basketball|basketball player|character name in title|chicago bulls|imax,13,English,,
89,14,270,Devil's Due ,2517,eiffel tower at night|honeymoon|implied insemination|party|taxi driver,120,English,R,7000000
92,737,380,Flirting with Disaster ,2240,adoption|armpit fetish|mistaken identity|new mexico|overalls,105,English,R,7000000
109,0,597,The Devil's Rejects ,3544,escape|police|road trip|sheriff|texas,687,English,R,7000000
44,,970,Buffy the Vampire Slayer             ,7970,action heroine|coming of age|destiny|double life|vampire,665,English,TV-14,2300000
103,44,190,Dope ,1342,african american|geek|hip hop|party|tomboy,89,English,R,7000000
95,48,826,In Too Deep ,4837,cunnilingus|oral sex|police|sex scene|undercover,29,English,R,7000000
143,0,393,Skyfall ,2039,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,1498,English,PG-13,200000000
105,0,303,House of 1000 Corpses ,2444,actor playing multiple roles|axe|dark comedy|masked man|sadism,922,English,R,7000000
79,0,23,Alien Zone ,345,affair|child murderer|mortician|strangulation|supernatural power,21,English,PG,350000
106,1000,98,A Serious Man ,1120,bar mitzvah|jewish|marital breakup|nose job|rabbi,324,English,R,7000000
100,11,970,Get Low ,19330,funeral|funeral home|hermit|party|secret,97,English,PG-13,7500000
103,49,304,Warlock ,1990,17th century|book|death|warlock|witch hunter,79,English,R,7000000
116,107,658,Beyond the Lights ,3110,domestic abuse|public humiliation|sex symbol|singer|suicide attempt,37,English,PG-13,7000000
99,192,292,A Single Man ,14816,car accident|male full back nudity|practicing a suicide|public nudity|suicide contemplation,247,English,R,7000000
164,17000,159,The Last Temptation of Christ ,1934,carpenter|exorcism|faith|reference to jesus christ|temptation,308,English,R,7000000
96,30,407,Outside Providence ,2018,class|cornwall connecticut|dog|friend|pawtucket rhode island,100,English,R,7000000
122,98,397,Bride & Prejudice ,2321,bollywood|india|jane austen|london england|travel,276,English,PG-13,7000000
94,176,46,Rabbit-Proof Fence ,312,aborigine|based on true story|colonialism|fence|half caste,249,Aboriginal,PG,6000000
93,70,442,Who's Your Caddy? ,3128,2000s|golf caddy|golf course|golfer|question mark in title,46,English,PG-13,7000000
96,6,38,Split Second ,493,appearing from water|breasts|creature|partner|water,75,English,R,7000000
60,,346,Nikita             ,2352,assassin|death|female protagonist|rogue|training,83,English,,
