director_name,duration,director_facebook_likes,actor_1_facebook_likes,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Richard LaGravenese,100,98,1000,Holly Hunter,4052,Jenette Goldstein,1,http://www.imdb.com/title/tt0120722/?ref_=fn_tt_tt_1,R,12000000,849,6.6,242
Sanaa Hamri,100,43,988,Common,10103,Mehcad Brooks,1,http://www.imdb.com/title/tt1407061/?ref_=fn_tt_tt_1,PG,,826,5.8,0
Jonathan Demme,113,438,11000,Anne Hathaway,41226,Bill Irwin,1,http://www.imdb.com/title/tt1084950/?ref_=fn_tt_tt_1,R,,536,6.7,0
Bob Rafelson,122,30,1000,Anjelica Huston,16764,John Colicos,0,http://www.imdb.com/title/tt0082934/?ref_=fn_tt_tt_1,R,12000000,230,6.6,1000
Peter Webber,100,73,19000,Scarlett Johansson,60171,Tom Wilkinson,0,http://www.imdb.com/title/tt0335119/?ref_=fn_tt_tt_1,PG-13,,14000,7.0,0
Wolfgang Petersen,293,249,362,Jürgen Prochnow,168203,Herbert Grönemeyer,0,http://www.imdb.com/title/tt0082096/?ref_=fn_tt_tt_1,R,14000000,21,8.4,11000
John Lee Hancock,137,102,2000,Dennis Quaid,16832,Jordi Mollà,0,http://www.imdb.com/title/tt0318974/?ref_=fn_tt_tt_1,PG-13,107000000,973,6.0,701
Wallace Wolodarsky,93,32,529,Heather Matarazzo,12007,Harland Williams,3,http://www.imdb.com/title/tt0279781/?ref_=fn_tt_tt_1,R,12000000,526,5.4,507
Richard Curtis,123,628,565,Tom Hughes,202341,Lindsay Duncan,1,http://www.imdb.com/title/tt2194499/?ref_=fn_tt_tt_1,R,12000000,555,7.8,105000
Yimou Zhang,119,611,755,Takeshi Kaneshiro,92295,Zhengyong Zhang,3,http://www.imdb.com/title/tt0385004/?ref_=fn_tt_tt_1,PG-13,100000000,483,7.6,0
Nicholas Jarecki,107,27,664,Nate Parker,41574,Reg E. Cathey,1,http://www.imdb.com/title/tt1764183/?ref_=fn_tt_tt_1,R,12000000,591,6.6,0
Dean Israelite,106,16,452,Gary Weeks,57349,Sofia Black-D'Elia,0,http://www.imdb.com/title/tt2436386/?ref_=fn_tt_tt_1,PG-13,12000000,328,6.4,0
Darnell Martin,109,67,436,Cedric the Entertainer,15412,Tammy Blanchard,3,http://www.imdb.com/title/tt1042877/?ref_=fn_tt_tt_1,R,12000000,223,7.0,0
