director_name,num_critic_for_reviews,director_facebook_likes,actor_1_name,language,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
James Mangold,440,446,Hugh Jackman,English,120000000,2013,992,6.7,68000
George Lucas,320,0,Natalie Portman,English,115000000,1999,14000,6.5,13000
Kirk De Micco,257,16,Ryan Reynolds,English,135000000,2013,15000,7.3,28000
Frédéric Forestier,33,0,Alain Delon,French,78000000,2008,276,5.1,291
John Woo,152,610,Nicolas Cage,English,115000000,2002,836,6.0,0
Cedric Nicolas-Troyan,231,19,Chris Hemsworth,English,115000000,2016,11000,6.1,16000
Jonathan Liebesman,348,473,Noel Fisher,English,125000000,2014,809,5.9,62000
Alfonso Cuarón,738,0,Phaldut Sharma,English,100000000,2013,23,7.8,147000
Roger Donaldson,93,79,Jamie Renée Smith,English,116000000,1997,293,5.8,0
Dave Green,181,13,Stephen Amell,English,135000000,2016,833,6.3,12000
Josh Trank,369,128,Tim Blake Nelson,English,120000000,2015,360,4.3,41000
Shawn Levy,179,189,Robin Williams,English,110000000,2006,3000,6.4,3000
Brad Peyton,358,62,Dwayne Johnson,English,110000000,2015,2000,6.1,52000
Roger Spottiswoode,160,55,Vincent Schiavelli,English,110000000,1997,766,6.5,0
Roland Emmerich,192,776,Heath Ledger,English,110000000,2000,2000,7.1,4000
Steven Soderbergh,198,0,Brad Pitt,English,110000000,2004,8000,6.4,0
Doug Liman,233,218,Brad Pitt,English,120000000,2005,11000,6.5,0
Robert Schwentke,263,124,Kate Winslet,English,110000000,2015,5000,6.3,27000
Martin Scorsese,267,17000,Leonardo DiCaprio,English,110000000,2004,3000,7.5,0
Rob Letterman,184,11,James Corden,English,112000000,2010,392,4.9,0
Michel Gondry,447,1000,Christoph Waltz,English,120000000,2011,1000,5.8,14000
,29,,George Peppard,English,,,554,7.6,0
Noam Murro,366,263,Eva Green,English,110000000,2014,1000,6.2,71000
Raja Gosnell,172,67,Mahadeo Shivraj,English,110000000,2011,113,5.5,31000
Will Finn,104,6,Steve Buscemi,English,110000000,2004,513,5.4,304
Robert Schwentke,181,124,Naomi Watts,English,110000000,2016,5000,5.8,12000
Shawn Levy,327,189,Hugh Jackman,English,110000000,2011,929,7.1,36000
Raja Gosnell,125,67,Jacob Tremblay,English,105000000,2013,71,5.4,0
Jan de Bont,79,101,Jason Patric,English,160000000,1997,368,3.7,894
Gavin Hood,326,151,Harrison Ford,English,110000000,2013,635,6.7,123000
Len Wiseman,354,235,Bruce Willis,English,110000000,2007,300,7.2,0
Peter Jackson,297,0,Christopher Lee,English,93000000,2001,5000,8.8,21000
Frank Coraci,188,153,Jim Broadbent,English,110000000,2004,1000,5.8,0
Michael Mann,174,0,Will Smith,English,107000000,2001,851,6.8,0
Bo Welch,109,34,Sean Hayes,English,109000000,2003,743,3.8,946
Alex Proyas,225,295,Will Smith,English,120000000,2004,981,7.1,0
Ridley Scott,239,0,Liam Neeson,English,130000000,2005,5000,7.2,0
Rob Minkoff,101,50,Chazz Palminteri,English,133000000,1999,886,5.9,0
Ron Clements,228,63,Oprah Winfrey,English,105000000,2009,578,7.1,5000
Ridley Scott,568,0,Matt Damon,English,108000000,2015,801,8.1,153000
Christopher Barnard,,0,Mathew Buck,,,,,7.2,0
Michael Bay,257,0,Scarlett Johansson,English,126000000,2005,12000,6.9,0
Peter Chelsom,62,23,Del Zamora,English,90000000,2001,631,4.4,53
Dominic Sena,175,57,Nicolas Cage,English,90000000,2000,11000,6.5,0
Ridley Scott,265,0,Djimon Hounsou,English,103000000,2000,933,8.5,21000
Steven Spielberg,252,14000,Tom Cruise,English,102000000,2002,798,7.7,0
Chris Columbus,232,0,Daniel Radcliffe,English,100000000,2002,10000,7.4,0
Martin Campbell,400,258,Eva Green,English,150000000,2006,1000,8.0,0
Tim Burton,230,13000,Cary-Hiroyuki Tagawa,English,100000000,2001,658,5.7,0
James Cameron,210,0,Joe Morton,English,102000000,1991,604,8.5,13000
Michael Mann,357,0,Johnny Depp,English,100000000,2009,23000,7.0,0
Ridley Scott,300,0,Denzel Washington,English,100000000,2007,782,7.8,0
James Cameron,94,0,Jamie Lee Curtis,English,115000000,1994,1000,7.2,0
Tony Scott,267,12000,Denzel Washington,English,100000000,2009,464,6.4,0
Paul Weitz,180,80,Robert De Niro,English,100000000,2010,713,5.5,0
