duration,actor_2_name,cast_total_facebook_likes,facenumber_in_poster,content_rating,budget,actor_2_facebook_likes,imdb_score
95,George Hamilton,1363,0,R,3000000,341,5.3
94,Stuart Margolin,1618,0,PG,3000000,350,8.0
104,Rob McElhenney,12250,2,R,4500000,813,7.1
87,Judy Greer,9555,3,R,3500000,2000,5.4
108,Michael Wincott,11459,4,R,3300000,721,6.9
86,Grace Gummer,2260,0,R,,481,7.4
94,Nambitha Mpumlwana,278,1,R,3000000,64,7.3
134,Jon Lovitz,36859,9,,3000000,11000,7.8
89,Joe Howard,539,1,R,3000000,26,6.6
102,Haley Joel Osment,43810,0,R,3000000,3000,5.4
120,Ji-tae Yu,852,0,R,3000000,78,8.4
110,Michael Bolten,1567,0,PG,3500000,399,6.3
86,Robb Wells,1249,4,Not Rated,3000000,324,6.1
101,Héctor Jiménez,1335,2,R,3000000,327,5.0
102,Dan Hedaya,1663,1,R,3000000,281,6.9
87,Kevin Gage,2715,0,PG,3000000,366,7.2
123,Harry Treadaway,13636,0,Not Rated,,260,7.3
99,Megalyn Echikunwoke,2452,5,PG-13,,476,5.7
173,Colm Feore,3149,3,,,539,5.0
87,Adam Scott,8353,3,R,3000000,3000,5.3
44,Megan Hilty,1551,0,,,341,7.9
120,Aaron Ashmore,2330,2,PG-13,,750,5.0
93,William Atherton,1467,3,R,3000000,317,5.3
111,Cjon Saulsberry,3784,1,R,25000000,571,6.0
60,Amanda Mealing,158,0,,,37,7.6
98,Kostja Ullmann,362,0,R,2700000,38,7.4
100,Eric Stoltz,4374,1,R,3000000,902,5.9
88,Betsy Russell,1495,0,R,5000000,298,4.1
97,Patti LuPone,1030,1,R,3000000,325,6.7
122,Lauren German,4920,4,R,3000000,683,5.8
86,Iben Hjejle,975,0,R,,122,6.2
83,Scott Mechlowicz,4756,1,R,3000000,634,5.3
80,Darren Keefe Reiher,313,1,R,3000000,27,3.3
108,Alan Rickman,79957,0,PG,200000000,25000,6.5
90,Michael Rapaport,3882,1,PG-13,3000000,975,6.2
96,Amy Sedaris,1929,2,R,3000000,396,5.9
85,Kristi Clainos,844,3,,3000000,124,5.5
83,Amy Poehler,7191,2,R,,1000,5.5
80,Ashley Martin,845,0,R,3000000,302,2.6
90,Alex Meraz,3666,3,R,3000000,606,5.8
92,Angie Dickinson,2715,0,Approved,3000000,754,7.4
100,Sarah Rafferty,2890,0,,3000000,810,5.1
88,David Bianchi,4469,0,,800000,715,5.2
95,Shantel VanSanten,3024,2,R,3000000,747,4.8
82,Brooke Newton,4092,4,R,3000000,779,3.9
97,Jack Taylor,277,1,,3000000,39,6.2
105,Derek Jacobi,4671,1,PG,95000000,520,7.0
94,Stacy Keach,1989,3,R,3000000,602,6.2
95,Cybill Shepherd,3648,2,R,,536,5.9
113,Matheus Nachtergaele,167,0,R,2900000,14,8.0
136,Glenn Ford,2167,2,Approved,2900000,416,7.3
80,Nick Chinlund,1517,1,,3000000,277,4.9
105,Michael Nouri,1231,8,R,1500000,225,6.5
90,Patrick Bauchau,423,0,,3000000,158,4.3
93,James Ransone,2305,0,PG-13,3000000,412,6.4
107,Patrick Troughton,673,2,R,2800000,139,7.6
89,Maïwenn,923,1,Unrated,2200000,236,6.8
90,Patrick Brammall,362,1,PG-13,,96,6.1
89,Gregory Cruz,964,0,R,3000000,234,4.0
116,Paula Jai Parker,727,1,R,8000000,247,7.4
120,Joe E. Brown,527,2,Not Rated,2883848,103,8.3
88,Terry Kiser,1855,0,R,2800000,448,5.3
102,Terry,2509,3,Passed,2800000,421,8.1
106,Peter Boyle,2703,0,PG,2800000,595,8.0
95,Shawn Roberts,1797,0,R,2000000,529,5.7
144,Sanjay Dutt,1761,0,PG-13,120000000,426,8.2
113,Patricia Richardson,787,1,R,2700000,222,7.1
118,Kelly Reno,681,0,G,2700000,81,7.4
141,Neeru Bajwa,434,2,,3000000,85,6.6
90,Frank Hvam,197,0,Not Rated,,33,5.7
109,Cesar Romero,1949,1,Not Rated,2686585,370,6.9
95,Ariane Schluter,25,0,,2650000,3,7.0
122,Esther Williams,2555,0,Passed,2627000,675,7.0
93,David Huddleston,4701,0,R,2600000,1000,7.8
97,Tom Everett,467,0,R,1800000,84,5.9
82,Agata Trzebuchowska,205,1,PG-13,,64,7.4
140,Denholm Elliott,1269,1,R,2600000,249,7.8
86,Laurie Metcalf,2753,2,R,2800000,549,6.0
109,Charlize Theron,52621,0,R,34000000,9000,5.3
105,Gabrielle Reece,179,1,PG-13,,52,7.9
66,Nacho Vigalondo,239,0,R,2600000,76,7.2
99,Bo Huang,19,1,,15000000,4,7.4
100,Nick Searcy,1082,1,R,2600000,272,5.3
103,Debbie Reynolds,2510,0,Approved,2540800,786,8.3
97,Joel Fuhrman,67,2,,2500000,2,7.6
86,Alanna Ubach,3421,6,R,2500000,584,5.1
87,Zackary Steven Graham,1111,0,PG,2500000,118,5.1
119,Tyler Mane,3226,0,R,15000000,764,4.9
149,Charlize Theron,28713,6,PG,26000000,9000,6.9
98,Dan O'Herlihy,684,0,R,2500000,128,4.6
98,M. Emmet Walsh,2373,0,G,2500000,521,6.3
112,Melvyn Douglas,1141,0,Approved,2500000,189,7.9
75,La'Princess Jackson,1385,0,R,2500000,309,6.7
104,Udo Kier,19923,2,R,2500000,595,7.1
102,Michael Weston,1655,3,R,2500000,379,7.6
105,Hans Weingartner,36,1,R,2500000,12,8.1
99,Michel Côté,79,0,,3200000,16,6.6
107,Samantha Morton,2125,1,R,2500000,631,7.0
96,Ato Essandoh,1396,0,R,,265,7.6
101,Christopher Simpson,150,1,PG-13,,41,6.7
89,Joshua Ormond,1980,3,PG-13,2500000,291,7.1
106,Julian Richings,2972,1,R,2000000,648,7.6
95,Jennifer Jason Leigh,10040,1,R,2500000,1000,7.1
34,Elden Henson,1967,0,,34000,577,7.1
101,Tal Bachman,338,1,R,2500000,4,7.7
112,Sheryl Crow,1252,0,Not Rated,2500000,130,7.6
100,Diana Scarwid,1064,7,,2500000,157,6.6
