num_critic_for_reviews,actor_3_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,imdb_score,aspect_ratio
111,363,599,Mystery|Sci-Fi|Thriller,Gretchen Mol,The Thirteenth Floor ,51996,Brad William Henke,7.0,2.35
21,578,1000,Comedy,Farrah Fawcett,The Cookout ,2385,Jenifer Lewis,3.6,1.85
42,316,940,Action|Drama|Sci-Fi|Thriller,Martin Landau,Meteor ,5237,Brian Keith,4.9,2.35
65,215,555,Comedy|Drama|Music,Lochlyn Munro,Duets ,8217,Huey Lewis,6.0,1.85
109,642,11000,Comedy|Romance,Woody Allen,Hollywood Ending ,21613,Treat Williams,6.6,1.85
42,322,1000,Comedy|Music,Natasha Lyonne,Detroit Rock City ,30682,Shannon Tweed,6.8,2.35
112,186,1000,Action|Adventure|Fantasy,Christopher Lambert,Highlander ,98629,Celia Imrie,7.2,1.85
146,295,1000,Drama,Alison Lohman,Things We Lost in the Fire ,24104,Robin Weigert,7.2,2.35
36,465,503,Action|Crime|Sci-Fi,Charles Napier,Steel ,8687,Hill Harper,2.8,1.85
230,310,10000,Drama|Romance,Jeremy Renner,The Immigrant ,20616,Angela Sarafyan,6.6,2.35
64,258,898,Drama|History|Romance|War,Vanessa Redgrave,The White Countess ,5321,Lynn Redgrave,6.7,1.66
393,888,3000,Crime|Drama|Mystery|Thriller,Rosario Dawson,Trance ,92640,Tuppence Middleton,7.0,2.35
75,618,939,Comedy,Mo'Nique,Soul Plane ,18271,Tom Arnold,4.4,1.85
78,27,172,Comedy|Romance,Dany Boon,Welcome to the Sticks ,30587,Michel Galabru,7.1,2.35
67,227,10000,Drama|Romance|War,Viggo Mortensen,Good ,5664,Steven Mackintosh,6.2,2.35
216,116,488,Drama|Fantasy,Paz de la Huerta,Enter the Void ,45449,Olly Alexander,7.3,2.35
54,613,1000,Comedy|Horror|Romance,Taylor Negron,Vamps ,7444,Ivan Sergei,5.1,1.78
84,805,1000,Drama|Family,Cary-Hiroyuki Tagawa,Hachi: A Dog's Tale ,155249,Joan Allen,8.1,1.85
69,44,5000,Crime|Drama|Thriller,Orlando Bloom,Zulu ,12817,Conrad Kemp,6.7,2.35
208,567,883,Drama|Western,Barry Corbin,The Homesman ,21370,Miranda Otto,6.6,2.35
32,574,890,Comedy|Drama|Romance|Sport,Vivica A. Fox,Juwanna Mann ,5312,Kevin Pollak,4.5,1.85
20,15,422,Comedy|Crime|Drama,Steven Van Zandt,Lilyhammer             ,19164,Tommy Karlsen,8.1,16.0
78,125,232,Drama|War,David Alpay,Ararat ,8624,Charles Aznavour,6.6,1.66
21,518,844,Drama|Sport,Bruce Dern,Madison ,1033,William Shockley,6.5,2.35
40,922,1000,Drama|Mystery|Thriller,Mekhi Phifer,Slow Burn ,3299,Fisher Stevens,5.9,1.85
40,17,235,Action|Comedy|Crime|Drama|Thriller,Carole Bouquet,Wasabi ,29392,Michel Muller,6.6,2.35
251,102,499,Comedy|Horror|Sci-Fi,Dustin Milligan,Slither ,61912,Tania Saulnier,6.5,1.85
94,383,901,Action|Comedy|Crime,Judge Reinhold,Beverly Hills Cop ,126464,James Russo,7.3,1.85
102,925,3000,Comedy|Family,Macaulay Culkin,Home Alone ,311075,Catherine O'Hara,7.5,1.85
