director_name,director_facebook_likes,gross,movie_title,plot_keywords,num_user_for_reviews,language,content_rating,actor_2_facebook_likes,movie_facebook_likes
Michael Taliferro,105,,Steppin: The Movie ,,1,English,PG-13,207,41
David DeCoteau,142,,Doc Holliday's Revenge ,1880s|cowboy|low budget film|shoot out|wild west,6,English,PG-13,854,54
Katie Aselton,224,,Black Rock ,bare breasts|female frontal nudity|hunter|island|weekend,47,English,R,59,0
Robert Heath,0,,Truth or Die ,cabin in the woods|drinking acid|introvert|lesbian kiss|truth or dare,41,English,Not Rated,334,968
D. Stevens,6,,The Pet ,dominance submissiveness|female nudity|human branding|human pet|power exchange,24,English,,17,91
Jeffrey St. Jules,0,,Bang Bang Baby ,,16,English,,40,48
Robert Hall,53,,Fear Clinic ,bare breasts|based on web series|claustrophobia|doctor|phobia,19,English,R,366,936
K. King,3,,Zombie Hunter ,desert|drifter|seduction|siege|zombie,30,English,Not Rated,211,0
Jonathan Meyers,0,,A Fine Step ,,1,,PG,608,212
Danny Boyle,0,2319187,Trance ,amnesia|criminal|heist|hypnotherapy|lost painting,212,English,R,1000,23000
Ralph Nelson,17,,Charly ,disability|experiment|genius|intelligence|mouse,55,English,PG,605,785
Blair Erickson,0,,Banshee Chapter ,experiment|lsd|missing friend|mk ultra|radio broadcast,56,English,R,371,2000
,,,Jesse             ,1990s|brother sister relationship|female protagonist|single mother|sitcom,14,English,,275,57
Allison Burnett,12,,Ask Me Anything ,bare breasts|female protagonist,64,English,Not Rated,413,884
Richard Schenkman,29,,And Then Came Love ,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm donor,4,English,,569,42
Sanjay Rawal,0,,Food Chains ,two word title,3,English,,28,489
Elia Kazan,603,9600000,On the Waterfront ,death|dock|longshoreman|murder|union,281,English,Not Rated,416,0
Kat Coiro,28,20186,L!fe Happens ,friendship|los angeles california|one night stand|roommate|single mother,15,English,R,756,995
Cristian Mungiu,163,1185783,4 Months, 3 Weeks and 2 Days ,female rear nudity|friend|hotel|rainy night|towel,172,Romanian,Not Rated,60,14000
Brian Dorton,171,,The Horror Network Vol. 1 ,anthology,3,English,,171,52
David Slade,171,1007962,Hard Candy ,chatting|missing person poster|online dating|photographer|sexual predator,651,English,R,8,12000
Jamie Babbit,91,381186,The Quiet ,deaf|death|dysfunctional family|godparent|secret,90,English,R,796,698
Maryam Keshavarz,32,439958,Circumstance ,closeted lesbian|iranian|islamophobia|propaganda|teenager,43,Persian,R,127,0
Ryan Coogler,0,16097842,Fruitvale Station ,22 year old|b.a.r.t.|bay area|birthday|police,168,English,R,270,17000
Ramaa Mosley,6,6643,The Brass Teapot ,mini dress|mini skirt|money|voyeur|voyeurism,39,English,R,947,0
James Algar,11,102797150,Bambi ,animal|bambi|deer|forest|hunter,136,English,Approved,12,0
Charles Herman-Wurmfeld,0,442638,The Hammer ,birthday|boxing|coach|gym|olympics,23,English,R,140,337
Ric Roman Waugh,29,42919096,Snitch ,cigarette smoking|dea|drugs|inspired by true events|undercover,122,English,PG-13,1000,12000
C. Jay Cox,6,819939,Latter Days ,christian|male frontal nudity|mormon|mormon missionary|nudity,252,English,R,813,0
Mariette Monpierre,0,,Elza ,foreign|french,2,French,,0,24
Tommy Oliver,66,,1982 ,number in title|semi autobiographical,3,English,R,782,181
Jamie Travis,15,1243961,For a Good Time, Call... ,friend|friendship|gay|phone sex|sex,34,English,R,904,0
Lee Toland Krieger,43,3094687,Celeste & Jesse Forever ,best friends|friendship|masturbation|reference to matthias steiner|single,61,English,R,517,0
Rich Christiano,14,15278,Time Changer ,bible|christian propaganda|christianity|time machine|zealot,158,English,PG,234,409
Paul Andrew Williams,46,,London to Brighton ,bathroom|chase|girl|pimp|toilet,72,English,R,146,933
Nick Love,63,,American Hero ,father son relationship|female nudity|mother daughter relationship|reconciliation|superhero,23,English,,207,549
Natalie Bible',8,,Windsor Drive ,,6,English,,806,312
Asghar Farhadi,0,7098492,A Separation ,alzheimer's disease|caregiver|divorce|iran|iranian,264,Persian,PG-13,712,48000
Justin Molotnikov,5,,Crying with Laughter ,cocaine|edinburgh scotland|stand up comedian,6,English,,11,33
Todd Solondz,377,4771000,Welcome to the Dollhouse ,bully|first crush|school|social outcast|taunting,174,English,R,502,0
Victor Nunez,9,1001437,Ruby in Paradise ,desire|florida|identity|resort town|sales,28,English,R,143,81
Peter Sollett,6,2073984,Raising Victor Vargas ,based on short film|manhattan new york city|urination|vomiting|watching television,135,English,R,270,219
Georg Wilhelm Pabst,21,9950,Pandora's Box ,escape|femme fatale|german expressionism|lust|violence,84,German,Not Rated,20,926
Daniel Davila,0,,Harrison Montgomery ,abusive relationship|character name in title|magic|san francisco california|tenderloin san francisco,1,English,,188,18
Jorge Gaggero,0,,Live-In Maid ,buenos aires argentina|economics|housekeeper|maid|servant,11,Spanish,Unrated,5,83
Rod Lurie,37,144583,Deterrence ,colorado|diner|iraq|nuclear missile|president,79,English,R,573,130
Michael Burke,3,,The Mudge Boy ,death|farm|fur coat|grief|misfit,30,English,R,262,396
Catherine Jelski,0,58163,The Young Unknowns ,based on play|independent film,3,English,R,749,4
Shane Dawson,247,35688,Not Cool ,,72,English,Not Rated,217,0
Tommy Wirkola,75,41709,Dead Snow ,medical student|nazi|snow|snowmobile|zombie,200,Norwegian,Not Rated,16,23000
Ryan Little,38,1310270,Saints and Soldiers ,ardennes forest|battle of the bulge|behind enemy lines|winter|world war two in belgium,157,English,PG-13,115,1000
Clark Baker,0,,Vessel ,alien|flight attendant|monster|pilot|tentacle,3,English,,93,14
George Lucas,0,115000000,American Graffiti ,california|car|drag racing|high school|rock 'n' roll,238,English,PG,2000,0
Robert Greenwald,21,,Iraq for Sale: The War Profiteers ,american politics|armed forces|political corruption|shady|war profiteer,24,English,,0,274
Matt Maiellaro,8,5518918,Aqua Teen Hunger Force Colon Movie Film for Theaters ,based on cult tv series|critically acclaimed|exercise machine|midnight movie|robot,73,English,R,424,307
Colin Trevorrow,365,4007792,Safety Not Guaranteed ,classified ad|intern|magazine|time machine|time travel,260,English,R,830,31000
Leslie Small,15,7705974,Kevin Hart: Laugh at My Pain ,stand up comedy,8,English,R,135,614
Ben Wheatley,214,26297,Kill List ,female full frontal nudity|hitman|knee breaking|male full frontal nudity|sniper,209,English,Not Rated,257,0
Ti West,243,77501,The Innkeepers ,bathtub|dead body in a bathtub|dead body in bathtub|hotel|inn,247,English,R,128,0
David S. Goyer,687,42638165,The Unborn ,babysitting|experiment|nightmare|possession|twin,230,English,PG-13,787,0
Bernardo Bertolucci,973,,The Conformist ,fascist|gun|italy|nudity|sexuality,101,Italian,R,90,0
Neil Burger,168,47329,Interview with the Assassin ,conspiracy theory|kennedy assassination|mock documentary|paranoia,31,English,R,72,163
Oliver Blackburn,4,18378,Donkey Punch ,male frontal nudity|male nudity|male pubic hair|male rear nudity|spain,74,English,R,233,0
Jonathan Levine,129,,All the Boys Love Mandy Lane ,drugs|female nudity|party|voyeur|voyeurism,129,English,R,611,2000
Christopher Hutson,3,,Bled ,artist|blood|drug|tree sap|vampire,30,English,R,134,128
Fred Zinnemann,160,,High Noon ,appeasement|frontier justice|justice|one against many|street shootout,333,English,PG,575,3000
Steve James,23,7830611,Hoop Dreams ,athlete|basketball|high school|high school student|school,74,English,PG-13,6,0
David LaChapelle,30,3278611,Rize ,clown|clowning|dance|gang|south central los angeles,46,English,PG-13,23,903
Joseph Kosinski,364,,Destiny ,first person shooter,11,English,,4000,1000
Michael Cuesta,52,1141829,L.I.E. ,ephebophile|pederasty|pedophilia|playing hooky|shaving,109,English,NC-17,67,420
Caryn Waechter,0,,The Sisterhood of Night ,accused of witchcraft|based on short story,17,English,PG-13,524,523
Emily Dell,0,,B-Girl ,brooklyn new york city|los angeles california|teacher|trauma|violence,10,English,PG-13,592,303
Peter Jackson,0,218051260,King Kong ,animal name in title|ape abducts a woman|gorilla|island|king kong,2618,English,PG-13,918,0
Jaume Collet-Serra,174,32048809,House of Wax ,brother sister relationship|group of friends|male nudity|twin|wax,576,English,R,716,0
Ryan Fleck,31,2694973,Half Nelson ,bathroom|classroom|dialectics|drugs|student,189,English,R,519,0
