num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
478,121,219,455,46875468,Action|Crime|Drama|Mystery|Thriller,Edgar Arreola,Sicario ,Daniel Kaluuya,2,critically acclaimed|drug cartel|juarez mexico|u.s. mexico border|war on drugs,http://www.imdb.com/title/tt3397884/?ref_=fn_tt_tt_1,461,English,R,30000000,221,7.6,59000
305,124,424,15000,52418902,Drama|Sport,Jake Gyllenhaal,Southpaw ,Oona Laurence,0,boxer|boxing training|death of wife|male in shower|rage,http://www.imdb.com/title/tt1798684/?ref_=fn_tt_tt_1,277,English,R,30000000,1000,7.5,44000
397,99,828,2000,42057340,Horror|Thriller,Bojana Novakovic,Drag Me to Hell ,Reggie Lee,0,evil|fight|hell|psychic|psychologist,http://www.imdb.com/title/tt1127180/?ref_=fn_tt_tt_1,691,English,PG-13,30000000,1000,6.6,11000
214,112,1000,11000,42478175,Drama|Fantasy|Romance,Harrison Ford,The Age of Adaline ,Ellen Burstyn,1,hit by a pickup truck|immortality|paramedic|resuscitation|san francisco california,http://www.imdb.com/title/tt1655441/?ref_=fn_tt_tt_1,209,English,PG-13,25000000,2000,7.2,34000
82,111,1000,3000,41407470,Comedy|Drama|Family,Haley Joel Osment,Secondhand Lions ,Emmanuelle Vaugier,1,africa|eyeglasses|money|texas|veteran,http://www.imdb.com/title/tt0327137/?ref_=fn_tt_tt_1,292,English,PG,30000000,3000,7.6,0
138,107,357,2000,42385520,Drama|Music|Romance,Alyson Stoner,Step Up 3D ,Facundo Lombard,0,dance|dance crew|dancer|mortgage|new york city,http://www.imdb.com/title/tt1193631/?ref_=fn_tt_tt_1,86,English,PG-13,30000000,594,6.2,16000
69,104,64,585,40118420,Drama|Romance|Sport,Faizon Love,Blue Crush ,Sanoe Lake,3,bikini|female surfer|sister sister relationship|surfing contest|swimsuit,http://www.imdb.com/title/tt0300532/?ref_=fn_tt_tt_1,216,English,PG-13,30000000,495,5.6,0
253,113,77,8000,40137776,Comedy|Drama|Fantasy|Romance,Will Ferrell,Stranger Than Fiction ,Danny Rhodes,1,author|fate|novelist|professor|writer,http://www.imdb.com/title/tt0420223/?ref_=fn_tt_tt_1,529,English,PG-13,38000000,189,7.6,13000
304,113,63,430,39568996,Horror,Danny Huston,30 Days of Night ,Megan Franich,0,alaska|small town|snow|vampire|winter,http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1,527,English,R,32000000,72,6.6,0
634,95,751,26000,42043633,Fantasy|Horror|Mystery|Thriller,Chris Hemsworth,The Cabin in the Woods ,Kristen Connolly,0,cabin in the woods|dark humor|hatchet|killed in an elevator|robot,http://www.imdb.com/title/tt1259521/?ref_=fn_tt_tt_1,986,English,R,30000000,821,7.0,66000
111,86,362,869,38232624,Comedy,Carmen Electra,Meet the Spartans ,Method Man,0,king|persian|spartan|training|xerxes,http://www.imdb.com/title/tt1073498/?ref_=fn_tt_tt_1,409,English,PG-13,30000000,759,2.7,0
