num_critic_for_reviews,actor_2_name,language,country,title_year,imdb_score
58,Scott Mechlowicz,English,USA,2015,5.3
14,Darren Keefe Reiher,English,USA,2005,3.3
451,Alan Rickman,English,USA,2010,6.5
,Michael Rapaport,English,USA,2009,6.2
21,Amy Sedaris,English,USA,2009,5.9
9,Kristi Clainos,English,Brazil,2013,5.5
98,Amy Poehler,English,USA,2014,5.5
29,Ashley Martin,English,USA,2013,2.6
23,Alex Meraz,English,USA,2011,5.8
87,Angie Dickinson,English,USA,1967,7.4
2,Sarah Rafferty,Italian,Italy,2009,5.1
17,David Bianchi,English,USA,2013,5.2
7,Shantel VanSanten,English,USA,2014,4.8
6,Brooke Newton,English,USA,2015,3.9
9,Jack Taylor,English,Italy,1988,6.2
343,Derek Jacobi,English,USA,2015,7.0
11,Stacy Keach,English,USA,2009,6.2
34,Cybill Shepherd,English,USA,2010,5.9
71,Matheus Nachtergaele,Portuguese,Brazil,1998,8.0
21,Glenn Ford,English,USA,1961,7.3
28,Nick Chinlund,English,USA,2015,4.9
35,Michael Nouri,English,USA,2005,6.5
30,Patrick Bauchau,English,USA,2014,4.3
73,James Ransone,English,USA,2010,6.4
154,Patrick Troughton,English,UK,1976,7.6
251,Maïwenn,French,France,2003,6.8
57,Patrick Brammall,English,Australia,2010,6.1
14,Gregory Cruz,English,USA,2015,4.0
159,Paula Jai Parker,English,USA,2005,7.4
181,Joe E. Brown,English,USA,1959,8.3
110,Terry Kiser,English,USA,1988,5.3
213,Terry,English,USA,1939,8.1
129,Peter Boyle,English,USA,1974,8.0
280,Shawn Roberts,English,USA,2007,5.7
15,Sanjay Dutt,Hindi,India,2006,8.2
61,Patricia Richardson,English,USA,1997,7.1
33,Kelly Reno,English,USA,1979,7.4
1,Neeru Bajwa,Panjabi,Canada,2015,6.6
2,Frank Hvam,Danish,Denmark,2008,5.7
27,Cesar Romero,English,USA,1963,6.9
19,Ariane Schluter,Dutch,Netherlands,1996,7.0
9,Esther Williams,English,USA,1943,7.0
121,David Huddleston,English,USA,1974,7.8
166,Tom Everett,English,USA,1984,5.9
269,Agata Trzebuchowska,Polish,Poland,2013,7.4
29,Denholm Elliott,English,UK,1987,7.8
20,Laurie Metcalf,English,USA,2006,6.0
107,Charlize Theron,English,USA,1999,5.3
74,Gabrielle Reece,English,USA,2004,7.9
173,Nacho Vigalondo,Spanish,Spain,2007,7.2
5,Bo Huang,Mandarin,China,2009,7.4
66,Nick Searcy,English,USA,2007,5.3
169,Debbie Reynolds,English,USA,1952,8.3
13,Joel Fuhrman,English,Australia,2010,7.6
129,Alanna Ubach,English,USA,2013,5.1
30,Zackary Steven Graham,English,USA,2012,5.1
220,Tyler Mane,English,USA,2009,4.9
75,Charlize Theron,English,USA,1996,6.9
162,Dan O'Herlihy,English,USA,1982,4.6
74,M. Emmet Walsh,English,USA,1971,6.3
65,Melvyn Douglas,English,USA,1963,7.9
26,La'Princess Jackson,English,USA,2013,6.7
63,Udo Kier,English,USA,1991,7.1
205,Michael Weston,English,USA,2004,7.6
121,Hans Weingartner,English,USA,1995,8.1
9,Michel Côté,French,Canada,2003,6.6
74,Samantha Morton,English,USA,1999,7.0
54,Ato Essandoh,English,USA,2004,7.6
80,Christopher Simpson,English,UK,2007,6.7
252,Joshua Ormond,English,USA,2012,7.1
72,Julian Richings,English,Spain,2003,7.6
220,Jennifer Jason Leigh,English,USA,2013,7.1
1,Elden Henson,English,USA,1990,7.1
197,Tal Bachman,English,USA,2008,7.7
14,Sheryl Crow,English,USA,2008,7.6
3,Diana Scarwid,English,USA,2006,6.6
191,Stephen Root,English,USA,2004,6.7
18,Carly Schroeder,English,USA,2006,5.7
28,Emily Pearson,English,USA,2010,7.1
22,Anupam Kher,English,UK,2008,6.2
62,Rüdiger Vogler,German,Germany,2000,6.1
47,Jacob Vargas,Spanish,USA,2008,5.9
238,Rainn Wilson,English,USA,2010,6.8
2,Piper Mackenzie Harris,English,USA,2010,5.8
95,Cecilia Pillado,English,Germany,2015,5.0
10,Emmanuel Kabongo,English,USA,2016,6.3
28,Harry Lennix,English,USA,1996,6.8
25,Max Ryan,English,Poland,2006,5.1
121,Patrick Fischler,English,USA,2006,6.6
10,Kevin Leslie,English,UK,2015,5.0
172,Joseph Gilgun,English,UK,2006,7.7
20,Sean Pertwee,English,UK,2012,3.1
8,Basil Rathbone,English,USA,1944,6.5
8,Aimee Garcia,English,USA,2011,3.9
15,Michael O'Neill,English,USA,1998,6.8
14,Ava Gardner,English,USA,1951,7.0
12,Cinda McCain,English,USA,2010,5.9
48,Ellen Burstyn,English,USA,2014,5.8
17,Phil Hartman,English,USA,1987,7.3
99,Deems Taylor,English,USA,1940,7.8
138,Fernando Rey,English,USA,1971,7.8
,Sebastian Aguilar,English,USA,2014,6.9
235,Dana Kimmell,English,USA,1982,5.7
160,Melanie Kinnaman,English,USA,1985,4.7
18,Louise Fletcher,English,USA,2007,5.9
11,Delroy Lindo,English,USA,2015,5.9
11,Kayla Ewell,English,USA,2008,4.3
7,Greer Garson,English,USA,1945,7.5
5,Ethan Peck,English,Spain,2015,4.8
10,Zohra Segal,English,UK,2005,5.8
5,James Wolk,English,USA,2014,5.3
95,Daniel Kash,English,Canada,2007,6.0
97,Teresa Wright,English,USA,1946,8.1
76,Nick Stahl,English,USA,2001,7.0
67,Per Christian Ellefsen,Norwegian,Norway,2001,7.6
4,Arturo Castro,English,USA,2015,7.2
252,Pablo Rosso,Spanish,Spain,2007,7.5
,Martha Higareda,English,USA,2010,6.3
1,David Proval,English,USA,2015,6.7
33,Michael Chapman,English,UK,2015,4.8
19,Maria Doyle Kennedy,English,USA,2015,5.5
167,Daniela Bianchi,English,UK,1963,7.5
49,Jessica Dublin,English,USA,1989,5.1
1,Alan Autry,English,USA,,7.4
66,John Beck,English,USA,1973,7.3
533,Ruby Harris,English,USA,2014,6.9
50,John Carradine,English,USA,1972,6.8
127,Brock Peters,English,USA,1962,8.4
177,Bruce Spence,English,Australia,1981,7.6
77,Anita Mui,Cantonese,Hong Kong,1994,7.6
103,Shelley Winters,English,UK,1962,7.7
123,Brendan Sexton III,English,USA,1999,7.6
218,Julia Taylor Ross,English,France,2011,5.3
215,Ulrich Mühe,German,Germany,2006,8.5
34,Alex Kendrick,English,USA,2011,7.0
100,Jackie Gleason,English,USA,1961,8.0
12,Spencer Tracy,English,USA,1940,7.1
167,Charles Linton,French,France,2003,7.8
56,Irene Bedard,English,Canada,1998,7.2
180,James Urbaniak,English,USA,2003,7.5
211,Albert Delpy,English,USA,2004,8.0
157,Jorge Salinas,Spanish,Mexico,2000,8.1
126,Sarah Clarke,English,USA,2003,6.8
61,Celeste Holm,English,USA,1947,7.4
365,Shelley Waggener,English,USA,2010,7.2
121,Brendan Mackey,English,UK,2003,8.1
10,Don Ameche,English,USA,1938,7.0
151,Brad William Henke,English,USA,2005,7.4
171,George W. Bush,English,USA,2010,8.3
158,Emily Ratajkowski,English,UK,2015,6.1
167,Gano Grills,English,France,1999,7.5
118,Christian Bale,English,USA,2005,7.0
39,Leonor Varela,English,USA,2015,5.3
