director_name,director_facebook_likes,actor_1_facebook_likes,gross,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country
Mary Pat Kelly,3,767,,2,,http://www.imdb.com/title/tt0393616/?ref_=fn_tt_tt_1,English,USA
Lori Petty,923,34000,,3,basketball|drug abuse|interracial rape|iowa|tween girl,http://www.imdb.com/title/tt1014806/?ref_=fn_tt_tt_1,English,USA
Charlie Levi,0,1000,,5,,http://www.imdb.com/title/tt0867270/?ref_=fn_tt_tt_1,English,USA
Kevin Hamedani,23,199,,0,cult|homosexual|island|survival horror|zombie,http://www.imdb.com/title/tt1134674/?ref_=fn_tt_tt_1,English,USA
David DeCoteau,142,458,,1,reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole,http://www.imdb.com/title/tt2149137/?ref_=fn_tt_tt_1,English,USA
Mikel Rueda,0,90,,0,best friend|deportation|moroccan|unrequited love|xenophobia,http://www.imdb.com/title/tt3289362/?ref_=fn_tt_tt_1,Spanish,Spain
Stefan C. Schaefer,0,898,,1,business trip|german|love|new york|singer songwriter,http://www.imdb.com/title/tt1679248/?ref_=fn_tt_tt_1,English,USA
Michael Taliferro,105,592,,6,,http://www.imdb.com/title/tt0826751/?ref_=fn_tt_tt_1,English,USA
David DeCoteau,142,10000,,3,1880s|cowboy|low budget film|shoot out|wild west,http://www.imdb.com/title/tt3359872/?ref_=fn_tt_tt_1,English,USA
Katie Aselton,224,224,,1,bare breasts|female frontal nudity|hunter|island|weekend,http://www.imdb.com/title/tt1930294/?ref_=fn_tt_tt_1,English,USA
Robert Heath,0,335,,2,cabin in the woods|drinking acid|introvert|lesbian kiss|truth or dare,http://www.imdb.com/title/tt1838722/?ref_=fn_tt_tt_1,English,UK
D. Stevens,6,92,,0,dominance submissiveness|female nudity|human branding|human pet|power exchange,http://www.imdb.com/title/tt0825728/?ref_=fn_tt_tt_1,English,USA
Jeffrey St. Jules,0,57,,2,,http://www.imdb.com/title/tt2655734/?ref_=fn_tt_tt_1,English,Canada
Robert Hall,53,677,,0,bare breasts|based on web series|claustrophobia|doctor|phobia,http://www.imdb.com/title/tt2165765/?ref_=fn_tt_tt_1,English,USA
K. King,3,214,,2,desert|drifter|seduction|siege|zombie,http://www.imdb.com/title/tt2446502/?ref_=fn_tt_tt_1,English,USA
Jonathan Meyers,0,657,,0,,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,,USA
Danny Boyle,0,3000,2319187,0,amnesia|criminal|heist|hypnotherapy|lost painting,http://www.imdb.com/title/tt1924429/?ref_=fn_tt_tt_1,English,UK
Ralph Nelson,17,754,,0,disability|experiment|genius|intelligence|mouse,http://www.imdb.com/title/tt0062794/?ref_=fn_tt_tt_1,English,USA
Blair Erickson,0,696,,1,experiment|lsd|missing friend|mk ultra|radio broadcast,http://www.imdb.com/title/tt2011276/?ref_=fn_tt_tt_1,English,Germany
,,775,,8,1990s|brother sister relationship|female protagonist|single mother|sitcom,http://www.imdb.com/title/tt0156196/?ref_=fn_tt_tt_1,English,USA
Allison Burnett,12,529,,1,bare breasts|female protagonist,http://www.imdb.com/title/tt2505294/?ref_=fn_tt_tt_1,English,USA
Richard Schenkman,29,1000,,1,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm donor,http://www.imdb.com/title/tt0825346/?ref_=fn_tt_tt_1,English,USA
Sanjay Rawal,0,56,,0,two word title,http://www.imdb.com/title/tt2141739/?ref_=fn_tt_tt_1,English,USA
Elia Kazan,603,10000,9600000,2,death|dock|longshoreman|murder|union,http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,English,USA
Kat Coiro,28,945,20186,8,friendship|los angeles california|one night stand|roommate|single mother,http://www.imdb.com/title/tt1726589/?ref_=fn_tt_tt_1,English,USA
Cristian Mungiu,163,131,1185783,0,female rear nudity|friend|hotel|rainy night|towel,http://www.imdb.com/title/tt1032846/?ref_=fn_tt_tt_1,Romanian,Romania
Brian Dorton,171,1000,,0,anthology,http://www.imdb.com/title/tt3034146/?ref_=fn_tt_tt_1,English,USA
David Slade,171,109,1007962,0,chatting|missing person poster|online dating|photographer|sexual predator,http://www.imdb.com/title/tt0424136/?ref_=fn_tt_tt_1,English,USA
Jamie Babbit,91,982,381186,0,deaf|death|dysfunctional family|godparent|secret,http://www.imdb.com/title/tt0414951/?ref_=fn_tt_tt_1,English,USA
Maryam Keshavarz,32,144,439958,1,closeted lesbian|iranian|islamophobia|propaganda|teenager,http://www.imdb.com/title/tt1684628/?ref_=fn_tt_tt_1,Persian,France
Ryan Coogler,0,282,16097842,0,22 year old|b.a.r.t.|bay area|birthday|police,http://www.imdb.com/title/tt2334649/?ref_=fn_tt_tt_1,English,USA
Ramaa Mosley,6,975,6643,2,mini dress|mini skirt|money|voyeur|voyeurism,http://www.imdb.com/title/tt1935902/?ref_=fn_tt_tt_1,English,USA
James Algar,11,16,102797150,0,animal|bambi|deer|forest|hunter,http://www.imdb.com/title/tt0034492/?ref_=fn_tt_tt_1,English,USA
Charles Herman-Wurmfeld,0,465,442638,1,birthday|boxing|coach|gym|olympics,http://www.imdb.com/title/tt0814130/?ref_=fn_tt_tt_1,English,USA
Ric Roman Waugh,29,12000,42919096,1,cigarette smoking|dea|drugs|inspired by true events|undercover,http://www.imdb.com/title/tt0882977/?ref_=fn_tt_tt_1,English,USA
C. Jay Cox,6,23000,819939,2,christian|male frontal nudity|mormon|mormon missionary|nudity,http://www.imdb.com/title/tt0345551/?ref_=fn_tt_tt_1,English,USA
Mariette Monpierre,0,0,,1,foreign|french,http://www.imdb.com/title/tt1852001/?ref_=fn_tt_tt_1,French,France
Tommy Oliver,66,904,,4,number in title|semi autobiographical,http://www.imdb.com/title/tt2388621/?ref_=fn_tt_tt_1,English,USA
Jamie Travis,15,938,1243961,0,friend|friendship|gay|phone sex|sex,http://www.imdb.com/title/tt1996264/?ref_=fn_tt_tt_1,English,USA
Lee Toland Krieger,43,904,3094687,2,best friends|friendship|masturbation|reference to matthias steiner|single,http://www.imdb.com/title/tt1405365/?ref_=fn_tt_tt_1,English,USA
Rich Christiano,14,284,15278,1,bible|christian propaganda|christianity|time machine|zealot,http://www.imdb.com/title/tt0295725/?ref_=fn_tt_tt_1,English,USA
Paul Andrew Williams,46,418,,0,bathroom|chase|girl|pimp|toilet,http://www.imdb.com/title/tt0490166/?ref_=fn_tt_tt_1,English,UK
Nick Love,63,489,,2,father son relationship|female nudity|mother daughter relationship|reconciliation|superhero,http://www.imdb.com/title/tt4733536/?ref_=fn_tt_tt_1,English,USA
Natalie Bible',8,1000,,1,,http://www.imdb.com/title/tt2311428/?ref_=fn_tt_tt_1,English,USA
Asghar Farhadi,0,786,7098492,2,alzheimer's disease|caregiver|divorce|iran|iranian,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1,Persian,Iran
Justin Molotnikov,5,49,,1,cocaine|edinburgh scotland|stand up comedian,http://www.imdb.com/title/tt1349478/?ref_=fn_tt_tt_1,English,UK
Todd Solondz,377,529,4771000,1,bully|first crush|school|social outcast|taunting,http://www.imdb.com/title/tt0114906/?ref_=fn_tt_tt_1,English,USA
Victor Nunez,9,159,1001437,1,desire|florida|identity|resort town|sales,http://www.imdb.com/title/tt0108000/?ref_=fn_tt_tt_1,English,USA
Peter Sollett,6,302,2073984,1,based on short film|manhattan new york city|urination|vomiting|watching television,http://www.imdb.com/title/tt0316188/?ref_=fn_tt_tt_1,English,France
Georg Wilhelm Pabst,21,426,9950,1,escape|femme fatale|german expressionism|lust|violence,http://www.imdb.com/title/tt0018737/?ref_=fn_tt_tt_1,German,Germany
Daniel Davila,0,940,,2,abusive relationship|character name in title|magic|san francisco california|tenderloin san francisco,http://www.imdb.com/title/tt0870118/?ref_=fn_tt_tt_1,English,USA
Jorge Gaggero,0,24,,0,buenos aires argentina|economics|housekeeper|maid|servant,http://www.imdb.com/title/tt0356453/?ref_=fn_tt_tt_1,Spanish,Argentina
Rod Lurie,37,574,144583,0,colorado|diner|iraq|nuclear missile|president,http://www.imdb.com/title/tt0158583/?ref_=fn_tt_tt_1,English,France
Michael Burke,3,262,,1,death|farm|fur coat|grief|misfit,http://www.imdb.com/title/tt0339419/?ref_=fn_tt_tt_1,English,USA
Catherine Jelski,0,1000,58163,0,based on play|independent film,http://www.imdb.com/title/tt0186719/?ref_=fn_tt_tt_1,English,USA
Shane Dawson,247,247,35688,4,,http://www.imdb.com/title/tt3569356/?ref_=fn_tt_tt_1,English,USA
