director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,movie_imdb_link,num_user_for_reviews,language,country,imdb_score,movie_facebook_likes
Hugh Hudson,90,125,46,Ben Cross,58800000,Biography|Drama|Sport,Alice Krige,Chariots of Fire ,John Gielgud,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,213,English,UK,7.2,0
Darren Grant,62,116,0,Kimberly Elise,50382128,Comedy|Drama|Romance,Cicely Tyson,Diary of a Mad Black Woman ,Tamara Taylor,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,202,English,USA,5.6,0
Scott Hicks,71,105,96,Armin Mueller-Stahl,35811509,Biography|Drama|Music|Romance,Noah Taylor,Shine ,Nicholas Bell,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,104,English,Australia,7.7,0
Joseph Gordon-Levitt,364,90,23000,Scarlett Johansson,24475193,Comedy|Drama|Romance,Joseph Gordon-Levitt,Don Jon ,Tony Danza,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,314,English,USA,6.6,33000
Clint Eastwood,72,105,16000,Richard Bull,,Mystery|Western,Clint Eastwood,High Plains Drifter ,John Hillerman,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,169,English,USA,7.6,0
Terry Zwigoff,122,111,72,Steve Buscemi,6200756,Comedy|Drama,Scarlett Johansson,Ghost World ,T.J. Thyne,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,488,English,USA,7.4,5000
Richard Eyre,100,91,14,Jim Broadbent,1292119,Biography|Drama|Romance,Kate Winslet,Iris ,Kris Marshall,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,144,English,UK,7.1,0
William Sachs,24,95,14,Avery Schreiber,,Comedy|Sci-Fi,Stephen Macht,Galaxina ,Angelo Rossitto,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,44,English,USA,3.4,438
Christophe Barratier,112,97,25,François Berléand,3629758,Drama|Music,Jean-Baptiste Maunier,The Chorus ,Gérard Jugnot,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,110,French,France,7.9,0
Émile Gaudreault,67,92,9,Luke Kirby,6239558,Comedy|Drama,Paul Sorvino,Mambo Italiano ,Claudia Ferri,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,67,English,Canada,6.7,352
James Cox,91,104,10,Louis Lombardi,1056102,Crime|Drama|Mystery|Thriller,Alexis Dziena,Wonderland ,Franky G,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,153,English,USA,6.6,1000
Spike Lee,103,120,0,John Savage,27545445,Drama,Ruby Dee,Do the Right Thing ,Danny Aiello,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,418,English,USA,7.9,0
James Toback,27,99,56,Eric Stoltz,56007,Comedy|Crime|Drama|Romance|Thriller,Sarah Michelle Gellar,Harvard Man ,Joey Lauren Adams,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,69,English,USA,4.9,113
