director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,facenumber_in_poster,country,content_rating,budget,imdb_score,aspect_ratio
F. Gary Gray,110,473,582,26183197,Vin Diesel,A Man Apart ,38348,0,USA,R,36000000,6.1,2.35
Cameron Crowe,138,488,13000,20991497,Emma Stone,Aloha ,39778,1,USA,PG-13,37000000,5.4,1.85
Rob Reiner,31,0,723,13052741,Alexa PenaVega,Ghosts of Mississippi ,8531,0,USA,PG-13,36000000,6.7,1.85
Scott Hicks,95,96,577,14378353,Rick Yune,Snow Falling on Cedars ,12375,1,USA,PG-13,36000000,6.8,2.35
Mikael Håfström,267,101,2000,33037754,Anthony Hopkins,The Rite ,75864,1,USA,PG-13,37000000,6.0,2.35
Andrew Niccol,175,487,263,12339633,Blair Underwood,Gattaca ,220591,2,USA,PG-13,36000000,7.8,2.35
Andrew Bergman,63,31,450,2954405,Stockard Channing,Isn't She Great ,1977,0,USA,R,36000000,5.3,1.85
Kirk De Micco,85,16,387,30105968,Cheryl Hines,Space Chimps ,8860,0,USA,G,37000000,4.5,2.35
Chris Rock,44,0,642,37788228,Bernie Mac,Head of State ,15046,1,USA,PG-13,35200000,5.4,1.85
Todd Phillips,334,480,706,277313371,Bradley Cooper,The Hangover ,583341,3,USA,R,35000000,7.8,2.35
Wilson Yip,78,25,51,2126511,Mike Tyson,Ip Man 3 ,21912,0,Hong Kong,PG-13,36000000,7.2,2.35
Jay Roach,199,116,481,205399422,Muse Watson,Austin Powers: The Spy Who Shagged Me ,181225,1,USA,PG-13,33000000,6.6,2.35
Tim Burton,186,13000,488,251188924,Michael Gough,Batman ,269033,0,USA,PG-13,35000000,7.6,1.85
Roland Joffé,77,596,785,1068392,Jordi Mollà,There Be Dragons ,3865,0,Spain,PG-13,36000000,5.9,2.35
Richard Donner,68,503,94,144731527,Rene Russo,Lethal Weapon 3 ,128010,2,USA,R,35000000,6.7,2.35
John Lee Hancock,261,102,624,255950375,Catherine Dyer,The Blind Side ,223127,0,USA,PG-13,29000000,7.7,1.85
,5,,452,,Jon Foo,Rush Hour             ,2185,2,USA,TV-14,,5.8,16.0
Robert Rodriguez,122,0,640,112692062,Alexa PenaVega,Spy Kids ,84325,0,USA,PG,35000000,5.4,1.85
Seth Gordon,340,91,64,117528646,Kevin Spacey,Horrible Bosses ,353442,5,USA,R,35000000,6.9,2.35
Ethan Coen,493,1000,538,171031347,Matt Damon,True Grit ,240962,0,USA,PG-13,38000000,7.7,2.35
David Frankel,208,64,505,124732962,Meryl Streep,The Devil Wears Prada ,286178,0,USA,PG-13,35000000,6.8,2.35
Robert Wise,134,338,643,82300000,Leonard Nimoy,Star Trek: The Motion Picture ,63330,2,USA,PG,35000000,6.4,2.35
Seth Gordon,275,91,680,134455175,Jon Favreau,Identity Thief ,97664,2,USA,R,35000000,5.7,2.35
Martin Scorsese,120,17000,387,79100000,Robert De Niro,Cape Fear ,127503,0,USA,R,35000000,7.3,2.35
Robert Luketic,144,126,1000,81159365,Kevin Spacey,21 ,191470,2,USA,PG-13,35000000,6.8,2.35
Judd Apatow,332,0,213,110008260,Amy Schumer,Trainwreck ,94241,1,Japan,R,35000000,6.3,2.35
Kevin Rodney Sullivan,104,8,278,67962333,Bernie Mac,Guess Who ,33887,2,USA,PG-13,35000000,5.9,1.85
Anthony Minghella,116,333,362,78651430,Colin Firth,The English Patient ,142067,0,USA,R,27000000,7.4,1.85
Curtis Hanson,177,161,210,64604977,Kevin Spacey,L.A. Confidential ,414219,2,USA,R,35000000,8.3,2.35
Mike Mitchell,127,31,591,63939454,Michael Angarano,Sky High ,61321,3,USA,PG,35000000,6.2,2.35
Frank Oz,83,0,945,63826569,Tom Selleck,In & Out ,32416,0,USA,PG-13,35000000,6.3,1.85
Roger Donaldson,97,79,25,60054449,Natasha Henstridge,Species ,61018,0,USA,R,35000000,5.8,2.35
Wes Craven,256,0,574,26505000,Johnny Depp,A Nightmare on Elm Street ,149285,1,USA,X,1800000,7.5,1.85
Tarsem Singh,225,763,311,61280963,Dylan Baker,The Cell ,79877,1,USA,R,33000000,6.3,2.35
Randall Wallace,83,130,80,56876365,Leonardo DiCaprio,The Man in the Iron Mask ,125219,1,USA,PG-13,35000000,6.4,1.85
Randall Wallace,160,130,426,59699513,Scott Glenn,Secretariat ,20827,0,USA,PG,35000000,7.2,2.35
Kevin Munroe,191,14,691,54132596,Chris Evans,TMNT ,53786,0,Hong Kong,PG,34000000,6.3,2.35
Michael Tollin,74,19,568,52277485,Alfre Woodard,Radio ,32370,1,USA,PG,35000000,6.9,1.85
Will Gluck,238,87,923,55802754,Mila Kunis,Friends with Benefits ,270228,2,USA,R,35000000,6.6,2.35
Nicholas Stoller,177,89,190,55291815,Chloë Grace Moretz,Neighbors 2: Sorority Rising ,28041,0,USA,R,35000000,6.0,2.35
John Lee Hancock,405,102,825,83299761,Tom Hanks,Saving Mr. Banks ,117719,2,USA,PG-13,35000000,7.5,2.35
Spike Lee,61,0,318,48169908,Denzel Washington,Malcolm X ,63923,0,USA,PG-13,33000000,7.7,1.85
Judd Apatow,285,0,120,67523385,Charlyne Yi,This Is 40 ,104005,2,USA,R,35000000,6.2,2.35
Walt Becker,124,12,931,49474048,Robin Williams,Old Dogs ,31191,2,USA,PG,35000000,5.4,1.85
Patrick Tatopoulos,164,148,227,45802315,Craig Parker,Underworld: Rise of the Lycans ,119974,1,USA,R,35000000,6.6,2.35
Ken Kwapis,120,42,766,43792641,Robin Williams,License to Wed ,32157,3,USA,PG-13,35000000,5.3,2.35
Dennis Dugan,90,221,553,57651794,Jon Lovitz,The Benchwarmers ,40651,2,USA,PG-13,33000000,5.6,1.85
Gary David Goldberg,120,30,664,43894863,Stockard Channing,Must Love Dogs ,25883,2,USA,PG-13,30000000,5.9,2.35
Mike Newell,117,179,646,41954997,Johnny Depp,Donnie Brasco ,225122,2,USA,R,35000000,7.8,2.35
Paul W.S. Anderson,226,545,766,39532308,Milla Jovovich,Resident Evil ,198701,0,UK,R,33000000,6.7,1.85
Tobe Hooper,223,365,723,76600000,Heather O'Rourke,Poltergeist ,105446,0,USA,PG,10700000,7.4,2.35
Ethan Coen,193,1000,939,39692139,J.K. Simmons,The Ladykillers ,84131,1,USA,R,35000000,6.2,1.85
John Moore,228,212,248,40687294,Mila Kunis,Max Payne ,107772,1,Canada,PG-13,35000000,5.4,2.35
Andrew Niccol,360,487,3000,37553932,Matt Bomer,In Time ,304318,2,USA,PG-13,40000000,6.7,2.35
Alan Poul,148,16,584,37481242,Danneel Ackles,The Back-up Plan ,40654,0,USA,PG-13,35000000,5.3,2.35
Luke Greenfield,128,42,196,39026186,Ashley Williams,Something Borrowed ,48019,4,USA,PG-13,35000000,5.9,1.85
,3,,628,,Jodi Lyn O'Keefe,Hit the Floor             ,1641,4,USA,,,7.0,
Gil Junger,46,19,447,33422806,Tom Wilkinson,Black Knight ,30771,1,USA,PG-13,50000000,4.8,2.35
Michael Ritchie,40,23,57,,Tatum O'Neal,The Bad News Bears ,16323,1,USA,PG,,7.3,1.85
Steven E. de Souza,63,133,690,33423521,Ming-Na Wen,Street Fighter ,53115,1,Japan,PG-13,35000000,3.8,2.35
Roman Polanski,193,2000,95,32519322,Emilia Fox,The Pianist ,497946,0,France,R,35000000,8.5,1.85
Albert Hughes,208,117,140,31598308,Johnny Depp,From Hell ,124765,1,USA,R,35000000,6.8,2.35
Catherine Hardwicke,122,308,206,37617947,Keisha Castle-Hughes,The Nativity Story ,8143,0,USA,PG,30000000,6.8,2.35
Jaume Collet-Serra,228,174,324,32048809,Robert Ri'chard,House of Wax ,94456,0,Australia,R,30000000,5.3,1.85
Mike Nichols,212,0,23,33987757,Natalie Portman,Closer ,168314,2,USA,R,27000000,7.3,1.85
Clint Eastwood,392,16000,363,37304950,Leonardo DiCaprio,J. Edgar ,102728,0,USA,R,35000000,6.6,2.35
Alexandre Aja,208,192,844,30691439,Jason Flemyng,Mirrors ,86205,0,USA,R,35000000,6.2,2.35
Michael Rymer,137,48,531,30307804,Aaliyah,Queen of the Damned ,43991,2,USA,R,35000000,5.2,2.35
Stephen Hopkins,119,81,636,30669413,Adam Baldwin,Predator 2 ,105478,0,USA,R,35000000,6.2,1.37
Gregory Hoblit,195,40,398,28687835,Billy Burke,Untraceable ,40964,1,USA,R,35000000,6.2,2.35
Hugh Wilson,95,37,480,26494611,Brendan Fraser,Blast from the Past ,48621,0,USA,PG-13,35000000,6.6,2.35
Mike Hodges,100,24,455,,Brian Blessed,Flash Gordon ,38017,1,UK,PG,20000000,6.4,2.35
Kevin Smith,164,0,769,25266129,Stephen Root,Jersey Girl ,54346,5,USA,PG-13,35000000,6.2,2.35
Rob Cohen,211,357,374,25863915,Cicely Tyson,Alex Cross ,28257,0,USA,PG-13,35000000,5.1,2.35
Clint Eastwood,91,16000,229,25078937,Kevin Spacey,Midnight in the Garden of Good and Evil ,31751,2,USA,R,30000000,6.6,1.85
Scott Mann,44,8,558,,Robert De Niro,Heist ,16193,1,USA,R,19000000,6.1,2.35
Susanna White,97,24,167,28995450,Daniel Mays,Nanny McPhee Returns ,19230,5,UK,PG,35000000,6.1,2.35
Danny DeVito,32,0,210,24276500,Frank Whaley,Hoffa ,17124,2,USA,R,35000000,6.6,2.35
Chris Carter,270,251,296,20981633,Mitch Pileggi,The X Files: I Want to Believe ,78256,0,USA,PG-13,30000000,5.9,2.35
Tommy O'Haver,89,13,973,22913677,Anne Hathaway,Ella Enchanted ,47800,1,USA,PG,35000000,6.3,1.85
Peter Landesman,219,15,745,34531832,Will Smith,Concussion ,44788,0,UK,PG-13,35000000,7.1,2.35
John Singleton,180,309,63,28064226,Ken Arnold,Abduction ,65044,1,USA,PG-13,35000000,5.0,2.35
Gary Chapman,93,2,72,19447478,Jim Broadbent,Valiant ,15788,0,UK,G,35000000,5.6,1.85
Curtis Hanson,173,161,549,19389454,Robert Downey Jr.,Wonder Boys ,54643,5,USA,R,55000000,7.4,2.35
Craig Mazin,121,82,418,25871834,Drake Bell,Superhero Movie ,52052,6,USA,PG-13,35000000,4.5,1.85
Allen Hughes,298,90,344,19692608,Alona Tal,Broken City ,63548,3,USA,R,35000000,6.2,2.35
Wes Craven,158,0,520,19294901,Shannon Elizabeth,Cursed ,26126,0,USA,PG-13,35000000,5.0,2.35
David Koepp,248,192,346,20275446,Joseph Gordon-Levitt,Premium Rush ,95274,0,USA,PG-13,35000000,6.5,2.35
Anne Fletcher,155,98,253,34507079,Jim Gaffigan,Hot Pursuit ,34948,2,USA,PG-13,35000000,5.1,2.35
Shekhar Kapur,105,159,39,18306166,Djimon Hounsou,The Four Feathers ,28130,2,UK,PG-13,35000000,6.5,2.35
Taylor Hackford,224,138,458,17609982,Jason Statham,Parker ,90046,0,USA,R,35000000,6.2,2.35
Richard Loncraine,129,12,663,16831505,Kirsten Dunst,Wimbledon ,51842,1,UK,PG-13,31000000,6.3,2.35
Roger Kumble,101,16,734,17596256,Brendan Fraser,Furry Vengeance ,12399,1,USA,PG,35000000,3.8,1.85
Kimble Rendall,145,0,174,,Alex Russell,Bait ,11482,1,Australia,R,30000000,5.2,1.85
Peter Yates,57,170,136,,Liam Neeson,Krull ,23351,1,UK,PG,27000000,6.0,2.35
Robert Redford,227,0,10000,14998070,Meryl Streep,Lions for Lambs ,41170,3,USA,R,35000000,6.2,2.35
John Milius,13,468,150,14587732,Rosanna Arquette,Flight of the Intruder ,4795,3,USA,PG-13,35000000,5.7,2.35
Jake Kasdan,171,52,134,18317151,Tim Meadows,Walk Hard: The Dewey Cox Story ,55630,1,USA,R,35000000,6.7,2.35
Lasse Hallström,119,529,505,11405825,Kevin Spacey,The Shipping News ,28542,3,USA,R,35000000,6.8,2.35
Les Mayfield,44,10,141,13264986,Gregory Smith,American Outlaws ,12077,2,USA,PG-13,35000000,6.0,1.85
Jean-Marc Vallée,188,212,919,10991381,Michiel Huisman,The Young Victoria ,44931,1,UK,PG,35000000,7.3,2.35
Dominic Sena,166,57,230,10268846,Tom Skerritt,Whiteout ,31918,1,USA,R,35000000,5.5,2.35
Terrence Malick,584,0,687,13303319,Brad Pitt,The Tree of Life ,136367,0,USA,PG-13,32000000,6.7,1.85
Hark Tsui,67,85,105,10076136,Paul Sorvino,Knock Off ,11512,0,Aruba,R,35000000,4.8,2.35
David Ayer,233,453,120,10499968,Mireille Enos,Sabotage ,47498,3,USA,R,35000000,5.7,1.85
Brian Helgeland,112,241,127,7659747,Heath Ledger,The Order ,14962,1,USA,R,38000000,5.1,1.85
Lexi Alexander,151,189,766,7948159,Julie Benz,Punisher: War Zone ,48999,1,USA,R,35000000,6.0,2.35
Peter Hewitt,63,12,690,11631245,Kevin Zegers,Zoom ,15015,5,USA,PG,35000000,4.2,1.85
Robert Zemeckis,335,0,6,10137502,Joseph Gordon-Levitt,The Walk ,77394,0,USA,PG,35000000,7.4,2.35
Ronny Yu,24,31,448,6448817,Marley Shelton,Warriors of Virtue ,2189,0,USA,PG,35000000,4.6,2.35
Ridley Scott,147,0,567,7458269,Archie Panjabi,A Good Year ,70698,1,USA,PG-13,35000000,6.9,2.35
