director_name,duration,actor_1_name,num_voted_users,movie_imdb_link,language,country,content_rating,actor_2_facebook_likes,imdb_score
David Ayer,134,Brad Pitt,303185,http://www.imdb.com/title/tt2713180/?ref_=fn_tt_tt_1,English,USA,R,8000,7.6
Ivan Reitman,98,Harrison Ford,60910,http://www.imdb.com/title/tt0120828/?ref_=fn_tt_tt_1,English,USA,PG-13,643,5.7
Eric Brevig,80,Justin Timberlake,16385,http://www.imdb.com/title/tt1302067/?ref_=fn_tt_tt_1,English,USA,PG,642,4.6
Kelly Asbury,83,Matt Damon,44143,http://www.imdb.com/title/tt0166813/?ref_=fn_tt_tt_1,English,USA,G,503,7.0
Frank Coraci,102,Rosario Dawson,44662,http://www.imdb.com/title/tt1222817/?ref_=fn_tt_tt_1,English,USA,PG,1000,5.2
Stephen Hopkins,130,Gary Oldman,58402,http://www.imdb.com/title/tt0120738/?ref_=fn_tt_tt_1,English,USA,PG-13,882,5.1
Jonathan Demme,129,Denzel Washington,86422,http://www.imdb.com/title/tt0368008/?ref_=fn_tt_tt_1,English,USA,R,1000,6.6
Henry Jaglom,117,Vanessa Redgrave,666,http://www.imdb.com/title/tt0119033/?ref_=fn_tt_tt_1,English,USA,PG-13,577,7.0
Genndy Tartakovsky,89,Steve Buscemi,56501,http://www.imdb.com/title/tt2510894/?ref_=fn_tt_tt_1,English,USA,PG,11000,6.7
,25,Elizabeth Montgomery,11427,http://www.imdb.com/title/tt0057733/?ref_=fn_tt_tt_1,English,USA,TV-G,960,7.6
James Algar,74,Quincy Jones,27543,http://www.imdb.com/title/tt0120910/?ref_=fn_tt_tt_1,English,USA,G,243,7.3
Simon Wells,96,Mark Addy,103787,http://www.imdb.com/title/tt0268695/?ref_=fn_tt_tt_1,English,USA,PG-13,639,5.9
Ron Underwood,114,Charlize Theron,22955,http://www.imdb.com/title/tt0120751/?ref_=fn_tt_tt_1,English,USA,PG,496,5.6
Dominic Sena,99,Hugh Jackman,155532,http://www.imdb.com/title/tt0244244/?ref_=fn_tt_tt_1,English,USA,R,3000,6.5
Martin Campbell,129,Michael Emerson,71574,http://www.imdb.com/title/tt0386140/?ref_=fn_tt_tt_1,Spanish,USA,PG,277,5.9
Vincent Ward,113,Robin Williams,83560,http://www.imdb.com/title/tt0120889/?ref_=fn_tt_tt_1,English,USA,PG-13,448,7.0
Steven Brill,90,Adam Sandler,80639,http://www.imdb.com/title/tt0185431/?ref_=fn_tt_tt_1,English,USA,PG-13,11000,5.3
Terry Gilliam,118,Matt Damon,98472,http://www.imdb.com/title/tt0355295/?ref_=fn_tt_tt_1,English,USA,PG-13,13000,5.9
Tim Burton,106,Natalie Portman,172217,http://www.imdb.com/title/tt0116996/?ref_=fn_tt_tt_1,English,USA,PG-13,770,6.3
Lucile Hadzihalilovic,81,Nissim Renard,979,http://www.imdb.com/title/tt4291590/?ref_=fn_tt_tt_1,French,France,,21,6.4
Lee Tamahori,117,Anthony Hopkins,55913,http://www.imdb.com/title/tt0119051/?ref_=fn_tt_tt_1,English,USA,R,1000,6.9
Jonathan Mostow,89,Bruce Willis,151424,http://www.imdb.com/title/tt0986263/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,6.3
Roger Donaldson,145,Bruce Greenwood,45231,http://www.imdb.com/title/tt0146309/?ref_=fn_tt_tt_1,English,USA,PG-13,274,7.3
Rob Cohen,114,Sylvester Stallone,53132,http://www.imdb.com/title/tt0116040/?ref_=fn_tt_tt_1,English,USA,PG-13,10000,5.8
Barry Cook,87,Charlie Rowe,8913,http://www.imdb.com/title/tt1762399/?ref_=fn_tt_tt_1,English,USA,PG,396,5.2
Roger Christian,119,Richard Tyson,65464,http://www.imdb.com/title/tt0185183/?ref_=fn_tt_tt_1,English,USA,PG-13,117,2.4
Joe Dante,91,Brendan Fraser,24183,http://www.imdb.com/title/tt0318155/?ref_=fn_tt_tt_1,English,Germany,PG,739,5.7
Rob Marshall,118,Fergie,37446,http://www.imdb.com/title/tt0875034/?ref_=fn_tt_tt_1,English,USA,PG-13,48,5.8
Richard Donner,116,Paul Walker,53057,http://www.imdb.com/title/tt0300556/?ref_=fn_tt_tt_1,English,USA,PG-13,18000,5.6
Kevin Costner,177,Olivia Williams,56403,http://www.imdb.com/title/tt0119925/?ref_=fn_tt_tt_1,English,USA,R,674,6.0
George Miller,97,Adam Goldberg,24868,http://www.imdb.com/title/tt0120595/?ref_=fn_tt_tt_1,English,Australia,G,971,5.8
Breck Eisner,106,Vin Diesel,58752,http://www.imdb.com/title/tt1618442/?ref_=fn_tt_tt_1,English,USA,PG-13,788,6.0
Antony Hoffman,106,Bob Neill,47612,http://www.imdb.com/title/tt0199753/?ref_=fn_tt_tt_1,English,USA,PG-13,0,5.7
Luc Besson,94,Mia Farrow,25843,http://www.imdb.com/title/tt0344854/?ref_=fn_tt_tt_1,English,France,PG,80,6.0
Jacques Perrin,104,Pedro Armendáriz Jr.,7630,http://www.imdb.com/title/tt0765128/?ref_=fn_tt_tt_1,French,France,G,63,7.8
Peter Hyams,102,David Oyelowo,16474,http://www.imdb.com/title/tt0318081/?ref_=fn_tt_tt_1,English,UK,PG-13,307,4.2
Paul W.S. Anderson,105,Sasha Roiz,84508,http://www.imdb.com/title/tt1921064/?ref_=fn_tt_tt_1,English,Canada,PG-13,172,5.6
Andrés Couturier,89,Sariann Monaco,230,http://www.imdb.com/title/tt4057916/?ref_=fn_tt_tt_1,Spanish,Mexico,PG,94,4.4
Ron Howard,135,Adam Goldberg,610568,http://www.imdb.com/title/tt0268978/?ref_=fn_tt_tt_1,English,USA,PG-13,592,8.2
