director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,num_user_for_reviews,budget
Paul Thomas Anderson,546,144,0,Jeffrey W. Jenkins,Drama,Mike Howard,105144,427,Bruce Goodchild,drifter|past life regression|psychological testing|right hand man|scientology,405,32000000
David Leland,21,97,2,Ryan Cartwright,Adventure|Comedy|History|Romance,Hayden Christensen,6691,4900,David Walliams,breasts|nude nun|plague|russian nobleman|two word title,28,38000000
Gary Fleder,86,130,39,Nicole Beharie,Biography|Drama|Sport,Dennis Quaid,16673,5162,Charles S. Dutton,african american|coach|football movie|nonlinear timeline|syracuse university,45,40000000
J Blakeson,194,112,5,Maggie Siff,Action|Adventure|Sci-Fi|Thriller,Chloë Grace Moretz,55617,19974,Nick Robinson,alien|attack|based on novel|based on young adult novel|fear,266,38000000
Ryan Coogler,437,133,0,Phylicia Rashad,Drama|Sport,Sylvester Stallone,146708,15106,Graham McTavish,boxing|boxing match|fight|montage|philadelphia,362,35000000
Ben Affleck,378,150,0,Jon Hamm,Crime|Drama|Thriller,Jeremy Renner,280228,14296,Owen Burke,bank manager|bank robbery|criminal gang|heist|prison,420,37000000
Kirk Jones,170,110,52,Dennis Quaid,Comedy|Drama|Romance,Anna Kendrick,57266,13396,Thomas Lennon,baby|expecting twins|hawaiian shirt|photographer|pregnancy,89,40000000
Ethan Coen,341,96,1000,Brad Pitt,Comedy|Drama,J.K. Simmons,248468,36093,Kevin Sussman,cia|divorce|embassy|gym|memoir,545,37000000
Jennifer Flackett,139,96,3,Anthony Simcoe,Adventure|Comedy|Family|Fantasy,Gerard Butler,28109,18178,Christopher James Baker,author|girl|island|reading|scientist,110,37000000
Ron Howard,393,123,2000,Olivia Wilde,Action|Biography|Drama|Sport,Chris Hemsworth,312629,37206,Alexandra Maria Lara,1970s|female rear nudity|formula 1|rivalry|sex with a nurse,475,38000000
Paul Thomas Anderson,224,188,0,Neil Flynn,Drama,Patton Oswalt,241030,1906,Jim Meskimen,abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline,1437,37000000
Kevin Smith,203,107,0,Tracy Morgan,Action|Comedy|Crime,Bruce Willis,75347,14483,Kevin Pollak,baseball card|detective|partner|thief|wedding,176,37000000
Christian Ditter,148,110,11,Damon Wayans Jr.,Comedy|Romance,Alison Brie,39440,4882,Nicholas Braun,motor scooter|new york city|newborn baby|scooter|single,83,38000000
Charles Martin Smith,131,113,188,Michael Roark,Drama|Family,Morgan Freeman,17948,14209,Harry Connick Jr.,boy|dolphin|prosthetics|tail|trap,86,37000000
Catherine Hardwicke,350,122,308,Taylor Lautner,Drama|Fantasy|Romance,Kristen Stewart,348007,44060,Anna Kendrick,blood|high school|love|school|vampire,1535,37000000
Nick Cassavetes,129,116,415,Laura Harring,Crime|Drama|Thriller,Denzel Washington,98899,20970,Anne Heche,health care|heart transplant|hospital|hostage|insurance,394,36000000
Les Mayfield,40,93,10,Dave Chappelle,Action|Comedy|Crime|Thriller,Peter Greene,60572,2986,Tamala Jones,detective|diamond|jewel|police|thief,144,65000000
Rawson Marshall Thurber,289,118,43,Molly C. Quinn,Comedy|Crime,Laura-Leigh,316671,3425,Thomas Lennon,fake family|male frontal nudity|marijuana|mexico|stripper,301,37000000
Fedor Bondarchuk,14,115,35,Fedor Bondarchuk,Action|Adventure|Sci-Fi,Yuliya Snigir,4387,599,Aleksey Serebryakov,22nd century|first part|friend|guard|space opera,21,29500000
Jonathan Mostow,72,93,84,M.C. Gainey,Action|Crime|Drama|Mystery|Thriller,Kathleen Quinlan,38399,1874,J.T. Walsh,car breakdown|diner|jeep|paranoia|violence,218,36000000
Irvin Kershner,89,121,883,Klaus Maria Brandauer,Action|Adventure|Thriller,Bernie Casey,48636,762,Barbara Carrera,british|character says now that you're on the case i hope we're going to have some gratuitous sex and violence|cruise missile|missile|nuclear warhead,214,36000000
Steve Pink,265,101,38,Collette Wolfe,Comedy|Sci-Fi,Charlie McDermott,139184,1272,Crystal Lowe,cheating wife|drug reference|maintenance man|male vomiting|promiscuous woman,243,36000000
Charles Martin Smith,54,107,188,Taylor Blackwell,Drama|Family,Morgan Freeman,6069,13904,Harry Connick Jr.,dolphin|latex gloves|medical scrubs|purple gloves|turtle,33,36000000
John Frankenheimer,126,124,287,James Frain,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,Charlize Theron,31113,10838,Clarence Williams III,casino|christmas|christmas season|girlfriend|release from prison,212,34000000
F. Gary Gray,110,109,473,Jeff Kober,Action|Crime|Drama|Thriller,Vin Diesel,38348,16611,Larenz Tate,bust|dea|drug cartel|justice|tragic hero,135,36000000
Cameron Crowe,138,105,488,Bradley Cooper,Comedy|Drama|Romance,Emma Stone,39778,44037,Bill Murray,box office flop|critically bashed|hawaii|one word title|written by director,172,37000000
Rob Reiner,31,130,0,Virginia Madsen,Drama|History,Alexa PenaVega,8531,3968,Craig T. Nelson,activist|assassin|civil rights|trial|widow,57,36000000
Scott Hicks,95,127,96,Reeve Carney,Drama|Mystery|Romance|Thriller,Rick Yune,12375,2393,Daniel von Bargen,fisherman|japanese|love|trial|washington state,194,36000000
Mikael Håfström,267,114,101,Colin O'Donoghue,Drama|Horror|Mystery|Thriller,Anthony Hopkins,75864,19904,Toby Jones,demon|exorcism|exorcist|faith|seminary,197,37000000
