num_critic_for_reviews,duration,actor_1_facebook_likes,actor_1_name,movie_title,facenumber_in_poster,plot_keywords,num_user_for_reviews,content_rating,actor_2_facebook_likes,imdb_score
30,112,1000,Jay Hernandez,Nomad: The Warrior ,0,1800s|kazakhstan|nomad,32,R,580,6.0
488,126,11000,Chris Evans,Snowpiercer ,5,closed ecological system|perpetual winter|population control|revolt|train,514,R,557,7.0
63,90,1000,Adam Goldberg,A Monster in Paris ,0,belle epoque|city name in title|monster|paris france,40,PG,559,6.8
42,93,2000,Matthew Broderick,The Last Shot ,10,fbi|movie producer|sting operation|undercover|urination,39,R,894,5.7
118,98,720,Michael Wincott,The Crow ,0,back from the dead|crime boss|crow|gothic|vigilante,545,R,581,7.6
44,159,218,Tamannaah Bhatia,Baahubali: The Beginning ,1,ancient india|dual role|good versus evil|hindu|kingdom,410,,133,8.4
214,107,152,Arliss Howard,The Time Traveler's Wife ,1,jumping on a bed|kissing while having sex|librarian|male objectification|pregnant woman in bathtub,234,PG-13,142,7.1
110,102,747,Colin Ferguson,Because I Said So ,1,meddling|psychologist|sobbing female|subtitled scene|you can say that again joke,184,PG-13,452,5.6
187,106,23000,Paul Walker,The Fast and the Furious ,2,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,988,PG-13,14000,6.7
370,87,940,Martin Landau,Frankenweenie ,0,dog|life|remake by original director|science|stop motion animation,165,PG,925,7.0
276,119,2000,Adam Baldwin,Serenity ,0,alliance|cannibalism|future|operative|planet,1594,PG-13,505,8.0
76,110,865,Omar Epps,Against the Ropes ,2,boxer|boxing|boxing arena|boxing manager|directed by co star,50,PG-13,534,5.3
95,125,593,Margot Kidder,Superman III ,1,computer|high school|kryptonite|smallville|villain,224,PG,542,4.9
211,113,22000,Robert De Niro,Grudge Match ,1,broke|promoter|retirement|trainer|training,115,PG-13,13000,6.4
160,150,755,Takeshi Kaneshiro,Red Cliff ,4,alliance|battle|china|chinese|strategy,105,R,643,7.4
97,108,982,Ethan Embry,Sweet Home Alabama ,1,alabama|divorce|divorce papers|husband wife relationship|new york city,392,PG-13,935,6.1
174,96,18000,Gerard Butler,The Ugly Truth ,2,call in|chick flick|date|hot air balloon|show producer,169,R,957,6.5
23,93,592,Austin Pendleton,Sgt. Bilko ,2,greenland|military|revenge|soldier|u.s. soldier,73,PG,516,5.7
103,100,12000,Steve Buscemi,Spy Kids 2: Island of Lost Dreams ,1,island|mad scientist|scientist|sequel|spy,107,PG,2000,5.1
98,118,1000,LeVar Burton,Star Trek: Generations ,0,23rd century|bare chested male bondage|enterprise the starship|rescue|sacrifice,249,PG,946,6.6
273,122,643,Tony Chiu Wai Leung,The Grandmaster ,1,challenge|china|hong kong|martial arts|martial arts master,111,PG-13,290,6.5
279,120,21000,Robert Pattinson,Water for Elephants ,1,circus|circus vargas|elephant|fear|train,260,PG-13,11000,6.9
22,60,23000,Joseph Gordon-Levitt,3rd Rock from the Sun             ,4,alien|digit in title|human form|number 3 in title|talking on a rooftop,86,TV-PG,967,7.8
4,88,76,Blythe Auffarth,Dragon Nest: Warriors' Dawn ,0,,18,,47,6.4
65,146,18000,Denzel Washington,The Hurricane ,0,african american|book|boxer|boxing|murder,265,R,584,7.6
98,115,970,Bill Cobbs,Enough ,1,abusive husband|escape|intimate partner homicide|marriage|woman wearing only a man's shirt,234,PG-13,919,5.6
116,123,931,Sarah Silverman,Heartbreakers ,3,bank|infidelity|millionaire|money|scam,216,PG-13,754,6.2
76,94,598,D.B. Woodside,Paul Blart: Mall Cop 2 ,1,character name in title|no opening credits|sequel|wilhelm scream,123,PG,557,4.4
106,102,308,Sonia Braga,Angel Eyes ,0,apartment|fate|gun|love|mysterious man,180,R,285,5.6
55,98,854,Jim Belushi,Joe Somebody ,1,bully|co worker|divorce|fight|karate,85,PG,543,5.5
