num_critic_for_reviews,duration,actor_2_name,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,plot_keywords,language,content_rating,title_year
,197,Jessica De Gouw,Rachel Griffiths,Deadline Gallipoli             ,1400,Luke Ford,gallipoli|tv mini series|world war one,English,,
91,117,Lisa Ray,John Abraham,Water ,1394,Seema Biswas,ashram|india|love|tradition|widow,Hindi,PG-13,2005
82,96,Jimi Mistry,Archie Panjabi,East Is East ,1616,Om Puri,england|marriage|muslim|pakistani|salford,English,R,1999
48,82,Brian Van Holt,Callie Thorne,Whipped ,858,David Heyman,dating|diner|masturbation|urination|washington square manhattan new york city,English,R,2000
33,109,Sarita Choudhury,Indira Varma,Kama Sutra: A Tale of Love ,1292,Rekha,courtesan|friend|kama sutra|seduction|wedding,English,R,1996
133,90,Thomas Ian Nicholas,Oliver Platt,Please Give ,3692,Ann Morgan Guilbert,apartment|first date|neighbor|new york|new york city,English,R,2010
104,89,Jack Albertson,Peter Ostrum,Willy Wonka & the Chocolate Factory ,1011,Julie Dawn Cole,candy|chocolate|factory|miniaturization|sudden change in size,English,G,1971
22,98,Zach Galligan,Julian Sands,Warlock: The Armageddon ,1806,Paula Marshall,druid|eclipse|rune|scalping|warlock,English,R,1993
30,95,George Hamilton,Kristy Swanson,8 Heads in a Duffel Bag ,1363,Dyan Cannon,camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose,English,R,1997
112,94,Stuart Margolin,Sam Shepard,Days of Heaven ,1618,Richard Libertini,farm|farm worker|grasshopper|harvest|wealth,English,PG,1978
79,104,Rob McElhenney,Matthew McConaughey,Thirteen Conversations About One Thing ,12250,Amy Irving,attorney|happiness|house cleaner|physics|professor,English,R,2001
49,87,Judy Greer,Julie Benz,Jawbreaker ,9555,Jeff Conaway,best friend|bitch|friend|popular girl|prom,English,R,1999
42,108,Michael Wincott,Gary Oldman,Basquiat ,11459,Courtney Love,andy warhol|art|artist|friendship|street artist,English,R,1996
345,86,Grace Gummer,Greta Gerwig,Frances Ha ,2260,Vanessa Ray,best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship,English,R,2012
152,94,Nambitha Mpumlwana,Terry Pheto,Tsotsi ,278,Rapulana Seiphemo,baby|bathing a baby|criminal|slum|vomiting,Zulu,R,2005
148,134,Jon Lovitz,Philip Seymour Hoffman,Happiness ,36859,Dylan Baker,ensemble cast|episodic structure|satire|social satire|suburb,English,,1998
23,89,Joe Howard,Eddie Griffin,DysFunktional Family ,539,Robert Noble,african american|family relationships|stand up comedian|stand up comedy,English,R,2003
254,102,Haley Joel Osment,Johnny Depp,Tusk ,43810,Michael Parks,canada|human becoming an animal|mad scientist|part of trilogy|walrus,English,R,2014
305,120,Ji-tae Yu,Min-sik Choi,Oldboy ,852,Hye-jeong Kang,brother sister relationship|hypnosis|imprisonment|love|revenge,Korean,R,2003
19,110,Michael Bolten,Robyn Lively,Letters to God ,1567,Christopher Schmidt,cancer|faith|hope|letter|prayer,English,PG,2010
272,86,Robb Wells,Gregory Smith,Hobo with a Shotgun ,1249,Molly Dunsworth,hobo|pedophile|rampage|shotgun|vigilante,English,Not Rated,2011
5,101,Héctor Jiménez,Kevin Pollak,Compadres ,1335,Erick Elias,,English,R,2016
65,102,Dan Hedaya,Bokeem Woodbine,Freeway ,1663,Robert Peters,freeway|nightmare|police|school|trailer park,English,R,1996
5,87,Kevin Gage,William Morgan Sheppard,Love's Abiding Joy ,2715,Brianna Brown,19th century|faith|mayor|ranch|sheriff,,PG,2006
248,123,Harry Treadaway,Michael Fassbender,Fish Tank ,13636,Jason Maza,15 year old|dancing|essex|little sister|suburb,English,Not Rated,2009
152,99,Megalyn Echikunwoke,Greta Gerwig,Damsels in Distress ,2452,Zach Woods,college|college campus|dance craze|depression|fraternity,English,PG-13,2011
10,173,Colm Feore,Craig T. Nelson,Creature             ,3149,Megalyn Echikunwoke,author cameo|family relationships|island|monster|two part tv movie,English,,
156,87,Adam Scott,Kirsten Dunst,Bachelorette ,8353,Andrew Rannells,bachelorette party|drug use|high school|overdose|wedding dress,English,R,2012
7,44,Megan Hilty,Danny Pino,BrainDead             ,1551,Zach Grenier,brains|exploding head|politician|swarm behavior|washington d.c.,English,,
1,120,Aaron Ashmore,Virginia Madsen,Brave New Girl ,2330,Lindsey Haun,based on a book|based on a novel|made for tv movie|music school|support,English,PG-13,2004
82,93,William Atherton,Michael Gross,Tim and Eric's Billion Dollar Movie ,1467,Bob Ross,film in film|man with glasses|reference to steven spielberg|self referential|shopping mall,English,R,2012
175,111,Cjon Saulsberry,George Kennedy,The Gambler ,3784,Griffin Cleveland,dog|gambler|gambling|gangster|professor,English,R,2014
4,60,Amanda Mealing,Susan Hampshire,The Grand             ,158,Tim Healy,concierge|front desk|hotel|maid|prostitute,English,,
40,98,Kostja Ullmann,Alicja Bachleda,Summer Storm ,362,Robert Stadlober,friend|friendship|rowing|storm|summer camp,German,R,2004
8,100,Eric Stoltz,Johnny Pacar,Fort McCoy ,4374,Brendan Fehr,,English,R,2011
63,88,Betsy Russell,Matt Cohen,Chain Letter ,1495,Noah Segan,blood splatter|chain|murder|mysterious killer|warning,English,R,2009
20,97,Patti LuPone,Gretchen Mol,Just Looking ,1030,Peter Onorati,1955 chevrolet|nurse|peeping tom|reference to brooklyn dodgers|spying,English,R,1999
174,122,Lauren German,Michael Biehn,The Divide ,4920,Rosanna Arquette,doggystyle sex|rough sex|sodomy|torture|violent sex,English,R,2011
90,86,Iben Hjejle,Aidan Quinn,The Eclipse ,975,Jim Norton,ghost|irish|kissing|novelist|widower,English,R,2009
58,83,Scott Mechlowicz,Frank Grillo,Demonic ,4756,Aaron Yoo,death|detective|house|missing|supernatural,English,R,2015
14,80,Darren Keefe Reiher,Neil Hopkins,My Big Fat Independent Movie ,313,David Douglas,independent film|spoof,English,R,2005
451,108,Alan Rickman,Johnny Depp,Alice in Wonderland ,79957,Anne Hathaway,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,English,PG,2010
,90,Michael Rapaport,Taylor Negron,The Deported ,3882,Talia Shire,actor|italian american|mexico|orphan|usa,English,PG-13,2009
21,96,Amy Sedaris,Tom Everett Scott,Tanner Hall ,1929,Chris Kattan,boarding school|coming of age|female friendship|lesbian|new england,English,R,2009
9,85,Kristi Clainos,John Savage,Open Road ,844,Emily Nelson,dealer|drugs|killer|police,English,,2013
98,83,Amy Poehler,Christopher Meloni,They Came Together ,7191,Jack McBrayer,halloween party|new york city|racism|romcom|spoof,English,R,2014
29,80,Ashley Martin,French Stewart,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,845,Olivia Alexander,exorcism|female nudity|haunted house|lesbian kiss|masturbation,English,R,2013
23,90,Alex Meraz,Michael Jai White,Never Back Down 2: The Beatdown ,3666,Jillian Murray,bad cop|college|second part|sequel|wrestler,English,R,2011
87,92,Angie Dickinson,Lee Marvin,Point Blank ,2715,Carroll O'Connor,criminal|gangster|money|revenge|violence,English,Approved,1967
2,100,Sarah Rafferty,Stephanie Szostak,Four Single Fathers ,2890,Salvatore Santone,number in title|single father,Italian,,2009
17,88,David Bianchi,Noel Gugliemi,Enter the Dangerous Mind ,4469,Jason Priestley,dubstep|tied feet,English,,2013
7,95,Shantel VanSanten,Julian Morris,Something Wicked ,3024,John Robinson,eugene oregon|independent film|obsession,English,R,2014
6,82,Brooke Newton,Bokeem Woodbine,AWOL-72 ,4092,Brett Wagner,police officer|police officer taken hostage,English,R,2015
9,97,Jack Taylor,Everett McGill,Iguana ,277,Fabio Testi,19th century|based on novel|disfigurement|harpooner|independent film,English,,1988
343,105,Derek Jacobi,Hayley Atwell,Cinderella ,4671,Lily James,dress|duke|fairy godmother|fairy tale|pumpkin,English,PG,2015
11,94,Stacy Keach,Mike Starr,Chicago Overcoat ,1989,Frank Vincent,detective|killer|police|shootout|thong,English,R,2009
34,95,Cybill Shepherd,Judy Greer,Barry Munday ,3648,Shea Whigham,doctor|letter|paternity|sex|testicles,English,R,2010
71,113,Matheus Nachtergaele,Fernanda Montenegro,Central Station ,167,Othon Bastos,brazil|letter|rio de janeiro brazil|sertao|teacher,Portuguese,R,1998
21,136,Glenn Ford,Ann-Margret,Pocketful of Miracles ,2167,Thomas Mitchell,1930s|apple|dude|luck|new york city,English,Approved,1961
28,80,Nick Chinlund,Anthony L. Fernandez,Close Range ,1517,Scott Evans,corrupt sheriff|drug cartel|flash drive|niece|sheriff,English,,2015
35,105,Michael Nouri,Dyan Cannon,Boynton Beach Club ,1231,Brenda Vaccaro,title spoken by character,English,R,2005
30,90,Patrick Bauchau,Olivia Rose Keegan,Amnesiac ,423,Mia Barron,child in peril|electroshock therapy|memory|memory loss|teenage girl,English,,2014
73,93,James Ransone,Greg Crowe,Freakonomics ,2305,Tempestt Bledsoe,cheating|economics|experiment|human nature|sumo wrestling,English,PG-13,2010
154,107,Patrick Troughton,Lee Remick,The Omen ,673,Billie Whitelaw,ambassador|death|hospital|priest|stillborn child,English,R,1976
251,89,Maïwenn,Cécile De France,High Tension ,923,Oana Pellea,car chase|plot twist|police van|rear ending a car|slasher,French,Unrated,2003
57,90,Patrick Brammall,Maeve Dermody,Griff the Invisible ,362,Kelly Paterniti,alter ego|awkwardness|office|scientist|superhero,English,PG-13,2010
14,89,Gregory Cruz,Q'orianka Kilcher,Unnatural ,964,Allegra Carpenter,alaska|climate change|global|polar bear|scientific,English,R,2015
159,116,Paula Jai Parker,Isaac Hayes,Hustle & Flow ,727,Elise Neal,baby|friend|hip hop|pimp|stripper,English,R,2005
181,120,Joe E. Brown,Nehemiah Persoff,Some Like It Hot ,527,George Raft,all girl band|band|cross dressing|musician|yacht,English,Not Rated,1959
110,88,Terry Kiser,Kane Hodder,Friday the 13th Part VII: The New Blood ,1855,William Butler,death|jason voorhees|massacre|slaughter|telekinesis,English,R,1988
213,102,Terry,Margaret Hamilton,The Wizard of Oz ,2509,Billie Burke,evil witch|tornado|witch|wizard|wizard of oz,English,Passed,1939
129,106,Peter Boyle,Madeline Kahn,Young Frankenstein ,2703,Teri Garr,assistant|castle|experiment|frankenstein's monster|scientist,English,PG,1974
280,95,Shawn Roberts,Megan Park,Diary of the Dead ,1797,Joe Dinicol,barn|film student|hospital|mummy|video camera,English,R,2007
15,144,Sanjay Dutt,Vidya Balan,Lage Raho Munna Bhai ,1761,Jimmy Shergill,love|professor of history|radio|satyagraha|unscrupulous builder,Hindi,PG-13,2006
61,113,Patricia Richardson,Peter Fonda,Ulee's Gold ,787,Vanessa Zima,beekeeper|bound and gagged|dysfunctional family|man with glasses|tied to a chair,English,R,1997
33,118,Kelly Reno,Teri Garr,The Black Stallion ,681,Hoyt Axton,black horse|boy horse relationship|horse|rescued by a horse|training,English,G,1979
1,141,Neeru Bajwa,Bhavkhandan Singh Rakhra,Sardaar Ji ,434,Diljit Dosanjh,,Panjabi,,2015
2,90,Frank Hvam,Iben Hjejle,Journey to Saturn ,197,Casper Christensen,crew|cult film|denmark|earth|wristwatch,Danish,Not Rated,2008
27,109,Cesar Romero,Lee Marvin,Donovan's Reef ,1949,Jack Warden,falling into water|medical doctor|priest|roof leak|swimming in the ocean,English,Not Rated,1963
19,95,Ariane Schluter,Rijk de Gooyer,The Dress ,25,Henri Garcin,bare breasts|bra|panties|topless female nudity|underwear,Dutch,,1996
9,122,Esther Williams,Spencer Tracy,A Guy Named Joe ,2555,Irene Dunne,heaven|pilot|teacher|training|world war two,English,Passed,1943
121,93,David Huddleston,Madeline Kahn,Blazing Saddles ,4701,Harvey Korman,railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874,English,R,1974
166,97,Tom Everett,Judie Aronson,Friday the 13th: The Final Chapter ,467,Kimberly Beck,friday the thirteenth|hockey mask|jason voorhees|morgue|slasher,English,R,1984
269,82,Agata Trzebuchowska,Joanna Kulig,Ida ,205,Agata Kulesza,convent|jew|jewish|nun|poland,Polish,PG-13,2013
29,140,Denholm Elliott,Rupert Graves,Maurice ,1269,Simon Callow,homosexuality|love|male full frontal nudity|male rear nudity|one word title,English,R,1987
20,86,Laurie Metcalf,Joe Lo Truglio,Beer League ,2753,Seymour Cassel,baseball|baseball movie|beer|slacker|softball,English,R,2006
107,109,Charlize Theron,Johnny Depp,The Astronaut's Wife ,52621,Clea DuVall,astronaut|electrocuted in bathtub|mission|pilot|sister,English,R,1999
74,105,Gabrielle Reece,Gerry Lopez,Riding Giants ,179,Laird John Hamilton,beach|surfing|surfing contest|two word title|wave,English,PG-13,2004
173,66,Nacho Vigalondo,Karra Elejalde,Timecrimes ,239,Bárbara Goenaga,binoculars|hitchcockian|scissors|time machine|woods,Spanish,R,2007
5,99,Bo Huang,Jack Kao,Silver Medallist ,19,Zheng Xu,color in title,Mandarin,,2009
66,100,Nick Searcy,Brianna Brown,Timber Falls ,1082,Beth Broderick,hiking|voyeur|voyeurism|west virginia|woods,English,R,2007
169,103,Debbie Reynolds,Rita Moreno,Singin' in the Rain ,2510,Cyd Charisse,actress|chorus girl|fan|friend|love,English,Approved,1952
13,97,Joel Fuhrman,Joe Cross,"Fat, Sick & Nearly Dead ",67,Amy Badberg,fat|food|health|juice|obese,English,,2010
129,86,Alanna Ubach,Essence Atkins,A Haunted House ,3421,J.B. Smoove,hamburger|parody|priest|psychic|woman in a bikini,English,R,2013
30,87,Zackary Steven Graham,Barack Obama,2016: Obama's America ,1111,Dinesh D'Souza,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,English,PG,2012
220,119,Tyler Mane,Scout Taylor-Compton,Halloween II ,3226,Margot Kidder,halloween|hospital|michael myers|rampage|vomiting,English,R,2009
75,149,Charlize Theron,Tom Hanks,That Thing You Do! ,28713,Ethan Embry,band|drummer|jazz|pennsylvania|song,English,PG,1996
162,98,Dan O'Herlihy,Tom Atkins,Halloween III: Season of the Witch ,684,Nancy Kyes,doctor|factory|halloween|holiday horror|stonehenge,English,R,1982
74,98,M. Emmet Walsh,Roddy McDowall,Escape from the Planet of the Apes ,2373,Sal Mineo,ape|fear|future|spacecraft|spaceship,English,G,1971
65,112,Melvyn Douglas,Patricia Neal,Hud ,1141,Whit Bissell,alcoholism|forename as title|rancher|rodeo cowboy|texas,English,Approved,1963
26,75,La'Princess Jackson,David Jason Perez,Kevin Hart: Let Me Explain ,1385,Dana Hanna,lying|montreal|reference to twitter|reference to youtube|toronto,English,R,2013
63,104,Udo Kier,Keanu Reeves,My Own Private Idaho ,19923,Flea,friend|hustler|italy|narcolepsy|traveling,English,R,1991
205,102,Michael Weston,Armando Riesco,Garden State ,1655,Jill Flint,actor|doctor|drugs|home|pain,English,R,2004
121,105,Hans Weingartner,Hanno Pöschl,Before Sunrise ,36,Dominik Castell,american|conversations|kiss|love|train,English,R,1995
