director_name,duration,director_facebook_likes,genres,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,language,aspect_ratio,movie_facebook_likes
Ronald Neame,108,38,Action|Drama|Sci-Fi|Thriller,Martin Landau,5237,Brian Keith,7,asteroid|meteor|nasa|nuclear weapon|satellite,English,2.35,392
Bruce Paltrow,112,28,Comedy|Drama|Music,Lochlyn Munro,8217,Huey Lewis,0,convict|karaoke|middle america|salesman|singer,English,1.85,573
Woody Allen,112,11000,Comedy|Romance,Woody Allen,21613,Treat Williams,0,blind|director|psychosomatic blindness|self deprecating|studio,English,1.85,762
Adam Rifkin,95,89,Comedy|Music,Natasha Lyonne,30682,Shannon Tweed,0,band|concert|high school|kiss|teenager,English,2.35,0
Russell Mulcahy,110,85,Action|Adventure|Fantasy,Christopher Lambert,98629,Celia Imrie,1,combat|head cut off|immortal|scotland|swordsman,English,1.85,0
Susanne Bier,118,369,Drama,Alison Lohman,24104,Robin Weigert,1,best friend|dinner|garage|narcotics anonymous|recovery,English,2.35,0
Kenneth Johnson,97,34,Action|Crime|Sci-Fi,Charles Napier,8687,Hill Harper,1,fight|gang|junkyard|military|soldier,English,1.85,0
James Gray,120,115,Drama|Romance,Jeremy Renner,20616,Angela Sarafyan,3,immigrant|immigration|magician|money|prostitution,English,2.35,0
James Ivory,135,133,Drama|History|Romance|War,Vanessa Redgrave,5321,Lynn Redgrave,0,countess|diplomat|japanese|russian|shanghai,English,1.66,356
Danny Boyle,101,0,Crime|Drama|Mystery|Thriller,Rosario Dawson,92640,Tuppence Middleton,0,amnesia|criminal|heist|hypnotherapy|lost painting,English,2.35,23000
Jessy Terrero,92,29,Comedy,Mo'Nique,18271,Tom Arnold,9,airline|airplane|bathroom|sex|toilet,English,1.85,0
Dany Boon,106,172,Comedy|Romance,Dany Boon,30587,Michel Galabru,2,alcohol|alcoholic drink|drunken man|france|provence,French,2.35,3000
Vicente Amorim,92,6,Drama|Romance|War,Viggo Mortensen,5664,Steven Mackintosh,1,censorship|children|corpse|heil hitler|suffering,English,2.35,921
Gaspar Noé,161,929,Drama|Fantasy,Paz de la Huerta,45449,Olly Alexander,0,drug deal|drugs|explicit sex|love|stripper,English,2.35,23000
Amy Heckerling,92,143,Comedy|Horror|Romance,Taylor Negron,7444,Ivan Sergei,2,murder|new york city|one word title|vampire|vampire slayer,English,1.78,0
Lasse Hallström,93,529,Drama|Family,Cary-Hiroyuki Tagawa,155249,Joan Allen,0,dog|human animal relationship|japanese|loyalty|waiting,English,1.85,115000
Jérôme Salle,110,22,Crime|Drama|Thriller,Orlando Bloom,12817,Conrad Kemp,0,apartheid|corpse|male nudity|murder|police officer,English,2.35,0
Tommy Lee Jones,122,0,Drama|Western,Barry Corbin,21370,Miranda Otto,1,abusive marriage|pastor|prison wagon|roast pig|suicide by hanging,English,2.35,0
Jesse Vaughan,91,10,Comedy|Drama|Romance|Sport,Vivica A. Fox,5312,Kevin Pollak,3,basketball|dodge viper|hit in the crotch|male nudity|the star spangled banner,English,1.85,939
,45,,Comedy|Crime|Drama,Steven Van Zandt,19164,Tommy Karlsen,0,mafia|mob|norway|steve|van,English,16.0,16000
Atom Egoyan,115,460,Drama|War,David Alpay,8624,Charles Aznavour,1,armenian|armenian genocide|customs agent|genocide|prayer,English,1.66,824
William Bindley,94,4,Drama|Sport,Bruce Dern,1033,William Shockley,0,boat racing|hydroplane|loyalty|one word title|scolding,English,2.35,282
Wayne Beach,93,7,Drama|Mystery|Thriller,Mekhi Phifer,3299,Fisher Stevens,0,district attorney|interview|murder|prosecutor|reporter,English,1.85,191
Gérard Krawczyk,94,7,Action|Comedy|Crime|Drama|Thriller,Carole Bouquet,29392,Michel Muller,1,french|inheritance|japan|letter|police detective hero,French,2.35,0
James Gunn,95,571,Comedy|Horror|Sci-Fi,Dustin Milligan,61912,Tania Saulnier,0,alien|b movie|sex|slug|small town,English,1.85,0
Martin Brest,105,102,Action|Comedy|Crime,Judge Reinhold,126464,James Russo,1,drug dealer|drugs|murder|police brutality|police shootout,English,1.85,0
Chris Columbus,103,0,Comedy|Family,Macaulay Culkin,311075,Catherine O'Hara,5,airport|child protagonist|child swearing|christmas|home alone,English,1.85,20000
Leonard Nimoy,102,12000,Comedy|Drama|Family,Tom Selleck,36918,Steve Guttenberg,4,1980s|baby|heroin|package|questioned by police,English,1.85,3000
Sydney Pollack,116,521,Comedy|Drama|Romance,Bill Murray,77366,Teri Garr,1,actor|actress|friend|love|reputation,English,2.35,0
Tony Scott,110,12000,Action|Drama|Romance,Tom Cruise,219171,Adrian Pasdar,2,flying|gay subtext|machismo|male objectification|pilot,English,1.33,19000
Ang Lee,120,0,Action|Drama|Romance,Chen Chang,217740,Sihung Lung,3,bare midriff|china|magical realism|martial arts|sword,Mandarin,2.35,0
Sam Mendes,122,0,Drama,Kevin Spacey,822500,Ara Celi,0,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness,English,2.35,22000
Tom Hooper,118,0,Biography|Drama|History|Romance,Colin Firth,503631,Derek Jacobi,0,king|king george vi|speech|speech therapist|throne,English,1.85,64000
Ivan Reitman,107,425,Comedy|Crime,Kelly Preston,87538,Hugh O'Brian,1,bare chested male|brother|catholic orphanage|long lost siblings|twins,English,1.85,0
,45,,Crime|Drama|Horror|Mystery|Thriller,Bex Taylor-Klaus,18058,Jason Wiles,0,generation y|millennial generation|murder|teenage girl|throat slitting,English,16.0,0
Udayan Prasad,102,4,Drama|Romance,Kristen Stewart,6723,William Hurt,1,louisiana|overalls|road trip|southern u.s.|teenage boy,English,2.35,1000
Steven Spielberg,154,14000,Drama,Oprah Winfrey,60988,Dana Ivey,0,book strap|girl|racial discrimination|racial tension|stereotype,English,1.85,6000
JK Youn,103,2,Action|Comedy|Drama|Thriller,Nicole Dionne,2659,Kyung-gu Sol,2,korea|lifeguard|single father|tears|tsunami,Korean,2.35,558
Timur Bekmambetov,141,335,Adventure|Drama|History,Morgan Freeman,62,Moises Arias,2,chariot race|epic|false accusation|jerusalem|slave,English,2.35,0
Morten Tyldum,114,77,Biography|Drama|Thriller|War,Benedict Cumberbatch,467613,Allen Leech,1,crossword puzzle|cryptography|enigma code|gay lead character|world war two,English,2.35,165000
Howard Zieff,109,6,Comedy|War,Eileen Brennan,18140,Alan Oppenheimer,1,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose,English,1.85,855
Michael Apted,124,150,Biography|Drama|Music|Musical,Sissy Spacek,12974,Levon Helm,0,country music|kissing while having sex|poverty|singer|title based on song,English,1.85,0
Thor Freudenthal,94,87,Comedy|Family,Chloë Grace Moretz,32002,Rachael Harris,1,cheese|diary|friend|middle school|school,English,1.85,0
Andrés Muschietti,100,127,Fantasy|Horror,Javier Botet,134869,Isabelle Nélisse,1,aunt|children|death of sister|forest|hiding in a closet,English,1.85,57000
John Carpenter,101,0,Horror|Thriller,Jamie Lee Curtis,157857,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,English,2.35,12000
Harold Ramis,98,11000,Adventure|Comedy,Beverly D'Angelo,71183,Jane Krakowski,1,amusement park|dog|family vacation|national lampoon series|vacation,English,1.85,0
Jeff Tremaine,102,79,Comedy,Jackson Nicoll,77724,Grasie Mercedes,0,child beauty pageant|grandson|hidden camera|jackass|road trip,English,1.85,26000
Stephen Frears,94,350,Biography|Drama,Roger Allam,85333,Alex Jennings,0,monarchy|prime minister|princess diana|queen|speech,English,1.85,0
