director_name,num_critic_for_reviews,director_facebook_likes,actor_2_name,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,plot_keywords,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
Yash Chopra,29,147,Preity Zinta,2921738,Drama|Musical|Romance,Shah Rukh Khan,Veer-Zaara ,9984,Anupam Kher,fair|pakistan|prison|rescue|stranded,,7000000,860,7.9,2.35
David Mamet,158,342,Randy Couture,2344847,Drama|Sport,Alice Braga,Redbelt ,2158,Jose Pablo Cantillo,bar|debt|fight|instructor|jujitsu,R,7000000,518,6.8,2.35
Jay Duplass,223,157,Tim Guinee,7455447,Comedy|Drama|Romance,Matt Walsh,Cyrus ,1136,Katie Aselton,21 year old|forename as title|musician|party|rearview mirror,R,7000000,259,6.3,1.85
Kevin Brodie,25,0,Cheryl Ladd,2148212,Drama|Family,Bruce McGill,A Dog of Flanders ,1906,Jack Warden,artist|box office flop|dog|drawing|flanders,PG,7000000,476,6.3,1.85
Paul Schrader,97,261,Michael McKean,2062066,Biography|Crime|Drama,Ed Begley Jr.,Auto Focus ,2684,Kurt Fuller,friendship|photography|radio|sex addict|video,R,7000000,658,6.6,1.85
George Hickenlooper,117,60,Jimmy Fallon,1654367,Biography|Drama,Hayden Christensen,Factory Girl ,6526,Beth Grant,andy warhol|female nudity|public nudity|singer|socialite,R,7000000,787,6.4,1.85
Lynne Ramsay,389,159,Siobhan Fallon Hogan,1738692,Drama|Thriller,Ezra Miller,We Need to Talk About Kevin ,3547,Ashley Gerasimovich,archery|defiance|mental illness|psychopath|toilet training,R,7000000,294,7.5,2.35
John Stephenson,9,0,Hans Matheson,2209479,Drama|Family,Samantha Barks,The Christmas Candle ,2909,Lesley Manville,angel|candle|christmas|miracle|village,PG,,627,5.8,
Tim Chambers,34,2,Marley Shelton,1889522,Drama|Sport,Ellen Burstyn,The Mighty Macs ,2589,Jennifer Butler,basketball|catholic|coach|college|nun,G,7000000,690,6.5,2.35
Curtis Hanson,7,161,Shelley Long,,Comedy|Drama|Family,Tom Cruise,Losin' It ,11059,Rick Rossovich,apostrophe in title|bare breasts|friendship between men|teen sex comedy|two word title,R,7000000,422,4.8,
Rodrigo García,161,127,Jimmy Smits,1110286,Drama|Romance,Naomi Watts,Mother and Child ,8876,Carla Gallo,adoption|baby|girl|lawyer|sex,R,4825000,941,7.2,2.35
Dick Richards,6,6,Terence Hill,1000000,Adventure|Drama|Romance|War,Catherine Deneuve,March or Die ,2209,Jack O'Halloran,arab|bare chested male|foreign legion|french foreign legion|morocco,PG,9000000,750,6.3,1.85
Jean-Marie Poiré,16,8,Isabelle Nanty,700000,Comedy|Fantasy|Sci-Fi,Christian Clavier,Les visiteurs ,215,Valérie Lemercier,distant past|future time travel|nobleman|squire|trapped in the past,R,50000000,54,7.0,2.35
Sofia Coppola,301,0,Chris Pontius,1768416,Comedy|Drama,Nathalie Fay,Somewhere ,684,Erin Wasson,actor|boredom|luxury hotel|party|trip,R,7000000,218,6.3,1.85
Bob Gosse,52,10,Susie Abromeit,1425993,Comedy,Geoff Stults,I Hope They Serve Beer in Hell ,1417,Derek Wayne Johnson,bachelor party|bare butt|loud sex|sex standing up|topless female nudity,R,,216,5.3,2.35
Alex Zamm,12,43,Raquel Welch,306715,Comedy,Taylor Negron,Chairman of the Board ,5213,Larry Miller,box office flop|company|invention|roommate|surfer,PG-13,10000000,788,2.3,1.85
Spencer Susser,134,58,Natalie Portman,382946,Drama,Joseph Gordon-Levitt,Hesher ,44969,Rainn Wilson,bully|car|car accident|fire|vomiting,R,7000000,20000,7.1,2.35
Richard Shepard,151,47,Mark Wingett,518134,Comedy|Crime|Drama,Richard E. Grant,Dom Hemingway ,1105,Richard Graham,male frontal nudity|male nudity|male rear nudity|nudity|sex scene,R,,524,6.2,2.35
Gus Van Sant,103,835,Casey Affleck,236266,Adventure|Drama|Mystery,Matt Damon,Gerry ,13000,,desert|friend|friendship|minimal dialogue|water,R,3500000,0,6.2,2.35
Thaddeus O'Sullivan,39,5,Luke Newberry,196067,Drama|Romance,Olivia Williams,The Heart of Me ,1251,Eleanor Bron,1930s|car accident|hospital|marital rape|painter,R,7000000,358,6.7,1.85
Peter Sollett,133,6,Josh Charles,532988,Biography|Drama|Romance,Steve Carell,Freeheld ,9660,Luke Grimes,cancer|gay bar|lesbian kiss|partner|public hearing,PG-13,7000000,1000,6.5,1.85
Shari Springer Berman,104,30,Marian Seldes,453079,Comedy,Lynn Cohen,The Extra Man ,2029,Dan Hedaya,co worker|escort|magazine|teacher|writer,R,7000000,403,5.9,2.35
Aleksey German,121,23,Yuriy Tsurilo,,Drama|Sci-Fi,Leonid Yarmolnik,Hard to Be a God ,8,Valentin Golubenko,fictional war|hanging|male full frontal nudity|medieval times|nudity,Not Rated,7000000,4,6.7,1.66
Stephen Milburn Anderson,27,0,Mike Starr,46451,Comedy|Crime|Thriller,Chris Hemsworth,Ca$h ,27756,Paul Sanchez,cash|financial problem|heist|land rover|mortgage,R,7000000,854,6.0,1.85
Richard E. Grant,49,554,Julie Walters,233103,Drama,Emily Watson,Wah-Wah ,2544,Miranda Richardson,alcoholic|alcoholic father|stepmother|swaziland|unfaithful wife,R,7000000,838,6.9,2.35
Troy Duffy,100,78,David Della Rocco,,Action|Crime|Thriller,Norman Reedus,The Boondock Saints ,12680,Bob Marley,fbi|fbi agent|friend|irish|mafia,R,7000000,333,7.9,2.35
David Lam,12,4,Louis Koo,,Action|Crime,Michael Wong,Z Storm ,198,Stephen Au,,,7000000,82,5.3,2.35
Francis Ford Coppola,112,0,Bruce Dern,,Comedy|Fantasy|Horror|Mystery,Alden Ehrenreich,Twixt ,3150,Joanne Whalley,ghost|hotel|murder|stake|what happened to epilogue,R,7000000,844,4.8,1.85
Vladlen Barbe,10,0,Wendee Lee,,Adventure|Animation|Family,Erin Fitzgerald,Snow Queen ,218,Ivan Okhlobystin,3d,PG,7000000,62,5.3,
Richard Rich,2,24,Kate Higgins,,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,Debi Derryberry,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,236,Cindy Robinson,blindness|cave|spirit|wolf|wolf cub,,7000000,35,6.0,
Clint Eastwood,38,16000,Chris Penn,41400000,Western,Clint Eastwood,Pale Rider ,17209,Sydney Penny,gold|miner|preacher|prospector|sheriff,R,6900000,455,7.3,2.35
Robert C. Cooper,18,49,Christopher Judge,,Action|Adventure|Drama|Fantasy|Sci-Fi,Ben Browder,Stargate: The Ark of Truth ,4334,Julian Sands,2000s|evil god|space opera|stargate|wormhole,,,847,7.4,1.78
Richard Linklater,152,0,Adam Goldberg,7993039,Comedy,Milla Jovovich,Dazed and Confused ,18643,Cole Hauser,football|hazing|high school|last day of school|pledge,R,6900000,1000,7.7,1.85
Kenny Ortega,44,197,Corbin Bleu,,Comedy|Drama|Family|Music|Musical|Romance,Lucas Grabeel,High School Musical 2 ,3009,Olesya Rulin,2000s|basketball|country club|lifeguard|talent show,TV-G,7000000,632,4.8,1.78
Kim Nguyen,6,16,Justin Edward Seale,,Drama|Romance,Gordon Pinsent,Two Lovers and a Bear ,414,John Ralston,,,8700000,147,7.2,2.35
Jackie Earle Haley,46,0,Edi Gathegi,,Crime|Drama|Thriller,Rex Baker,Criminal Activities ,17377,Travis Aaron Wade,african american gangster|falling to death|in over one's head|murder|surveillance,,7000000,725,5.8,2.35
Max Färberböck,63,4,Johanna Wokalek,927107,Biography|Drama|Romance|War,Heike Makatsch,Aimee & Jaguar ,333,Maria Schrader,lesbian mother|lesbian parent|lesbian relationship|lesbian romance|lesbianism,,15000000,66,7.3,1.85
Arie Posin,74,3,John Heard,49526,Comedy|Drama,Rory Culkin,The Chumscrubber ,2119,Tim DeKay,chumscrubber|death|friend|pills|school,R,6800000,697,7.0,2.35
Damian Nieman,25,0,Jason Cerbone,10696,Crime|Thriller,Glenn Plummer,Shade ,490,Mark De Alessandro,bar|strip club|stripper|texas hold 'em|thong,R,6800000,83,6.4,2.35
Mark Tonderai,224,13,Nolan Gerard Funk,31607598,Drama|Horror|Thriller,Jennifer Lawrence,House at the End of the Street ,35717,Gil Bellows,brother sister relationship|death of sister|female protagonist|mother daughter relationship|murder,PG-13,6900000,924,5.6,2.35
Denis Villeneuve,226,777,Mélissa Désormeaux-Poulin,6857096,Drama|Mystery|War,Lubna Azabal,Incendies ,343,Ahmad Massad,brother sister relationship|family relationships|middle east|mother son relationship|twin brother and sister,R,6800000,66,8.2,1.85
Gabriele Muccino,36,125,Silvio Muccino,223878,Comedy|Drama|Romance,Laura Morante,Remember Me, My Love ,132,Giulia Michelini,box office hit|dancer|sex scene|television|underage sex,R,5000000,29,6.5,2.35
Ian Fitzgibbon,54,11,Brendan Coyle,828,Action|Comedy|Crime|Drama|Romance|Thriller,Jim Broadbent,Perrier's Bounty ,2728,Michael McElhatton,burglary|estranged father|money|neighbor|thug,R,,418,6.4,2.35
José Padilha,142,294,Fernanda Machado,8060,Action|Crime|Drama|Thriller,Wagner Moura,Elite Squad ,666,André Ramiro,brazil|military police|police|rio de janeiro brazil|slum,R,4000000,39,8.1,1.85
John R. Leonetti,271,40,Annabelle Wallis,84263837,Horror|Mystery,Alfre Woodard,Annabelle ,2323,Gabriel Bateman,horror movie prequel|murder|paranormal activity|self sacrifice|suicide,R,6500000,421,5.4,2.35
Rachel Perkins,33,3,Magda Szubanski,110029,Comedy|Drama|Musical,Deborah Mailman,Bran Nue Dae ,225,Jessica Mauboy,australia|journey|love|priest|traveling,PG-13,6500000,46,6.3,2.35
John Singleton,64,309,Lloyd Avery II,57504069,Crime|Drama,John Cothran,Boyz n the Hood ,106,Na'Blonka Durden,drugs|escape|football|friend|violence,R,6000000,26,7.8,1.85
Luis Valdez,18,7,Rosanna DeSoto,54215416,Biography|Drama|Music,Esai Morales,La Bamba ,936,Danielle von Zerneck,crash|hispanic|interracial relationship|interracial romance|racism,PG-13,6500000,63,6.8,1.85
Alan Alda,6,0,Len Cariou,,Comedy|Drama,Rita Moreno,The Four Seasons ,1285,Sandy Dennis,directed by star|friendship|reference to isaac newton|skinny dipping|written and directed by cast member,PG,,167,7.2,1.85
Brian De Palma,121,0,David Margulies,31899000,Mystery|Romance|Thriller,Angie Dickinson,Dressed to Kill ,2442,Nancy Allen,apartment|elevator|murder|psychiatrist|sunglasses,X,6500000,567,7.1,2.35
