num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,budget,title_year,imdb_score,aspect_ratio
62,116,0,476,907,50382128,Comedy|Drama|Romance,Cicely Tyson,Diary of a Mad Black Woman ,2723,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,202,5500000,2005,5.6,1.85
71,105,96,35,509,35811509,Biography|Drama|Music|Romance,Noah Taylor,Shine ,888,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,104,5500000,1996,7.7,1.85
364,90,23000,694,23000,24475193,Comedy|Drama|Romance,Joseph Gordon-Levitt,Don Jon ,44265,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,314,3000000,2013,6.6,2.35
72,105,16000,258,16000,,Mystery|Western,Clint Eastwood,High Plains Drifter ,17599,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,169,5500000,1973,7.6,2.35
122,111,72,722,19000,6200756,Comedy|Drama,Scarlett Johansson,Ghost World ,34106,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,488,7000000,2001,7.4,1.85
100,91,14,548,14000,1292119,Biography|Drama|Romance,Kate Winslet,Iris ,16768,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,144,5500000,2001,7.1,1.85
24,95,14,60,113,,Comedy|Sci-Fi,Stephen Macht,Galaxina ,396,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,44,,1980,3.4,2.35
112,97,25,57,517,3629758,Drama|Music,Jean-Baptiste Maunier,The Chorus ,745,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,110,5500000,2004,7.9,2.35
67,92,9,71,636,6239558,Comedy|Drama,Paul Sorvino,Mambo Italiano ,1033,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,67,5000000,2003,6.7,1.85
91,104,10,93,715,1056102,Crime|Drama|Mystery|Thriller,Alexis Dziena,Wonderland ,1315,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,153,5000000,2003,6.6,1.85
103,120,0,388,782,27545445,Drama,Ruby Dee,Do the Right Thing ,2892,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,418,6500000,1989,7.9,1.85
27,99,56,781,4000,56007,Comedy|Crime|Drama|Romance|Thriller,Sarah Michelle Gellar,Harvard Man ,6776,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,69,5500000,2001,4.9,2.35
205,93,592,36,232,611709,Comedy|Drama,Jean-Pierre Léaud,Le Havre ,391,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,41,3850000,2011,7.2,1.85
192,99,929,9,56,753501,Crime|Drama|Mystery|Thriller,Philippe Nahon,Irreversible ,118,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,664,,2002,7.4,2.35
72,99,17,16,31,22770,Comedy|Drama,Lindsay Kay Hayward,R100 ,81,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,12,5500000,2013,6.1,1.85
33,157,85,199,397,2197331,Comedy|Drama|History|Romance,Anupam Kher,Rang De Basanti ,1519,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,321,,2006,8.4,2.35
22,90,4,290,934,,Drama,Kim Shaw,Animals ,2030,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,8,,2014,6.2,2.35
48,96,3,38,472,27445,Action|Comedy|Drama|Thriller,Jim Gaffigan,Salvation Boulevard ,561,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,31,9000000,2011,5.3,1.85
65,96,136,139,4000,766487,Comedy|Romance,Jon Hamm,The Ten ,4883,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,117,5250000,2007,5.0,1.85
29,90,222,222,5000,18434,Comedy|Drama,Bob Hoskins,A Room for Romeo Brass ,6111,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,47,,1999,7.7,1.85
284,100,77,27,286,1196752,Crime|Drama|Thriller,Aksel Hennie,Headhunters ,385,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,121,30300000,2011,7.6,2.39
187,94,4,114,796,,Comedy|Horror|Sci-Fi|Thriller,Russell Tovey,Grabbers ,1832,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,70,4000000,2012,6.3,2.35
47,98,12,149,393,795126,Comedy|Drama|Sport,Campbell Scott,Saint Ralph ,955,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,52,6000000,2004,7.6,1.85
88,129,440,0,631,,Drama|Romance,Samantha Morton,Miss Julie ,631,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,14,5500000,2014,5.6,
41,103,82,32,208,,Drama|Fantasy|Romance,Teresa Wright,Somewhere in Time ,454,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1,249,5100000,1980,7.3,1.85
24,128,4,47,374,563699,Action|Crime|Drama|Thriller,Abhishek Bachchan,Dum Maaro Dum ,787,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1,27,,2011,6.2,
318,106,0,482,852,83574831,Fantasy|Horror|Thriller,Lin Shaye,Insidious: Chapter 2 ,2975,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,269,5000000,2013,6.6,2.35
250,95,163,651,1000,87025093,Horror|Mystery,Emmanuelle Vaugier,Saw II ,4134,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,864,4000000,2005,6.6,1.85
411,104,16,82,14000,71897215,Drama|Horror|Mystery|Sci-Fi|Thriller,Bradley Cooper,10 Cloverfield Lane ,14504,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,440,15000000,2016,7.3,2.35
106,87,79,218,608,64267897,Comedy|Documentary,Bam Margera,Jackass: The Movie ,1770,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,327,5000000,2002,6.6,1.85
159,81,26,300,2000,56536016,Horror,Billy Burke,Lights Out ,3344,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,95,4900000,2016,6.9,2.35
251,94,24,434,581,104007828,Horror,Johanna Braddy,Paranormal Activity 3 ,2371,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,314,5000000,2011,5.8,1.85
