duration,director_facebook_likes,actor_3_facebook_likes,genres,num_voted_users,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,title_year,actor_2_facebook_likes,imdb_score
122,210,123,Crime|Drama|Thriller,57210,3,intelligence|intelligence agency|secret service|surveillance camera|war on terror,158,UK,2014,164,6.8
87,374,484,Comedy,39788,1,animator|bamboo cane|cartoonist|sausage|slacker,619,USA,2001,503,4.5
85,12,23,Adventure|Animation|Comedy|Family,2037,0,17th century|king|pirate|vegetable|waiter,22,USA,2008,173,5.7
85,0,44,Documentary|Music,2673,0,3d in title|digit in title|rock band|rocker|u2,31,USA,2007,67,8.4
101,36,377,Action|Adventure|Fantasy|Sci-Fi,16340,1,battle|explosion|immortal|revenge|sequel to cult film,355,USA,2000,786,4.6
121,16,526,Crime|Drama|Musical|Romance,4603,4,gangster|playing piano|song and dance|speakeasy|written and directed by cast member,91,USA,2006,585,6.2
107,92,358,Drama|Romance,106111,0,23 year time span|accidental death|best friend|loss of loved one|male female friendship,181,USA,2011,5000,7.0
111,0,727,Drama|Sport,55665,1,beauty pageant|friend|pageant|roller derby|texas,118,USA,2009,787,6.9
92,34,366,Crime|Drama|Thriller,19768,1,mob|mobster|money|montana|sheriff,135,USA,2001,442,6.1
97,164,308,Crime|Thriller,30643,3,con|grifter|lap dance|organized crime|shot in the forehead,144,USA,2003,324,6.7
97,745,745,Comedy,9294,2,directed by star|muse|satire|screenwriter|tiffany's,140,USA,1999,821,5.6
125,34,65,Biography|Drama|Music|Musical,9649,7,cole porter|composer|love|party|tears,226,USA,2004,66,6.6
124,11000,563,Comedy|Drama|Romance,13692,0,12 year old|artist|hotel|three word title|written and directed by cast member,55,USA,1989,860,6.4
76,9,47,Adventure|Family,2724,0,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex,53,Canada,1998,417,2.8
107,561,353,Action,53471,3,blacksmith|box office flop|chop socky|critically bashed|village,224,USA,2012,561,5.4
91,23,629,Comedy|Drama|Romance,7159,2,baby|infidelity|pilot|pregnant|waitress,88,USA,1998,660,5.0
96,4,670,Drama|Romance,7403,1,diner|love|private school|school|small town,162,USA,2000,841,5.1
142,0,1000,Drama|Sci-Fi,152306,0,black comedy|bureaucracy|dream|terrorist|wrongful arrest,513,UK,1985,5000,8.0
103,80,782,Family|Music|Romance,22649,0,music school|scholarship|small town|stage fright|three word title,212,USA,2004,872,5.9
60,,186,Drama|Fantasy|Mystery|Sci-Fi,7122,1,psychic|psychic power|psychometry|spin off|supernatural power,77,Canada,,319,7.5
