num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,gross,genres,actor_1_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
163,95,434,472,8460995,Action|Comedy|Romance,Jasper Cole,3,http://www.imdb.com/title/tt1470023/?ref_=fn_tt_tt_1,125,English,622,2.35,0
137,97,350,250,8111360,Crime|Drama|Thriller,Sophie Okonedo,1,http://www.imdb.com/title/tt0301199/?ref_=fn_tt_tt_1,203,English,372,1.85,0
180,94,0,3000,8828771,Comedy,Hugh Jackman,10,http://www.imdb.com/title/tt1333125/?ref_=fn_tt_tt_1,352,English,14000,1.85,25000
321,103,207,3000,67631157,Action|Romance|Thriller,Johnny Depp,0,http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1,374,English,11000,2.35,25000
100,95,4,655,7563670,Comedy|Fantasy|Romance,Stephen Root,0,http://www.imdb.com/title/tt0785007/?ref_=fn_tt_tt_1,53,English,702,2.35,518
265,101,63,172,6619173,Adventure|Comedy|Drama|Romance|Sci-Fi,Steve Carell,2,http://www.imdb.com/title/tt1307068/?ref_=fn_tt_tt_1,221,English,353,2.35,25000
212,87,44,727,6857503,Comedy,Kurtwood Smith,1,http://www.imdb.com/title/tt1477837/?ref_=fn_tt_tt_1,85,English,939,1.85,0
68,40,,476,,Comedy|Crime|Drama|Mystery|Romance,Michaela Conlin,2,http://www.imdb.com/title/tt0460627/?ref_=fn_tt_tt_1,173,English,722,1.78,0
162,101,194,602,6712241,Crime|Drama,Ethan Suplee,2,http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1,1420,English,816,1.85,35000
147,82,87,444,6842058,Action|Horror|Thriller,Daniel Sharman,0,http://www.imdb.com/title/tt1748227/?ref_=fn_tt_tt_1,99,English,581,2.35,14000
33,74,0,719,6491350,Animation|Comedy|Family|Fantasy|Musical,Nathan Lane,0,http://www.imdb.com/title/tt0350194/?ref_=fn_tt_tt_1,26,English,808,1.85,49
94,130,63,2,9473382,Drama|Music|Mystery|Romance,Johannes Silberschneider,3,http://www.imdb.com/title/tt0120802/?ref_=fn_tt_tt_1,247,French,3,1.85,0
143,112,0,201,6197866,Biography|Drama,Sissy Spacek,0,http://www.imdb.com/title/tt0166896/?ref_=fn_tt_tt_1,414,English,262,2.35,0
38,96,9,934,6044618,Action|Crime|Drama,Norman Reedus,1,http://www.imdb.com/title/tt0231448/?ref_=fn_tt_tt_1,92,English,11000,2.35,398
126,89,0,322,7764027,Comedy|Drama,Beth Grant,0,http://www.imdb.com/title/tt2170299/?ref_=fn_tt_tt_1,119,English,497,2.35,0
168,100,0,231,5998971,Comedy|Romance|Sport,Dylan Moran,0,http://www.imdb.com/title/tt0425413/?ref_=fn_tt_tt_1,143,English,269,2.35,0
19,78,13,378,,Comedy|Sci-Fi,Bernadette Peters,0,http://www.imdb.com/title/tt0082507/?ref_=fn_tt_tt_1,31,English,695,2.35,425
91,121,57,664,21569041,Drama,Jennifer Ehle,2,http://www.imdb.com/title/tt2883434/?ref_=fn_tt_tt_1,57,English,837,2.35,0
46,85,49,401,4356743,Comedy|Family|Romance,Jerry Stiller,2,http://www.imdb.com/title/tt0279286/?ref_=fn_tt_tt_1,79,English,405,1.85,0
198,120,0,294,5484375,Adventure|Biography|Drama|War,Christian Bale,0,http://www.imdb.com/title/tt0462504/?ref_=fn_tt_tt_1,205,English,342,1.85,0
139,106,102,970,5348317,Comedy|Drama|Music,Al Pacino,0,http://www.imdb.com/title/tt1772288/?ref_=fn_tt_tt_1,100,English,3000,,0
182,83,157,581,4244155,Comedy|Drama,Judy Greer,5,http://www.imdb.com/title/tt1588334/?ref_=fn_tt_tt_1,112,English,616,1.85,0
181,120,64,72,5004648,Drama|Romance,Flavio Parenti,1,http://www.imdb.com/title/tt1226236/?ref_=fn_tt_tt_1,114,Italian,110,1.85,0
23,111,60,699,3333823,Drama|Mystery|Sci-Fi,Robert Picardo,0,http://www.imdb.com/title/tt1985017/?ref_=fn_tt_tt_1,122,English,759,2.35,0
30,100,34,541,3275585,Action|Crime|Drama|Thriller,Gary Oldman,1,http://www.imdb.com/title/tt0107983/?ref_=fn_tt_tt_1,88,English,721,1.85,561
111,89,0,132,3193102,Crime|Drama|Mystery|Thriller,Peter Fonda,0,http://www.imdb.com/title/tt0165854/?ref_=fn_tt_tt_1,240,English,296,1.85,944
287,115,549,911,54557348,Crime|Drama|Thriller,Don Cheadle,0,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,1624,English,912,2.35,18000
96,135,25,553,3041803,Drama|Romance,Eric Stoltz,0,http://www.imdb.com/title/tt0200720/?ref_=fn_tt_tt_1,181,English,576,2.35,345
27,92,4,311,3060858,Action|Drama|Thriller,Cliff Robertson,4,http://www.imdb.com/title/tt0093483/?ref_=fn_tt_tt_1,37,English,324,1.85,208
44,120,108,400,1055654,Drama|Romance|Sport,Scott Mechlowicz,1,http://www.imdb.com/title/tt0438315/?ref_=fn_tt_tt_1,175,English,436,2.35,0
49,97,105,269,2331318,Comedy,Don Johnson,1,http://www.imdb.com/title/tt1411664/?ref_=fn_tt_tt_1,64,English,503,1.85,0
57,135,0,851,2185266,Comedy|Drama|Music,Gillian White,0,http://www.imdb.com/title/tt0215545/?ref_=fn_tt_tt_1,186,English,975,1.85,1000
185,93,4,4,26583369,Horror|Mystery|Thriller,Eoin Macken,1,http://www.imdb.com/title/tt3387542/?ref_=fn_tt_tt_1,127,English,35,1.85,10000
2,118,76,249,800000,Adventure|Mystery|Thriller,Frank Langella,0,http://www.imdb.com/title/tt0083113/?ref_=fn_tt_tt_1,21,English,488,2.35,106
270,97,387,64,7574066,Comedy|Drama,Naomi Watts,2,http://www.imdb.com/title/tt1791682/?ref_=fn_tt_tt_1,96,English,139,1.85,0
94,98,129,221,1754319,Drama|Romance,Demián Bichir,0,http://www.imdb.com/title/tt1554091/?ref_=fn_tt_tt_1,81,English,252,1.85,0
157,98,0,258,1641788,Drama|Mystery|Thriller,Miranda Richardson,0,http://www.imdb.com/title/tt0278731/?ref_=fn_tt_tt_1,213,English,387,1.78,0
49,101,3,826,1631839,Comedy|Crime|Romance,Liam Neeson,0,http://www.imdb.com/title/tt0171356/?ref_=fn_tt_tt_1,91,English,1000,1.85,242
80,132,41,1000,1309849,Drama|Romance,Charlie Hunnam,1,http://www.imdb.com/title/tt0309912/?ref_=fn_tt_tt_1,103,English,11000,2.35,0
221,106,34,683,1939441,Biography|Crime|Drama,Chris Evans,1,http://www.imdb.com/title/tt1491044/?ref_=fn_tt_tt_1,144,English,11000,1.85,20000
53,55,,2,447093,Drama,Krystyna Janda,0,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,37,Polish,3,1.33,0
20,168,53,45,,Action|Adventure|Romance|Sci-Fi,Naseeruddin Shah,0,http://www.imdb.com/title/tt0432637/?ref_=fn_tt_tt_1,110,Hindi,200,2.35,533
90,87,0,503,1276984,Comedy|Crime|Thriller,Alicia Witt,2,http://www.imdb.com/title/tt0173716/?ref_=fn_tt_tt_1,150,English,537,1.85,795
