director_name,duration,actor_2_name,genres,movie_title,actor_3_name,facenumber_in_poster,movie_imdb_link,language,content_rating,title_year,aspect_ratio
Paul W.S. Anderson,97,Boris Kodjoe,Action|Adventure|Horror|Sci-Fi,Resident Evil: Afterlife ,Shawn Roberts,1,http://www.imdb.com/title/tt1220634/?ref_=fn_tt_tt_1,English,R,2010,2.35
Anthony Hemingway,125,Nate Parker,Action|Adventure|Drama|History|War,Red Tails ,Tristan Mack Wilds,0,http://www.imdb.com/title/tt0485985/?ref_=fn_tt_tt_1,English,PG-13,2012,2.35
,30,Kristin Davis,Comedy|Romance,Sex and the City             ,Cynthia Nixon,0,http://www.imdb.com/title/tt0159206/?ref_=fn_tt_tt_1,English,TV-MA,,1.33
Taylor Hackford,136,Al Pacino,Drama|Mystery|Thriller,The Devil's Advocate ,Charlize Theron,2,http://www.imdb.com/title/tt0118971/?ref_=fn_tt_tt_1,English,R,1997,2.35
Sean Anders,116,Leighton Meester,Comedy,That's My Boy ,Will Forte,2,http://www.imdb.com/title/tt1232200/?ref_=fn_tt_tt_1,English,R,2012,2.35
Rob Cohen,103,Brian Thompson,Action|Adventure|Fantasy,DragonHeart ,Terry O'Neill,0,http://www.imdb.com/title/tt0116136/?ref_=fn_tt_tt_1,English,PG-13,1996,2.35
Brett Ratner,97,Don Cheadle,Action|Comedy|Crime|Drama,After the Sunset ,Chris Penn,2,http://www.imdb.com/title/tt0367479/?ref_=fn_tt_tt_1,English,PG-13,2004,2.35
Mark Neveldine,96,Spencer Wilding,Action|Fantasy|Thriller,Ghost Rider: Spirit of Vengeance ,Christopher Lambert,1,http://www.imdb.com/title/tt1071875/?ref_=fn_tt_tt_1,English,PG-13,2011,2.35
John Madden,131,Irene Papas,Drama|Music|Romance|War,Captain Corelli's Mandolin ,Mihalis Giannatos,2,http://www.imdb.com/title/tt0238112/?ref_=fn_tt_tt_1,English,R,2001,2.35
,22,Noureen DeWulf,Comedy|Romance,Anger Management             ,Brian Austin Green,1,http://www.imdb.com/title/tt1986770/?ref_=fn_tt_tt_1,English,,,16.0
Adam Shankman,95,Brad Garrett,Action|Comedy|Drama|Family|Thriller,The Pacifier ,Tate Donovan,0,http://www.imdb.com/title/tt0395699/?ref_=fn_tt_tt_1,English,PG,2005,2.35
Kevin Bray,86,Ashley Scott,Action|Crime,Walking Tall ,Michael Bowen,1,http://www.imdb.com/title/tt0351977/?ref_=fn_tt_tt_1,English,PG-13,2004,2.35
Robert Zemeckis,142,Siobhan Fallon Hogan,Comedy|Drama,Forrest Gump ,Sam Anderson,0,http://www.imdb.com/title/tt0109830/?ref_=fn_tt_tt_1,English,PG-13,1994,2.35
Tim Hill,92,Beth Riesgraf,Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks ,Matthew Gray Gubler,0,http://www.imdb.com/title/tt0952640/?ref_=fn_tt_tt_1,English,PG,2007,1.85
Jay Roach,108,Blythe Danner,Comedy,Meet the Parents ,Teri Polo,2,http://www.imdb.com/title/tt0212338/?ref_=fn_tt_tt_1,English,PG-13,2000,1.85
Mike Gabriel,84,Frank Welker,Adventure|Animation|Drama|Family|History|Musical|Romance,Pocahontas ,Irene Bedard,1,http://www.imdb.com/title/tt0114148/?ref_=fn_tt_tt_1,English,G,1995,1.78
Richard Donner,188,Margot Kidder,Action|Adventure|Drama|Romance|Sci-Fi,Superman ,Ned Beatty,0,http://www.imdb.com/title/tt0078346/?ref_=fn_tt_tt_1,English,PG,1978,2.35
Tom Shadyac,95,James Coburn,Comedy|Romance|Sci-Fi,The Nutty Professor ,Dave Chappelle,1,http://www.imdb.com/title/tt0117218/?ref_=fn_tt_tt_1,English,PG-13,1996,1.85
Andy Tennant,118,Michael Rapaport,Comedy|Romance,Hitch ,Kevin Sussman,1,http://www.imdb.com/title/tt0386588/?ref_=fn_tt_tt_1,English,PG-13,2005,2.35
Sam Weisman,92,Abraham Benrubi,Action|Adventure|Comedy|Family|Romance,George of the Jungle ,Holland Taylor,0,http://www.imdb.com/title/tt0119190/?ref_=fn_tt_tt_1,English,PG,1997,1.85
Jesse Dylan,74,Thomas Ian Nicholas,Comedy|Romance,American Wedding ,Fred Willard,3,http://www.imdb.com/title/tt0328828/?ref_=fn_tt_tt_1,English,R,2003,2.35
Paul Greengrass,134,Chris Mulkey,Biography|Drama|Thriller,Captain Phillips ,Michael Chernus,0,http://www.imdb.com/title/tt1535109/?ref_=fn_tt_tt_1,English,PG-13,2013,2.35
Shawn Levy,101,James Franco,Comedy|Crime|Romance|Thriller,Date Night ,Steve Carell,2,http://www.imdb.com/title/tt1279935/?ref_=fn_tt_tt_1,English,PG-13,2010,2.35
Brad Silberling,100,Fred Rogers,Comedy|Family|Fantasy,Casper ,Cathy Moriarty,0,http://www.imdb.com/title/tt0112642/?ref_=fn_tt_tt_1,English,PG,1995,1.85
Antoine Fuqua,132,Chloë Grace Moretz,Action|Crime|Thriller,The Equalizer ,James Wilcox,0,http://www.imdb.com/title/tt0455944/?ref_=fn_tt_tt_1,English,R,2014,2.35
Wayne Wang,105,Frances Conroy,Comedy|Drama|Romance,Maid in Manhattan ,Natasha Richardson,2,http://www.imdb.com/title/tt0252076/?ref_=fn_tt_tt_1,English,PG-13,2002,2.35
Tony Scott,123,Viggo Mortensen,Action|Drama|Thriller|War,Crimson Tide ,Ricky Schroder,0,http://www.imdb.com/title/tt0112740/?ref_=fn_tt_tt_1,English,R,1995,2.35
Gabriele Muccino,117,Kurt Fuller,Biography|Drama,The Pursuit of Happyness ,James Karen,0,http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1,English,PG-13,2006,2.35
Robert Schwentke,98,Michael Irby,Drama|Mystery|Thriller,Flightplan ,Haley Ramm,1,http://www.imdb.com/title/tt0408790/?ref_=fn_tt_tt_1,English,PG-13,2005,2.35
Barry Levinson,128,Dylan Baker,Drama|Thriller,Disclosure ,Roma Maffia,0,http://www.imdb.com/title/tt0109635/?ref_=fn_tt_tt_1,English,R,1994,2.35
Brad Silberling,114,Andre Braugher,Drama|Fantasy|Romance,City of Angels ,Colm Feore,1,http://www.imdb.com/title/tt0120632/?ref_=fn_tt_tt_1,English,PG-13,1998,2.35
Quentin Tarantino,111,Vivica A. Fox,Action,Kill Bill: Vol. 1 ,Chiaki Kuriyama,0,http://www.imdb.com/title/tt0266697/?ref_=fn_tt_tt_1,English,R,2003,2.35
Frank Oz,85,Adam Alexi-Malle,Comedy,Bowfinger ,Jamie Kennedy,2,http://www.imdb.com/title/tt0131325/?ref_=fn_tt_tt_1,English,PG-13,1999,1.37
,44,Don S. Davis,Action|Adventure|Drama|Sci-Fi,Stargate SG-1             ,Gary Jones,4,http://www.imdb.com/title/tt0118480/?ref_=fn_tt_tt_1,English,TV-14,,1.33
Quentin Tarantino,137,Michael Parks,Action|Crime|Drama|Thriller,Kill Bill: Vol. 2 ,Michael Bowen,0,http://www.imdb.com/title/tt0378194/?ref_=fn_tt_tt_1,English,R,2004,2.35
Andrey Konchalovskiy,97,Jack Palance,Action|Comedy|Crime|Thriller,Tango & Cash ,Brion James,1,http://www.imdb.com/title/tt0098439/?ref_=fn_tt_tt_1,English,R,1989,2.35
Robert Zemeckis,104,Meryl Streep,Comedy|Fantasy|Horror,Death Becomes Her ,Isabella Rossellini,3,http://www.imdb.com/title/tt0104070/?ref_=fn_tt_tt_1,English,PG-13,1992,1.85
Tom Dey,110,Jason Connery,Action|Adventure|Comedy|Western,Shanghai Noon ,Kate Luyben,2,http://www.imdb.com/title/tt0184894/?ref_=fn_tt_tt_1,English,PG-13,2000,2.35
Stuart Baird,133,Joe Morton,Action|Adventure|Thriller,Executive Decision ,J.T. Walsh,0,http://www.imdb.com/title/tt0116253/?ref_=fn_tt_tt_1,English,R,1996,2.35
Mark Waters,94,Ophelia Lovibond,Comedy|Family|Fantasy,Mr. Popper's Penguins ,Philip Baker Hall,1,http://www.imdb.com/title/tt1396218/?ref_=fn_tt_tt_1,English,PG,2011,1.85
Rob Minkoff,104,Thomas McDonell,Action|Adventure|Fantasy,The Forbidden Kingdom ,Michael Angarano,0,http://www.imdb.com/title/tt0865556/?ref_=fn_tt_tt_1,English,PG-13,2008,2.35
Jimmy Hayward,91,Carlos Ponce,Adventure|Animation|Comedy|Family,Free Birds ,Dan Fogler,1,http://www.imdb.com/title/tt1621039/?ref_=fn_tt_tt_1,English,PG,2013,1.85
David Fincher,145,Holt McCallany,Action|Horror|Sci-Fi,Alien 3 ,Paul McGann,0,http://www.imdb.com/title/tt0103644/?ref_=fn_tt_tt_1,English,R,1992,2.35
Alan Parker,135,Jimmy Nail,Biography|Drama|History|Musical,Evita ,Peter Polycarpou,1,http://www.imdb.com/title/tt0116250/?ref_=fn_tt_tt_1,English,PG,1996,2.35
John Frankenheimer,122,Natascha McElhone,Action|Adventure|Crime|Thriller,Ronin ,Michael Lonsdale,2,http://www.imdb.com/title/tt0122690/?ref_=fn_tt_tt_1,English,R,1998,2.35
Stephen Hopkins,110,Bernard Hill,Adventure|Drama|Horror|Thriller,The Ghost and the Darkness ,Om Puri,0,http://www.imdb.com/title/tt0116409/?ref_=fn_tt_tt_1,English,R,1996,2.35
Paul King,95,Matt Lucas,Animation|Comedy|Family|Fantasy,Paddington ,Sally Hawkins,0,http://www.imdb.com/title/tt1109624/?ref_=fn_tt_tt_1,English,PG,2014,2.35
Akiva Schaffer,102,Nicholas Braun,Action|Comedy|Sci-Fi,The Watch ,Rosemarie DeWitt,4,http://www.imdb.com/title/tt1298649/?ref_=fn_tt_tt_1,English,R,2012,2.35
William Friedkin,94,Jenna Boyd,Action|Crime|Drama|Thriller,The Hunted ,Rex Linn,1,http://www.imdb.com/title/tt0269347/?ref_=fn_tt_tt_1,English,R,2003,1.85
Jon Turteltaub,126,Maura Tierney,Drama|Thriller,Instinct ,John Ashton,1,http://www.imdb.com/title/tt0128278/?ref_=fn_tt_tt_1,English,R,1999,2.35
Bobby Farrelly,118,Terence Bernie Hines,Comedy,Stuck on You ,Seymour Cassel,2,http://www.imdb.com/title/tt0338466/?ref_=fn_tt_tt_1,English,PG-13,2003,2.35
Kent Alterman,99,Maura Tierney,Comedy|Sport,Semi-Pro ,Matt Walsh,3,http://www.imdb.com/title/tt0839980/?ref_=fn_tt_tt_1,English,R,2008,2.35
Peter Lord,88,Russell Tovey,Adventure|Animation|Comedy|Family,The Pirates! Band of Misfits ,Brian Blessed,0,http://www.imdb.com/title/tt1430626/?ref_=fn_tt_tt_1,English,PG,2012,2.35
