duration,actor_1_facebook_likes,movie_title,content_rating
90,1000,Desert Blue ,R
95,889,Decoys ,R
94,432,The Visit ,PG-13
90,343,Redacted ,R
103,811,Fascination ,R
60,1000,Saving Grace             ,TV-MA
91,46,Area 51 ,R
102,331,Sleep Tight ,Not Rated
92,570,The Cottage ,Unrated
87,866,Dead Like Me: Life After Death ,R
80,3000,Farce of the Penguins ,R
90,695,Flying By ,PG-13
44,1000,Psych             ,TV-PG
105,745,Rudderless ,R
67,979,Henry & Me ,PG
95,989,Christmas Eve ,PG
87,708,We Have Your Husband ,TV-PG
94,12000,Dying of the Light ,R
109,1000,Born of War ,R
130,1000,Capricorn One ,PG
,975,Should've Been Romeo ,
88,784,Running Forever ,
88,40000,Yoga Hosers ,PG-13
97,741,Navy Seals vs. Zombies ,
113,61,I Served the King of England ,R
99,595,Soul Kitchen ,
148,3000,Sling Blade ,R
107,874,The Awakening ,R
93,1000,Hostel ,R
94,1000,Tristram Shandy: A Cock and Bull Story ,R
121,982,Take Shelter ,R
118,968,Lady in White ,R
98,10000,Driving Lessons ,PG-13
82,927,Let's Kill Ward's Wife ,Unrated
101,237,The Texas Chainsaw Massacre 2 ,X
106,773,Pat Garrett & Billy the Kid ,R
90,33000,Only God Forgives ,R
79,226,Camping sauvage ,
87,571,Without Men ,R
,5,Barfi ,
105,18000,Dear Frankie ,PG-13
89,584,All Hat ,R
100,74,The Names of Love ,R
92,943,Treading Water ,
97,13000,Savage Grace ,Not Rated
100,109,Out of the Blue ,
96,801,Police Academy ,R
104,1000,The Blue Lagoon ,R
117,1000,Four Weddings and a Funeral ,R
90,1000,Fast Times at Ridgemont High ,X
115,232,Moby Dick ,Unrated
108,22000,25th Hour ,R
43,562,Secrets and Lies             ,
109,3000,Bound ,R
102,1000,Requiem for a Dream ,R
100,188,State Fair ,Approved
115,341,Tango ,PG-13
122,854,Salvador ,R
98,589,Moms' Night Out ,PG
133,15000,Donnie Darko ,R
105,274,Saving Private Perez ,PG-13
122,25,Character ,R
106,835,Spun ,R
98,1000,Life During Wartime ,R
112,717,Lady Vengeance ,R
120,24,Mozart's Sister ,
99,26000,Mean Machine ,R
110,155,Exiled ,R
102,820,Blackthorn ,R
109,129,Lilya 4-Ever ,R
104,14000,After.Life ,R
134,327,Fugly ,
133,888,One Flew Over the Cuckoo's Nest ,R
85,19000,R.L. Stine's Monsterville: The Cabinet of Souls ,PG
87,898,Silent Movie ,PG
130,85,Airlift ,
