num_critic_for_reviews,num_voted_users
122,114692
105,30055
144,97087
156,91860
323,152591
199,112769
164,81523
39,15455
43,24757
82,16580
150,42621
168,35140
432,203461
60,27648
85,11388
83,23996
343,132423
106,26551
158,15697
189,36455
125,48245
87,17307
115,19114
23,15762
24,3803
152,89568
12,4377
656,452465
119,213668
161,96565
73,154487
96,117606
28,13995
105,90360
102,9830
206,156225
159,28618
137,73006
116,34597
177,85198
99,46158
56,88844
117,47364
252,117999
375,408302
150,203269
187,140499
108,106909
21,20183
270,133177
72,21554
154,74169
114,30077
27,11453
166,63677
288,119622
117,74009
291,91151
151,42547
36,38203
168,248123
283,149414
127,34203
293,247020
95,22309
4,1558
213,24657
119,187181
9,590
167,137003
98,29861
234,704766
258,125198
108,34809
81,126907
538,358416
224,227824
129,56646
125,340085
433,327367
362,220020
93,40227
71,99558
104,75152
319,203963
41,71754
300,64989
556,479453
161,132048
151,93748
212,98535
111,283480
173,85629
181,143835
252,79264
216,66511
203,137891
218,97045
118,48806
241,130661
119,28621
89,113068
209,110394
374,656640
235,127528
215,166194
109,109445
125,113472
65,31968
125,87351
322,103589
191,146899
191,104481
221,75345
459,178118
131,86902
222,147317
118,35508
100,77415
70,52805
138,104991
274,173848
349,210542
341,844052
196,114294
83,20615
283,236000
105,69457
351,171418
16,7900
195,147504
175,114321
193,87447
169,37398
128,54421
249,25465
91,46221
207,89557
77,56509
25,17443
211,92789
19,49612
101,20201
175,81334
342,192462
147,30394
420,104119
138,104564
82,68159
201,84382
82,10132
277,83788
90,29968
157,95860
124,36223
3,8495
146,50199
303,136093
70,18723
283,81298
212,58871
98,35834
110,25346
146,41685
100,12093
62,10446
70,26051
107,12856
169,84357
94,70292
190,37412
112,67797
12,13830
201,76498
34,11156
104,21319
55,11232
86,23747
50,16741
181,49874
260,79892
40,14226
102,27305
371,145270
49,8692
335,139114
86,19364
40,17365
242,534262
70,17722
135,43442
125,15231
54,10413
104,17309
157,35990
159,28618
78,46205
88,7794
32,2933
75,24216
219,121432
83,19986
53,4821
61,15130
308,190132
70,30842
41,2458
224,28429
66,20201
253,186982
79,54650
94,22010
77,65474
106,22897
30,3322
488,181472
63,15790
42,3789
118,136580
44,62756
214,114925
110,32412
187,272227
370,73886
276,242599
76,5917
95,49934
211,46480
160,36894
97,83786
174,163665
23,17810
103,44885
98,60504
273,24557
279,95367
22,38383
4,2169
65,76016
98,30667
116,44168
76,23473
106,19686
55,8433
172,137722
47,14066
