director_name,actor_1_facebook_likes,actor_1_name,movie_title,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Mort Nathan,890,Vivica A. Fox,Boat Trip ,20000000,852,4.9,1.85,1000
Oliver Parker,14000,Colin Firth,The Importance of Being Earnest ,15000000,1000,6.9,2.35,0
Dan Curtis,1000,Jennifer Jason Leigh,The Love Letter ,,393,7.4,1.33,515
Wil Shriner,8000,Logan Lerman,Hoot ,15000000,625,5.6,1.85,647
Martin McDonagh,65,Elizabeth Berrington,In Bruges ,15000000,49,8.0,2.35,32000
Tina Gordon Chism,931,Tyler James Williams,Peeples ,15000000,539,5.3,2.35,0
Peter Cattaneo,15000,Emma Stone,The Rocker ,15000000,14000,6.2,1.85,0
Vicky Jenson,24000,J.K. Simmons,Post Grad ,15000000,971,5.3,1.85,0
Gus Van Sant,13000,Matt Damon,Promised Land ,15000000,826,6.6,1.85,10000
Woody Allen,860,Larry David,Whatever Works ,15000000,658,7.2,1.85,10000
Mary Lambert,477,Matthew Settle,The In Crowd ,15000000,397,4.6,1.85,157
Tommy Lee Jones,572,Levon Helm,Three Burials ,15000000,324,7.5,2.35,0
Peter Kassovitz,49000,Robin Williams,Jakob the Liar ,15000000,1000,6.5,1.85,0
Shane Black,21000,Robert Downey Jr.,Kiss Kiss Bang Bang ,15000000,1000,7.6,2.35,0
Rodman Flender,890,Vivica A. Fox,Idle Hands ,20000000,729,6.2,1.85,0
David Lynch,6000,Naomi Watts,Mulholland Drive ,15000000,889,8.0,1.85,16000
Katja von Garnier,837,Olivier Martinez,Blood and Chocolate ,,400,5.5,2.35,0
Woody Allen,12000,Anthony Hopkins,You Will Meet a Tall Dark Stranger ,22000000,6000,6.3,1.85,0
Mark Romanek,10000,Andrew Garfield,Never Let Me Go ,15000000,882,7.2,2.35,33000
,857,Anna Silk,The Company             ,,555,7.9,1.78,733
Brad Anderson,918,Thomas Kretschmann,Transsiberian ,15000000,278,6.7,2.35,0
Michael Chapman,876,Curtis Armstrong,The Clan of the Cave Bear ,15000000,324,5.3,2.35,843
Antonio Banderas,783,Meat Loaf,Crazy in Alabama ,15000000,664,6.3,2.35,391
Michael Haneke,6000,Naomi Watts,Funny Games ,15000000,294,6.5,1.85,0
Khalil Sullins,192,Thomas Stroppel,Listening ,,134,5.6,2.35,708
Atom Egoyan,5000,Bob Hoskins,Felicia's Journey ,,203,7.0,2.35,284
Fritz Lang,136,Brigitte Helm,Metropolis ,6000000,23,8.3,1.33,12000
Pierre Morel,510,David Belle,District B13 ,12000000,297,7.2,2.35,0
Gary Fleder,12000,Steve Buscemi,Things to Do in Denver When You're Dead ,7000000,970,6.8,1.85,0
Hsiao-Hsien Hou,1000,Qi Shu,The Assassin ,15000000,103,6.4,1.37,0
Gregor Jordan,936,Dean Stockwell,Buffalo Soldiers ,15000000,826,6.9,2.35,664
Andrey Zvyagintsev,20,Konstantin Lavronenko,The Return ,,13,8.0,1.85,0
Tony Jaa,64,Nirut Sirichanya,Ong-bak 2 ,300000000,45,6.2,2.35,0
Neil Marshall,13000,Michael Fassbender,Centurion ,,794,6.4,2.35,0
Russell Mulcahy,825,Christopher Heyerdahl,Silent Trigger ,9000000,476,5.6,2.35,154
Ryûhei Kitamura,14000,Bradley Cooper,The Midnight Meat Train ,15000000,1000,6.1,2.35,0
Darrell Roodt,549,Jennifer Hudson,Winnie Mandela ,15000000,248,6.0,,705
Dito Montiel,17000,Channing Tatum,The Son of No One ,15000000,14000,5.1,2.35,0
Stefan Ruzowitzky,776,Eddie Izzard,All the Queen's Men ,25000000,595,4.5,2.35,193
Jake Paltrow,1000,Stephen Graham,The Good Night ,15000000,165,5.9,1.85,445
Juraj Jakubisko,735,Anna Friel,Bathory: Countess of Blood ,,627,6.0,2.35,0
Anthony Silverston,14000,Liam Neeson,Khumba ,20000000,12000,5.8,,0
Gabe Ibáñez,1000,Birgitte Hjort Sørensen,Automata ,7000000,889,6.1,2.35,13000
Gerry Lively,179,Bruce Payne,Dungeons & Dragons: Wrath of the Dragon God ,15000000,55,4.9,1.78,473
Daniele Luchetti,61,Maximilian Dirr,Chiamatemi Francesco - Il Papa della gente ,15000000,57,5.7,,18
Tung-Shing Yee,556,Bingbing Fan,Shinjuku Incident ,15000000,353,7.1,2.35,821
Julien Temple,631,Samantha Morton,Pandaemonium ,15000000,452,6.6,,277
Harold Ramis,13000,Bill Murray,Groundhog Day ,14600000,571,8.1,1.85,38000
Gregory Jacobs,20000,Matt Bomer,Magic Mike XXL ,14800000,17000,5.7,2.35,41000
Baz Luhrmann,29000,Leonardo DiCaprio,Romeo + Juliet ,14500000,1000,6.8,2.35,10000
Gilles Paquet-Brenner,1000,Kristin Scott Thomas,Sarah's Key ,10000000,767,7.5,2.35,0
Peter Cousens,467,Sharon Leal,Freedom ,14500000,220,6.2,,998
Clint Eastwood,16000,Clint Eastwood,Unforgiven ,14400000,11000,8.3,2.35,10000
Lars von Trier,3000,Bryce Dallas Howard,Manderlay ,14200000,769,7.4,2.35,1000
Danny Boyle,668,Anil Kapoor,Slumdog Millionaire ,15000000,56,8.0,2.35,13000
Adrian Lyne,886,Fred Gwynne,Fatal Attraction ,14000000,276,6.9,1.85,3000
Garry Marshall,8000,Julia Roberts,Pretty Woman ,14000000,995,6.9,1.85,11000
John Blanchard,770,Martin Short,Towering Inferno             ,,179,9.5,1.33,0
John Cornell,442,Paul Hogan,Crocodile Dundee II ,15800000,162,5.5,2.35,489
Vidhu Vinod Chopra,892,María Valverde,Broken Horses ,15000000,355,5.7,2.35,0
Oliver Stone,10000,Tom Cruise,Born on the Fourth of July ,14000000,854,7.2,2.35,4000
Jon Turteltaub,953,Doug E. Doug,Cool Runnings ,15000000,730,6.9,1.85,0
Patrick Lussier,10000,Jensen Ackles,My Bloody Valentine ,15000000,960,5.5,1.85,0
Ole Bornedal,941,Kyra Sedgwick,The Possession ,14000000,459,5.9,2.35,17000
Ted Kotcheff,13000,Sylvester Stallone,First Blood ,14000000,954,7.7,2.35,0
Sylvain White,997,Chris Brown,Stomp the Yard ,14000000,826,5.2,2.35,0
Lewis Gilbert,456,Caroline Munro,The Spy Who Loved Me ,14000000,244,7.1,2.35,0
,155,Amy Bruni,Ghost Hunters             ,,130,6.6,,373
Jamie Blanks,975,Alicia Witt,Urban Legend ,14000000,912,5.5,2.35,0
Stephen Frears,18000,Keanu Reeves,Dangerous Liaisons ,14000000,17000,7.7,1.85,0
Tyler Perry,849,Eddie Cibrian,Good Deeds ,,597,5.4,2.35,0
Randal Kleiser,327,Seymour Cassel,White Fang ,14000000,172,6.7,1.85,0
Bruce McCulloch,8000,Will Ferrell,Superstar ,14000000,670,5.0,1.85,2000
Phyllida Lloyd,11000,Meryl Streep,The Iron Lady ,13000000,1000,6.4,2.35,18000
Mike Nawrocki,23,Phil Vischer,Jonah: A VeggieTales Movie ,14000000,12,6.6,1.85,184
John Singleton,592,Janet Jackson,Poetic Justice ,14000000,556,5.9,1.85,0
Kevin Bray,706,Mike Epps,All About the Benjamins ,14000000,266,5.7,2.35,530
Wes Craven,723,John Witherspoon,Vampire in Brooklyn ,20000000,422,4.5,1.85,1000
John Boorman,931,Linda Blair,Exorcist II: The Heretic ,14000000,726,3.7,1.85,889
Courtney Solomon,874,Sissy Spacek,An American Haunting ,14000000,613,5.0,2.35,0
David Zucker,869,Carmen Electra,My Boss's Daughter ,14000000,779,4.6,1.85,411
David Twohy,26000,Chris Hemsworth,A Perfect Getaway ,14000000,14000,6.5,2.35,4000
Rick Famuyiwa,953,America Ferrera,Our Family Wedding ,14000000,849,4.9,2.35,1000
Alan Cohn,3000,Alyson Hannigan,Dead Man on Campus ,14000000,2000,6.0,1.85,645
Franco Zeffirelli,718,Lily Tomlin,Tea with Mussolini ,12000000,330,6.9,1.85,970
Tom Holland,1000,Joe Mantegna,Thinner ,8500000,855,5.7,1.85,0
Martin Scorsese,22000,Robert De Niro,New York, New York ,14000000,740,6.7,1.66,932
Spike Lee,1000,Alfre Woodard,Crooklyn ,14000000,848,6.9,1.85,905
Chris Rock,12000,Steve Buscemi,I Think I Love My Wife ,,490,5.5,1.85,488
James Isaac,1000,Peter Mensah,Jason X ,11000000,935,4.4,1.85,0
Shawn Levy,934,Frankie Muniz,Big Fat Liar ,15000000,927,5.4,1.85,896
Emilio Estevez,12000,Anthony Hopkins,Bobby ,14000000,593,7.0,2.35,0
Mark Waters,878,Monica Potter,Head Over Heels ,14000000,834,5.4,2.35,613
Josh Schwartz,962,Thomas McDonell,Fun Size ,14000000,925,5.4,2.35,0
Julian Schnabel,413,Emmanuelle Seigner,The Diving Bell and the Butterfly ,,412,8.0,1.85,13000
Todd Field,14000,Kate Winslet,Little Children ,26000000,617,7.6,2.35,5000
Davis Guggenheim,12000,Norman Reedus,Gossip ,24000000,215,5.9,2.35,853
Tony Goldwyn,10000,Viggo Mortensen,A Walk on the Moon ,14000000,233,6.6,1.85,860
Phillip Noyce,543,Derek Luke,Catch a Fire ,14000000,113,6.7,2.35,447
Stephen Carpenter,159,Melissa Sagemiller,Soul Survivors ,14000000,102,3.9,1.85,231
James Ivory,423,Seth Gilliam,Jefferson in Paris ,14000000,15,5.7,1.85,127
Stephan Elliott,14000,Colin Firth,Easy Virtue ,,1000,6.7,2.35,2000
James Fargo,16000,Christopher Lee,Caravans ,14000000,469,6.5,2.35,76
Mike Leigh,149,Lesley Manville,Mr. Turner ,8200000,44,6.8,2.35,0
Alain Resnais,412,Mathieu Amalric,Wild Grass ,,74,6.3,2.35,512
Costa-Gavras,380,Sebastian Koch,Amen. ,103000000,326,7.3,1.85,0
Chao-Bin Su,149,Woo-sung Jung,Reign of Assassins ,12000000,32,6.9,2.35,1000
Neil Burger,697,John Heard,The Lucky Ones ,15000000,329,7.0,1.85,702
Kenneth Lonergan,13000,Matt Damon,Margaret ,14000000,1000,6.5,1.85,0
Bo Zenga,826,Steve Howey,Stan Helsing ,,521,3.6,1.85,934
Rob Reiner,1000,Madeline Carroll,Flipped ,14000000,872,7.7,1.85,14000
