director_facebook_likes,actor_3_facebook_likes,genres,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,language,imdb_score,movie_facebook_likes
12000,636,Comedy|Drama,Trees Lounge ,11369,Carol Kane,1,English,7.2,872
5,5,Drama,Journey from the Fall ,775,Cat Ly,2,Vietnamese,7.4,100
7,548,Drama,The Basket ,449,Peter Coyote,2,English,6.5,117
5,98,Comedy|Horror,Eddie: The Sleepwalking Cannibal ,1231,Georgina Reilly,0,English,5.7,932
17,652,Action|Crime|Drama|Thriller,Mercury Rising ,54316,Carrie Preston,1,English,6.1,0
,109,Drama|Sci-Fi,Space: Above and Beyond             ,6381,Kristen Cloke,0,English,7.7,963
135,0,Action|Biography|Drama|History,Queen of the Mountains ,3144,Mirlan Abdulayev,1,English,8.7,0
4,13,Action|Sci-Fi,Def-Con 4 ,1339,Tim Choate,0,English,4.3,220
4,624,Comedy,The Hebrew Hammer ,4182,Tony Cox,1,English,6.2,3000
0,40,Comedy|Musical|Romance,Neal 'N' Nikki ,1167,Samantha McLeod,2,English,3.3,66
19,134,Comedy,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,5579,Matt Crabtree,3,English,2.7,0
0,511,Horror|Romance|Thriller,Forget Me Not ,4866,Christopher Atkins,1,English,5.2,969
13000,333,Drama|Film-Noir|Mystery|Thriller,Rebecca ,87424,George Sanders,2,English,8.2,0
49,59,Horror|Mystery|Thriller,Friday the 13th Part 2 ,39690,Amy Steel,0,English,6.1,0
0,66,Drama|Film-Noir,The Lost Weekend ,24959,Frank Faylen,4,English,8.0,0
4,132,Horror|Sci-Fi,C.H.U.D. ,7528,Sam McMurray,0,English,5.5,0
8,183,Drama|Music,Filly Brown ,910,Jorge Diaz,1,English,5.7,0
11,397,Animation,The Lion of Judah ,458,Anupam Kher,0,English,3.7,381
83,48,Crime|Film-Noir|Thriller,Niagara ,11047,Will Wright,0,English,7.1,1000
673,137,Drama|Family,How Green Was My Valley ,15840,Barry Fitzgerald,5,English,7.8,0
,201,Drama,The Girlfriend Experience             ,3282,Paul Sparks,0,English,7.3,632
0,161,Comedy|Romance|Thriller,Da Sweet Blood of Jesus ,794,Felicia Pearson,0,English,4.1,447
0,65,Drama,Sex, Lies, and Videotape ,37785,Steven Brill,2,English,7.2,2000
0,651,Horror|Mystery|Thriller,Saw ,299127,Shawnee Smith,0,English,7.7,0
422,422,Comedy|Crime|Mystery,Super Troopers ,76151,Jay Chandrasekhar,0,English,7.1,0
4,434,Action|Romance|Thriller,The Algerian ,101,Ben Youcef,6,English,7.6,221
0,3,Comedy|Drama,The Amazing Catfish ,1229,José Manuel Orozco Angulo,0,Spanish,7.0,407
301,71,Drama|Sci-Fi|Thriller,The Day the Earth Stood Still ,139426,Juan Riedinger,0,English,5.5,0
300,73,Comedy|Drama|Romance,Monsoon Wedding ,19397,Lillete Dubey,0,Hindi,7.4,0
50,612,Drama,You Can Count on Me ,22145,Gaby Hoffmann,0,English,7.7,756
13000,232,Comedy|Mystery|Romance,The Trouble with Harry ,24891,Royal Dano,0,English,7.2,0
118,1000,Crime|Drama|Mystery|Thriller,Lucky Number Slevin ,262160,Dorian Missick,3,English,7.8,10000
91,849,Comedy|Drama,But I'm a Cheerleader ,19986,Eddie Cibrian,1,English,6.6,0
29,449,Drama|Sport,Home Run ,2417,Scott Elrod,2,English,6.0,0
16000,455,Crime|Drama|Thriller,Reservoir Dogs ,664719,Chris Penn,0,English,8.4,19000
9,51,Drama|Family|Fantasy,The Blue Bird ,1047,Gale Sondergaard,1,English,6.5,548
0,24,Western,The Good, the Bad and the Ugly ,503509,Enzo Petito,3,Italian,8.9,20000
9,4,Comedy|Drama,The Second Mother ,7025,Luis Miranda,1,Portuguese,7.9,0
14,274,Comedy|Drama,Blue Like Jazz ,2582,Eric Lange,0,English,6.0,0
0,3,Comedy|Music,Down and Out with the Dolls ,91,Zoë Poledouris,0,English,6.1,27
4,,Documentary,Pink Ribbons, Inc. ,591,,0,English,7.4,5000
0,924,Comedy|Documentary,Certifiably Jonathan ,132,Jonathan Winters,10,English,6.2,87
0,24,Drama,Q ,4068,Yassine Azzouz,1,French,5.6,754
0,0,Comedy|Drama,The Knife of Don Juan ,27,Juan Carlos Montoya,3,Spanish,7.2,75
4,95,Adventure|Comedy|Drama,Grand Theft Parsons ,2953,Jim Cody Williams,1,English,6.1,480
0,227,Comedy,Extreme Movie ,9560,Vanessa Lee Chester,6,English,3.8,636
345,94,Action|Adventure|Romance|War,The Charge of the Light Brigade ,3418,Spring Byington,3,English,7.1,204
0,5,Thriller,Below Zero ,652,Michael Eisner,2,English,4.5,161
0,63,Action|Horror|Mystery|Thriller,Crowsnest ,1321,Chelsey Reist,0,English,3.8,238
38,117,Adventure|Comedy|Sport,Airborne ,5061,Brittney Powell,0,English,6.2,0
282,148,Action|Comedy,Cotton Comes to Harlem ,1172,Calvin Lockhart,1,English,6.6,477
2,475,Horror,The Wicked Within ,742,Patrick Muldoon,0,English,4.6,479
0,312,Horror,Bleeding Hearts ,71,Dustin Diamond,1,English,4.2,242
6,804,Comedy,Waiting... ,76467,Vanessa Lengies,3,English,6.8,0
222,68,Crime|Drama|Thriller,Dead Man's Shoes ,39929,George Newton,0,English,7.7,0
,206,Drama|Horror|Thriller,Wolf Creek             ,726,Lucy Fry,0,English,7.1,954
155,147,Action|Drama|Horror|Thriller,From a Whisper to a Scream ,1324,Susan Tyrrell,0,English,5.9,241
0,,Documentary|Drama,Sex with Strangers ,285,,0,English,4.7,51
126,3,Comedy|Horror|Musical,Dracula: Pages from a Virgin's Diary ,1555,Brent Neale,1,English,7.0,131
12,25,Drama,Faith Like Potatoes ,2050,Jeanne Neilson,2,Zulu,6.9,0
22,48,Sci-Fi|Thriller,Beyond the Black Rainbow ,6555,Eva Bourne,1,English,6.1,0
338,60,Action|Crime|Thriller,The Raid: Redemption ,148221,Donny Alamsyah,0,Indonesian,7.6,51000
252,252,Action|Horror|Sci-Fi,The Dead Undead ,737,Matthew R. Anderson,1,English,3.0,444
0,0,Horror,The Vatican Exorcisms ,332,Joe Marino,0,English,2.6,200
345,269,Drama|Romance|War,Casablanca ,387508,Conrad Veidt,4,English,8.6,23000
0,5,Drama|Horror|Mystery|Thriller,Lake Mungo ,9465,Martin Sharpe,0,English,6.1,0
6,20,Comedy|Drama,Rocket Singh: Salesman of the Year ,11010,Gauhar Khan,1,Hindi,7.5,773
136,42,Drama|Sci-Fi,Silent Running ,20678,Jesse Vint,1,English,6.7,0
80,794,Drama|Sport,Rocky ,375240,Carl Weathers,0,English,8.1,0
2,9,Drama,The Sleepwalker ,512,Gitte Witt,1,English,4.9,234
0,606,Fantasy|Horror,The Fog ,46493,Janet Leigh,0,English,6.8,7000
62,69,Adventure|Comedy|History,Tom Jones ,8508,Hugh Griffith,1,English,6.8,328
6,142,Horror|Mystery|Thriller,Unfriended ,44329,Heather Sossaman,0,English,5.7,13000
17000,595,Crime|Drama,Taxi Driver ,507063,Peter Boyle,1,English,8.3,35000
287,725,Horror,The Howling ,22773,Dee Wallace,0,English,6.6,0
92,177,Action|Adventure|Thriller,Dr. No ,116642,Lois Maxwell,4,English,7.3,5000
18,300,Horror|Mystery|Sci-Fi|Thriller,Chernobyl Diaries ,52642,Jonathan Sadowski,0,English,5.0,24000
385,100,Fantasy|Horror,Hellraiser ,76407,Clare Higgins,0,English,7.0,0
18,295,Drama,God's Not Dead 2 ,4501,Maria Canals-Barrera,11,English,3.4,0
65,683,Drama|Horror|Mystery|Thriller,Cry_Wolf ,23021,Lindy Booth,0,English,5.9,816
2,3,Action|Adventure|Drama|Sci-Fi|Thriller,Godzilla 2000 ,5442,Sakae Kimura,0,Japanese,6.0,339
310,616,Drama|Romance,Blue Valentine ,141425,John Doman,0,English,7.4,25000
2,226,Adventure|Comedy|Drama,Transamerica ,36321,Paul Borghese,2,English,7.4,0
19,128,Horror,The Devil Inside ,30570,Brian Johnson,0,English,4.2,12000
199,44,Comedy|Drama|Music,Beyond the Valley of the Dolls ,7584,Harrison Page,8,English,6.2,0
0,102,Drama|Romance|Western,Love Me Tender ,2636,Debra Paget,1,English,6.2,365
49,,Documentary,An Inconvenient Truth ,67654,,0,English,7.5,0
23,88,Action|Drama|Romance|War,Sands of Iwo Jima ,7346,Forrest Tucker,0,English,7.2,624
17000,184,Biography|Documentary|Music,Shine a Light ,9638,Albert Maysles,0,English,7.2,0
0,389,Adventure|Horror,The Green Inferno ,21468,Magda Apanowicz,0,English,5.4,12000
0,30,Drama|Family|Romance,Departure ,162,Niamh Cusack,0,English,7.0,75
20,365,Biography|Comedy|Drama|Romance,The Sessions ,36381,Rhea Perlman,3,English,7.2,11000
11,2,Documentary,Food, Inc. ,42389,Barbara Kowalcyk,0,English,7.9,37000
10,245,Drama,October Baby ,6110,Jason Burkey,1,English,6.8,0
122,458,Comedy|Drama|Romance,Next Stop Wonderland ,4195,Holland Taylor,1,English,6.7,392
655,973,Comedy|Drama|Romance,Juno ,414345,Rainn Wilson,0,English,7.5,10000
7,180,Comedy|Drama,The Skeleton Twins ,31254,Kathleen Rose Perkins,2,English,6.8,0
46,287,Drama|Mystery|Thriller,Martha Marcy May Marlene ,40425,Brady Corbet,0,English,6.9,0
9,313,Comedy|Drama,Obvious Child ,16594,Jake Lacy,1,English,6.8,0
33,229,Crime|Drama,Frozen River ,21746,Misty Upham,1,English,7.2,0
9,13,Documentary|Music,20 Feet from Stardom ,9540,Merry Clayton,0,English,7.4,14000
56,13,Comedy|Drama,Two Girls and a Guy ,5933,Angel David,3,English,5.6,387
132,584,Comedy|Drama|Romance,Walking and Talking ,2629,Vincent Pastore,2,English,6.8,227
11,121,Comedy|Drama|Music,The Full Monty ,82232,Lesley Sharp,3,English,7.2,0
2,5,Documentary,Who Killed the Electric Car? ,11283,Colette Divine,0,English,7.7,0
112,428,Comedy|Drama|Romance|Sport,The Broken Hearts Club: A Romantic Comedy ,6084,Mary McCormack,1,English,7.0,671
152,124,Comedy|Fantasy|Mystery,Bubba Ho-Tep ,38893,Ella Joyce,2,English,7.2,0
11,543,Adventure|Comedy|Family|Fantasy|Horror,Goosebumps ,47988,Ken Marino,4,English,6.4,35000
12,6,Drama,Slam ,1976,Bonz Malone,0,English,7.2,603
13,25,Crime|Drama|Mystery,Brigham City ,983,Rick Macy,0,English,7.2,100
10,97,Drama|Romance,Fiza ,2715,Jaya Bhaduri,3,Hindi,6.2,92
0,842,Comedy,History of the World: Part I ,36559,Dom DeLuise,0,English,6.9,0
406,194,Comedy|Sci-Fi,Orgazmo ,30396,Matt Stone,0,English,6.2,0
234,463,Drama|Romance,All the Real Girls ,9233,Shea Whigham,0,English,6.9,571
4,301,Comedy|Drama,Dream with the Fishes ,1524,Kathryn Erbe,0,English,7.0,166
22,275,Drama,Blue Car ,3142,A.J. Buckley,0,English,6.7,115
0,268,Comedy|Romance,Luminarias ,505,Robert Beltran,1,English,3.6,24
71,145,Drama,Palo Alto ,19752,Olivia Crocicchia,0,English,6.3,0
13,7,Crime|Drama,Ajami ,4999,Ranin Karim,6,Arabic,7.4,0
