num_critic_for_reviews,actor_3_facebook_likes,num_user_for_reviews,content_rating,aspect_ratio
41,32,249,PG,1.85
24,47,27,R,
318,482,269,PG-13,2.35
250,651,864,R,1.85
411,82,440,PG-13,2.35
106,218,327,R,1.85
159,300,95,PG-13,2.35
251,434,314,R,1.85
183,704,159,PG-13,2.35
131,150,311,X,1.85
297,458,279,R,2.35
41,83,81,PG-13,1.85
248,113,247,R,1.85
42,275,69,Unrated,2.2
33,80,73,G,2.35
91,581,252,R,1.85
185,592,533,R,1.85
69,51,108,Approved,1.37
220,332,155,R,1.78
117,452,356,PG,2.35
471,896,340,R,2.35
152,801,126,PG-13,2.35
274,379,2067,R,2.35
336,202,339,R,2.35
174,657,472,R,1.85
151,34,433,R,1.85
276,424,216,PG-13,1.85
12,287,11,R,1.85
18,75,56,PG,2.35
28,73,18,G,1.33
95,77,157,PG-13,1.85
74,157,161,R,1.85
179,1000,115,R,1.85
125,388,49,PG-13,2.35
22,498,26,R,1.85
92,697,153,R,1.85
196,161,211,R,1.85
9,467,33,R,1.85
31,426,209,R,1.85
309,423,195,PG-13,1.85
15,422,67,Approved,2.55
36,142,107,R,1.85
129,65,291,R,1.85
168,249,756,PG,1.85
444,192,561,R,2.35
123,141,335,R,1.85
173,19,385,R,1.85
246,358,859,R,2.35
74,664,113,PG-13,1.85
68,111,173,R,2.35
144,101,374,R,1.85
96,85,125,R,2.35
42,551,87,R,1.85
29,268,65,PG,1.85
228,205,323,PG-13,1.33
195,260,134,R,2.35
203,13,214,R,1.85
44,826,87,PG,1.85
14,70,33,,2.2
59,355,53,R,
45,409,21,PG-13,1.85
42,99,46,Unrated,1.37
12,503,9,R,
29,44,65,PG,1.85
121,797,324,PG-13,1.85
135,21,166,R,2.35
27,136,90,PG,1.85
56,560,131,R,1.85
22,576,80,PG,2.35
59,448,198,PG-13,1.85
61,556,202,R,2.35
60,572,79,R,1.85
164,392,565,PG-13,2.35
81,334,165,R,1.85
415,372,485,R,2.35
43,701,41,PG-13,1.85
7,0,4,,1.78
120,395,196,R,2.35
195,32,89,PG-13,2.35
109,39,89,PG-13,2.35
21,83,32,R,
93,88,265,R,2.35
12,473,29,PG-13,2.35
155,939,86,R,2.35
81,102,151,R,1.85
204,360,458,R,2.35
19,145,39,R,1.85
163,688,99,R,2.35
248,192,144,PG-13,1.85
39,600,158,R,1.85
322,233,125,R,2.35
50,276,56,R,2.35
12,361,56,PG-13,
83,65,184,R,1.85
37,977,69,R,2.35
16,14,25,,2.35
121,0,22,R,2.35
24,51,27,R,1.85
324,440,200,R,2.35
27,940,15,PG,1.85
9,100,23,Approved,1.37
