director_name,num_critic_for_reviews,duration,actor_2_name,genres,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,language,content_rating,budget,aspect_ratio
Dave Green,181,112,Noel Fisher,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles: Out of the Shadows ,17533,Brad Garrett,,based on comic book|brother brother relationship|rat|sequel|turtle,English,PG-13,135000000,2.35
Josh Trank,369,100,Reg E. Cathey,Action|Adventure|Sci-Fi,Fantastic Four ,110486,Tim Heidecker,3,box office flop|critically bashed|portal|teleportation|troubled production,English,PG-13,120000000,2.35
Shawn Levy,179,108,Rami Malek,Action|Adventure|Comedy|Family|Fantasy,Night at the Museum ,234480,Steve Coogan,2,chaos|museum|museum of natural history|night watchman|watchman,English,PG,110000000,1.85
Brad Peyton,358,114,Ioan Gruffudd,Action|Adventure|Drama|Thriller,San Andreas ,147497,Archie Panjabi,0,disaster movie|earthquake|journey|natural disaster|san andreas fault,English,PG-13,110000000,2.35
Roger Spottiswoode,160,119,Colin Salmon,Action|Adventure|Thriller,Tomorrow Never Dies ,149680,Joe Don Baker,3,ex boyfriend ex girlfriend relationship|media tycoon|megalomaniac|official james bond series|world war three,English,PG-13,110000000,2.35
Roland Emmerich,192,142,Adam Baldwin,Action|Drama|History|War,The Patriot ,207613,Tom Wilkinson,1,american revolution|british|french|hero|standoff,English,R,110000000,2.35
Steven Soderbergh,198,125,Julia Roberts,Crime|Thriller,Ocean's Twelve ,284852,Mini Anden,0,father daughter relationship|heist|pretending to be pregnant|sequel|thief,English,PG-13,110000000,2.35
Doug Liman,233,126,Angelina Jolie Pitt,Action|Comedy|Crime|Romance|Thriller,Mr. & Mrs. Smith ,348861,Stephanie March,2,assassin|marriage|secret agent|suburb|target,English,PG-13,120000000,2.35
Robert Schwentke,263,119,Theo James,Adventure|Sci-Fi|Thriller,Insurgent ,154621,Mekhi Phifer,0,action heroine|falling from height|mind control|trainhopping|truth serum,English,PG-13,110000000,2.35
Martin Scorsese,267,170,Adam Scott,Biography|Drama,The Aviator ,264318,Frances Conroy,0,1920s|aviation|fight|spruce goose|test flight,English,PG-13,110000000,2.35
Rob Letterman,184,85,Catherine Tate,Adventure|Comedy|Family|Fantasy,Gulliver's Travels ,53160,Olly Alexander,1,bermuda triangle|box office hit|shipwrecked|travel|travel writer,English,PG,112000000,2.35
Michel Gondry,447,119,Tom Wilkinson,Action|Comedy|Crime|Sci-Fi|Thriller,The Green Hornet ,136019,Chad L. Coleman,0,heir|kung fu|party|playboy|superhero,English,PG-13,120000000,2.35
,29,60,Dirk Benedict,Action|Adventure|Crime,The A-Team             ,25402,Dwight Schultz,4,1980s|cult tv|famous opening theme|good versus evil|hero for hire,English,TV-PG,,4.0
Noam Murro,366,102,Sullivan Stapleton,Action|Drama|Fantasy|War,300: Rise of an Empire ,225273,Peter Mensah,0,army|commander|female rear nudity|greek|navy,English,R,110000000,2.35
Raja Gosnell,172,103,Tim Gunn,Adventure|Animation|Comedy|Family|Fantasy,The Smurfs ,66593,Madison McKinley,3,blue|new york|new york city|no opening credits|smurf,English,PG,110000000,1.78
Will Finn,104,76,Roseanne Barr,Animation|Comedy|Family|Music|Western,Home on the Range ,13581,G.W. Bailey,0,cattle|cow|dairy farm|farm|rustler,English,PG,110000000,1.78
Robert Schwentke,181,120,Theo James,Action|Adventure|Mystery|Sci-Fi|Thriller,Allegiant ,44296,Zoë Kravitz,3,based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,English,PG-13,110000000,2.35
Shawn Levy,327,127,Torey Michael Adkins,Action|Drama|Sci-Fi|Sport,Real Steel ,254841,Olga Fonda,1,arena|boxing|boxing movie|robot|robot battle,English,PG-13,110000000,2.35
Raja Gosnell,125,105,Nancy O'Dell,Adventure|Animation|Comedy|Family|Fantasy,The Smurfs 2 ,27257,Vanessa Matsui,3,based on cartoon|box office hit|no opening credits|sequel|smurf,English,PG,105000000,1.85
Jan de Bont,79,121,Temuera Morrison,Action|Crime|Romance|Thriller,Speed 2: Cruise Control ,60573,Lois Chiles,0,collision course|computer|cruise|diamonds|ship run aground,English,PG-13,160000000,2.35
Gavin Hood,326,114,Moises Arias,Action|Sci-Fi,Ender's Game ,184561,Aramis Knight,4,alien|future|manipulation|simulation|training,English,PG-13,110000000,2.35
Len Wiseman,354,129,Jonathan Sadowski,Action|Adventure|Thriller,Live Free or Die Hard ,336235,Cyril Raffaelli,1,fbi|hacker|independence day|police|terrorist,English,PG-13,110000000,2.35
Peter Jackson,297,171,Orlando Bloom,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Fellowship of the Ring ,1238746,Billy Boyd,2,elf|hobbit|middle earth|quest|ring,English,PG-13,93000000,2.35
Frank Coraci,188,120,Steve Coogan,Action|Adventure|Comedy,Around the World in 80 Days ,68720,Cécile De France,0,19th century|around the world|inventor|martial arts|train,English,PG,110000000,2.35
Michael Mann,174,165,Jada Pinkett Smith,Biography|Drama|Sport,Ali ,79186,Joe Morton,1,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,English,R,107000000,2.35
Bo Welch,109,82,Kelly Preston,Adventure|Comedy|Family|Fantasy,The Cat in the Hat ,36033,Spencer Breslin,1,based on cult comic book|cat|home alone|imagination|talking cat,English,PG,109000000,1.85
Alex Proyas,225,115,Bruce Greenwood,Action|Mystery|Sci-Fi|Thriller,"I, Robot ",387632,Chi McBride,1,humanoid robot|man versus machine|prosthetic limb|robot as pathos|robot vs. robot,English,PG-13,120000000,2.35
Ridley Scott,239,194,Orlando Bloom,Action|Adventure|Drama|History|War,Kingdom of Heaven ,217373,Philip Glenister,1,12th century|crusader|jerusalem|knight|medieval times,English,R,130000000,2.35
Rob Minkoff,101,84,Nathan Lane,Adventure|Comedy|Family|Fantasy,Stuart Little ,94172,Jeffrey Jones,0,box office hit|cat|first part|mouse|orphanage,English,PG,133000000,1.85
Ron Clements,228,97,Jenifer Lewis,Animation|Family|Fantasy|Musical|Romance,The Princess and the Frog ,89351,Anika Noni Rose,0,amphibian|dream|frog|frog prince|waitress,English,G,105000000,1.85
Ridley Scott,568,151,Donald Glover,Adventure|Drama|Sci-Fi,The Martian ,472488,Benedict Wong,1,astronaut|international cooperation|left for dead|nasa|space habitat,English,PG-13,108000000,2.35
Christopher Barnard,,22,,Comedy,"10,000 B.C.             ",6,,0,,,,,
Michael Bay,257,136,Steve Buscemi,Action|Adventure|Romance|Sci-Fi|Thriller,The Island ,263329,Djimon Hounsou,1,clone|environment|escape|island|lottery,English,PG-13,126000000,2.35
Peter Chelsom,62,104,Warren Beatty,Comedy|Romance,Town & Country ,4102,Garry Shandling,0,anniversary|architect|cellist|friend|hardware store,English,R,90000000,1.85
Dominic Sena,175,127,Angelina Jolie Pitt,Action|Crime|Thriller,Gone in Sixty Seconds ,218341,Robert Duvall,1,auto theft|brother|car|theft|thief,English,PG-13,90000000,2.35
Ridley Scott,265,171,Connie Nielsen,Action|Drama|Romance,Gladiator ,982637,Oliver Reed,0,battlefield|blood|combat|gladiator|roman empire,English,R,103000000,2.35
Steven Spielberg,252,145,Frank Grillo,Action|Mystery|Sci-Fi|Thriller,Minority Report ,399651,Jessica Capshaw,0,future|murder|neo noir|washington d.c.|year 2054,English,PG-13,102000000,2.35
Chris Columbus,232,174,Rupert Grint,Adventure|Family|Fantasy|Mystery,Harry Potter and the Chamber of Secrets ,387616,Emma Watson,1,bildungsroman|flying broom|invisibility cloak|monster|wizardry,English,PG,100000000,2.35
Martin Campbell,400,144,Tobias Menzies,Action|Adventure|Thriller,Casino Royale ,470483,Ivana Milicevic,1,casino|espionage|free running|james bond|terrorist,English,PG-13,150000000,2.35
