actor_1_facebook_likes,facenumber_in_poster,num_user_for_reviews,content_rating,title_year,imdb_score,movie_facebook_likes
15000,1,398,PG-13,2008,5.4,0
20000,2,463,PG-13,2011,6.7,52000
1000,0,97,PG-13,2010,5.3,0
969,4,153,PG-13,2011,5.9,13000
897,4,11,,,7.0,265
1000,1,164,PG-13,2001,4.8,0
288,1,91,PG,1976,7.3,0
2000,1,282,PG-13,1994,3.8,0
396,0,761,R,2002,8.5,21000
40000,1,541,R,2001,6.8,0
446,0,203,PG,2006,6.8,0
730,0,576,R,2005,5.3,0
20000,2,903,R,2004,7.3,12000
29000,0,279,R,2011,6.6,16000
1000,0,232,R,2008,6.2,5000
775,2,695,R,2002,5.2,0
2000,0,291,R,1990,6.2,0
2000,1,245,R,2008,6.2,0
3000,0,239,PG-13,1999,6.6,0
591,1,247,PG,1980,6.4,12000
939,5,358,PG-13,2004,6.2,0
907,0,151,PG-13,2012,5.1,11000
18000,2,216,R,1997,6.6,0
22000,1,57,R,2015,6.1,0
287,5,59,PG,2010,6.1,0
436,2,68,R,1992,6.6,949
826,0,492,PG-13,2008,5.9,0
11000,1,244,PG,2004,6.3,0
10000,0,138,PG-13,2015,7.1,23000
327,1,173,PG-13,2011,5.0,13000
1000,0,80,G,2005,5.6,538
21000,5,335,R,2000,7.4,0
1000,6,173,PG-13,2008,4.5,0
1000,3,134,R,2013,6.2,0
1000,0,325,PG-13,2005,5.0,0
23000,0,178,PG-13,2012,6.5,20000
472,2,118,PG-13,2015,5.1,0
3000,2,215,PG-13,2002,6.5,0
26000,0,141,R,2013,6.2,17000
4000,1,173,PG-13,2004,6.3,0
3000,1,84,PG,2010,3.8,0
465,1,82,R,2012,5.2,0
14000,1,178,PG,1983,6.0,0
11000,3,298,R,2007,6.2,0
605,3,39,PG-13,1991,5.7,452
553,1,200,R,2007,6.7,0
18000,3,208,R,2001,6.8,0
694,2,162,PG-13,2001,6.0,433
2000,1,100,PG,2009,7.3,0
1000,1,142,R,2009,5.5,0
11000,0,975,PG-13,2011,6.7,39000
635,0,141,R,1998,4.8,471
1000,3,212,R,2014,5.7,10000
13000,1,204,R,2003,5.1,704
3000,1,280,R,2008,6.0,0
2000,5,113,PG,2006,4.2,494
23000,0,195,PG,2015,7.4,24000
690,0,31,PG,1997,4.6,0
883,1,196,PG-13,2006,6.9,9000
2000,1,105,TV-MA,,8.6,20000
2000,3,71,PG-13,1992,6.9,892
848,2,129,R,1993,8.0,6000
1000,1,99,R,1997,6.4,561
548,1,232,R,2002,6.3,675
695,0,55,PG,1980,8.4,0
837,1,25,R,1995,7.1,262
3,0,159,R,1999,6.8,633
30,0,127,R,2010,7.5,29000
621,3,15,R,2015,4.5,677
4000,2,76,PG-13,2006,5.7,0
970,0,,,2009,7.2,26
988,0,524,PG-13,2014,6.8,38000
1000,2,89,R,2015,5.4,0
554,3,150,PG,1993,7.2,0
20000,0,915,PG-13,2006,7.3,23000
372,0,94,R,1999,5.2,120
12000,1,86,R,2012,5.5,0
6,0,144,G,2008,7.7,0
989,0,116,PG-13,2015,7.1,23000
40000,0,260,R,1999,5.3,1000
818,1,61,PG-13,2000,5.6,314
18000,5,50,PG-13,2012,5.7,0
113,1,108,PG-13,2013,7.1,13000
635,0,127,PG,1981,7.5,0
10000,0,319,R,1992,7.6,0
2000,0,232,R,2001,5.5,742
826,1,148,PG-13,2000,5.1,1000
324,0,16,,2013,6.3,0
614,0,211,PG-13,2011,4.9,0
3000,0,72,PG-13,2012,6.5,19000
852,0,1033,R,2006,5.6,4000
18000,0,181,R,2000,5.3,463
669,1,622,R,2004,6.5,4000
722,0,114,PG-13,2005,6.8,0
26000,2,134,R,2012,6.5,12000
11000,3,175,R,1999,6.0,783
11000,0,647,PG,1983,8.4,14000
165,1,396,R,2008,6.0,0
14000,0,370,R,2008,7.6,15000
1000,2,139,R,2012,5.6,0
22000,1,395,PG,2003,6.9,21000
3000,1,118,PG,1996,6.4,0
773,1,100,PG,2002,5.1,0
13000,1,159,PG-13,1988,7.0,11000
678,1,441,PG,2006,5.7,0
722,6,485,R,2011,6.8,27000
17000,6,669,R,2013,6.7,97000
826,0,398,R,1999,6.2,0
22000,0,224,R,2000,7.2,0
23000,5,132,PG-13,2010,6.2,0
49000,8,108,R,2013,5.6,0
918,2,47,PG-13,2011,4.4,0
15000,3,571,PG-13,2011,7.5,56000
344,3,112,R,1993,7.1,0
8000,1,383,R,2007,6.4,10000
716,1,28,PG,2013,7.1,5000
16000,5,217,PG,1979,5.9,2000
649,1,108,PG,2005,6.9,0
10000,1,1125,R,2005,7.5,0
26000,1,340,PG-13,2005,6.3,0
29000,0,216,R,1995,6.4,0
638,1,102,PG-13,2004,5.9,702
12000,0,382,R,1999,6.8,0
1000,0,187,R,2010,6.3,12000
889,0,364,PG-13,2007,3.6,0
3000,3,30,PG,1996,5.3,350
12000,4,158,PG-13,2013,5.9,13000
3000,0,49,G,1997,6.9,643
13000,2,161,R,1999,6.9,625
845,2,175,R,2006,6.1,559
330,4,31,PG,2004,5.7,290
11000,1,983,R,1979,8.5,19000
839,0,113,R,2010,6.3,0
975,1,154,PG,1995,7.3,0
10000,2,100,R,2016,6.3,0
11000,0,200,PG,1985,7.2,0
18000,0,491,R,2012,7.3,64000
244,2,294,PG,1979,6.3,0
13000,0,644,R,2014,8.1,149000
12000,1,268,PG-13,2001,6.9,0
687,0,136,PG-13,1990,6.3,0
2000,0,510,PG-13,2000,7.3,0
783,4,1211,PG-13,2016,5.5,62000
26000,4,219,R,2015,6.1,28000
848,4,150,R,1995,6.9,0
539,0,1017,PG-13,2002,7.2,0
12000,0,289,PG-13,1999,6.4,0
3000,0,431,R,2001,6.4,0
15000,1,391,G,1995,8.3,0
18000,0,373,R,1994,7.2,0
17000,0,164,PG-13,2012,6.8,32000
11000,2,64,PG,2010,6.5,0
33000,1,402,PG,2000,7.8,0
826,1,241,PG,1990,7.6,0
15000,0,323,PG-13,2013,7.2,41000
989,0,392,PG-13,2004,6.7,0
1000,0,125,PG-13,1991,6.8,5000
531,0,178,PG-13,1995,6.3,0
11000,2,301,G,2001,6.2,0
944,3,117,PG,1996,6.2,0
11000,0,1080,R,1995,8.6,39000
2000,0,1262,R,2009,8.0,22000
19000,0,186,PG,2004,7.0,0
616,0,935,R,2003,8.0,12000
16000,1,1106,PG-13,2004,8.1,14000
22000,2,337,R,1999,6.7,0
33000,0,1111,PG-13,2004,7.9,57000
2000,1,154,PG-13,2008,6.1,0
1000,2,140,G,2009,4.2,0
971,0,49,G,2000,6.1,181
769,1,109,R,1991,6.6,883
12000,2,329,R,1994,7.5,11000
24000,0,452,R,2009,7.4,19000
442,1,612,R,2002,7.2,0
303,0,326,PG-13,2013,6.9,81000
23000,0,667,R,2012,7.4,75000
