num_critic_for_reviews,duration,actor_1_facebook_likes,genres,num_voted_users,plot_keywords,language,actor_2_facebook_likes,movie_facebook_likes
95,100,624,Action|Fantasy|Western,22309,bullet time|explosion|knife throwing|throwing a knife|violence,English,489,0
4,30,870,Comedy|War,1558,american soldier|naval uniform|navy|patrol boat|uniform,English,284,455
213,105,1000,Action|Comedy|Crime,24657,bullet|contortionist|gag humor|human cannonball|revenge,French,172,0
119,110,1000,Drama|Music,187181,competition|contest|friend|self expression|white rapper,English,418,0
9,101,326,Adventure|Animation|Comedy|Family,590,ape|computer animation|evolution|first person title|reference to louis de funes,French,152,161
167,144,13000,Action|Adventure|Romance,137003,chaucer|jousting|knight|medieval times|tournament,English,3000,0
98,108,687,Action|Comedy|Fantasy,29861,hong kong|interpol|medallion|ship|tough cop,English,312,505
234,107,13000,Drama|Mystery|Thriller,704766,able to see the dead|ghost|plot twist|psychic|surprise ending,English,3000,14000
258,102,107,Action|Crime|Thriller,125198,detective|diamond|hotel|police|rooftop,English,81,11000
108,100,734,Comedy,34809,alaska|birding|competition|migration|storm,English,574,11000
81,126,668,Action|Drama|Family|Sport,126907,apartment|bully|fight|karate|master,English,641,0
538,138,34000,Crime|Drama,358416,based on true story|con artist|drunk wife|fbi investigation|scam,English,23000,63000
224,108,16000,Comedy|Drama|Romance,227824,alaska|deportation|father son relationship|male objectification|sitka alaska,English,896,10000
129,105,984,Crime|Mystery|Thriller,56646,blood|murder|sex scene|wrongful arrest|wrongful conviction,English,489,0
125,108,1000,Adventure|Comedy|Sci-Fi,340085,alternate timeline|same actor playing two characters simultaneously on screen|second part|year 2015|younger version of character,English,869,12000
433,89,19000,Action|Sci-Fi|Thriller,327367,brain capacity|drugs|fictional drug|one woman army|tough girl,English,11000,83000
362,129,1000,Drama|Romance,220020,female frontal nudity|female nudity|perversion|sex scene|spanking,English,935,101000
93,84,13000,Action|Adventure|Comedy|Family|Sci-Fi,40227,mission|spy|surfing|trapped|virtual reality,English,4000,681
71,149,18000,Crime|Drama|Thriller,99558,african american|court|law|mississippi|trial,English,11000,0
104,94,3000,Comedy|Family,75152,9 year old|house|illinois|new job|vomiting,English,2000,0
319,121,480,Action|Biography|Drama|Thriller|War,203963,courage|navy seal|outnumbered|shot multiple times|survival,English,449,58000
41,128,15000,Comedy|Drama|Sport,71754,baseball|friend|oregon|rivalry|softball,English,923,0
300,134,1000,Horror|Mystery|Thriller,64989,based on supposedly true story|house|paranormal investigating|psychic|second part,English,575,40000
556,120,10000,Biography|Drama,479453,competitiveness|creator|entrepreneur|facebook|intellectual property,English,349,74000
161,129,97,Comedy|Drama|Romance,132048,advertising|bar|dating|lingerie slip|six word title,English,50,12000
151,89,2000,Comedy,93748,female nudity|male nudity|parody|reference to myspace|sequel,English,869,1000
212,116,287,Horror|Mystery,98535,death|ghostface|murder|scream|survivor,English,157,0
111,118,1000,Adventure|Comedy|Sci-Fi|Western,283480,band|dog|letter|time machine|tombstone,English,869,0
173,107,8000,Comedy|Crime,85629,camera focus on female butt|gay bar|millionaire|singing in a car|two word title,English,2000,14000
181,155,18000,Fantasy|Horror|Romance,143835,dracula|horror movie remake|maze|monster sex|vampire,English,12000,14000
252,123,11000,Biography|Drama|Romance,79264,american|blog|book|cook|cooking,English,935,13000
216,128,11000,Biography|Drama|Sport,66511,baseball|baseball player|brooklyn dodgers|major league baseball|racism,English,3000,28000
203,139,22000,Crime|Drama|Thriller,137891,1950s|italy|mistaken identity|nudity|sociopath,English,13000,0
218,109,13000,Comedy,97045,adoption|highway travel|road trip|sequel|stupidity,English,899,55000
118,120,23000,Adventure|Drama|Family,48806,antarctica|dog|siberian husky|sled dog|survival,English,984,11000
241,121,22000,Comedy|Drama,130661,reference to ben affleck|reference to brad pitt|reference to george clooney|reference to jack nicholson|website,English,11000,54000
119,102,2000,Action|Comedy,28621,computer hacker|crime boss|detective|drugs|wedding,English,874,0
89,117,855,Action|Adventure|Drama|Romance|War,113068,18th century|based on novel|colonel|french and indian war|revenge,English,363,0
209,178,904,Biography|Drama|Music,110394,1950s|1960s|racism|rhythm and blues|singer,English,876,0
374,147,3000,Crime|Thriller,656640,anthology|corruption|hearing characters thoughts|neo noir|night,English,472,13000
235,90,2000,Crime|Drama|Mystery|Thriller,127528,explosion|multiple perspectives|president|secret service|shooting,English,897,0
215,105,24000,Comedy|Romance,166194,bromance|friend|gay brother|homosexual subtext|wedding,English,4000,0
109,114,700,Comedy|Drama|Fantasy|Romance,109445,dying|friend|inner beauty|love|self help guru,English,655,0
125,206,433,Drama|History|Thriller,113472,death|gay slur|homosexuality|investigation|president,English,256,0
65,99,17000,Comedy|Crime,31968,cheerleading|fbi|fbi agent|nanny|undercover,English,826,663
125,123,24000,Adventure|Comedy|Crime|Romance,87351,curse|hostage|mexico|pistol|vomiting,English,11000,2000
322,137,769,Biography|Drama|Sport|War,103589,emaciation|male nudity|plane crash|prisoner of war|torture,English,698,35000
191,102,2000,Comedy|Drama|Family|Fantasy|Romance,146899,adult as child|father son relationship|high school student|janitor|school,English,2000,0
191,109,982,Comedy|Romance,104481,beach house|blonde bombshell|cheating husband|revenge|wife meets mistress,English,971,16000
221,82,164000,Horror,75345,attempted suicide|car crash|collapsing scaffold|overflowing bathtub|tooth knocked out,English,137000,0
459,142,15000,Drama|History|Thriller,178118,cia|cold war|lawyer|negotiation|spy,English,535,55000
131,106,578,Action|Drama|Thriller|War,86902,battle|massacre|navigator|navy|rescue,English,563,0
222,114,836,Comedy|Music,147317,concert|drugs|recession|record company|rock star,English,719,12000
118,106,1000,Comedy|Drama|Romance,35508,dance|dance competition|dance lesson|love|teacher,English,593,0
100,108,4000,Action|Adventure|Comedy|Family|Sci-Fi,77415,action figure|battle|computer|military|toy,English,835,0
70,98,2000,Action|Horror,52805,based on comic|based on comic book|dark hero|image comics|superhero,English,2000,0
138,131,15000,Action|Adventure|Drama|Romance|Thriller,104991,count|escape|island|revenge|sailor,English,1000,0
274,118,11000,Crime|Drama|Thriller,173848,defense attorney|defense lawyer|lawyer|plot twist|prostitute,English,980,25000
349,113,14000,Action|Mystery|Thriller,210542,agriculture|airport|amnesia|nurse|scientist,English,903,29000
341,130,23000,Drama|Mystery|Sci-Fi|Thriller,844052,illusion|magician|obsession|rivalry|secret,English,20000,49000
196,116,18000,Comedy|Crime,114294,kidnapping|reference to franz beckenbauer|scene during end credits|second part|singing in a car,English,11000,12000
83,89,3000,Adventure|Animation|Comedy|Family|Sci-Fi,20615,alien|cult film|mission control|product placement|rescue,English,190,0
283,139,708,Action|Adventure|Drama|Thriller,236000,jaguar|mayan|solar eclipse|tribe|village,Maya,78,14000
105,130,387,Action|Adventure|Thriller,69457,british agent|defection|escape|kgb|soviet general,English,244,0
351,107,2000,Action|Adventure|Sci-Fi|Thriller,171418,kicked in the face|martial arts|punched in the face|strong female character|woman punching a man,English,1000,17000
16,116,954,Comedy|Crime|Romance,7900,judicial|judiciary|lawyer|murder|painting,English,568,263
