director_name,actor_2_name,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
Jerome Robbins,George Chakiris,71919,1802,Richard Beymer,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,316,Unrated,6000000,271,0
Harold Ramis,Rodney Dangerfield,81599,14921,Brian Doyle-Murray,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,250,R,6000000,573,0
Gary Hardwick,Tatyana Ali,3198,6419,Jenifer Lewis,http://www.imdb.com/title/tt0250274/?ref_=fn_tt_tt_1,43,R,6000000,685,478
Rick Famuyiwa,Tamala Jones,6585,2724,Richard T. Jones,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1,50,R,6000000,405,990
Bryan Singer,Chazz Palminteri,740918,20821,Kevin Pollak,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,1182,R,6000000,979,28000
Stephen Hopkins,Kelly Jo Minter,29659,584,Matthew Borlenghi,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,227,X,8000000,101,1000
Walt Becker,Curtis Armstrong,89128,19341,Erik Estrada,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,258,R,6000000,876,0
Darren Aronofsky,John D'Leo,251349,1582,Ajay Naidu,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,547,R,6000000,245,10000
King Vidor,Lillian Gish,6304,2037,Jennifer Jones,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,87,Unrated,8000000,436,403
Christopher Guest,Catherine O'Hara,45859,4611,Michael McKean,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,340,PG-13,6000000,925,0
John Carpenter,Adrienne Barbeau,91017,2270,Tom Atkins,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,284,R,6000000,602,0
Spike Lee,Ossie Davis,4756,1284,Bill Nunn,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,38,R,6500000,282,624
Fred Savage,Brian Doyle-Murray,12339,1752,Tamala Jones,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1,32,PG,6000000,484,256
Sammo Kam-Bo Hung,Richard Norton,19774,773,Rachel Blakely,http://www.imdb.com/title/tt0117786/?ref_=fn_tt_tt_1,70,PG-13,,155,355
Christopher Guest,Christopher Guest,22408,1660,Laura Harris,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,272,PG-13,,378,0
Donald Petrie,Lili Taylor,18286,10430,Conchata Ferrell,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,73,R,6000000,960,0
,Tuppence Middleton,9277,4528,Lily James,http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1,44,TV-14,,888,11000
Peter Howitt,Kevin McNally,52805,1462,John Lynch,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1,278,R,9000000,427,0
Rusty Cundieff,Clarence Williams III,4582,3221,David Alan Grier,http://www.imdb.com/title/tt0114609/?ref_=fn_tt_tt_1,52,R,6000000,475,985
Kevin Macdonald,Simon McBurney,145580,1184,Abby Mukiibi Nkaaga,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1,351,R,6000000,149,0
Dominique Othenin-Girard,Tamara Glynn,22929,1308,Troy Evans,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1,287,X,3000000,256,926
Richard Linklater,Brandon Smith,45396,11328,Rick Dial,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1,136,PG-13,5000000,106,15000
Jean-Jacques Mantello,Daryl Hannah,172,844,,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1,5,,6000000,0,28
Ed Harris,Bud Cort,23023,1517,Amy Madigan,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,148,R,6000000,394,0
Risa Bramon Garcia,Dave Chappelle,13010,2697,Gaby Hoffmann,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,182,R,6000000,744,0
Brian Klugman,Bradley Cooper,59637,51355,Olivia Wilde,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,130,PG-13,6000000,14000,21000
Matt Piedmont,Adrian Martinez,17169,10123,Luis E. Carazo,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,70,R,6000000,806,9000
Raymond De Felitta,Curtiss Cook,27301,3825,Dominik García-Lorido,http://www.imdb.com/title/tt1174730/?ref_=fn_tt_tt_1,101,PG-13,6000000,591,0
John Michael McDonagh,Fionnula Flanagan,64794,3569,Wale Ojo,http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1,131,R,6000000,482,17000
Deb Hagan,Alona Tal,11011,4484,Haley Bennett,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,78,R,6500000,1000,422
Sofia Coppola,Kathleen Turner,116910,7103,Scott Glenn,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,520,R,6000000,899,0
Mark Herman,Annette Badland,13892,2103,Brenda Blethyn,http://www.imdb.com/title/tt0147004/?ref_=fn_tt_tt_1,160,R,,497,915
Zach Cregger,Windell Middlebrooks,18313,1831,Raquel Alessi,http://www.imdb.com/title/tt1151922/?ref_=fn_tt_tt_1,73,R,6000000,308,985
Zach Braff,Josh Gad,29341,18947,Michael Weston,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,93,R,6000000,1000,0
Mark Tarlov,Dylan Baker,11439,5668,Lawrence Gilliard Jr.,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,190,PG-13,6000000,812,901
,Jason Dohring,55524,3318,Enrico Colantoni,http://www.imdb.com/title/tt0412253/?ref_=fn_tt_tt_1,315,TV-14,,828,0
John Cameron Mitchell,Miriam Shor,26300,993,Andrea Martin,http://www.imdb.com/title/tt0248845/?ref_=fn_tt_tt_1,231,R,6000000,261,0
Sheldon Lettich,Ryan Bollman,4195,382,Todd Susman,http://www.imdb.com/title/tt0107750/?ref_=fn_tt_tt_1,50,PG-13,6000000,91,0
Jon Knautz,Monda Scott,522,546,Alexis Kendra,http://www.imdb.com/title/tt3432552/?ref_=fn_tt_tt_1,5,,,77,84
Billy Ray,Rosario Dawson,28855,8297,Cas Anvar,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1,190,PG-13,6000000,3000,0
David Atkins,Lynne Thigpen,9589,489,Polly Noonan,http://www.imdb.com/title/tt0234354/?ref_=fn_tt_tt_1,105,R,6000000,230,289
Patrick Stettner,Tony Devon,3413,1407,Frederick Weller,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1,78,R,,257,29
Sam Peckinpah,Warren Oates,63192,2379,L.Q. Jones,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1,287,R,6244087,288,0
Jonathan Levine,Aaron Yoo,27266,2748,Method Man,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1,75,R,6000000,617,0
Michael Crichton,Michael Elphick,11623,297,Pamela Salem,http://www.imdb.com/title/tt0079240/?ref_=fn_tt_tt_1,50,PG,6000000,34,643
Lynne Ramsay,Bryan Dick,6906,841,Paul Popplewell,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,111,R,,104,605
Sylvio Tabet,Kari Wuhrer,2281,2000,Marc Singer,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,16,PG-13,6000000,514,125
Rick Bieber,Kendrick Cross,1245,2370,Sammy Nagi Njuguna,http://www.imdb.com/title/tt1130964/?ref_=fn_tt_tt_1,29,PG,6000000,529,0
